Hybridization REF	TCGA-AN-A0AJ-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.673666666666667
CREB3L1	1.1195
RPS11	0.214875
PNMA1	0.67975
MMP2	0.520166666666667
C10orf90	-2.255
ZHX3	-0.302833333333333
ERCC5	-0.84175
GPR98	0.4775
RXFP3	0.709
APBB2	1.82
PRO0478	-1.225875
KLHL13	-4.15075
PRSSL1	-0.647166666666667
PDCL3	0.3645
DECR1	2.261375
SALL1	-4.19566666666667
CADM4	0.6
RPS18	0.552071428571429
HNRPD	-0.2645
CFHR5	0.627
SLC10A7	0.596125
OR2K2	0.3355
LMAN1	-0.831375
SUHW1	-3.5755
CHD8	0.2346
SUMO1	-0.1232
GP1BA	2.0707
DDB1	0.161833333333333
MYO9B	-0.1827
MMP7	7.22125
CRNKL1	0.764
C9orf45	-1.68983333333333
XAB2	0.682625
RTN1	1.470875
KLHL14	-1.083875
TBX10	-0.815
CENPQ	0.1545
UTY	-1.19307142857143
ZBTB12	0.1765
DTNBP1	0.461875
KBTBD8	-1.35483333333333
ZEB1	-0.898666666666667
ZG16	1.61675
MIER1	-0.3305
ADAM5P	0.398
CHD9	-0.80225
STK16	1.0915
KIAA1486	-0.3325
TOB2	0.753666666666667
BANK1	3.92075
OR2V2	0.69575
GRM2	0.290166666666667
PROSC	-1.008625
SPIN2B	-0.54025
PIR	-2.12055555555556
IPO9	-0.1685
EVC	0.188333333333333
CXCL13	6.49833333333333
KIAA1199	-2.1653
SORL1	0.2445
NAT10	0.55925
CHD1	-0.421
SYN3	-0.6855
SLC22A2	-0.5525
SERPINF1	0.23
WDR34	0.186
OR7A17	0.70275
C9orf11	-0.0315
RNF216L	-0.1052
LHB	0.0295
STK25	-0.296625
TAOK3	0.1965
LOC152573	-3.72575
C3orf39	0.92475
C14orf108	0.146
CDC25B	0.177727272727273
BMP3	0.223
TMEM180	0.3975
MAP1LC3C	-0.03275
CRYGC	-0.872
POU3F1	-0.9128
C20orf32	-0.7975
CCDC95	0.0845
HIGD1B	2.99375
USP6NL	0.441375
ABCD4	-0.542666666666667
DIMT1L	-0.494583333333333
TEK	0.18225
SLC25A46	0.03775
LARP7	-1.8959
CD160	0.753333333333333
MT1JP	-1.36866666666667
PHF20	0.692875
CPNE4	-1.61075
GTPBP1	-0.423357142857143
RAB33B	0.438
ALDOC	-1.233125
ZNF212	-0.4905
NUDT1	0.0438333333333333
RFPL2	0.5275
ZNF83	-0.512666666666667
GDPD5	-0.27525
PDCD4	0.47095
CEP350	0.6715
OR10A2	0.24
CST7	2.28925
CIAO1	-0.5
SELL	1.968625
OR8J3	0.0045
LTBP4	-0.373833333333333
SIRT6	0.62075
CCL19	4.83275
PPIL1	0.0305
GBP7	0.363833333333333
STK17A	-1.0057
ABR	-0.75875
OR9G1	0.1445
FOXE1	-0.618875
CNGA3	-0.347
GML	0.6585
CD38	-0.21725
ZDHHC6	-0.25
NEFH	-3.21825
CTDSP2	0.433416666666667
PGBD5	-0.842333333333333
CCNY	0.369928571428571
RMND5B	1.25866666666667
ZNF257	-0.2305
FLJ22167	0.102
EXOSC7	-0.361
ROR2	1.801125
MAOA	-1.7305
TNNT3	0.365833333333333
GYPC	-1.3405
C7orf33	0.6115
PLIN	0.985333333333333
LOC90826	0.7565
RNF4	0.3744
F8A1	-0.224333333333333
PLEKHG4	-1.533
GRB2	0.37725
HIST1H2AD	-0.83825
DUS3L	-0.110666666666667
EIF1	0.338
RP5-1077B9.4	-0.594666666666667
FPGT	1.00875
GDF10	-0.399833333333333
COQ9	-0.0175
GCC2	-0.186142857142857
RARRES3	2.500125
PLXNA1	-0.8097
KIAA0100	-0.4461
PMF1	0.68225
FNDC1	5.2595
HS2ST1	-0.255916666666667
CRELD2	-0.3185
C8G	-1.8665
CD82	0.52575
LIM2	-0.8375
UNQ6490	0.1445
MMP16	0.0305
DRD3	0.101
C5orf26	0.1975
C11orf73	-0.36475
PTP4A2	0.99375
OR4M2	0.681
HPCA	-1.32133333333333
SEC14L1	-0.471
CHFR	-1.32975
EMILIN1	0.933375
NDUFS4	-0.01975
COL18A1	-0.64725
PDZD3	-0.0025
C9orf16	-0.726666666666667
ERBB2IP	0.544333333333333
EMX2	3.678
FUS	-0.66875
TF	-3.7759
CLCN4	-1.01933333333333
CXorf56	-0.0475
C11orf72	0.22475
ELAC2	-0.714333333333333
NPR1	-0.705
ASS1	-3.0815
USP42	0.689375
POLR2J	-1.145
SEC23IP	0.331
UQCRC1	0.475
LOC729603	-0.79275
C1orf71	0.015125
POLG	-0.8915
ADAM23	-3.60975
TFR2	-0.86625
RICTOR	-0.9907
MGC39606	-0.08275
C19orf55	0.15575
SNAPC1	-0.788166666666667
GNA11	1.3835
CCDC52	0.515333333333333
FSIP1	5.3505
UPF3A	-1.26325
IGSF11	-2.2015
LAGE3	0.7565
CHST6	-3.394
UNC13B	-0.61725
TTLL4	-0.548375
ZNF687	0.231875
SDC2	-0.7778
COX7A2	0.39375
LAMB4	0.2775
FAM24A	0.657
LRRTM3	-0.924333333333333
