Hybridization REF	TCGA-AN-A0XL-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0905
CREB3L1	1.1395
RPS11	0.01275
PNMA1	0.61775
MMP2	0.712333333333333
C10orf90	-1.35075
ZHX3	-0.0191666666666667
ERCC5	0.011
GPR98	1.337375
RXFP3	0.235
APBB2	1.53075
PRO0478	-0.3305
KLHL13	0.06725
PRSSL1	-0.854333333333333
PDCL3	0.0191666666666667
DECR1	1.071875
SALL1	-3.36316666666667
CADM4	0.808333333333333
RPS18	-0.248071428571429
HNRPD	-0.604916666666667
CFHR5	-0.0586
SLC10A7	0.709125
OR2K2	-0.2
LMAN1	-0.253375
SUHW1	-3.54475
CHD8	0.255
SUMO1	0.1542
GP1BA	-0.1635
DDB1	0.468833333333333
MYO9B	-0.2075
MMP7	5.219
CRNKL1	1.175375
C9orf45	-0.873
XAB2	0.453625
RTN1	2.010125
KLHL14	-0.689625
TBX10	-1.214
CENPQ	-1.54075
UTY	-0.915928571428571
ZBTB12	-0.284
DTNBP1	-0.071375
KBTBD8	-1.52916666666667
ZEB1	2.0245
ZG16	-1.4145
MIER1	0.8773
ADAM5P	-0.1885
CHD9	0.155375
STK16	0.163
KIAA1486	-0.8255
TOB2	0.893416666666667
BANK1	2.558
OR2V2	0.2905
GRM2	-0.0173333333333333
PROSC	0.056125
SPIN2B	-0.21775
PIR	-1.81311111111111
IPO9	-0.0124
EVC	0.535666666666667
CXCL13	1.13833333333333
KIAA1199	-1.6544
SORL1	1.40375
NAT10	0.322
CHD1	-0.5055
SYN3	-0.55575
SLC22A2	-0.169
SERPINF1	1.95683333333333
WDR34	-0.53925
OR7A17	0.1615
C9orf11	-0.1385
RNF216L	-0.7417
LHB	-0.427
STK25	-0.26075
TAOK3	0.4115
LOC152573	-0.69475
C3orf39	0.457375
C14orf108	0.3104
CDC25B	-1.63781818181818
BMP3	-0.0875
TMEM180	-0.308
MAP1LC3C	1.6115
CRYGC	-0.518
POU3F1	-1.4468
C20orf32	-1.275
CCDC95	-0.301
HIGD1B	4.12125
USP6NL	-0.165875
ABCD4	0.0421666666666667
DIMT1L	-1.07833333333333
TEK	2.236625
SLC25A46	-0.76275
LARP7	-1.2328
CD160	0.2735
MT1JP	-0.0511666666666667
PHF20	0.2423125
CPNE4	-1.4185
GTPBP1	-0.571
RAB33B	0.864166666666667
ALDOC	-2.55225
ZNF212	0.101
NUDT1	-0.665
RFPL2	-0.5565
ZNF83	0.399166666666667
GDPD5	-0.151375
PDCD4	1.09245
CEP350	0.71725
OR10A2	-0.08025
CST7	0.58525
CIAO1	-0.8715
SELL	0.677625
OR8J3	0.507
LTBP4	0.7595
SIRT6	-0.30375
CCL19	4.236
PPIL1	-1.21366666666667
GBP7	0.0615
STK17A	-0.8211
ABR	-0.01325
OR9G1	-0.0505
FOXE1	-0.716375
CNGA3	0.053
GML	0.1905
CD38	-3.54925
ZDHHC6	0.1295
NEFH	-2.509
CTDSP2	0.969916666666667
PGBD5	-2.173
CCNY	0.372214285714286
RMND5B	0.5985
ZNF257	0.178
FLJ22167	-0.733125
EXOSC7	-0.685666666666667
ROR2	0.546625
MAOA	2.4485
TNNT3	3.5205
GYPC	-0.44875
C7orf33	0.64
PLIN	4.48166666666667
LOC90826	-0.04075
RNF4	-0.1041
F8A1	0.135166666666667
PLEKHG4	-1.978
GRB2	0.22145
HIST1H2AD	-0.51175
DUS3L	-0.952166666666667
EIF1	0.333166666666667
RP5-1077B9.4	-1.2545
FPGT	1.82575
GDF10	4.06016666666667
COQ9	-0.5745
GCC2	0.556428571428572
RARRES3	2.65475
PLXNA1	-0.7138
KIAA0100	-0.2985
PMF1	0.39075
FNDC1	5.22025
HS2ST1	-0.198666666666667
CRELD2	0.46525
C8G	-2.413
CD82	1.34175
LIM2	-1.2935
UNQ6490	-0.259
MMP16	0.33475
DRD3	-0.1365
C5orf26	-0.66725
C11orf73	-0.81025
PTP4A2	1.120875
OR4M2	-0.129
HPCA	-1.471
SEC14L1	0.2335
CHFR	-0.502625
EMILIN1	0.702125
NDUFS4	-0.6285
COL18A1	0.82625
PDZD3	-0.0628
C9orf16	-0.2015
ERBB2IP	0.597
EMX2	4.06
FUS	-0.5665
TF	-2.842
CLCN4	0.354166666666667
CXorf56	0.6645
C11orf72	0.135
ELAC2	-1.13875
NPR1	1.386
ASS1	-1.287
USP42	0.79075
POLR2J	-0.6715
