Hybridization REF	TCGA-A2-A0EY-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.135916666666667
CREB3L1	1.487
RPS11	0.28125
PNMA1	-0.46475
MMP2	0.1255
C10orf90	-2.05033333333333
ZHX3	0.321166666666667
ERCC5	0.50625
GPR98	1.672125
RXFP3	0.0965
APBB2	1.44475
PRO0478	-0.920625
KLHL13	-2.664
PRSSL1	-0.960666666666667
PDCL3	0.689333333333333
DECR1	1.711875
SALL1	-3.60216666666667
CADM4	0.9555
RPS18	-0.186428571428571
HNRPD	-0.582416666666666
CFHR5	0.715833333333333
SLC10A7	0.768625
OR2K2	0.96
LMAN1	0.0838571428571429
SUHW1	-3.36666666666667
CHD8	0.6101
SUMO1	0.4514
GP1BA	1.0114
DDB1	0.376333333333333
MYO9B	-0.2158
MMP7	4.685
CRNKL1	0.4865
C9orf45	-1.65183333333333
XAB2	0.171375
RTN1	1.308375
KLHL14	-1.445875
TBX10	4.012
CENPQ	-0.869
UTY	-1.4285
ZBTB12	0.6915
DTNBP1	0.79975
KBTBD8	-1.18383333333333
ZEB1	0.162333333333333
ZG16	2.71875
MIER1	0.00719999999999996
ADAM5P	1.233
CHD9	-1.086
STK16	0.0365
KIAA1486	-0.5225
TOB2	0.958916666666667
BANK1	3.69875
OR2V2	-0.404
GRM2	0.326166666666667
PROSC	0.050625
SPIN2B	-1.087
PIR	-0.593
IPO9	0.0558
EVC	0.0365
CXCL13	5.5355
KIAA1199	0.3535
SORL1	0.73275
NAT10	-0.7005
CHD1	-0.58
SYN3	-0.000500000000000028
SLC22A2	-0.79625
SERPINF1	1.02533333333333
WDR34	0.2815
OR7A17	-0.26225
C9orf11	-0.779
RNF216L	-0.00169999999999999
LHB	-0.091
STK25	-0.5765
TAOK3	0.241625
LOC152573	-1.873
C3orf39	0.6335
C14orf108	0.7988
CDC25B	-1.34381818181818
BMP3	0.2745
TMEM180	0.3685
MAP1LC3C	0.07125
CRYGC	0.177
POU3F1	-1.4673
C20orf32	-1.693
CCDC95	-0.244
HIGD1B	2.41525
USP6NL	0.314375
ABCD4	-0.772833333333333
DIMT1L	-1.35908333333333
