Hybridization REF	TCGA-A8-A083-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.061
CREB3L1	0.81575
RPS11	0.173625
PNMA1	-0.19775
MMP2	-1.0005
C10orf90	-2.57875
ZHX3	-0.493333333333333
ERCC5	0.532
GPR98	1.40971428571429
RXFP3	0.6725
APBB2	2.7565
PRO0478	-0.5465
KLHL13	-3.41625
PRSSL1	-1.4235
PDCL3	0.634333333333333
DECR1	0.143625
SALL1	-4.34266666666667
CADM4	1.04383333333333
RPS18	-0.440142857142857
HNRPD	-0.600166666666667
CFHR5	0.792833333333333
SLC10A7	-0.182625
OR2K2	1.0045
LMAN1	-1.07925
SUHW1	-4.7575
CHD8	0.0818
SUMO1	0.4848
GP1BA	-0.3396
DDB1	-0.111666666666667
MYO9B	-0.2988
MMP7	2.7305
CRNKL1	1.246
C9orf45	-0.661666666666667
XAB2	0.19075
RTN1	3.430875
KLHL14	-1.32175
TBX10	-2.2255
CENPQ	-1.70375
UTY	-1.28191666666667
ZBTB12	0.236
DTNBP1	0.12675
KBTBD8	-2.49183333333333
ZEB1	0.0263333333333333
ZG16	-2.1935
MIER1	0.688
ADAM5P	-0.257
CHD9	-0.3638125
STK16	0.95675
KIAA1486	-1.02
TOB2	0.702833333333333
BANK1	0.632
OR2V2	0.06525
GRM2	0.0876666666666667
PROSC	0.853625
SPIN2B	-0.27475
PIR	-2.857
IPO9	-0.0921
EVC	0.0958333333333333
CXCL13	8.83183333333333
KIAA1199	-2.57922222222222
SORL1	1.3125
NAT10	-0.24625
CHD1	-0.13525
SYN3	-1.17
SLC22A2	-0.81125
SERPINF1	-0.906166666666667
WDR34	-0.84025
OR7A17	0.36625
C9orf11	-0.5115
RNF216L	-0.5767
LHB	-0.074
STK25	0.024375
TAOK3	1.21375
LOC152573	-4.05525
C3orf39	0.707375
C14orf108	0.5105
CDC25B	-2.28763636363636
BMP3	-0.1685
TMEM180	0.567
MAP1LC3C	-0.56225
CRYGC	-1.288
POU3F1	-1.7862
C20orf32	-2.4495
CCDC95	0.0355
HIGD1B	4.76225
USP6NL	-0.179125
ABCD4	-0.302166666666667
DIMT1L	-0.804833333333333
TEK	0.5725
SLC25A46	-0.47575
LARP7	-0.9788
CD160	0.491166666666667
MT1JP	-2.03366666666667
PHF20	0.61175
CPNE4	-2.79366666666667
GTPBP1	-0.301071428571429
RAB33B	0.753666666666667
ALDOC	-3.208125
ZNF212	-1.143
NUDT1	-1.84333333333333
RFPL2	-1.85125
ZNF83	0.5255
GDPD5	-2.300625
PDCD4	1.80355
CEP350	0.67
OR10A2	0.05775
CST7	-0.31475
CIAO1	-1.2695
SELL	1.291375
OR8J3	0.103
LTBP4	-0.560333333333333
SIRT6	0.02025
CCL19	1.99075
PPIL1	-0.648
GBP7	0.541333333333333
STK17A	-2.4225
ABR	0.60925
OR9G1	-0.4475
FOXE1	-1.694125
CNGA3	2.529
GML	0.1185
CD38	-4.22275
ZDHHC6	0.423333333333333
NEFH	-3.8505
CTDSP2	0.905
PGBD5	-2.99983333333333
CCNY	0.663071428571429
RMND5B	1.12016666666667
ZNF257	0.7035
FLJ22167	1.739125
EXOSC7	-0.495833333333333
ROR2	2.026125
MAOA	4.14575
TNNT3	-0.1145
GYPC	-1.98725
C7orf33	0.476
PLIN	1.58066666666667
LOC90826	0.1305
RNF4	-0.1094
F8A1	0.871666666666667
PLEKHG4	-0.41525
GRB2	0.8148
HIST1H2AD	-0.36775
DUS3L	-0.902166666666667
EIF1	-0.258166666666667
RP5-1077B9.4	-1.297
FPGT	2.1705
GDF10	-2.66416666666667
COQ9	-0.43675
GCC2	0.771214285714286
RARRES3	3.0405
PLXNA1	-1.2832
KIAA0100	0.0760999999999999
PMF1	0.25125
FNDC1	5.41175
HS2ST1	-0.885
CRELD2	0.29875
C8G	-1.986
CD82	-0.94325
LIM2	-1.2535
UNQ6490	0.8275
MMP16	-1.46475
DRD3	-0.38375
C5orf26	-0.9395
C11orf73	-0.415125
PTP4A2	2.434375
OR4M2	0.033
HPCA	-1.07283333333333
SEC14L1	-1.57133333333333
CHFR	-0.080375
EMILIN1	-0.356375
NDUFS4	0.2915
COL18A1	-0.717
PDZD3	0.0311
C9orf16	-0.387333333333333
ERBB2IP	0.546333333333333
EMX2	1.87025
FUS	-0.346
TF	-3.9384
CLCN4	-0.595
CXorf56	0.909
C11orf72	0.52275
ELAC2	-0.194416666666667
NPR1	-1.04275
ASS1	-1.16116666666667
USP42	0.22375
POLR2J	-1.3715
SEC23IP	1.35566666666667
UQCRC1	0.05225
LOC729603	-0.581
C1orf71	0.016625
POLG	-2.726
ADAM23	-4.3965
TFR2	-1.819
RICTOR	-0.5251
MGC39606	-0.8005
C19orf55	0.187
SNAPC1	-2.0055
GNA11	1.44775
CCDC52	1.11383333333333
FSIP1	5.6635
UPF3A	0.52775
IGSF11	-3.13766666666667
LAGE3	-1.034
CHST6	-3.374
UNC13B	3.147875
TTLL4	-1.359
ZNF687	0.467125
SDC2	-2.078
COX7A2	0.07275
LAMB4	-0.57
FAM24A	1.07
LRRTM3	-1.6772
GPHB5	-0.1415
OR4C13	-0.595
EIF3EIP	0.677571428571429
HABP4	-0.92
TMEM125	3.94225
CNTN2	-0.6315
ASNSD1	-0.9025
FUT4	-0.6595
ACF	-4.01775
LOC158381	1.3535
CDH8	0.137
AGPS	0.264
C4orf18	4.518875
PECI	0.925583333333333
UNG	-0.2325
GSTP1	1.297375
DCUN1D5	-1.41333333333333
DKFZP564J0863	-1.24525
SLC9A3R1	0.829125
BCDO2	-0.218375
CHMP7	0.725
REM2	1.083
DNHD1	-0.992375
FKBP4	-0.11275
ZNF350	2.94025
MGC11102	-0.147625
BST1	-0.23475
KISS1R	0.42
NCR2	0.047
DEFB125	-0.469
UBE2W	0.541875
KRT15	-2.861125
C10orf99	0.233
SCN11A	-0.13825
GFI1	-3.60975
RDHE2	3.29433333333333
FHL1	-2.41383333333333
OSGEP	-0.125333333333333
GATA1	-3.627
SMC6	-0.91525
TTTY14	-1.3405
LPIN3	0.74825
RPL4	-0.385
RBPMS	0.5096
PRPF3	0.3455
EMR1	-3.204
SPATA19	-0.1935
XCR1	0.148
IRX3	1.067
RBM6	0.37475
KLF4	0.4231
UNC5CL	-1.0365
SEBOX	-0.134
BTK	-1.73025
KRCC1	-1.307
C6orf27	0.898
SYTL5	0.443
PRND	0.303
LOC653319	-1.0585
PIGL	-0.9795
HUS1	-0.307666666666667
SFRS6	0.969666666666667
C17orf77	-0.201
UIMC1	-0.0808333333333333
FXYD2	-2.1363
LOC283152	2.5215
ZNF667	1.04975
ZCCHC12	-0.97325
TFEC	1.8848
ATP7B	1.04
POLD2	-1.13116666666667
RG9MTD1	-0.35675
ACOT2	0.867666666666667
HIST1H4I	-1.388125
PPARGC1A	-1.265
ETFA	-1.5449
POLRMT	-0.28225
ZNF146	0.022
MIA2	-1.389
KLHL6	-2.13733333333333
HOXB5	-1.404375
NENF	0.594666666666667
CUGBP1	0.79575
PRSS22	1.8465
CASC4	1.2326
CUL4B	0.4591
CENPJ	-1.9021
PITX1	-2.7725
FLJ31033	1.45866666666667
CELSR3	-2.484
ZNF568	1.70875
ITSN1	-0.364166666666667
EHBP1L1	-0.920833333333333
C19orf2	-0.2415
DCTN1	0.826
LIN28B	-2.94333333333333
TNKS2	0.27075
C1QBP	-0.312
CADPS2	1.76775
SRMS	1.21675
GJA9	0.502666666666667
MGC24975	-0.836166666666667
TRIM45	-0.381666666666667
TSP50	1.13125
TCP1	-1.1965
TMED7	1.2415
CMA1	0.3495
CENPL	-1.193
PTCRA	-0.2845
FST	-3.9235
VWCE	-4.20825
PAWR	0.08325
ABCC12	3.386
LDLR	-0.9475
ASTN2	2.9504
LOC441212	-1.248125
GPATCH8	0.16025
TANC2	0.64525
KIF4A	-3.695
C18orf18	-0.31
PGM1	-0.64675
KIAA0258	0.784
CPD	0.59975
SNCAIP	-1.4705
DCT	-4.45933333333333
HLA-DOA	2.10654545454545
OR11L1	0.2595
UPK1B	-0.938166666666667
DNAJB4	-0.81125
UGT1A8	-0.48675
HIST1H4L	-1.264
PECR	-1.1675
HSPA2	2.87175
WFIKKN1	-2.8885
SERP1	1.302625
SYDE2	1.07175
TACR2	0.9755
NUP85	-0.67075
CD177	0.627166666666667
LGR5	-2.6238
PIGG	0.22325
PTHR1	-2.57933333333333
RAB5A	0.0658
FLJ13224	-0.22
USP9Y	-2.8235
C7orf53	-1.8065
LRP1B	-1.3645
XAF1	3.9117
ABCG8	-1.5425
ANKDD1A	-0.518666666666667
DAND5	-2.4455
SPAG6	6.0435
LINCR	-0.45825
ZDHHC22	-0.839875
CCDC60	0.056
THOC7	-1.31466666666667
TCTA	1.6131
OR8K3	-0.08025
NY-REN-7	-0.899
B2M	1.64416666666667
C6orf141	-0.429625
LPPR4	0.0535
SQLE	-2.805375
SEPHS1	-0.65475
BTBD14B	0.488785714285714
PLRG1	-0.3295
SPG7	-0.3908125
ZNF614	-0.165333333333333
