Hybridization REF	TCGA-D8-A143-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.216583333333333
CREB3L1	-0.56375
RPS11	-0.285375
PNMA1	-0.393
MMP2	-0.326166666666667
C10orf90	-1.49825
ZHX3	-0.278333333333333
ERCC5	-0.182
GPR98	-1.3915
RXFP3	0.3845
APBB2	0.3795
PRO0478	-1.268375
KLHL13	-3.033
PRSSL1	-0.809833333333333
PDCL3	0.683333333333333
DECR1	0.40525
SALL1	-4.1854
CADM4	1.903
RPS18	-0.261714285714286
HNRPD	0.3205
CFHR5	0.277
SLC10A7	0.3715
OR2K2	-0.098
LMAN1	-0.255875
SUHW1	-3.436
CHD8	0.2777
SUMO1	0.3374
GP1BA	1.5034
DDB1	-0.329666666666667
MYO9B	0.2884
MMP7	4.5255
CRNKL1	1.269875
C9orf45	-1.89916666666667
XAB2	0.471375
RTN1	1.129
KLHL14	-1.032875
TBX10	-0.839
CENPQ	-1.02025
UTY	-1.09676923076923
ZBTB12	-0.3655
DTNBP1	0.155875
KBTBD8	-0.058
ZEB1	-0.535
ZG16	-0.80325
MIER1	0.6972
ADAM5P	-0.493
CHD9	0.342
STK16	-1.70475
KIAA1486	0.359
TOB2	0.301166666666667
BANK1	5.63025
OR2V2	0.24025
GRM2	0.5415
PROSC	-0.406
SPIN2B	-0.112
PIR	0.104777777777778
IPO9	0.4027
EVC	0.592833333333333
CXCL13	5.74816666666667
KIAA1199	-1.1183
SORL1	0.54
NAT10	-0.19975
CHD1	-0.85775
SYN3	0.071
SLC22A2	-0.194
SERPINF1	-0.694333333333333
WDR34	0.437
OR7A17	0.31525
C9orf11	-0.316
RNF216L	-0.3812
LHB	0.1365
STK25	-1.078
TAOK3	-0.83575
LOC152573	-3.146
C3orf39	1.166125
C14orf108	1.2223
CDC25B	-0.490909090909091
BMP3	0.315
TMEM180	0.2525
MAP1LC3C	0.1245
CRYGC	-0.253
POU3F1	-0.8114
C20orf32	-1.61
CCDC95	0.0455
HIGD1B	3.38075
USP6NL	0.89775
ABCD4	-1.0635
DIMT1L	-1.4805
TEK	0.80575
SLC25A46	-0.75325
LARP7	-2.1584
CD160	0.176833333333333
MT1JP	-0.108166666666667
PHF20	-0.091375
CPNE4	1.69825
GTPBP1	-0.295071428571429
RAB33B	1.65233333333333
ALDOC	-3.588125
ZNF212	-0.7755
NUDT1	-0.104
RFPL2	1.8615
ZNF83	-0.249333333333333
GDPD5	-1.65775
PDCD4	0.19685
CEP350	0.776
OR10A2	0.37125
CST7	0.93625
CIAO1	-0.061
SELL	1.08975
OR8J3	0.294
LTBP4	-0.785166666666667
SIRT6	-0.13875
CCL19	4.30475
PPIL1	0.176
GBP7	0.112166666666667
STK17A	-0.1975
ABR	0.98475
OR9G1	0.1475
FOXE1	-0.048125
CNGA3	-0.341
GML	0.656
CD38	0.98825
ZDHHC6	-0.189
NEFH	-3.68825
CTDSP2	-0.649583333333333
PGBD5	2.4135
CCNY	-0.007
RMND5B	-0.0835833333333333
ZNF257	1.09025
FLJ22167	-0.57275
EXOSC7	-0.327833333333333
ROR2	0.2895
MAOA	-2.156625
TNNT3	0.0546666666666667
GYPC	-1.83225
C7orf33	0.9985
PLIN	-0.0973333333333333
LOC90826	0.77225
RNF4	-0.2763
F8A1	1.469
PLEKHG4	-0.216
GRB2	-0.1968
HIST1H2AD	-1.27
DUS3L	-0.7675
EIF1	-0.267
RP5-1077B9.4	-1.18433333333333
FPGT	1.9745
GDF10	-1.2025
COQ9	0.5945
GCC2	-0.279142857142857
RARRES3	1.6255
PLXNA1	-0.5866
KIAA0100	-0.1766
PMF1	0.678
FNDC1	4.91525
HS2ST1	0.199666666666667
CRELD2	0.83125
C8G	-2.393
CD82	1.4655
LIM2	-0.945
UNQ6490	-0.725
MMP16	0.5895
DRD3	0.11475
C5orf26	-2.8395
C11orf73	-0.00375
PTP4A2	0.832875
OR4M2	0.1445
HPCA	-0.1515
SEC14L1	0.104833333333333
CHFR	-1.203375
EMILIN1	0.453125
NDUFS4	-0.59675
COL18A1	-0.422
PDZD3	-0.00109999999999999
C9orf16	-0.407166666666667
ERBB2IP	-0.589666666666667
EMX2	1.532
FUS	-0.62825
TF	-1.9278
CLCN4	0.728666666666667
CXorf56	0.6125
C11orf72	0.38125
ELAC2	-0.0803333333333333
NPR1	-1.03775
ASS1	-1.79483333333333
USP42	0.2325
POLR2J	-0.601
SEC23IP	0.550833333333333
UQCRC1	-0.00775
LOC729603	-0.4555
C1orf71	-0.129375
POLG	-0.5095
ADAM23	-4.632
TFR2	-0.24875
RICTOR	-1.6969
MGC39606	2.04475
C19orf55	-0.276
SNAPC1	-0.204166666666667
GNA11	0.5245
CCDC52	0.426166666666667
FSIP1	-0.2055
UPF3A	-1.519875
IGSF11	-2.415
LAGE3	1.44925
CHST6	0.6375
UNC13B	-0.167125
TTLL4	-0.018
ZNF687	1.062
SDC2	-1.0736
COX7A2	0.8215
LAMB4	0.3195
FAM24A	0.2245
LRRTM3	-0.938166666666667
GPHB5	-0.321
OR4C13	0.201
EIF3EIP	-0.573857142857143
HABP4	-1.3635
TMEM125	2.23725
CNTN2	1.018375
ASNSD1	-0.03625
FUT4	-0.203625
ACF	-4.0305
LOC158381	-0.1455
CDH8	0.15025
AGPS	-1.01433333333333
C4orf18	0.58875
PECI	0.00883333333333333
UNG	-0.402
GSTP1	-0.45675
DCUN1D5	-1.03933333333333
DKFZP564J0863	-0.16725
SLC9A3R1	0.136375
BCDO2	-1.576125
CHMP7	-0.768375
REM2	0.1465
DNHD1	-1.14875
FKBP4	-0.323875
ZNF350	0.88625
MGC11102	-0.357125
BST1	0.19375
KISS1R	-0.1275
NCR2	-0.003
DEFB125	0.607
UBE2W	0.8635
KRT15	4.310625
C10orf99	0.1425
SCN11A	0.141125
GFI1	-1.3265
RDHE2	0.452833333333333
FHL1	-2.4575
OSGEP	-0.3315
GATA1	-3.738
SMC6	0.9375
TTTY14	-1.2365
