Hybridization REF	TCGA-B6-A0X5-01A-21R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.311666666666667
CREB3L1	1.997
RPS11	0.713625
PNMA1	0.48425
MMP2	-0.910833333333333
C10orf90	-1.73675
ZHX3	0.168833333333333
ERCC5	-0.741
GPR98	-0.305625
RXFP3	0.5985
APBB2	2.63725
PRO0478	-0.517875
KLHL13	0.2915
PRSSL1	-0.4895
PDCL3	0.11
DECR1	0.8795
SALL1	-2.46666666666667
CADM4	1.092
RPS18	-0.802571428571429
HNRPD	-0.568083333333333
CFHR5	0.488166666666667
SLC10A7	0.633
OR2K2	0.016
LMAN1	0.197625
SUHW1	-2.95175
CHD8	-0.3439
SUMO1	0.0755
GP1BA	0.2733
DDB1	0.0178333333333333
MYO9B	-0.2628
MMP7	0.47675
CRNKL1	0.3765
C9orf45	0.244833333333333
XAB2	0.219
RTN1	-0.074375
KLHL14	1.05525
TBX10	0.715
CENPQ	-0.79625
UTY	-0.807
ZBTB12	0.1285
DTNBP1	-0.539625
KBTBD8	-2.00816666666667
ZEB1	-1.436
ZG16	-0.838
MIER1	0.2242
ADAM5P	0.4715
CHD9	0.02675
STK16	0.395
KIAA1486	0.296
TOB2	1.10866666666667
BANK1	2.70325
OR2V2	0.34
GRM2	0.1855
PROSC	1.09325
SPIN2B	0.58775
PIR	-0.972333333333333
IPO9	-0.4229
EVC	-0.14
CXCL13	4.854
KIAA1199	0.4191
SORL1	1.449
NAT10	-0.6195
CHD1	-0.41875
SYN3	-0.29575
SLC22A2	0.2465
SERPINF1	0.7535
WDR34	0.87175
OR7A17	0.85325
C9orf11	-0.0555
RNF216L	-0.6492
LHB	0.061
STK25	0.088625
TAOK3	0.403125
LOC152573	-1.6295
C3orf39	1.168
C14orf108	0.572
CDC25B	-0.868272727272727
BMP3	0.768
TMEM180	0.5175
MAP1LC3C	0.028
CRYGC	0.1685
POU3F1	-1.1707
C20orf32	-0.508
CCDC95	-0.238
HIGD1B	1.567
USP6NL	-2.713
ABCD4	-0.0373333333333333
DIMT1L	-1.29425
TEK	-0.098125
SLC25A46	-0.95475
LARP7	-1.6158
CD160	0.471
MT1JP	0.462333333333333
PHF20	-0.1149375
CPNE4	-1.03675
GTPBP1	-0.269571428571429
RAB33B	1.393
ALDOC	-3.19675
ZNF212	-0.2105
NUDT1	0.193166666666667
RFPL2	-0.49175
ZNF83	0.367166666666667
GDPD5	0.653875
PDCD4	-1.1694
CEP350	-0.06375
OR10A2	0.1025
CST7	-0.486
CIAO1	-0.51625
SELL	0.17175
OR8J3	0.346
LTBP4	-0.465
SIRT6	-0.28325
CCL19	0.83175
PPIL1	-0.413
GBP7	0.6535
STK17A	-2.4249
ABR	0.431
OR9G1	0.8685
FOXE1	-0.21325
CNGA3	0.0415
GML	0.15
CD38	-3.8125
ZDHHC6	0.576833333333333
NEFH	-3.8275
CTDSP2	0.4505
PGBD5	-1.64966666666667
CCNY	-1.62628571428571
RMND5B	0.564083333333333
ZNF257	0.1
FLJ22167	-1.754625
EXOSC7	-0.507833333333333
ROR2	0.223
MAOA	2.700125
TNNT3	0.167
GYPC	-1.7955
C7orf33	0.3705
PLIN	0.368166666666667
LOC90826	-0.05275
RNF4	-0.1658
F8A1	1.41516666666667
PLEKHG4	0.02775
GRB2	-0.20365
HIST1H2AD	-1.10475
DUS3L	-0.331333333333333
EIF1	-0.168333333333333
RP5-1077B9.4	-0.875
FPGT	1.97625
GDF10	-0.852166666666667
COQ9	0.59625
GCC2	0.169285714285714
RARRES3	2.385375
PLXNA1	-0.5101
KIAA0100	0.4063
PMF1	-0.21025
FNDC1	3.98775
HS2ST1	-1.55125
CRELD2	1.3305
C8G	-1.545
CD82	1.214
LIM2	-0.4275
UNQ6490	-0.05
MMP16	0.29975
DRD3	0.136
C5orf26	-1.32575
C11orf73	-0.85975
PTP4A2	0.29575
OR4M2	0.5225
HPCA	-0.0336666666666667
SEC14L1	-0.951833333333333
CHFR	-0.464125
EMILIN1	0.911625
NDUFS4	-0.23075
COL18A1	-0.8515
PDZD3	0.3101
C9orf16	-0.1195
ERBB2IP	0.2015
EMX2	1.48675
FUS	-0.8545
TF	-3.5208
CLCN4	-0.751333333333333
CXorf56	-0.553
C11orf72	0.0465
ELAC2	-0.194416666666667
NPR1	-1.46325
ASS1	-0.135666666666667
USP42	-0.375
POLR2J	-0.584
SEC23IP	0.8755
UQCRC1	0.64025
LOC729603	-0.35125
C1orf71	0.036
POLG	-0.6325
ADAM23	-3.705
TFR2	-0.5715
RICTOR	-1.7467
MGC39606	0.40525
C19orf55	-0.139125
SNAPC1	-2.43633333333333
GNA11	0.819375
CCDC52	-0.4075
FSIP1	1.337
UPF3A	-0.828625
IGSF11	-1.7245
LAGE3	0.67575
CHST6	-0.1715
UNC13B	1.331375
TTLL4	-0.997625
ZNF687	0.141
SDC2	-1.651
COX7A2	0.19725
LAMB4	0.21975
FAM24A	0.148
LRRTM3	0.502333333333333
GPHB5	-0.29375
OR4C13	0.1115
EIF3EIP	0.393357142857143
HABP4	-1.63
TMEM125	3.55975
CNTN2	0.01125
ASNSD1	-0.269
FUT4	-0.460875
ACF	-3.59475
LOC158381	-2.1945
CDH8	0.439
AGPS	-2.61366666666667
C4orf18	1.93025
PECI	-0.878083333333333
UNG	-0.5325
GSTP1	-3.2995
DCUN1D5	-0.828333333333333
DKFZP564J0863	-0.127
SLC9A3R1	0.87575
BCDO2	-0.59675
CHMP7	-0.6145
REM2	-0.1275
DNHD1	-0.034125
FKBP4	-0.50325
ZNF350	1.5345
MGC11102	-0.1025
BST1	-0.01125
KISS1R	0.5945
NCR2	0.055
DEFB125	0.0215
UBE2W	1.063125
KRT15	4.251
C10orf99	0.438
SCN11A	0.227
GFI1	-3.51625
RDHE2	4.89816666666667
FHL1	-2.09733333333333
OSGEP	0.193166666666667
GATA1	-3.526
SMC6	-0.516
TTTY14	-0.7745
LPIN3	-0.079
RPL4	-0.1204
RBPMS	-0.5756
PRPF3	-0.389666666666667
EMR1	-2.121
SPATA19	-0.16675
XCR1	0.414
IRX3	2.0257
RBM6	-0.4585
KLF4	0.5931
UNC5CL	-0.3345
SEBOX	-0.027
BTK	-1.41825
KRCC1	0.05
C6orf27	0.844
SYTL5	0.449
PRND	1.805125
LOC653319	-0.126
PIGL	-0.260125
HUS1	-0.393333333333333
SFRS6	0.497916666666667
C17orf77	0.8015
UIMC1	0.218666666666667
FXYD2	-1.6505
LOC283152	0.426
