Hybridization REF	TCGA-A8-A06R-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.27275
CREB3L1	1.503
RPS11	0.029625
PNMA1	0.0315
MMP2	1.30383333333333
C10orf90	-2.57325
ZHX3	-0.148333333333333
ERCC5	-0.55825
GPR98	0.07925
RXFP3	0.9235
APBB2	1.2065
PRO0478	-0.46375
KLHL13	-0.75775
PRSSL1	-0.859666666666667
PDCL3	1.39516666666667
DECR1	-0.414
SALL1	-2.44133333333333
CADM4	0.762666666666667
RPS18	-0.554357142857143
HNRPD	-1.3445
CFHR5	0.3535
SLC10A7	-0.048375
OR2K2	-0.9565
LMAN1	-0.786875
SUHW1	-2.2445
CHD8	0.2454
SUMO1	1.2762
GP1BA	0.0672
DDB1	-0.0981666666666667
MYO9B	0.5489
MMP7	5.72225
CRNKL1	0.3625
C9orf45	-0.4815
XAB2	0.227875
RTN1	1.31725
KLHL14	-0.199875
TBX10	1.5665
CENPQ	-1.6535
UTY	-1.158
ZBTB12	0.082
DTNBP1	0.179375
KBTBD8	-1.62033333333333
ZEB1	1.49633333333333
ZG16	-1.7585
MIER1	0.0247
ADAM5P	0
CHD9	-0.201
STK16	0.5095
KIAA1486	-0.662
TOB2	0.77675
BANK1	2.33375
OR2V2	0.322
GRM2	0.102833333333333
PROSC	0.857625
SPIN2B	0.3945
PIR	-0.653444444444445
IPO9	-0.7157
EVC	1.0725
CXCL13	4.506
KIAA1199	0.1735
SORL1	1.45975
NAT10	-0.52125
CHD1	-0.58625
SYN3	-0.46375
SLC22A2	0.1285
SERPINF1	1.2485
WDR34	0.432
OR7A17	-0.0715
C9orf11	-0.711
RNF216L	-0.0948
LHB	-0.0505
STK25	0.066875
TAOK3	1.218625
LOC152573	-3.44275
C3orf39	0.077875
C14orf108	-0.0985
CDC25B	-1.85372727272727
BMP3	-0.4325
TMEM180	0.0925
MAP1LC3C	-0.8015
CRYGC	-1.221
POU3F1	-1.1578
C20orf32	-1.656
CCDC95	-0.1565
HIGD1B	4.143
USP6NL	-0.588125
ABCD4	-0.3625
DIMT1L	-1.6035
TEK	0.6485
SLC25A46	-0.57575
LARP7	-1.5149
CD160	-0.119
MT1JP	-0.765
PHF20	0.22675
CPNE4	2.2285
GTPBP1	-0.532714285714286
RAB33B	0.868333333333333
ALDOC	-2.001625
ZNF212	-0.31475
NUDT1	-0.674833333333333
RFPL2	0.74225
ZNF83	-0.533833333333333
GDPD5	-0.95225
PDCD4	0.5399
CEP350	-0.53675
OR10A2	0.41
CST7	0.81275
CIAO1	0.036
SELL	0.3995
OR8J3	0.072
LTBP4	-0.0103333333333333
SIRT6	0.089
CCL19	1.851
PPIL1	-1.15666666666667
GBP7	0.674833333333333
STK17A	-0.2966
ABR	-0.05075
OR9G1	-1.797
FOXE1	-0.87875
CNGA3	-0.604
GML	0.912
CD38	0.18125
ZDHHC6	0.266
NEFH	-2.874
CTDSP2	0.411583333333333
PGBD5	-1.93966666666667
CCNY	0.681142857142857
RMND5B	0.4685
ZNF257	1.69975
FLJ22167	-0.912875
EXOSC7	-0.832666666666667
ROR2	1.1915
MAOA	-2.367875
TNNT3	0.186833333333333
GYPC	-1.06075
C7orf33	0.97
PLIN	0.632666666666667
LOC90826	-0.74325
RNF4	0.4742
F8A1	0.506
PLEKHG4	-2.6485
GRB2	0.70155
HIST1H2AD	-1.056
DUS3L	-1.192
EIF1	-0.432166666666667
RP5-1077B9.4	-0.5905
FPGT	0.7635
GDF10	-1.5485
COQ9	-0.0135
GCC2	0.482714285714286
RARRES3	2.551875
PLXNA1	0.1546
KIAA0100	-0.4411
PMF1	-0.51475
FNDC1	5.91925
HS2ST1	0.149
CRELD2	0.581
C8G	-0.9325
CD82	0.2335
LIM2	-1.1635
UNQ6490	0.0355
MMP16	0.07475
DRD3	-0.03025
C5orf26	-1.35
C11orf73	-1.03425
PTP4A2	1.563375
OR4M2	1.0375
HPCA	-0.528666666666667
SEC14L1	0.982333333333334
