Hybridization REF	TCGA-A8-A092-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.830083333333334
CREB3L1	1.603
RPS11	0.3815
PNMA1	0.71925
MMP2	0.5345
C10orf90	-1.786
ZHX3	0.0501666666666667
ERCC5	-0.92675
GPR98	0.663
RXFP3	0.4365
APBB2	1.61725
PRO0478	-0.762
KLHL13	-1.0025
PRSSL1	-0.836833333333333
PDCL3	0.383833333333333
DECR1	1.3065
SALL1	-2.77916666666667
CADM4	0.294
RPS18	0.231714285714286
HNRPD	-0.5705
CFHR5	0.485833333333333
SLC10A7	0.19725
OR2K2	0.325
LMAN1	-1.015
SUHW1	-2.21325
CHD8	0.2841
SUMO1	0.0834
GP1BA	-0.1978
DDB1	-0.0123333333333333
MYO9B	-0.2354
MMP7	4.98825
CRNKL1	1.378
C9orf45	-1.34633333333333
XAB2	-0.035625
RTN1	0.600125
KLHL14	-0.787875
TBX10	-0.0545
CENPQ	-0.15425
UTY	-0.6365
ZBTB12	0.7025
DTNBP1	0.32375
KBTBD8	-1.185
ZEB1	-1.108
ZG16	1.141
MIER1	-0.2719
ADAM5P	-0.6295
CHD9	-0.842875
STK16	-0.298
KIAA1486	-0.359
TOB2	1.04283333333333
BANK1	1.104
OR2V2	0.19175
GRM2	0.413
PROSC	-1.110375
SPIN2B	0.048
PIR	-1.329
IPO9	0.0576666666666667
EVC	0.0913333333333334
CXCL13	2.70333333333333
KIAA1199	-1.4369
SORL1	0.5825
NAT10	0.20975
CHD1	-1.10025
SYN3	0.56775
SLC22A2	-0.14925
SERPINF1	-0.103
WDR34	0.33775
OR7A17	0.604
C9orf11	-0.658
RNF216L	-0.9396
LHB	0.4055
STK25	-0.405375
TAOK3	0.282625
LOC152573	-2.1435
C3orf39	0.93
C14orf108	0.5503
CDC25B	-0.531
BMP3	-0.742
TMEM180	0.436
MAP1LC3C	0.2915
CRYGC	-0.366
POU3F1	-1.2718
C20orf32	-1.1905
CCDC95	0.1865
HIGD1B	3.1735
USP6NL	0.437625
ABCD4	-0.120666666666667
DIMT1L	-0.948416666666667
TEK	0.01375
SLC25A46	-0.1335
LARP7	-1.7238
CD160	0.461333333333333
MT1JP	-1.09783333333333
PHF20	0.3433125
CPNE4	-0.8155
GTPBP1	-0.311357142857143
RAB33B	0.5592
ALDOC	-2.566
ZNF212	-0.05825
NUDT1	-0.0716666666666667
RFPL2	-0.42725
ZNF83	-0.132833333333333
GDPD5	-0.58075
PDCD4	2.23675
CEP350	0.55025
OR10A2	0.08075
CST7	0.28025
CIAO1	-0.9495
SELL	0.69225
OR8J3	0.84
LTBP4	-0.735333333333333
SIRT6	-0.10675
CCL19	2.91825
PPIL1	-0.109666666666667
GBP7	1.05916666666667
STK17A	-1.5564
ABR	-0.16425
OR9G1	0.111
FOXE1	-0.365125
CNGA3	-0.475
GML	0.8735
CD38	-1.86075
ZDHHC6	0.807666666666667
NEFH	-2.54375
CTDSP2	0.772416666666667
PGBD5	-1.46083333333333
CCNY	0.746785714285714
RMND5B	0.6535
ZNF257	0.67825
FLJ22167	-0.44375
EXOSC7	-0.0841666666666667
ROR2	1.629875
MAOA	-1.739125
TNNT3	-0.343166666666667
GYPC	-1.57225
C7orf33	0.4435
PLIN	0.1865
LOC90826	-0.5765
RNF4	-0.3556
F8A1	0.3515
PLEKHG4	-2.42225
GRB2	0.97315
HIST1H2AD	-0.9675
DUS3L	-0.502833333333333
EIF1	0.539
RP5-1077B9.4	-1.0175
FPGT	0.92975
GDF10	-1.4365
COQ9	-0.18475
GCC2	-1.32714285714286
RARRES3	3.185875
PLXNA1	-0.6569
KIAA0100	0.3465
PMF1	0.57025
FNDC1	4.918
HS2ST1	-0.19475
CRELD2	0.54475
C8G	-2.0075
CD82	0.789
LIM2	-0.176
UNQ6490	-0.202
MMP16	-0.549
DRD3	0.1345
C5orf26	-1.37725
C11orf73	-0.08725
PTP4A2	1.178125
OR4M2	-0.103
HPCA	-1.0715
SEC14L1	-0.9405
CHFR	-0.020625
EMILIN1	0.6215
NDUFS4	-0.1085
COL18A1	-0.238125
