Hybridization REF	TCGA-AO-A0J6-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.189666666666667
CREB3L1	0.685
RPS11	0.11375
PNMA1	-0.59325
MMP2	-1.18916666666667
C10orf90	-1.756
ZHX3	0.662333333333333
ERCC5	-0.792
GPR98	-0.546142857142857
RXFP3	0.576
APBB2	-0.984
PRO0478	-1.71625
KLHL13	-1.3845
PRSSL1	-0.713833333333333
PDCL3	0.581666666666667
DECR1	0.142875
SALL1	-4.286
CADM4	0.438
RPS18	0.0687857142857143
HNRPD	-0.584
CFHR5	0.8088
SLC10A7	1.0935
OR2K2	0.258
LMAN1	-0.448375
SUHW1	-2.08775
CHD8	-0.9462
SUMO1	-0.1941
GP1BA	-0.1846
DDB1	-0.19
MYO9B	-0.0332
MMP7	8.1785
CRNKL1	-0.09275
C9orf45	-1.67316666666667
XAB2	0.2395
RTN1	1.22925
KLHL14	-2.127625
TBX10	-1.146
CENPQ	-0.931
UTY	-0.964090909090909
ZBTB12	-0.9575
DTNBP1	-1.05875
KBTBD8	-0.85
ZEB1	-2.04183333333333
ZG16	-1.9195
MIER1	0.2863
ADAM5P	0.356
CHD9	-0.3416875
STK16	0.90125
KIAA1486	0.1005
TOB2	0.722166666666667
BANK1	1.20525
OR2V2	0.3225
GRM2	-0.585166666666667
PROSC	-1.289625
SPIN2B	0.2215
PIR	0.122888888888889
IPO9	-0.401
EVC	-1.34783333333333
CXCL13	6.70433333333333
KIAA1199	-3.1731
SORL1	-0.8135
NAT10	0.03225
CHD1	-1.521
SYN3	-0.79
SLC22A2	-0.35075
SERPINF1	-0.966333333333333
WDR34	-0.28225
OR7A17	0.62225
C9orf11	-0.6835
RNF216L	0.4235
LHB	-0.1225
STK25	-0.286875
TAOK3	1.004125
LOC152573	-2.205
C3orf39	0.283875
C14orf108	-0.7175
CDC25B	0.260363636363636
BMP3	0.143
TMEM180	-0.222
MAP1LC3C	0.46975
CRYGC	-1.325
POU3F1	-1.623
C20orf32	-1.781
CCDC95	-0.007
HIGD1B	1.8785
USP6NL	0.925125
ABCD4	-1.36016666666667
DIMT1L	-0.570916666666667
TEK	-0.323375
SLC25A46	-0.528
LARP7	-1.1019
CD160	2.50983333333333
MT1JP	-0.187166666666667
PHF20	-0.7090625
CPNE4	0.0015
GTPBP1	-0.2045
RAB33B	1.07416666666667
ALDOC	-1.091875
ZNF212	-0.301
NUDT1	0.190833333333333
RFPL2	0.28525
ZNF83	-0.261
GDPD5	0.36075
PDCD4	1.174
CEP350	-0.6955
OR10A2	0.87425
CST7	2.153
CIAO1	0.0825
SELL	1.081625
OR8J3	-0.6515
LTBP4	-0.850833333333333
SIRT6	0.88375
CCL19	2.7585
PPIL1	-0.317333333333333
GBP7	0.643666666666667
STK17A	-0.5567
ABR	0.42125
OR9G1	0.502
FOXE1	-1.10125
CNGA3	0.3175
GML	0.4505
CD38	-0.3185
