Hybridization REF	TCGA-A8-A06Z-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.431333333333333
CREB3L1	-0.693
RPS11	-0.395875
PNMA1	-0.9135
MMP2	-1.0865
C10orf90	-1.84775
ZHX3	-0.417833333333333
ERCC5	-0.2015
GPR98	1.00175
RXFP3	0.6555
APBB2	2.54575
PRO0478	-1.024375
KLHL13	-4.1775
PRSSL1	-0.707333333333333
PDCL3	0.87
DECR1	1.371625
SALL1	-3.375
CADM4	2.0785
RPS18	-0.670714285714286
HNRPD	-1.183
CFHR5	0.55
SLC10A7	0.6755
OR2K2	-0.0285
LMAN1	-0.44375
SUHW1	-3.575
CHD8	-0.2702
SUMO1	0.2669
GP1BA	-0.0181
DDB1	-0.3405
MYO9B	-0.2708
MMP7	3.94225
CRNKL1	0.655625
C9orf45	-0.875666666666667
XAB2	-0.354
RTN1	2.19275
KLHL14	-1.6
TBX10	-1.058
CENPQ	-1.49375
UTY	-0.8865
ZBTB12	0.4705
DTNBP1	-0.566375
KBTBD8	-1.43566666666667
ZEB1	0.136333333333333
ZG16	-1.3295
MIER1	1.1255
ADAM5P	-0.2285
CHD9	-0.208
STK16	0.82125
KIAA1486	0.1505
TOB2	0.535583333333333
BANK1	-0.49325
OR2V2	0.454
GRM2	0.265833333333333
PROSC	-0.28175
SPIN2B	0.03525
PIR	-0.109333333333333
IPO9	-0.0101
EVC	0.233166666666667
CXCL13	0.732666666666667
KIAA1199	-3.4647
SORL1	1.24275
NAT10	-0.4485
CHD1	-0.25125
SYN3	-0.4825
SLC22A2	-0.2485
SERPINF1	-1.7065
WDR34	0.50175
OR7A17	0.3995
C9orf11	-0.573
RNF216L	0.0484
LHB	0.4705
STK25	-0.93775
TAOK3	0.201625
LOC152573	-3.499
C3orf39	0.36625
C14orf108	0.3303
CDC25B	-1.168
BMP3	0.487
TMEM180	0.0615
MAP1LC3C	-0.11475
CRYGC	-0.322
POU3F1	-1.5723
C20orf32	-1.4495
CCDC95	0.2125
HIGD1B	4.54125
USP6NL	-0.335
ABCD4	-0.98
DIMT1L	-0.223166666666667
TEK	0.217875
SLC25A46	0.0305
LARP7	-1.6169
CD160	0.103
MT1JP	-1.49816666666667
PHF20	-0.0860625
CPNE4	-1.057
GTPBP1	-0.581214285714286
RAB33B	-0.4065
ALDOC	-1.71375
ZNF212	-0.57225
NUDT1	-1.0335
RFPL2	-1.211
ZNF83	0.410666666666667
GDPD5	-0.919375
PDCD4	0.43305
CEP350	0.05525
OR10A2	0.20325
CST7	-1.13325
CIAO1	-0.47325
SELL	0.114
OR8J3	0.5195
LTBP4	-0.486166666666667
SIRT6	0.03875
CCL19	1.008
PPIL1	-1.0985
GBP7	1.46283333333333
STK17A	-1.9902
ABR	-0.87225
OR9G1	0.07
FOXE1	-0.8055
CNGA3	-0.5745
GML	0.934
CD38	-3.928
ZDHHC6	0.293166666666667
NEFH	-2.61325
CTDSP2	0.495916666666667
PGBD5	-1.3045
CCNY	-0.0735
RMND5B	0.58975
ZNF257	0.919
FLJ22167	-0.297625
EXOSC7	-1.141
ROR2	-0.64125
MAOA	2.558375
TNNT3	-0.108333333333333
GYPC	-1.943
C7orf33	0.074
PLIN	0.229666666666667
LOC90826	-0.36175
RNF4	0.333
F8A1	0.492833333333333
PLEKHG4	-0.71125
GRB2	0.39555
HIST1H2AD	1.02775
DUS3L	-1.09916666666667
EIF1	0.304833333333333
RP5-1077B9.4	-0.798833333333334
FPGT	3.01475
GDF10	-2.08516666666667
COQ9	-0.029
GCC2	0.198142857142857
RARRES3	2.914125
PLXNA1	-0.3846
KIAA0100	0.1185
PMF1	-0.18025
FNDC1	3.94875
HS2ST1	0.371916666666667
CRELD2	0.466
C8G	-1.853
CD82	-0.58925
LIM2	-1.155
UNQ6490	0.0525
MMP16	-0.483
DRD3	0.211333333333333
C5orf26	-0.19175
C11orf73	-0.195
PTP4A2	3.378375
OR4M2	0.749
HPCA	-1.4465
SEC14L1	-0.8645
CHFR	-0.388
EMILIN1	0.00725000000000001
NDUFS4	0.98625
COL18A1	-0.75775
PDZD3	0.3586
C9orf16	1.15648231731787e-18
ERBB2IP	0.552833333333333
EMX2	1.334
FUS	-1.1935
TF	-4.0759
CLCN4	-1.12083333333333
CXorf56	1.07925
C11orf72	0.255
ELAC2	-1.30658333333333
NPR1	-0.739
ASS1	-4.10216666666667
USP42	0.373625
POLR2J	-0.4255
SEC23IP	0.924833333333333
UQCRC1	-0.326
LOC729603	-0.723
C1orf71	1.02425
POLG	-1.806
ADAM23	-3.96475
TFR2	-1.228
RICTOR	0.1071
MGC39606	0.8715
C19orf55	-0.21725
SNAPC1	-1.82266666666667
GNA11	0.54625
CCDC52	0.907166666666667
FSIP1	4.9995
UPF3A	-1.229875
IGSF11	-2.64566666666667
LAGE3	0.43875
CHST6	-3.7605
UNC13B	-0.225
TTLL4	-1.698625
ZNF687	0.24475
SDC2	-1.8898
COX7A2	0.67275
LAMB4	-0.025
FAM24A	0.2625
LRRTM3	-1.34116666666667
GPHB5	-0.055
OR4C13	0.191
EIF3EIP	0.0743571428571428
HABP4	-2.787
TMEM125	4.45875
CNTN2	-0.362875
ASNSD1	-0.657
FUT4	-1.436625
ACF	-3.69725
LOC158381	0.666
CDH8	0.03575
AGPS	-1.93083333333333
C4orf18	5.958875
PECI	-0.666833333333333
UNG	-0.907375
GSTP1	-3.495375
DCUN1D5	-2.389
DKFZP564J0863	-1.14875
SLC9A3R1	2.6785
BCDO2	-1.43575
CHMP7	-1.0435
REM2	1.0715
DNHD1	-0.173375
FKBP4	0.838375
ZNF350	1.85475
MGC11102	0.19775
BST1	1.1165
KISS1R	0.8915
NCR2	0.581
DEFB125	-0.379
UBE2W	2.410875
KRT15	-1.625875
C10orf99	0.3355
SCN11A	0.084125
GFI1	-3.58975
RDHE2	3.84633333333333
FHL1	-2.66483333333333
OSGEP	-1.00916666666667
GATA1	-3.409
SMC6	-1.785
TTTY14	-1.4245
LPIN3	0.105
RPL4	-0.9385
RBPMS	-0.4829
PRPF3	-0.0453333333333333
EMR1	-2.5865
SPATA19	0.05925
XCR1	0.88
IRX3	1.6398
RBM6	-1.27925
KLF4	-1.9425
UNC5CL	-0.6185
SEBOX	0.136
BTK	-1.537
KRCC1	0.3815
C6orf27	0.765
SYTL5	-0.3045
PRND	2.538875
LOC653319	-0.8365
PIGL	-3.824875
HUS1	0.761833333333333
SFRS6	-0.477916666666667
C17orf77	0.337
UIMC1	-0.219
FXYD2	-1.8958
LOC283152	1.75875
ZNF667	-2.5315
ZCCHC12	-1.13425
TFEC	1.7746
ATP7B	-0.00366666666666667
POLD2	-0.5335
RG9MTD1	0.375
ACOT2	-0.6495
HIST1H4I	-0.317875
PPARGC1A	-2.7308
ETFA	-2.3923
POLRMT	-0.456
ZNF146	0.068
MIA2	-0.8145
KLHL6	-2.39633333333333
HOXB5	-1.509625
NENF	0.926833333333333
CUGBP1	0.38875
PRSS22	1.642
CASC4	1.7423
CUL4B	1.1074
CENPJ	-2.3411
PITX1	-0.578333333333333
FLJ31033	0.742
CELSR3	-2.17783333333333
ZNF568	0.88825
ITSN1	0.53125
EHBP1L1	-1.32483333333333
C19orf2	-0.43575
DCTN1	-0.518
LIN28B	-2.57783333333333
TNKS2	0.13425
C1QBP	-1.109625
CADPS2	2.24425
SRMS	0.5325
GJA9	0.707666666666667
MGC24975	-1.776
TRIM45	-0.145333333333333
TSP50	0.4855
TCP1	-1.19625
TMED7	1.1374
CMA1	0.307
CENPL	-0.723333333333333
PTCRA	-0.246
FST	-3.313
VWCE	-4.141
PAWR	-0.16275
ABCC12	1.0055
LDLR	-0.6226
ASTN2	1.2082
LOC441212	-0.783375
GPATCH8	-0.02375
TANC2	0.41575
KIF4A	-1.23375
C18orf18	0.24025
PGM1	-1.0465
KIAA0258	0.1255
CPD	2.564125
SNCAIP	-1.95825
DCT	-4.35783333333333
HLA-DOA	2.07504545454545
OR11L1	0.6185
UPK1B	-0.0908333333333333
DNAJB4	-0.52275
UGT1A8	-0.33125
HIST1H4L	0.091
PECR	-0.894833333333333
HSPA2	2.58175
WFIKKN1	-0.704
SERP1	2.686625
SYDE2	2.62075
TACR2	1.425
NUP85	-0.305
CD177	-0.947833333333333
LGR5	-2.19883333333333
PIGG	0.41975
PTHR1	-2.6705
RAB5A	-0.3636
FLJ13224	-0.3615
USP9Y	-2.0625
C7orf53	-1.26
LRP1B	-0.83525
XAF1	0.2646
ABCG8	-0.5165
ANKDD1A	-0.620333333333333
DAND5	-2.289
SPAG6	0.142
LINCR	-0.16925
ZDHHC22	-1.223875
CCDC60	0.4985
THOC7	-0.200166666666667
TCTA	1.4507
OR8K3	0.215
NY-REN-7	-0.90275
B2M	1.1245
C6orf141	1.35975
LPPR4	0.3825
SQLE	-0.00599999999999999
SEPHS1	-0.66725
BTBD14B	0.489285714285714
PLRG1	-0.8345
SPG7	-0.8063125
ZNF614	-0.1015
PARD6G	0.244666666666667
INPP5B	-0.8501
GRPEL2	0.6095
PPID	-1.1515
TRIM56	-0.51075
UBE2J1	-0.328625
IL20RA	4.14
LOC387856	0.79975
C1orf107	0.712333333333333
UTS2R	0.729
C19orf22	-0.212
SAFB2	0.53625
KIAA0652	0.24325
KLRG1	-1.1345
MS4A8B	3.87966666666667
FRAG1	0.309
KIAA1546	-0.0575
E2F4	-1.2195
CLEC4M	0.219166666666667
BTBD14A	-0.91375
KIAA0999	1.5548
GYPA	-4.30933333333333
TAC1	0.5029
TRAIP	-1.45533333333333
KIAA0232	1.2555
ERCC8	-0.203875
GPX4	1.26075
KIAA0368	-0.892
GPR157	-0.202
CTAGE4	1.0565
C9orf30	-2.35583333333333
OR52A1	0.304
HSP90B3P	-0.0415
ALG9	-1.0602
BTBD10	0.23525
SDK2	0.096
BAIAP3	1.877
RABGGTB	0.507125
ANKRD40	0.687166666666667
KRT74	-0.301
CALCOCO2	0.839071428571429
SNCA	-3.80425
TMSL8	-2.034875
C2orf53	0.1335
ESRRB	-0.5565
ARHGAP26	-1.8595
TDRD9	0.92725
HRAS	0.519666666666667
KLRC4	-2.21
JAGN1	-0.5755
BSDC1	1.0365
RNF43	-1.5207
NDUFAF1	0.64975
PHF12	0.50675
OR1L3	0.58775
FOLR2	2.07683333333333
LYZL6	0.273166666666667
tcag7.1260	-2.744
WSB1	-1.34516666666667
PROS1	-1.7616
OSTN	0.478
PSMB8	0.446
SOCS4	-0.15775
DDIT4L	-0.15625
MAS1	0.375
MGC34796	1.8265
CSHL1	0.277833333333333
