Hybridization REF	TCGA-AO-A03O-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.17175
CREB3L1	1.162
RPS11	0.582875
PNMA1	1.00275
MMP2	-0.249833333333333
C10orf90	-2.01375
ZHX3	0.317833333333333
ERCC5	-0.61975
GPR98	-2.108375
RXFP3	0.6565
APBB2	2.8235
PRO0478	-1.012625
KLHL13	-3.3975
PRSSL1	0.4105
PDCL3	0.6645
DECR1	1.2205
SALL1	-0.575833333333333
CADM4	0.181166666666667
RPS18	-0.358714285714286
HNRPD	-0.439583333333333
CFHR5	0.94
SLC10A7	0.1705
OR2K2	-0.2715
LMAN1	-0.63425
SUHW1	-3.1895
CHD8	0.317
SUMO1	0.5873
GP1BA	1.1315
DDB1	-0.366666666666667
MYO9B	-0.0664
MMP7	6.43375
CRNKL1	0.471
C9orf45	-1.08516666666667
XAB2	0.719875
RTN1	2.25125
KLHL14	-0.442
TBX10	-1.4795
CENPQ	-0.7595
UTY	-1.06735714285714
ZBTB12	0.9665
DTNBP1	-0.226375
KBTBD8	-1.478
ZEB1	-0.111666666666667
ZG16	-1.79025
MIER1	0.6188
ADAM5P	0.775
CHD9	-0.4155
STK16	1.13775
KIAA1486	-0.402
TOB2	0.920083333333333
BANK1	2.67475
OR2V2	0.429
GRM2	-0.047
PROSC	0.60575
SPIN2B	0.18175
PIR	-1.99322222222222
IPO9	-0.1024
EVC	-0.553333333333333
CXCL13	6.85516666666667
KIAA1199	-2.0234
SORL1	-0.952
NAT10	0.30125
CHD1	-1.02475
SYN3	-0.50275
SLC22A2	-0.50225
SERPINF1	-0.313
WDR34	0.7885
OR7A17	0.2535
C9orf11	-0.7795
RNF216L	-0.3035
LHB	-0.0455
STK25	0.00525
TAOK3	-0.236125
LOC152573	-2.599
C3orf39	0.763375
C14orf108	0.4047
CDC25B	-1.06509090909091
BMP3	0.186
TMEM180	0.351
MAP1LC3C	-0.05075
CRYGC	-0.836
POU3F1	-0.5785
C20orf32	-1.767
CCDC95	-0.239
HIGD1B	2.96125
USP6NL	0.35125
ABCD4	-0.253333333333333
DIMT1L	-0.7105
TEK	0.463125
SLC25A46	-1.02225
LARP7	-1.6044
CD160	0.661666666666667
MT1JP	-0.314166666666667
PHF20	0.4750625
CPNE4	-2.2285
GTPBP1	0.174
RAB33B	0.800666666666667
ALDOC	-0.857375
ZNF212	-0.35325
NUDT1	-0.871
RFPL2	0.912
ZNF83	0.365333333333333
GDPD5	-0.98
PDCD4	1.8503
CEP350	0.04
OR10A2	0.26475
CST7	1.5255
CIAO1	-0.214
SELL	2.004125
OR8J3	0.444
LTBP4	0.139666666666667
SIRT6	0.06375
CCL19	4.74325
PPIL1	-0.6575
GBP7	0.4635
STK17A	-0.9474
ABR	-0.56625
OR9G1	0.3975
FOXE1	-0.71825
CNGA3	-0.475
GML	0.315
CD38	0.67675
ZDHHC6	0.0885
NEFH	-3.2455
CTDSP2	1.79991666666667
PGBD5	-2.01033333333333
CCNY	0.642428571428571
RMND5B	0.896833333333333
ZNF257	0.5455
FLJ22167	-1.02075
EXOSC7	-1.00833333333333
ROR2	1.8855
MAOA	-1.2705
TNNT3	0.512666666666667
GYPC	-1.66225
C7orf33	0.3085
PLIN	2.89433333333333
LOC90826	0.00125
RNF4	0.0649
F8A1	-0.189333333333333
PLEKHG4	-2.54025
GRB2	2.31675
HIST1H2AD	0.71075
DUS3L	-0.771333333333333
EIF1	-0.373333333333333
RP5-1077B9.4	-0.459166666666667
FPGT	1.52175
GDF10	-1.83033333333333
COQ9	0.76775
GCC2	-0.466285714285714
RARRES3	3.3985
PLXNA1	-0.4456
KIAA0100	0.0378
PMF1	0.0725
FNDC1	5.60625
HS2ST1	0.0209166666666667
CRELD2	0.523
C8G	-1.988
CD82	0.98425
LIM2	-0.416
UNQ6490	0.581
MMP16	-0.3905
DRD3	0.0425
C5orf26	-1.48125
C11orf73	-0.25125
PTP4A2	0.9525
OR4M2	1.104
HPCA	-0.332666666666667
SEC14L1	-0.956833333333333
CHFR	-0.343
EMILIN1	0.033375
NDUFS4	-0.42625
COL18A1	-1.23825
PDZD3	-0.1408
C9orf16	0.256333333333333
ERBB2IP	0.102166666666667
EMX2	2.2945
FUS	-0.6185
TF	-3.9606
CLCN4	-0.754666666666667
CXorf56	0.632
C11orf72	0.51475
ELAC2	-0.323583333333333
NPR1	-1.03925
ASS1	-1.27383333333333
USP42	0.256375
POLR2J	-1.64
SEC23IP	0.902833333333333
UQCRC1	-0.0395
LOC729603	-0.43
C1orf71	0.278125
POLG	-1.182
ADAM23	-3.951
TFR2	-1.426
RICTOR	-1.85044444444444
MGC39606	-0.3435
C19orf55	0.358
SNAPC1	-1.19566666666667
GNA11	0.88425
CCDC52	0.155333333333333
FSIP1	0.504
UPF3A	-0.269875
IGSF11	-3.1425
LAGE3	2.478
CHST6	-4.103
UNC13B	-0.328625
TTLL4	-0.132875
ZNF687	0.40925
SDC2	-1.5255
COX7A2	-0.207
LAMB4	0.32325
FAM24A	-0.002
LRRTM3	-1.37633333333333
GPHB5	1.19275
OR4C13	-0.6735
EIF3EIP	-0.094
HABP4	-1.969
TMEM125	3.25
CNTN2	-0.050125
ASNSD1	-0.5895
FUT4	0.010875
ACF	-3.692
LOC158381	0.7995
CDH8	-0.36475
AGPS	-1.24883333333333
C4orf18	0.903875
PECI	0.2705
UNG	-0.64025
GSTP1	-2.733875
DCUN1D5	-2.22316666666667
DKFZP564J0863	-1.47375
SLC9A3R1	1.814
BCDO2	-1.458
CHMP7	-0.5585
REM2	0.852
DNHD1	-0.320375
FKBP4	1.277375
ZNF350	2.4455
MGC11102	0.10025
BST1	0.76425
KISS1R	0.955
NCR2	0.11
DEFB125	0.058
UBE2W	1.66675
KRT15	-1.0795
C10orf99	0.6025
SCN11A	2.76675
GFI1	-1.837
RDHE2	-1.65916666666667
FHL1	-1.66283333333333
OSGEP	0.265833333333333
GATA1	-3.20583333333333
SMC6	-1.142
TTTY14	-1.072
LPIN3	0.0815
RPL4	-0.378
RBPMS	-0.2397
PRPF3	-0.2355
EMR1	-2.326
SPATA19	0.3555
XCR1	0.5145
IRX3	1.7614
RBM6	-0.6715
KLF4	-0.4215
UNC5CL	-0.9425
SEBOX	0.4905
BTK	-0.7205
KRCC1	-0.42975
C6orf27	0.6095
SYTL5	-1.058
PRND	0.763714285714286
LOC653319	-1.4975
PIGL	-1.20825
HUS1	-0.600333333333333
SFRS6	0.579333333333333
C17orf77	0.7815
UIMC1	-0.562666666666667
FXYD2	-1.7881
LOC283152	0.07025
ZNF667	-2.233
ZCCHC12	-0.238
TFEC	4.0148
ATP7B	-0.104666666666667
POLD2	-0.348666666666667
RG9MTD1	1.11775
ACOT2	2.04666666666667
HIST1H4I	-0.45625
PPARGC1A	-2.864
ETFA	-2.7759
POLRMT	-0.3625
ZNF146	1.05675
MIA2	-3.3945
KLHL6	-0.248333333333333
HOXB5	-1.22975
NENF	0.495833333333333
CUGBP1	-0.0875
PRSS22	1.4695
CASC4	1.0898
CUL4B	0.492
CENPJ	-2.2801
PITX1	3.3545
FLJ31033	2.57183333333333
CELSR3	-2.66266666666667
ZNF568	0.9295
ITSN1	0.145583333333333
EHBP1L1	-0.589833333333333
C19orf2	0.729
DCTN1	1.06825
LIN28B	-3.3575
TNKS2	-0.1075
C1QBP	-0.424375
CADPS2	-0.07775
SRMS	0.1635
GJA9	0.136166666666667
MGC24975	-0.445166666666667
TRIM45	-1.57616666666667
TSP50	0.43825
TCP1	-0.02125
TMED7	-0.11
CMA1	0.7505
CENPL	0.109166666666667
PTCRA	0.5245
FST	-4.2905
VWCE	-4.011
PAWR	-0.8675
ABCC12	0.373166666666667
LDLR	0.609
ASTN2	0.1945
LOC441212	-1.194375
GPATCH8	-0.0975
TANC2	-0.731416666666667
KIF4A	-0.8345
C18orf18	-1.94125
PGM1	-1.93625
KIAA0258	1.22775
CPD	0.436
SNCAIP	-2.00675
DCT	-4.06233333333333
HLA-DOA	3.27866666666667
OR11L1	0.5885
UPK1B	-0.452833333333333
DNAJB4	-0.40375
UGT1A8	-0.3795
HIST1H4L	-1.24
PECR	-1.24266666666667
HSPA2	1.06525
WFIKKN1	-1.0005
SERP1	1.401
SYDE2	2.153
TACR2	0.692
NUP85	-0.347
CD177	-0.130166666666667
LGR5	-1.93983333333333
PIGG	-0.199916666666667
PTHR1	-1.966
RAB5A	0.0278
FLJ13224	0.3145
USP9Y	-1.6012
C7orf53	-2.889
LRP1B	-0.95
XAF1	4.592
ABCG8	-0.4355
ANKDD1A	-0.627166666666667
DAND5	-1.352
SPAG6	0.152
LINCR	1.7255
ZDHHC22	-1.599
CCDC60	1.443
THOC7	-1.843
TCTA	0.1922
OR8K3	0.0345
NY-REN-7	-0.52675
B2M	2.10283333333333
C6orf141	2.094875
LPPR4	1.323
SQLE	0.751125
SEPHS1	0.12575
BTBD14B	0.601214285714286
PLRG1	0.17225
SPG7	-0.3514375
ZNF614	0.952833333333333
PARD6G	0.170666666666667
INPP5B	-0.2724
GRPEL2	0.199375
PPID	-0.3459
TRIM56	-0.89625
UBE2J1	-0.781125
IL20RA	4.68
LOC387856	-0.3475
C1orf107	0.8785
UTS2R	1.03675
C19orf22	0.19825
SAFB2	0.11875
KIAA0652	0.43625
KLRG1	-0.802
MS4A8B	1.56783333333333
FRAG1	0.71275
KIAA1546	0.0735
E2F4	-1.0934
CLEC4M	0.1305
BTBD14A	-1.98525
KIAA0999	-0.3184
GYPA	-3.83583333333333
TAC1	-0.3982
TRAIP	-0.765333333333333
KIAA0232	0.5583
ERCC8	-1.220875
GPX4	0.97575
KIAA0368	-0.67425
GPR157	-0.0941666666666667
CTAGE4	0.293
C9orf30	-1.858
OR52A1	-0.094
HSP90B3P	-0.3595
ALG9	-1.3503
BTBD10	0.25425
SDK2	0.58825
BAIAP3	2.401
RABGGTB	0.028625
ANKRD40	0.076
KRT74	0.1475
CALCOCO2	0.320642857142857
SNCA	-3.686
TMSL8	-2.0505
C2orf53	0.6515
ESRRB	-0.024
ARHGAP26	-1.140875
TDRD9	-1.17575
HRAS	-0.338166666666667
KLRC4	-2.302
JAGN1	-0.0731666666666667
BSDC1	0.378
RNF43	-0.0608
NDUFAF1	0.17525
PHF12	0.1895
OR1L3	0.452
FOLR2	2.56433333333333
LYZL6	0.176333333333333
tcag7.1260	-2.135
WSB1	-1.77533333333333
PROS1	-2.3291
OSTN	0.624
PSMB8	1.63825
SOCS4	0.37375
DDIT4L	1.14625
MAS1	-0.255
MGC34796	0.3085
CSHL1	0.184
TBCCD1	0.147
ZBTB7C	0.6395
AP2S1	0.814625
P15RS	0.0887
VAT1	-0.6824
SHANK3	0.518666666666667
TUFM	0.115333333333333
THEG	-0.39025
KRT34	-3.363
SGSM3	0.60275
TOMM22	0.129
SOCS3	0.213
CPO	0.7885
POP4	1.25575
BHLHB3	-0.29375
MALL	0.60225
OR1B1	0.43
PARK2	-0.00466666666666667
GPR124	-0.186375
LCE1E	1.0695
RUVBL2	0.095
CGRRF1	0.331
ACPL2	0.5055
WNT10B	-1.910125
BAIAP2L2	-2.356625
ISCA1	0.0885
C1orf125	3.734125
RPAP1	-1.402
RAI16	-0.753
RPL27	-0.940875
NLRP9	0.003
EPN1	0.438
LOC388610	0.091125
SLC35A1	0.975
GAL	-3.68525
SLC14A2	0.534
RDH11	0.0258333333333333
FAM138F	0.1405
AUH	-0.57625
FLJ40243	0.8875
C14orf129	0.593333333333333
MBD2	0.0505
ABHD14B	0.529375
PIGT	0.7865
ALS2CR4	-0.564
ALAS1	0.5299
FOXO1	1.19366666666667
CRLF3	-0.442
C20orf107	0.3875
FARS2	0.99675
CCDC28A	0.1045
NPHP3	-0.463
OR13F1	0.2975
TSEN54	-0.41925
DEFB106B	-0.2522
OR8B4	0.823
STH	1.566
ZC3H14	-0.585625
CBX2	-0.4985
TMEM49	-1.4585
C6orf21	0.7185
FLJ20920	0.4635
CRTAP	0.0347857142857143
DDX50	-0.12825
STYXL1	-0.31825
BLVRB	0.7485
LOC147650	-0.0516666666666667
MMP24	0.65725
GRID1	1.04933333333333
BANF1	0.0521666666666667
CTAGEP	0.00424999999999998
HMBS	-2.03275
SLC25A24	0.0375
C14orf50	-0.613
MRO	0.705333333333333
SLC25A15	-0.90125
FAM84B	2.9838
TDP1	-0.099
C16orf78	0.282166666666667
C11orf57	-1.5395
RFK	-1.264125
ZFYVE9	0.504
STCH	-1.07
WIBG	1.0185
LOC283871	0.0605
GBA2	-0.0556
NDUFB3	-0.268
HSD17B13	-1.02325
GRIN3A	1.84433333333333
FMNL1	-0.4615
SEPT7	-0.6992
GNLY	4.111
GRAMD1C	-1.097
ZNF165	0.34475
USP38	0.59625
FAM83A	-3.47433333333333
C14orf24	0.491083333333333
ARMCX3	1.175375
ARHGDIB	-0.270666666666667
AK1	0.1635
KIAA1045	-0.195
DNAJB13	0.160166666666667
NEU2	0.5435
HIST1H4B	0.491666666666667
FAM20B	0.3726
HES2	0.313928571428571
FAM73B	-0.4984
LOC388381	-0.113
INTS7	-0.237090909090909
AMPH	0.367
ZNF775	0.256
UCKL1	0.404666666666667
C10orf97	-0.86925
C1orf161	-0.2975
ALDH1L1	-1.80975
FLJ39378	-0.468125
SLC23A1	-0.2775
RBM4B	-0.30075
THAP4	0.1835
OGFRL1	0.35725
KIAA0831	0.378125
PPP1R15A	-0.952
C1orf96	1.79221428571429
C12orf11	-2.1715
BMF	0.817875
MAN1A1	-1.047625
KIAA1600	0.769333333333333
NLGN4X	-2.02525
ALOX12	-1.28633333333333
RB1CC1	0.7583
NEIL2	-0.8515
EIF4E	0.0911818181818182
ABHD5	-0.108
EXOC4	-0.471333333333333
CIP29	0.664833333333333
BATF2	3.43175
SLC29A4	-0.511
HTR4	0.40225
EMB	-1.2905
TRAF6	0.49925
LMNB1	-1.0395
FAM19A5	-1.65775
SHE	1.16025
PIK3C2B	0.59925
C15orf15	-0.7565
USP15	-0.0213
TCEAL2	-0.28375
C5orf39	-1.5135
PTGER2	-1.11225
SLC31A1	-0.9965
IFT172	0.31775
ADAM29	0.07175
GFOD1	-0.184
ST7L	0.169833333333333
C15orf26	-1.847
PKN3	-1.762
CNTD1	2.94383333333333
COMMD1	-0.148375
NTRK2	1.64541666666667
FOXN3	0.59625
MFGE8	-1.2758
PFKFB2	1.11683333333333
TAS2R4	-0.0625
ENTHD1	0.646
PRMT5	0.057625
MGC16384	-1.469
LOC442229	0.49225
TSKU	1.667
KRTCAP3	0.671125
PDLIM1	0.3844
KCNS2	0.45125
RNF126	-0.446833333333333
CEP63	0.1435
CLIC4	-0.310875
hCG_1990170	-0.72925
ACR	0.3866
KLK7	-0.47525
ALOX5AP	2.4845
RIPK3	3.0695
TAS2R9	0.4855
C19orf18	0.929
BIRC6	0.00414285714285714
ZNF16	2.4995
RFT1	-0.708
SLC8A2	-0.2745
TACC1	-0.792
ITGAD	2.11875
SAMHD1	2.534
SH3PXD2B	0.4156
EPC2	0.18825
C20orf85	5.776
ATP13A2	0.8895
KRT4	0.62025
CAPNS1	0.89875
MDM2	-0.1885
PCDH20	1.8015
KCNK9	0.7565
OR2C1	0.723
KLHDC3	0.0511666666666667
IPPK	0.0705
EFHD2	-0.546
GALR3	0.8985
NBEA	-1.369
ABCA6	2.0399
CLDN3	0.0126666666666666
AKT2	0.597642857142857
EGFR	-3.4902
RBM16	0.420375
ZDHHC3	-0.5644
SLC25A4	0.367166666666667
CYB5B	-1.46666666666667
CPXM1	-0.04225
NDRG1	-0.752615384615385
FLJ43826	0.04225
OR5L2	0.0226666666666667
FARP2	0.5325
MRPL46	-0.503083333333333
LDHAL6B	-0.0726666666666666
MAPKAPK3	0.1565
NCAM2	-2.01675
PRKD2	1.78183333333333
ZFP36L1	0.9808
CYSLTR1	-0.51825
OR4C3	0.72575
HIST1H2AJ	2.3845
CCNB2	-1.35755555555556
ZNF10	-0.206375
TMEM175	0.5375
FAM134A	1.2755
TIGD4	-0.673
PCNP	-0.09075
MGC39715	0.05575
LQK1	-2.5785
CREB1	0.9687
TMPRSS3	-1.401
C4orf32	0.661125
LAT	-0.983
KCNA3	-0.257
SKIV2L2	-0.7395
ROPN1B	-3.29975
tcag7.23	-0.3155
CDT1	-2.14875
ZHX2	1.295375
CD28	-2.52025
ZNF624	0.623
SEPT2	0.192916666666667
SOHLH2	-2.2995
MCOLN3	-1.3785
UNQ1945	0.9495
MASP2	-1.26
ZNRF3	0.7743
GPATCH3	0.34325
AGL	0.854625
QRICH2	0.085
PSD4	0.661166666666667
CCNB1IP1	-1.73475
ENPP7	0.043
OBFC1	0.77075
KCNG3	-1.74025
C14orf79	1.41483333333333
ENPEP	0.970333333333333
SCT	1.644
SKI	0.785875
SEC61G	-1.561
CAPN11	-0.22675
ATXN7L3	0.36625
DBNDD1	-0.300166666666667
FAIM	-0.10225
ANKRD36	-0.5085
GABRP	0.116
TACSTD2	0.376666666666667
EIF3J	-0.37175
PPP2R2A	-1.2825
TEKT4	0.00433333333333336
PVALB	-3.73783333333333
F10	-2.631
FAM134C	1.2171
COMP	4.027625
EFCBP1	-3.61833333333333
SCLT1	0.666875
TAL1	-1.6944
ACSL1	1.9645
ABCC5	1.01391666666667
ABL1	-0.418833333333333
RBBP7	0.932583333333333
PTPRG	-2.048125
NCOR1	0.1336
SPINK4	1.61033333333333
TXNRD1	-0.9818
TNRC15	0.8955
C9orf138	0.87275
UBE2H	0.751
BRDT	0.722666666666667
C8orf31	0.07375
CCNE2	-0.138
SLC6A8	-0.94025
CALCR	-4.3265
PPP1CB	0.0678333333333333
ABHD8	0.59525
ARF5	0.6683
SLC24A4	0.694
CCT3	0.84
ZNF121	0.8
SLC3A2	-0.7288
OR13A1	0.518
SLC5A10	0.74025
RAD50	-0.14
IER5	-0.43725
MTHFD1L	-2.89675
MBTPS2	0.537
MVK	-0.028375
NCL	-0.0168
PSMD10	0.30875
MOBP	0.42375
FLJ32894	-0.4735
HRH1	-1.603
C5orf30	0.899
NUDT16L1	1.2889
RASGRP3	3.42683333333333
PRKRIP1	-1.0334
CCDC75	-0.309
LOC253970	-0.0465
KIAA1239	-0.8645
MED21	-0.524
SYT11	0.273916666666667
NTSR2	-0.454
EGFL11	-0.7845
CXorf59	0.1415
OR2A25	0.331
SPTBN2	-1.08025
LRMP	-1.288
RNF111	0.05225
PTH	-0.1295
LOC619208	0.392166666666667
KIAA0895	0.8775
RANBP5	-1.131875
P2RY10	1.897
NME5	4.17983333333333
DDX21	-0.689
LRSAM1	1.499
HDAC11	2.9355
VMO1	1.768
NOLA2	0.443833333333333
ADAR	2.29941666666667
MTO1	-0.796333333333333
SF4	0.305833333333333
P2RX1	0.0931666666666667
HBM	0.02375
EN2	1.1055
C14orf172	0.421
TM9SF2	-0.5955
INHBE	-1.36183333333333
TCTE3	-0.197666666666667
TOX2	-2.073
CTAGE3	0.36975
HBB	3.6262
MED15	-0.477833333333333
CASR	0.055
C6orf66	-0.558833333333333
MTPN	-0.878
UNC50	0.575
C21orf33	0.730625
IRF2	1.07475
PGR	1.67683333333333
GPR84	2.131
CROCCL1	-2.36275
SRPX	-2.949
BRE	0.326
FGF10	0.429
SDC3	-0.103666666666667
ZRSR1	0.279666666666667
DKFZP434P211	-0.294625
SOX6	0.663
RPUSD2	0.268
C14orf173	0.26375
MAPK11	-1.04816666666667
TBC1D22A	0.981
FAM123A	-1.055
COL4A6	-3.276
TOMM70A	1.21725
NAB1	-1.962375
MGC16385	-0.280375
TSPAN18	-0.562
MED31	-0.44125
PLG	-0.309
CAPSL	4.2635
ZNF532	-0.5579
ASB14	0.22
CA8	-0.06
NUDT16P	-0.266833333333333
SLFN11	-1.5975
LRRIQ2	1.453875
NOL7	-0.403166666666667
BRMS1L	-0.498625
JARID1A	0.773
PANK2	-0.85275
ICAM3	-0.121
MDS1	-0.65525
TAF8	-0.45575
RNF139	1.5255
ZNF594	0.266333333333333
ADAM8	1.18525
SFTPC	-0.345625
MAN2B2	1.025125
RGS12	0.782125
EIF1AY	-4.7395
LRRIQ1	-0.556666666666667
GPR150	0.9595
CCDC21	-0.064
PRRG3	0.35325
SAA4	-4.13225
RAPGEF5	2.07575
ZCCHC2	1.44425
MGC39372	0.8075
PPP4R2	-0.306166666666667
CDCA2	-2.151
OR4D5	0.544166666666667
PTGFRN	0.3684
SIGLEC5	2.068
C19orf61	-0.222166666666667
NMUR2	0.5315
KIAA1586	-1.3625
DAGLA	0.265833333333333
CHCHD6	0.0295
GPR32	0.7915
NEUROD6	0.1566
SLC2A4RG	1.081375
CA5B	-0.1105
FBXL3	0.34975
MPHOSPH9	-1.04925
HMG2L1	0.43625
HCN4	0.414333333333333
CEACAM19	0.557
SH2D4B	0.665666666666667
HFE2	-0.934
TGM4	-0.3046
LYPD2	0.419
TBC1D15	0.452
MRPS21	0.6321
NONO	-0.3076
CLEC5A	0.907875
ITCH	-0.1187
MGAT3	-1.283
MBP	0.103
RPP25	0.14025
SOSTDC1	-2.84275
HRC	-1.81125
TRIM48	0.4655
TMEM133	-1.01025
ECEL1P2	-1.45225
HOXC11	1.5235
DOK5	-1.51575
HELZ	0.0765
LOC348180	-0.49225
MGC33894	0.47025
ADRB3	0.015
DMD	-0.709333333333333
PTRH2	-1.0885
MPEG1	3.77666666666667
NDUFA12	-0.523333333333333
KRTAP2-4	-0.0695833333333333
STAMBPL1	-1.11166666666667
ADCY2	-0.580666666666667
UNQ6125	0.368
KLHL20	0.2315
SRM	0.65425
OTC	-0.07325
TMIE	0.0913333333333334
SNX8	-0.9025
LIPK	-0.7965
CHURC1	1.15216666666667
KLC2	0.5
HDAC1	-0.094
FAM128A	0.254666666666667
FNDC3B	-0.9745
MTCP1	-0.125166666666667
WFDC10B	0.0315
PCDHGB3	-1.091
ATRNL1	-2.1872
CAV2	-1.51875
MED26	0.372333333333333
DUS1L	0.33
CHRM3	-0.95375
NEK9	1.04125
WARS2	-0.71825
TBX22	-0.3185
TOMM40	-0.514
RP6-213H19.1	-0.87
TUBGCP5	-0.23425
IGSF6	5.593
TPPP	0.4382
UNQ6190	0.278
GSTM5	0.406125
BTD	0.382333333333333
PDCD1LG2	1.38433333333333
SNRPB2	-0.561333333333333
ERICH1	-0.945
APOA4	-1.647
HOXA11	-1.96175
NARG1	-0.03325
MKX	-0.8635
RAB28	-0.535071428571429
PKP3	1.0725
SH3GL2	-2.396
CTSO	2.02475
RPN2	0.222
IL28RA	0.852333333333333
SFMBT1	0.319
WDR57	-0.40025
FER1L3	0.134916666666667
HSF5	0.0665
TTC9B	0.22575
C4BPA	-4.40433333333333
ALB	-4.34835714285714
SORBS3	-0.562375
UPF2	0.561
JPH1	-0.496
AGBL2	-0.19725
DOPEY1	2.261
TERF1	0.617416666666667
KIF22	-0.137833333333333
NINJ1	0.92075
SEC61A2	0.0834166666666667
HIST1H1D	-0.338833333333333
SFXN4	0.0725
UCP3	0.4314
ZNF703	1.36583333333333
MYL6B	-0.68325
TREM1	1.0035
OR52E6	0.7975
CKMT2	-0.039
HLA-C	2.989625
SLC13A3	-1.45883333333333
TIMP4	-2.455
SLIT2	1.00475
RSF1	-0.314722222222222
LONRF1	-1.87792857142857
MON1A	-0.306
CACNG6	-1.725
DPPA4	-5.02583333333333
ZSWIM3	1.3045
ZNF804A	0.8105
CCIN	0.76725
SLC25A31	-1.00425
KCNMB4	-1.75475
RABL5	-0.117375
GALNS	-0.0457
STX6	1.27025
HIST1H1C	-1.05116666666667
CIDEB	-1.216125
CASP4	-0.840666666666667
PDK3	0.2368
KCNJ11	2.392
TPR	-0.0925
ZSCAN20	-0.2115
MTX2	-0.03275
HIST1H2BH	0.42075
LOC283767	0.14225
LYRM7	-1.07066666666667
BRD3	0.607
HIST1H2BO	0.0355
MAGEB10	0.31
SLC45A1	0.705
SERPINA3	2.0755
KIAA0143	1.7655
KCNJ16	-0.505833333333333
KRT79	-0.36325
FABP2	-1.057
NUT	-0.366
ZNF57	0.74725
FBXL4	1.1875
CLEC9A	0.638
UGT8	-2.036
BMP2K	0.039
MAPK4	-3.86825
SLC25A23	-0.1715
HINT1	-0.186
KRTAP13-1	-0.233
SFXN5	-0.5235
CHCHD2	-0.00383333333333333
FAM3D	1.006
NDP	-3.298125
RHOBTB1	-0.714166666666667
SLC4A4	-2.302
RPL38	-0.5835
HTF9C	0.351166666666667
AP2A2	0.520875
ZBTB46	-0.0185
MAP7D1	0.420625
AOX1	-1.05583333333333
CYR61	-0.0325
DTNA	-2.04492857142857
JRKL	-1.4885
TMOD3	-0.785
EEA1	-0.0856
ADCK5	0.816
IL1R1	0.0555
KLK3	0.375142857142857
HRSP12	1.0725
KTN1	0.12575
LOH11CR2A	-1.0433
RELL2	-1.42325
MAB21L1	0.5005
C20orf59	-1.2895
PHKB	0.36475
ADAM2	-2.90166666666667
TBC1D8B	1.01333333333333
FAM13A1	-1.3275625
LAPTM4B	1.5515
LCN8	0.306
TMEM147	1.5285
SYT4	0.4555
XPO7	-1.2665
C9orf62	1.1265
GPR75	-0.7175
TRIM5	0.03
APOC1	0.3575
RNASE4	2.1235
PARD6B	-0.17975
ARID1A	0.662333333333333
TPD52L3	0.239
RRAGB	1.83233333333333
RCN2	-0.738833333333333
HIST2H2BE	1.362
STARD7	0.51575
SHMT2	0.3925
KIAA1751	0.48
MLYCD	-0.066375
LOC162632	-0.9923
UQCRH	-1.22675
RP11-217H1.1	0.855
SDHA	-0.445333333333333
NCLN	-0.1737
ZNF17	-0.054
RCBTB2	-2.827
VEGFB	-0.7964
RP4-747L4.3	0.1025
COLQ	0.2591
MPN2	-0.402666666666667
DRG2	0.1045
KLRB1	5.3415
ALPK2	-2.055
DNASE2B	2.014
FLJ23834	-0.308666666666667
AXUD1	0.954166666666667
SAFB	0.0421
NSUN4	-0.14075
RFX2	1.11833333333333
MAPK8IP1	-0.5195
FANCD2	-0.717785714285714
ANKZF1	-1.0215
C19orf50	-1.05225
DUSP8	0.29125
SENP5	0.149625
NFKBIL2	0.76125
LBR	-0.24075
IGFL1	-0.4275
LZTS2	0.793375
IL2RG	0.572625
CCDC51	0.2725
KLF3	0.51525
ANKRD37	-0.81375
KCTD14	-2.21083333333333
FZR1	0.261416666666667
SLC44A4	0.1034
ESPL1	-0.318125
GMPR2	-0.1251
TBC1D19	-0.822333333333333
ERGIC1	1.31062962962963
ERBB4	0.7551
