Hybridization REF	TCGA-BH-A0W7-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.20125
CREB3L1	1.87925
RPS11	0.432375
PNMA1	1.23725
MMP2	1.177
C10orf90	-1.91175
ZHX3	-0.590666666666667
ERCC5	-0.24475
GPR98	0.0145
RXFP3	0.1405
APBB2	1.79375
PRO0478	-1.218875
KLHL13	0.127
PRSSL1	-0.2605
PDCL3	0.585666666666667
DECR1	0.455875
SALL1	-2.4265
CADM4	0.137
RPS18	0.516214285714286
HNRPD	-0.211
CFHR5	0.0135
SLC10A7	0.566875
OR2K2	-0.579
LMAN1	-0.205
SUHW1	-3.13375
CHD8	0.4758
SUMO1	0.0602
GP1BA	1.726
DDB1	-0.178666666666667
MYO9B	-0.3877
MMP7	6.21225
CRNKL1	1.31175
C9orf45	-1.66183333333333
XAB2	0.30075
RTN1	2.585625
KLHL14	-0.96375
TBX10	0.6995
CENPQ	-1.40825
UTY	-1.09021428571429
ZBTB12	-0.326
DTNBP1	-0.38175
KBTBD8	-0.103333333333333
ZEB1	1.56733333333333
ZG16	-0.2745
MIER1	0.8242
ADAM5P	-0.0235
CHD9	-0.267125
STK16	-0.82475
KIAA1486	-0.207
TOB2	0.34325
BANK1	4.8995
OR2V2	0.29825
GRM2	0.135666666666667
PROSC	0.1775
SPIN2B	-0.24225
PIR	-1.64511111111111
IPO9	-0.7415
EVC	1.30616666666667
CXCL13	6.0945
KIAA1199	-1.5008
SORL1	1.68025
NAT10	-1.2445
CHD1	0.19575
SYN3	-0.0295
SLC22A2	0.066
SERPINF1	0.860833333333333
WDR34	-0.16275
OR7A17	0.398
C9orf11	-0.091
RNF216L	-0.0407
LHB	-0.251
STK25	-1.33
TAOK3	1.1065
LOC152573	-2.64175
C3orf39	0.463875
C14orf108	1.0375
CDC25B	-1.73136363636364
BMP3	0.0765
TMEM180	0.1375
MAP1LC3C	0.18025
CRYGC	-0.5525
POU3F1	-1.1848
C20orf32	-1.4275
CCDC95	-0.4455
HIGD1B	3.57975
USP6NL	0.527625
ABCD4	-0.2155
DIMT1L	-0.339833333333333
TEK	1.363625
SLC25A46	-0.00375
LARP7	-0.7598
CD160	0.986
MT1JP	-0.552333333333333
PHF20	0.1525625
CPNE4	-1.6915
GTPBP1	-0.493357142857143
RAB33B	1.6075
ALDOC	-2.90325
ZNF212	-0.90675
NUDT1	-0.353666666666667
RFPL2	-0.65575
ZNF83	0.3545
GDPD5	-1.074
PDCD4	1.1539
CEP350	0.4915
OR10A2	0.3205
CST7	2.32775
CIAO1	-1.0085
SELL	2.52225
OR8J3	0.0235
LTBP4	-0.190833333333333
SIRT6	-0.42275
CCL19	4.457
PPIL1	0.274833333333333
GBP7	1.3735
STK17A	-0.0281
ABR	-0.16775
OR9G1	0.12
FOXE1	-0.489125
CNGA3	0.684
GML	0.3355
CD38	0.01025
ZDHHC6	0.0296666666666667
NEFH	-0.52925
CTDSP2	0.22125
PGBD5	-1.19933333333333
CCNY	-0.0778571428571428
RMND5B	0.465916666666667
ZNF257	0.19275
FLJ22167	0.412875
EXOSC7	-0.459833333333333
ROR2	1.27475
MAOA	-0.29775
TNNT3	0.736
GYPC	-1.3365
C7orf33	1.259
PLIN	3.05233333333333
LOC90826	0.45275
RNF4	0.095
F8A1	0.251166666666667
PLEKHG4	-1.401
GRB2	-0.29295
HIST1H2AD	1.2295
DUS3L	-1.42916666666667
EIF1	0.228666666666667
RP5-1077B9.4	-1.47916666666667
FPGT	1.35325
GDF10	1.368
COQ9	-1.137
GCC2	0.779928571428571
RARRES3	3.17375
PLXNA1	-0.6335
KIAA0100	-0.1046
PMF1	-0.33175
FNDC1	5.4695
HS2ST1	-0.549083333333333
CRELD2	-0.292
C8G	-1.3815
CD82	0.86875
LIM2	-1.0925
UNQ6490	-0.313
MMP16	0.011
DRD3	-0.18525
C5orf26	0.494
C11orf73	-0.00712499999999999
PTP4A2	0.9705
OR4M2	0.1705
HPCA	-1.7455
SEC14L1	-0.151833333333333
CHFR	-0.613875
EMILIN1	0.972875
NDUFS4	0.4115
COL18A1	0.00937499999999999
