Hybridization REF	TCGA-A8-A0A7-01A-11R-A040-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.00633333333333334
CREB3L1	1.04275
RPS11	0.962375
PNMA1	-0.61775
MMP2	0.594666666666667
C10orf90	-2.14925
ZHX3	-0.207
ERCC5	0.0105
GPR98	0.46625
RXFP3	0.8495
APBB2	0.3185
PRO0478	-1.05775
KLHL13	-3.0485
PRSSL1	-0.575
PDCL3	0.0893333333333333
DECR1	0.7915
SALL1	-2.90683333333333
CADM4	0.210166666666667
RPS18	0.173785714285714
HNRPD	-0.5025
CFHR5	0.856333333333334
SLC10A7	0.4745
OR2K2	0.125
LMAN1	-0.045375
SUHW1	-3.716
CHD8	-0.1233
SUMO1	0.6814
GP1BA	2.8337
DDB1	0.163666666666667
MYO9B	0.2229
MMP7	6.30275
CRNKL1	0.432625
C9orf45	-1.932
XAB2	0.05075
RTN1	1.946125
KLHL14	-0.914125
TBX10	1.13
CENPQ	-1.764
UTY	-1.3385
ZBTB12	-0.2515
DTNBP1	0.653875
KBTBD8	0.710666666666667
ZEB1	0.601333333333333
ZG16	2.07825
MIER1	1.0184
ADAM5P	0.877
CHD9	-0.0148125
STK16	0.423
KIAA1486	-0.367
TOB2	0.62675
BANK1	5.218
OR2V2	-0.19525
GRM2	0.073
PROSC	-0.036375
SPIN2B	-0.523
PIR	-0.413
IPO9	-0.6285
EVC	0.498333333333333
CXCL13	8.07583333333333
KIAA1199	-1.4558
SORL1	1.961
NAT10	-0.6755
CHD1	-1.19975
SYN3	0.13175
SLC22A2	-0.502
SERPINF1	1.69466666666667
WDR34	-0.15875
OR7A17	0.12225
C9orf11	-0.622
RNF216L	-0.0202
LHB	0.402
STK25	-0.6055
TAOK3	0.291875
LOC152573	-2.84675
C3orf39	0.057
C14orf108	0.3736
CDC25B	-1.24390909090909
BMP3	0.5865
TMEM180	0.3765
MAP1LC3C	-0.05675
CRYGC	-0.15
POU3F1	-0.7196
C20orf32	-1.123
CCDC95	-0.273
HIGD1B	3.72825
USP6NL	-0.061
ABCD4	-0.540833333333333
DIMT1L	-0.928416666666667
TEK	0.45475
SLC25A46	-0.16475
LARP7	-1.5917
CD160	1.7375
MT1JP	-0.435
PHF20	0.052
CPNE4	-1.82475
GTPBP1	-0.304857142857143
RAB33B	0.550666666666667
ALDOC	-2.0925
ZNF212	-0.14425
NUDT1	-0.377333333333333
RFPL2	-0.5635
ZNF83	-0.261333333333333
GDPD5	-0.36875
PDCD4	0.78095
CEP350	-0.0765
OR10A2	0.6075
CST7	3.76375
CIAO1	-0.3905
SELL	2.35725
OR8J3	1.2705
LTBP4	0.00783333333333334
SIRT6	0.0215
CCL19	5.741
PPIL1	-0.724166666666667
GBP7	0.24
STK17A	0.2653
ABR	0.3575
OR9G1	0.3355
FOXE1	-0.78525
CNGA3	0.1915
GML	0.4865
CD38	2.3965
ZDHHC6	-0.1825
NEFH	-1.7885
CTDSP2	0.14875
PGBD5	-0.957
CCNY	0.257857142857143
RMND5B	0.335333333333333
ZNF257	-0.973
FLJ22167	-1.34875
EXOSC7	-0.517833333333333
ROR2	0.734375
MAOA	-1.26875
TNNT3	2.6135
GYPC	0.30275
C7orf33	0.689
PLIN	1.84566666666667
LOC90826	-0.35
RNF4	-0.1403
F8A1	0.346
PLEKHG4	-1.97675
GRB2	0.41585
HIST1H2AD	0.343
DUS3L	-0.454666666666667
EIF1	-0.613833333333333
RP5-1077B9.4	-0.913166666666667
FPGT	1.784
GDF10	1.67966666666667
COQ9	-0.4475
GCC2	-0.0112142857142857
RARRES3	3.71775
PLXNA1	-0.6449
KIAA0100	-0.3486
PMF1	-0.0045
FNDC1	6.1225
HS2ST1	0.430583333333333
CRELD2	0.7925
C8G	-1.772
CD82	2.4505
LIM2	-1.3045
UNQ6490	-0.0245
MMP16	-0.431
DRD3	0.2145
C5orf26	-1.05125
C11orf73	-0.31775
PTP4A2	0.4
OR4M2	0.214
HPCA	-0.903833333333333
SEC14L1	0.518333333333333
CHFR	-0.176375
EMILIN1	1.544625
NDUFS4	-0.395
COL18A1	-0.65625
PDZD3	-0.2638
C9orf16	0.0618333333333333
ERBB2IP	0.0356666666666667
EMX2	4.001
FUS	-1.06975
TF	-3.5063
CLCN4	-0.283
CXorf56	-0.292
C11orf72	0.28025
ELAC2	-0.667916666666667
NPR1	-0.9995
ASS1	-1.5625
USP42	-0.0725
POLR2J	-0.5605
SEC23IP	0.257
UQCRC1	-0.07625
LOC729603	-0.68225
C1orf71	-0.586875
POLG	-2.236
ADAM23	-3.35775
TFR2	-1.33325
RICTOR	-0.9081
MGC39606	1.934
C19orf55	-0.099125
SNAPC1	-1.31283333333333
GNA11	0.420375
CCDC52	-0.867
FSIP1	0.0475
UPF3A	-1.0825
IGSF11	-2.3855
LAGE3	0.6585
CHST6	-2.3035
UNC13B	-0.581875
TTLL4	-1.372375
ZNF687	-0.003375
SDC2	-0.9659
COX7A2	0.73925
LAMB4	0.11375
FAM24A	0.4675
LRRTM3	-1.05483333333333
GPHB5	0.28375
OR4C13	0.5375
EIF3EIP	-0.1985
HABP4	-0.329
TMEM125	3.15825
CNTN2	0.02075
ASNSD1	-0.45575
FUT4	0.21575
ACF	-3.40375
LOC158381	0.588
