Hybridization REF	TCGA-AV-A03E-20A-01R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.04425
CREB3L1	2.99325
RPS11	-0.857
PNMA1	0.61825
MMP2	3.2515
C10orf90	2.80225
ZHX3	1.439
ERCC5	2.2175
GPR98	-1.417
RXFP3	1.0745
APBB2	-0.142
PRO0478	-0.396625
KLHL13	0.813
PRSSL1	-0.367833333333333
PDCL3	-0.1265
DECR1	-0.557875
SALL1	1.22366666666667
CADM4	-0.616666666666667
RPS18	-0.848357142857143
HNRPD	0.0453333333333333
CFHR5	-0.327166666666667
SLC10A7	0.349
OR2K2	0.506
LMAN1	-1.528125
SUHW1	-2.4115
CHD8	-0.5956
SUMO1	1.0493
GP1BA	0.5858
DDB1	-0.469666666666667
MYO9B	-0.13
MMP7	2.46475
CRNKL1	-1.136875
C9orf45	-0.788666666666667
XAB2	0.613125
RTN1	1.815
KLHL14	-0.489
TBX10	-0.819
CENPQ	-1.35275
UTY	-1.005
ZBTB12	0.0525
DTNBP1	-0.627875
KBTBD8	-0.773333333333333
ZEB1	-0.8125
ZG16	-1.00375
MIER1	-0.1253
ADAM5P	1.027
CHD9	0.4210625
STK16	-0.09425
KIAA1486	0.156
TOB2	-0.0170000000000001
BANK1	0.13375
OR2V2	0.03025
GRM2	-0.0775
PROSC	-0.447375
SPIN2B	0.86175
PIR	-0.949888888888889
IPO9	-0.4693
EVC	3.695
CXCL13	0.2854
KIAA1199	-3.3032
SORL1	-4.44975
NAT10	0.3515
CHD1	-0.45575
SYN3	-0.1915
SLC22A2	-0.97875
SERPINF1	-3.66116666666667
WDR34	-0.1445
OR7A17	0.19625
C9orf11	0.1
RNF216L	0.206
LHB	0.5075
STK25	0.2775
TAOK3	2.222125
LOC152573	-3.751
C3orf39	0.81575
C14orf108	-0.6108
CDC25B	-0.888181818181818
BMP3	0.1555
TMEM180	0.7485
MAP1LC3C	0.00424999999999996
CRYGC	-0.831
POU3F1	-1.0688
C20orf32	-1.932
CCDC95	0.806
HIGD1B	0.39375
USP6NL	-0.366125
ABCD4	0.611833333333333
DIMT1L	-0.510333333333333
TEK	-0.3845
SLC25A46	-0.662
LARP7	-0.5181
CD160	0.240833333333333
MT1JP	1.39033333333333
PHF20	-0.1244375
CPNE4	0.105
GTPBP1	-0.4595
RAB33B	-0.120333333333333
ALDOC	-0.336125
ZNF212	0.529
NUDT1	0.0436666666666667
RFPL2	-1.67925
ZNF83	-4.10266666666667
GDPD5	-1.500875
PDCD4	0.70445
CEP350	-1.67275
OR10A2	0.3835
CST7	-2.0765
CIAO1	0.296
SELL	-0.03025
OR8J3	1.1985
LTBP4	0.433333333333333
SIRT6	1.772
CCL19	0.9545
PPIL1	-2.63366666666667
GBP7	0.557333333333333
STK17A	0.0524
ABR	3.3525
OR9G1	0.818
FOXE1	-0.160375
CNGA3	3.576
GML	0.547
CD38	-3.52275
ZDHHC6	1.31733333333333
NEFH	-3.52475
CTDSP2	0.70675
PGBD5	-2.50783333333333
CCNY	1.32042857142857
RMND5B	-0.604916666666667
ZNF257	-4.21075
FLJ22167	0.51625
EXOSC7	1.021
ROR2	-0.912
MAOA	0.383875
TNNT3	-0.00783333333333335
GYPC	0.64425
C7orf33	1.224
