Hybridization REF	TCGA-BH-A0BQ-11A-33R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.536416666666667
CREB3L1	-0.1385
RPS11	0.920625
PNMA1	0.02825
MMP2	0.129333333333333
C10orf90	0.237333333333333
ZHX3	-0.191666666666667
ERCC5	0.328
GPR98	-0.052625
RXFP3	0.0595
APBB2	0.586
PRO0478	0.26925
KLHL13	2.52175
PRSSL1	-0.730666666666667
PDCL3	-0.0755
DECR1	0.008625
SALL1	-2.9685
CADM4	0.312666666666667
RPS18	1.23178571428571
HNRPD	-0.302166666666667
CFHR5	0.3462
SLC10A7	-0.113285714285714
OR2K2	-0.2825
LMAN1	-1.55475
SUHW1	-2.76775
CHD8	-0.5223
SUMO1	0.0535
GP1BA	0.9997
DDB1	-0.0945
MYO9B	-0.0471
MMP7	8.48
CRNKL1	-0.342875
C9orf45	-0.958
XAB2	0.38425
RTN1	2.186
KLHL14	-0.52025
TBX10	-0.8765
CENPQ	-2.2275
UTY	-0.835583333333333
ZBTB12	-0.9365
DTNBP1	-0.088875
KBTBD8	-1.49133333333333
ZEB1	0.812833333333333
ZG16	-0.75575
MIER1	0.2291
ADAM5P	0.7915
CHD9	0.6164375
STK16	-0.34
KIAA1486	0.627
TOB2	1.352
BANK1	2.93475
OR2V2	0.251
GRM2	-0.0475
PROSC	0.16875
SPIN2B	-0.4185
PIR	-2.026
IPO9	-0.7102
EVC	0.835
CXCL13	7.34383333333333
KIAA1199	-3.3451
SORL1	1.32325
NAT10	-0.80575
CHD1	-0.55625
SYN3	-0.17425
SLC22A2	0.18975
SERPINF1	1.25033333333333
WDR34	-0.34125
OR7A17	-0.16425
C9orf11	-0.4215
RNF216L	-0.1301
LHB	-0.1815
STK25	-0.1805
TAOK3	0.351
LOC152573	-2.17975
C3orf39	0.739125
C14orf108	-0.3852
CDC25B	-2.118
BMP3	-0.191
TMEM180	0.1545
MAP1LC3C	1.9185
CRYGC	-0.053
POU3F1	-0.7375
C20orf32	-0.8815
CCDC95	-0.264
HIGD1B	2.8395
USP6NL	0.062875
ABCD4	0.0145
DIMT1L	-0.264416666666667
TEK	1.304625
SLC25A46	-0.9075
LARP7	-1.4755
CD160	0.9625
MT1JP	3.2865
PHF20	-0.2083125
CPNE4	-0.70425
GTPBP1	0.0621428571428571
RAB33B	0.663833333333333
ALDOC	-0.715625
ZNF212	-0.2105
NUDT1	-1.784
RFPL2	-0.1045
ZNF83	0.394166666666667
GDPD5	0.254125
PDCD4	1.4428
CEP350	-0.46225
OR10A2	0.087
CST7	0.39425
CIAO1	-1.54375
SELL	0.39325
OR8J3	0.347
LTBP4	1.12383333333333
SIRT6	-0.51675
CCL19	4.98575
PPIL1	-0.680666666666667
GBP7	0.1006
STK17A	-0.3032
ABR	0.3705
OR9G1	0.445
FOXE1	-0.669375
CNGA3	0.7485
GML	0.2345
CD38	-1.7175
ZDHHC6	-0.6055
NEFH	-1.18325
CTDSP2	0.464166666666667
PGBD5	-0.980833333333333
CCNY	0.0572142857142857
RMND5B	0.446333333333333
ZNF257	-0.68625
FLJ22167	0.286875
EXOSC7	-1.04166666666667
ROR2	1.012625
MAOA	2.101625
TNNT3	2.41833333333333
GYPC	0.35625
C7orf33	-0.2315
PLIN	4.89416666666667
LOC90826	-0.2685
RNF4	-0.2474
F8A1	0.308166666666667
PLEKHG4	0.2845
GRB2	-0.66575
HIST1H2AD	-1.0815
DUS3L	-0.0271666666666667
EIF1	0.094
RP5-1077B9.4	-0.656
FPGT	0.42875
GDF10	2.9345
COQ9	-0.435
GCC2	0.486428571428571
RARRES3	2.558
PLXNA1	0.0165
KIAA0100	-0.3308
PMF1	-0.52825
FNDC1	2.471
HS2ST1	0.556416666666667
CRELD2	0.0715
C8G	-1.5985
CD82	2.12575
LIM2	-0.921
UNQ6490	-0.1395
MMP16	0.79075
DRD3	0.0276666666666667
C5orf26	0.99675
C11orf73	-0.853875
PTP4A2	0.6415
OR4M2	0.5835
HPCA	-0.806333333333333
SEC14L1	0.133833333333333
CHFR	-0.6755
EMILIN1	1.305625
NDUFS4	-0.02775
COL18A1	0.727625
PDZD3	-0.23575
C9orf16	0.271833333333333
ERBB2IP	0.1685
EMX2	1.926
FUS	-2.08925
TF	-2.1324
CLCN4	-0.110833333333333
CXorf56	-0.20175
C11orf72	0.134
ELAC2	-0.390416666666667
NPR1	1.86075
ASS1	-0.863833333333333
USP42	0.333375
POLR2J	-1.0605
SEC23IP	0.312833333333333
UQCRC1	-0.24725
LOC729603	-0.1885
C1orf71	-0.58025
POLG	-3.153
ADAM23	-3.44425
TFR2	-1.31025
RICTOR	-0.7632
MGC39606	2.1485
C19orf55	0.168875
SNAPC1	-1.412
GNA11	1.244125
CCDC52	-0.757
FSIP1	2.488
UPF3A	-0.176
IGSF11	-1.0165
LAGE3	-0.84975
CHST6	-2.1085
UNC13B	0.336625
TTLL4	-0.579625
ZNF687	0.348625
SDC2	-9.99999999999779e-05
COX7A2	-0.511
LAMB4	0.0615
FAM24A	-0.882
LRRTM3	-0.8265
GPHB5	0.1675
OR4C13	0.2345
EIF3EIP	0.689357142857143
HABP4	-0.0625
TMEM125	3.11925
CNTN2	0.44825
ASNSD1	-0.0585
FUT4	0.140625
ACF	-3.5525
LOC158381	-0.629
CDH8	-0.105
AGPS	-1.39166666666667
C4orf18	3.42625
PECI	-0.1275
UNG	-0.836625
GSTP1	-0.1955
DCUN1D5	-1.518
DKFZP564J0863	-1.826
SLC9A3R1	0.52175
BCDO2	0.04975
CHMP7	-0.2905
REM2	-0.94
DNHD1	-0.086625
FKBP4	-0.764
ZNF350	1.3615
MGC11102	-1.172375
BST1	0.90875
KISS1R	1.154
NCR2	0.2445
DEFB125	0.1805
UBE2W	0.289625
KRT15	5.329125
C10orf99	0.0645
SCN11A	0.432
GFI1	-1.5165
RDHE2	1.0835
FHL1	1.06666666666667
OSGEP	-0.139
GATA1	-3.305
SMC6	-2.09925
TTTY14	-0.593
LPIN3	0.19975
RPL4	0.0335
RBPMS	1.2516
PRPF3	-0.503833333333333
EMR1	-2.4245
SPATA19	0.1265
XCR1	0.2535
IRX3	2.6467
RBM6	-0.392
KLF4	0.9348
UNC5CL	-0.33525
SEBOX	-0.0835
BTK	-1.63775
KRCC1	0.76825
C6orf27	1.0965
