Hybridization REF	TCGA-AR-A0U3-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.542
CREB3L1	1.95675
RPS11	-0.245375
PNMA1	0.2895
MMP2	-0.318333333333333
C10orf90	-2.307
ZHX3	-1.292
ERCC5	0.4325
GPR98	-0.21125
RXFP3	0.315
APBB2	0.955
PRO0478	-0.8595
KLHL13	0.0435
PRSSL1	-0.148
PDCL3	0.181166666666667
DECR1	0.223125
SALL1	-3.78366666666667
CADM4	0.785833333333333
RPS18	-0.686142857142857
HNRPD	-1.672
CFHR5	1.48783333333333
SLC10A7	0.379875
OR2K2	-1.408
LMAN1	0.298875
SUHW1	-3.661
CHD8	-0.1841
SUMO1	-0.4114
GP1BA	0.00459999999999998
DDB1	-0.119166666666667
MYO9B	-0.3995
MMP7	5.35425
CRNKL1	0.6235
C9orf45	-1.88116666666667
XAB2	0.09875
RTN1	2.051375
KLHL14	0.738875
TBX10	-1.1305
CENPQ	-1.23975
UTY	-1.28185714285714
ZBTB12	0.119
DTNBP1	-0.340375
KBTBD8	-1.80016666666667
ZEB1	-0.997
ZG16	1.529
MIER1	-0.6355
ADAM5P	-0.3535
CHD9	-0.5035625
STK16	0.2535
KIAA1486	0.151
TOB2	0.221916666666667
BANK1	1.80475
OR2V2	-0.05175
GRM2	0.117333333333333
PROSC	3.56575
SPIN2B	0.19375
PIR	-1.26566666666667
IPO9	0.0869
EVC	-0.792
CXCL13	4.53783333333333
KIAA1199	-1.5406
SORL1	-0.09525
NAT10	0.2325
CHD1	0.1555
SYN3	-0.99975
SLC22A2	-0.0415
SERPINF1	-0.270666666666667
WDR34	-0.52825
OR7A17	0.6765
C9orf11	-0.905
RNF216L	-0.0779
LHB	0.082
STK25	-0.69925
TAOK3	1.0005
LOC152573	-2.6305
C3orf39	0.194875
C14orf108	1.1681
CDC25B	-1.01190909090909
BMP3	0.409
TMEM180	0.4825
MAP1LC3C	-0.114
CRYGC	-0.7645
POU3F1	-1.4715
C20orf32	-1.4995
CCDC95	-0.1435
HIGD1B	3.4845
USP6NL	0.61875
ABCD4	-0.476333333333333
DIMT1L	-0.3245
TEK	0.492625
SLC25A46	-0.306
LARP7	-2.3869
CD160	0.357
MT1JP	-0.802
PHF20	-0.175625
CPNE4	0.164
GTPBP1	-0.296
RAB33B	-0.0566666666666667
ALDOC	-2.777125
