Hybridization REF	TCGA-B6-A0I9-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0978333333333333
CREB3L1	0.87075
RPS11	0.0455
PNMA1	-1.2215
MMP2	-0.544833333333333
C10orf90	-2.11825
ZHX3	0.428166666666667
ERCC5	-0.139
GPR98	-0.145625
RXFP3	-0.152
APBB2	3.12975
PRO0478	-1.26275
KLHL13	-0.87775
PRSSL1	-0.548166666666667
PDCL3	0.347666666666667
DECR1	-0.284125
SALL1	-2.8505
CADM4	0.368166666666667
RPS18	-0.221642857142857
HNRPD	-0.0153333333333333
CFHR5	0.479
SLC10A7	-0.662625
OR2K2	-0.715
LMAN1	0.2485
SUHW1	-3.6535
CHD8	-0.2245
SUMO1	0.8742
GP1BA	1.2688
DDB1	-0.302666666666667
MYO9B	-0.7237
MMP7	7.23475
CRNKL1	0.415625
C9orf45	0.271333333333333
XAB2	-0.5155
RTN1	0.967375
KLHL14	-1.256
TBX10	-1.0845
CENPQ	0.85825
UTY	-1.41153846153846
ZBTB12	-0.6075
DTNBP1	1.029375
KBTBD8	-1.58816666666667
ZEB1	-1.05483333333333
ZG16	-1.3205
MIER1	0.0765
ADAM5P	-0.991
CHD9	-0.0414375
STK16	0.72625
KIAA1486	-0.472
TOB2	0.766
BANK1	2.6055
OR2V2	0.38225
GRM2	-0.394166666666667
PROSC	-0.120875
SPIN2B	0.613
PIR	0.960444444444444
IPO9	-0.3616
EVC	-0.0688333333333333
CXCL13	3.75616666666667
KIAA1199	-1.7435
SORL1	1.03
NAT10	-1.25375
CHD1	0.22725
SYN3	0.03725
SLC22A2	0.11825
SERPINF1	-0.965333333333333
WDR34	-0.75925
OR7A17	0.10675
C9orf11	-2.8555
RNF216L	-0.0787
LHB	-0.056
STK25	-1.40925
TAOK3	0.257
LOC152573	-3.401
C3orf39	0.087625
C14orf108	1.6236
CDC25B	-1.75463636363636
BMP3	0.231
TMEM180	-0.287
MAP1LC3C	-0.73625
CRYGC	-0.2975
POU3F1	-1.8648
C20orf32	-1.108
CCDC95	-0.988
HIGD1B	4.8005
USP6NL	0.28325
ABCD4	-1.04016666666667
