Hybridization REF	TCGA-AV-A03E-20A-01R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.159416666666667
CREB3L1	2.26175
RPS11	-1.092375
PNMA1	0.90575
MMP2	2.901
C10orf90	2.683
ZHX3	1.31983333333333
ERCC5	1.9045
GPR98	-1.4265
RXFP3	1.1395
APBB2	0.16
PRO0478	-0.217875
KLHL13	0.17975
PRSSL1	-1.00083333333333
PDCL3	-0.402333333333333
DECR1	-0.740625
SALL1	0.874833333333333
CADM4	-0.942666666666667
RPS18	-0.392
HNRPD	-0.54775
CFHR5	-0.1818
SLC10A7	-1.227375
OR2K2	0.367
LMAN1	-1.411
SUHW1	-3.9505
CHD8	-0.5273
SUMO1	0.9218
GP1BA	0.4244
DDB1	-0.347333333333333
MYO9B	0.1778
MMP7	1.94475
CRNKL1	-1.3775
C9orf45	-1.08983333333333
XAB2	0.98275
RTN1	1.7345
KLHL14	-0.314
TBX10	-1.002
CENPQ	-1.56175
UTY	-0.948090909090909
ZBTB12	1.0515
DTNBP1	-0.642125
KBTBD8	-1.2695
ZEB1	0.4595
ZG16	-1.3755
MIER1	0.4725
ADAM5P	null
CHD9	0.958375
STK16	1.777
KIAA1486	0.4465
TOB2	0.148333333333333
BANK1	0.82425
OR2V2	-0.3245
GRM2	-0.264166666666667
PROSC	-0.43125
SPIN2B	0.31475
PIR	-0.780888888888889
IPO9	0.0442
EVC	3.35683333333333
CXCL13	0.355
KIAA1199	-3.24477777777778
SORL1	-5.18225
NAT10	-0.34675
CHD1	-0.5185
SYN3	-0.53825
SLC22A2	-1.37475
SERPINF1	-3.96483333333333
WDR34	0.0005
OR7A17	0.865
C9orf11	-0.00800000000000001
RNF216L	1.227
LHB	0.9955
STK25	-0.55575
TAOK3	1.92425
LOC152573	-2.30333333333333
C3orf39	0.37575
C14orf108	-0.5233
CDC25B	-0.944818181818182
BMP3	-0.036
TMEM180	0.735
MAP1LC3C	-0.385
CRYGC	-1.087
POU3F1	-1.35511111111111
C20orf32	-1.7605
CCDC95	0.6395
HIGD1B	0.3495
USP6NL	-0.3515
ABCD4	0.561833333333333
DIMT1L	-0.685083333333333
TEK	-1.17475
SLC25A46	-0.519
LARP7	-0.5543
CD160	0.306166666666667
MT1JP	2.3755
PHF20	0.0597500000000001
CPNE4	1.05775
GTPBP1	-0.327785714285714
RAB33B	0.309833333333333
ALDOC	-0.34875
ZNF212	0.522
NUDT1	-0.422666666666667
RFPL2	-1.1505
ZNF83	-4.35383333333333
GDPD5	-2.339875
PDCD4	0.0113000000000001
CEP350	-1.16275
OR10A2	0.092
CST7	-2.061
CIAO1	0.315
SELL	-0.41875
OR8J3	1.0535
LTBP4	0.562666666666667
SIRT6	1.42175
CCL19	0.45725
PPIL1	-2.592
GBP7	-0.0588
STK17A	0.0847000000000001
ABR	2.74975
OR9G1	0.4375
FOXE1	-0.602875
CNGA3	3.735
GML	0.095
CD38	-3.5825
ZDHHC6	0.8425
NEFH	-3.6945
CTDSP2	0.0278333333333333
PGBD5	-2.64216666666667
CCNY	1.1605
RMND5B	-0.46575
ZNF257	-2.70833333333333
FLJ22167	0.19375
EXOSC7	0.245833333333333
ROR2	-1.68
MAOA	0.28675
TNNT3	-0.112833333333333
GYPC	0.567
C7orf33	1.255
PLIN	0.69
LOC90826	0.408
RNF4	-0.8038
F8A1	-0.877333333333333
PLEKHG4	-0.2315
GRB2	-0.2744
HIST1H2AD	-1.389
DUS3L	-0.484833333333333
EIF1	-0.524833333333333
RP5-1077B9.4	0.108666666666667
FPGT	1.40575
GDF10	-2.51016666666667
COQ9	-0.13525
GCC2	0.538928571428571
RARRES3	1.146125
PLXNA1	0.9334
KIAA0100	0.5915
PMF1	-0.66375
FNDC1	-0.454
HS2ST1	-0.861583333333333
CRELD2	0.57525
C8G	-1.602
CD82	1.90275
LIM2	-1.7475
UNQ6490	-0.4775
MMP16	0.682
DRD3	0.65575
C5orf26	-1.27375
C11orf73	-1.766875
PTP4A2	0.75325
OR4M2	0.0800000000000001
HPCA	0.441166666666667
SEC14L1	-0.827166666666667
CHFR	-3.95942857142857
EMILIN1	-0.439125
NDUFS4	-0.311
COL18A1	-2.88525
PDZD3	-0.7118
C9orf16	1.21633333333333
ERBB2IP	-0.104333333333333
EMX2	0.296333333333333
FUS	-0.997
TF	-4.1296
CLCN4	1.358
CXorf56	-1.6465
C11orf72	1.07225
ELAC2	-0.32425
NPR1	-2.82575
ASS1	-0.660166666666667
USP42	0.038875
POLR2J	0.3355
SEC23IP	0.0941666666666667
UQCRC1	0.784
LOC729603	-0.3095
C1orf71	-1.195875
POLG	-1.9935
ADAM23	-0.37575
TFR2	-0.9055
RICTOR	-0.483
MGC39606	0.17225
C19orf55	0.134
SNAPC1	0.9025
GNA11	0.343125
CCDC52	-1.05116666666667
FSIP1	0.8395
UPF3A	0.391
IGSF11	-3.20883333333333
LAGE3	-0.57975
CHST6	-1.7605
UNC13B	-0.4665
TTLL4	-0.8405
ZNF687	-0.42875
SDC2	-2.0515
COX7A2	-0.15375
LAMB4	0.15325
FAM24A	-0.6675
LRRTM3	-2.44433333333333
GPHB5	0.67075
OR4C13	0.308
EIF3EIP	0.0715
HABP4	1.2675
TMEM125	-4.01375
CNTN2	-0.407375
ASNSD1	-0.2455
FUT4	-1.58775
ACF	-2.47875
LOC158381	-1.2835
CDH8	-0.05075
AGPS	-0.5465
C4orf18	-3.28525
PECI	-0.962
UNG	-0.844875
GSTP1	-0.448875
DCUN1D5	-2.69433333333333
DKFZP564J0863	-0.2005
SLC9A3R1	-1.795125
BCDO2	0.421875
CHMP7	-0.422875
REM2	1.5075
DNHD1	0.857428571428571
FKBP4	-0.864875
ZNF350	-1.26175
MGC11102	0.038
BST1	-0.37875
KISS1R	1.159
NCR2	0.0635
DEFB125	0.745
UBE2W	-0.093625
KRT15	-2.226625
C10orf99	1.066
SCN11A	0.442875
GFI1	-4.433
RDHE2	-0.708833333333333
FHL1	-0.9405
OSGEP	-0.1945
GATA1	-3.37966666666667
SMC6	-0.35275
TTTY14	-0.39
LPIN3	-0.52325
RPL4	-0.2852
RBPMS	0.6953
PRPF3	0.00533333333333334
EMR1	0.4555
SPATA19	0.00950000000000001
XCR1	1.1115
IRX3	0.9177
RBM6	-0.54175
KLF4	-1.1297
UNC5CL	-3.6225
SEBOX	-0.021
BTK	-4.132
KRCC1	0.36825
C6orf27	0.5605
SYTL5	-0.1085
PRND	1.5298
LOC653319	0.596
PIGL	0.734875
HUS1	0.165
SFRS6	-0.0239166666666667
C17orf77	0.075
UIMC1	0.446
FXYD2	-1.7456
LOC283152	-0.029
ZNF667	-2.802
ZCCHC12	-0.5965
TFEC	-0.7369
ATP7B	-2.56366666666667
POLD2	-1.10683333333333
RG9MTD1	-1.52975
ACOT2	-0.304833333333333
HIST1H4I	-1.204875
PPARGC1A	1.5906
ETFA	-2.5039
POLRMT	0.53225
ZNF146	-0.7285
MIA2	-0.1115
KLHL6	-4.91033333333333
HOXB5	-0.982875
NENF	1.0105
CUGBP1	-0.4575
PRSS22	-0.857333333333333
CASC4	0.9528
CUL4B	0.5248
CENPJ	-0.7756
PITX1	0.196166666666667
FLJ31033	-0.175333333333333
CELSR3	1.57666666666667
ZNF568	-2.443
ITSN1	0.0993333333333333
EHBP1L1	-0.2455
C19orf2	-1.0115
DCTN1	0.16975
LIN28B	-3.7534
TNKS2	-0.57125
C1QBP	-0.675875
CADPS2	1.38075
SRMS	-1.12575
GJA9	0.1614
MGC24975	-1.01166666666667
TRIM45	0.252833333333333
TSP50	-0.06875
TCP1	-1.1765
