Hybridization REF	TCGA-C8-A12X-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.938666666666667
CREB3L1	1.31425
RPS11	-0.03875
PNMA1	-0.29
MMP2	0.360666666666667
C10orf90	-2.58025
ZHX3	-1.53866666666667
ERCC5	-0.173
GPR98	-2.38785714285714
RXFP3	0.5315
APBB2	2.3665
PRO0478	-0.976375
KLHL13	-3.669
PRSSL1	-0.476333333333333
PDCL3	-0.183166666666667
DECR1	0.18425
SALL1	-6.059
CADM4	1.32966666666667
RPS18	0.00728571428571429
HNRPD	-0.516916666666667
CFHR5	0.643666666666667
SLC10A7	0.1265
OR2K2	0.031
LMAN1	-0.500125
SUHW1	-3.06275
CHD8	-0.4596
SUMO1	-0.4252
GP1BA	-0.0297
DDB1	0.749166666666667
MYO9B	0.12
MMP7	0.763
CRNKL1	1.61875
C9orf45	-1.674
XAB2	1.34075
RTN1	0.887875
KLHL14	-1.20425
TBX10	-0.629
CENPQ	-1.174
UTY	-1.37183333333333
ZBTB12	-0.19
DTNBP1	-0.126875
KBTBD8	-1.55466666666667
ZEB1	-0.517
ZG16	-1.77025
MIER1	0.4967
ADAM5P	0.0915
CHD9	-0.4090625
STK16	-0.71075
KIAA1486	-0.0505
TOB2	0.57075
BANK1	1.45675
OR2V2	0.358
GRM2	0.362
PROSC	2.776125
SPIN2B	2.3745
PIR	-1.24233333333333
IPO9	-0.3777
EVC	0.693333333333333
CXCL13	0.7055
KIAA1199	0.4051
SORL1	-1.83825
NAT10	-0.6065
CHD1	-0.728
SYN3	-0.693
SLC22A2	-0.896
SERPINF1	-0.0666666666666667
WDR34	0.008
OR7A17	0.52175
C9orf11	-0.334
RNF216L	-0.3443
LHB	0.321
STK25	-0.326125
TAOK3	0.112625
LOC152573	-1.59475
C3orf39	0.887375
C14orf108	-0.0385
CDC25B	-1.81254545454545
BMP3	0.666
TMEM180	0.6475
MAP1LC3C	-0.306
CRYGC	-0.6005
POU3F1	-1.4716
C20orf32	-1.6675
CCDC95	0.0885
HIGD1B	4.4025
USP6NL	0.10875
ABCD4	-1.35933333333333
DIMT1L	-1.33058333333333
TEK	1.14275
SLC25A46	-0.2875
LARP7	-1.6552
CD160	0.775333333333333
MT1JP	-1.41766666666667
PHF20	-0.48625
CPNE4	-1.717
GTPBP1	0.6285
RAB33B	1.46333333333333
ALDOC	-3.52825
ZNF212	-0.228
NUDT1	-1.011
RFPL2	-2.03633333333333
ZNF83	0.524833333333333
GDPD5	-0.083125
PDCD4	2.47435
CEP350	-0.146
OR10A2	0.6105
CST7	0.521
CIAO1	-1.045
SELL	0.54375
OR8J3	2.995
LTBP4	0.187666666666667
SIRT6	0.06375
CCL19	1.8505
PPIL1	-0.643833333333333
GBP7	0.219833333333333
STK17A	-1.3195
ABR	0.5375
OR9G1	0.228
FOXE1	-0.55275
CNGA3	0.5645
GML	0.962
CD38	-2.31375
ZDHHC6	0.230166666666667
NEFH	-3.48025
CTDSP2	0.2765
PGBD5	3.8455
CCNY	0.168714285714286
RMND5B	1.01575
ZNF257	-0.66325
FLJ22167	-0.032375
EXOSC7	-1.08483333333333
ROR2	0.7165
MAOA	-2.385
TNNT3	0.2235
GYPC	-1.84775
C7orf33	1.4925
PLIN	1.06366666666667
LOC90826	0.0685
RNF4	0.7582
F8A1	0.424
PLEKHG4	0.169
GRB2	0.30925
HIST1H2AD	1.635
DUS3L	-1.06416666666667
EIF1	-0.573666666666667
RP5-1077B9.4	-0.333166666666667
FPGT	2.19725
GDF10	-1.90783333333333
COQ9	0.229
GCC2	-0.0800714285714286
RARRES3	3.056625
PLXNA1	-0.5873
KIAA0100	0.2039
PMF1	0.3525
FNDC1	5.365
HS2ST1	-0.742916666666667
CRELD2	1.61625
C8G	-2.1945
CD82	1.913
LIM2	-1.1595
UNQ6490	-0.22
MMP16	0.62975
DRD3	0.00849999999999998
C5orf26	-1.91375
C11orf73	-0.22825
PTP4A2	0.30825
OR4M2	-0.0285
HPCA	-0.198666666666667
SEC14L1	-0.4695
CHFR	0.2685
EMILIN1	1.086125
NDUFS4	-0.6505
COL18A1	0.327375
PDZD3	0.035
C9orf16	0.547833333333333
ERBB2IP	-0.721833333333333
EMX2	3.25775
FUS	-1.41175
TF	-3.966
CLCN4	-1.009
CXorf56	0.2765
C11orf72	0.74275
ELAC2	-0.303833333333333
NPR1	-0.24675
ASS1	-3.0395
USP42	0.19325
POLR2J	0.3905
SEC23IP	1.24016666666667
UQCRC1	0.50775
LOC729603	-0.51
C1orf71	-0.610875
POLG	-1.3075
ADAM23	-4.35025
TFR2	-0.41525
RICTOR	-1.5251
MGC39606	-0.41375
C19orf55	-0.08625
SNAPC1	-2.20116666666667
GNA11	0.94125
CCDC52	-0.252
FSIP1	-0.1935
UPF3A	0.097125
IGSF11	-2.40166666666667
LAGE3	1.231
CHST6	-2.052
UNC13B	-0.266125
TTLL4	-0.533875
ZNF687	0.78425
SDC2	0.7575
COX7A2	1.007
LAMB4	-0.01625
FAM24A	0.087
LRRTM3	-1.25983333333333
GPHB5	-0.00625
OR4C13	0.3095
EIF3EIP	-0.488071428571428
HABP4	-0.756
TMEM125	4.02925
CNTN2	0.380375
ASNSD1	-0.38475
FUT4	-0.1835
ACF	-3.58225
LOC158381	-0.009
CDH8	0.61025
AGPS	-0.900833333333333
C4orf18	1.19675
PECI	-0.256
UNG	-0.554875
GSTP1	-2.658625
DCUN1D5	-1.42516666666667
DKFZP564J0863	-1.4805
SLC9A3R1	2.16625
BCDO2	-1.63125
CHMP7	-0.5805
REM2	0.641
DNHD1	-0.181125
FKBP4	0.612875
ZNF350	1.57975
MGC11102	-0.534
BST1	0.8775
KISS1R	0.734
NCR2	0.267
DEFB125	3.245
UBE2W	1.165375
KRT15	-0.897625
C10orf99	0.403
SCN11A	1.06571428571429
GFI1	-3.13325
RDHE2	-0.814
FHL1	-1.53916666666667
OSGEP	-0.946166666666667
GATA1	-3.096
SMC6	-1.61975
TTTY14	-0.6265
LPIN3	0.1205
RPL4	-1.5688
RBPMS	-0.8067
PRPF3	-0.2315
EMR1	-1.9115
SPATA19	0.33775
XCR1	0.238
IRX3	2.3251
RBM6	-1.139
KLF4	-1.2708
UNC5CL	-1.018
SEBOX	0.7135
BTK	-1.24775
KRCC1	1.352
C6orf27	0.6985
SYTL5	-0.7115
PRND	4.97175
LOC653319	-0.3025
PIGL	-1.219125
HUS1	-0.394166666666667
SFRS6	-0.871833333333333
C17orf77	0.482
UIMC1	-0.667166666666667
FXYD2	-1.8721
LOC283152	1.407
ZNF667	1.5425
ZCCHC12	-0.429
TFEC	2.8149
ATP7B	0.905833333333333
POLD2	-0.134
RG9MTD1	-0.2475
ACOT2	-0.6645
HIST1H4I	-0.580125
PPARGC1A	-3.073
ETFA	-2.0784
POLRMT	-0.078
ZNF146	-0.5905
MIA2	-1.933
KLHL6	-1.13066666666667
HOXB5	-1.024875
NENF	0.381666666666667
CUGBP1	-0.7875
PRSS22	2.04916666666667
CASC4	1.2712
CUL4B	-0.0321
CENPJ	-1.5673
PITX1	2.08816666666667
FLJ31033	2.41716666666667
CELSR3	-0.1425
ZNF568	0.67825
ITSN1	-0.874583333333333
EHBP1L1	0.194666666666667
C19orf2	0.69225
DCTN1	1.082
LIN28B	-4.4146
TNKS2	-0.5725
C1QBP	-1.106
CADPS2	2.1185
SRMS	0.9005
GJA9	0.734166666666667
MGC24975	-0.812333333333333
TRIM45	-0.379833333333333
TSP50	-0.516
TCP1	-1.59175
TMED7	1.1011
CMA1	1.1665
CENPL	-1.34583333333333
PTCRA	0.1425
FST	-3.761
VWCE	-4.298
PAWR	-0.943
ABCC12	-0.10225
LDLR	-0.2592
ASTN2	1.0268
LOC441212	-0.63425
GPATCH8	0.3055
TANC2	-0.97375
KIF4A	-1.95425
C18orf18	-0.249
PGM1	-0.2665
KIAA0258	0.94675
CPD	1.782625
SNCAIP	-1.86775
DCT	-4.38983333333333
HLA-DOA	2.65213636363636
OR11L1	0.678
UPK1B	-1.3148
DNAJB4	-0.949375
UGT1A8	-0.457333333333333
HIST1H4L	-1.8925
PECR	-2.153
HSPA2	-0.99
WFIKKN1	-1.2325
SERP1	1.412
SYDE2	-2.052
TACR2	0.4
NUP85	-0.5145
CD177	0.663166666666667
LGR5	-2.77433333333333
PIGG	0.49575
PTHR1	-2.03466666666667
RAB5A	0.3174
FLJ13224	-0.3295
USP9Y	-2.04116666666667
C7orf53	-2.361
LRP1B	-1.2105
XAF1	4.4303
ABCG8	-0.222
ANKDD1A	-1.1785
DAND5	-0.712
SPAG6	6.4215
LINCR	0.41025
ZDHHC22	1.934375
CCDC60	-0.122
THOC7	-0.759666666666667
TCTA	2.4462
OR8K3	-0.12425
NY-REN-7	-0.63675
B2M	1.83183333333333
C6orf141	0.893
LPPR4	2.3365
SQLE	-0.11
SEPHS1	-0.61825
BTBD14B	0.675
PLRG1	-0.7355
SPG7	0.20425
ZNF614	-0.484
PARD6G	0.802
INPP5B	-0.5536
GRPEL2	-0.489125
PPID	-0.6801
TRIM56	0.1195
UBE2J1	-0.521625
IL20RA	3.4925
LOC387856	-0.12875
C1orf107	0.340916666666667
UTS2R	1.012
C19orf22	0.55025
SAFB2	-0.23425
KIAA0652	1.079375
KLRG1	-1.057
MS4A8B	3.73833333333333
FRAG1	0.925
KIAA1546	-0.3495
E2F4	-1.2309
CLEC4M	0.500666666666667
BTBD14A	-1.60075
KIAA0999	1.5319
GYPA	-4.13066666666667
TAC1	-0.516666666666667
TRAIP	-1.164
KIAA0232	0.5971
ERCC8	-2.300375
GPX4	1.67675
KIAA0368	0.726375
GPR157	-1.21433333333333
CTAGE4	2.202
C9orf30	-1.556
OR52A1	0.2995
HSP90B3P	0.1715
ALG9	0.1478
BTBD10	0.7885
SDK2	1.67425
BAIAP3	1.30075
RABGGTB	-1.840125
ANKRD40	-0.034
KRT74	0.396
CALCOCO2	0.791857142857143
SNCA	-4.475
TMSL8	-5.15625
C2orf53	0.4315
ESRRB	-0.59725
ARHGAP26	-0.583
TDRD9	-3.47475
HRAS	0.810666666666667
KLRC4	-1.793
JAGN1	0.3495
BSDC1	0.77975
RNF43	-0.0004
NDUFAF1	0.232
PHF12	0.99225
OR1L3	0.596
FOLR2	2.32633333333333
LYZL6	0.0408333333333334
tcag7.1260	-1.7575
WSB1	-1.72366666666667
PROS1	-1.2629
OSTN	0.5405
PSMB8	1.97975
SOCS4	-0.4475
DDIT4L	0.29075
MAS1	-0.3295
MGC34796	1.7295
CSHL1	0.505166666666667
TBCCD1	0.5465
ZBTB7C	0.482
AP2S1	0.06225
P15RS	0.3126
VAT1	0.5607
SHANK3	1.24533333333333
TUFM	-0.248833333333333
THEG	2.01525
KRT34	-1.198
SGSM3	1.100125
TOMM22	-0.456
SOCS3	1.81883333333333
CPO	1.8695
POP4	0.1515
BHLHB3	-0.252
MALL	0.96175
OR1B1	0.296
PARK2	1.11266666666667
GPR124	0.060125
LCE1E	0.7935
RUVBL2	-0.369
CGRRF1	-0.1944
ACPL2	-0.2135
WNT10B	-2.44275
BAIAP2L2	-2.239125
ISCA1	0.1695
C1orf125	-0.446375
RPAP1	-0.76675
RAI16	-0.501
RPL27	-0.8085
NLRP9	-1.1465
EPN1	1.199
LOC388610	-1.534
SLC35A1	0.2283
GAL	-4.502
SLC14A2	0.683
RDH11	-0.883666666666667
FAM138F	-0.719
AUH	0.1795
FLJ40243	0.6175
C14orf129	0.165
MBD2	-0.475666666666667
ABHD14B	1.181375
PIGT	1.722625
ALS2CR4	-1.240125
ALAS1	0.445
FOXO1	0.4745
CRLF3	-1.092875
C20orf107	-0.4455
FARS2	1.33525
CCDC28A	-1.07825
NPHP3	-1.5955
OR13F1	0.2735
TSEN54	-0.13875
DEFB106B	-0.0631
OR8B4	1.3175
STH	0.76
ZC3H14	-1.245125
CBX2	0.313
TMEM49	-1.8955
C6orf21	0.7895
FLJ20920	1.596625
CRTAP	0.181714285714286
DDX50	-0.265
STYXL1	0.56175
BLVRB	1.2865
LOC147650	-0.1845
MMP24	0.41225
GRID1	1.99416666666667
BANF1	0.544666666666667
CTAGEP	0.5695
HMBS	-0.8995
SLC25A24	0.968166666666667
C14orf50	-0.5395
MRO	2.03866666666667
SLC25A15	0.99525
FAM84B	1.2333
TDP1	-1.633
C16orf78	-0.718
C11orf57	0.047875
RFK	-0.6095
ZFYVE9	-2.3785
STCH	-0.8942
WIBG	0.3245
LOC283871	0.264666666666667
GBA2	-0.0394
NDUFB3	-0.54625
HSD17B13	-0.9685
GRIN3A	1.9015
FMNL1	-0.2785
SEPT7	-0.8532
GNLY	4.394
GRAMD1C	0.0956666666666667
ZNF165	0.27575
USP38	1.108
FAM83A	-3.67866666666667
C14orf24	0.283916666666667
ARMCX3	1.513
ARHGDIB	-0.326
AK1	0.78575
KIAA1045	-0.58075
DNAJB13	-0.495166666666667
NEU2	0.646
