Hybridization REF	TCGA-AR-A0U0-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2495
CREB3L1	-0.1875
RPS11	-0.129125
PNMA1	-1.21225
MMP2	-0.877333333333333
C10orf90	-1.7375
ZHX3	-0.656333333333333
ERCC5	-0.4905
GPR98	-1.881625
RXFP3	0.5165
APBB2	1.0845
PRO0478	-1.20725
KLHL13	-2.1975
PRSSL1	-0.629666666666667
PDCL3	0.7345
DECR1	1.3405
SALL1	-4.43983333333333
CADM4	0.777
RPS18	0.105
HNRPD	-0.577416666666667
CFHR5	0.051
SLC10A7	0.138
OR2K2	0.0985
LMAN1	-0.138125
SUHW1	-3.3885
CHD8	-0.5875
SUMO1	0.315
GP1BA	0.5222
DDB1	-0.0498333333333333
MYO9B	0.1505
MMP7	6.9735
CRNKL1	0.526125
C9orf45	-2.47133333333333
XAB2	0.68525
RTN1	1.13025
KLHL14	-1.68475
TBX10	-0.6725
CENPQ	-0.98825
UTY	-0.927928571428572
ZBTB12	-0.4745
DTNBP1	0.213125
KBTBD8	-0.0826666666666667
ZEB1	-1.72216666666667
ZG16	-1.27425
MIER1	0.1414
ADAM5P	-0.0755
CHD9	-0.230875
STK16	1.29575
KIAA1486	0.0675
TOB2	-0.02025
BANK1	3.11625
OR2V2	0.4605
GRM2	0.114833333333333
PROSC	0.640375
SPIN2B	0.28625
PIR	-1.499
IPO9	-0.3343
EVC	-0.416833333333333
CXCL13	6.769
KIAA1199	-1.9138
SORL1	-0.3935
NAT10	-0.91275
CHD1	-0.61475
SYN3	0.20525
SLC22A2	0.0435
SERPINF1	-0.0821666666666667
WDR34	-0.3015
OR7A17	0.408
C9orf11	0.386
RNF216L	-0.3528
LHB	0.3045
STK25	-0.584
TAOK3	0.702
LOC152573	-2.283
C3orf39	0.456375
C14orf108	0.9455
CDC25B	2.02218181818182
BMP3	-0.0665
TMEM180	0.914
MAP1LC3C	-0.38025
CRYGC	-0.5615
POU3F1	-1.2367
C20orf32	-1.42
CCDC95	-0.3525
HIGD1B	2.70275
USP6NL	0.796875
ABCD4	-0.900666666666667
DIMT1L	-1.08975
TEK	-0.111125
SLC25A46	-0.75875
LARP7	-2.0034
CD160	0.927333333333333
MT1JP	0.212
PHF20	-0.5365625
CPNE4	-1.45975
GTPBP1	0.109357142857143
RAB33B	0.586666666666667
ALDOC	-1.750125
ZNF212	-0.41625
NUDT1	0.313333333333333
RFPL2	0.681
ZNF83	0.0855
GDPD5	-1.119375
PDCD4	1.12215
CEP350	0.00124999999999999
OR10A2	0.568
CST7	2.563
CIAO1	0.0935
SELL	1.95275
OR8J3	0.2645
LTBP4	-0.797
SIRT6	0.29625
CCL19	3.4735
PPIL1	0.341
GBP7	0.814333333333333
STK17A	-0.4004
ABR	-0.6265
OR9G1	0.509
FOXE1	-0.694375
CNGA3	-0.1915
GML	0.9555
CD38	2.18275
ZDHHC6	0.0511666666666667
NEFH	-2.916
CTDSP2	-0.309
PGBD5	-0.995666666666667
CCNY	0.0991428571428572
RMND5B	-0.20475
ZNF257	-0.93
FLJ22167	-0.54725
EXOSC7	-0.1215
ROR2	-0.1425
MAOA	-1.13525
TNNT3	-0.0445
GYPC	-1.342
C7orf33	0.5195
PLIN	1.07
LOC90826	-0.2195
RNF4	-0.4342
F8A1	0.524166666666667
PLEKHG4	-2.324
GRB2	0.18275
HIST1H2AD	2.3075
DUS3L	0.573
EIF1	-0.568
RP5-1077B9.4	0.2395
FPGT	0.75
GDF10	-1.84216666666667
COQ9	1.3835
GCC2	-0.913357142857143
RARRES3	2.710625
PLXNA1	-0.6803
KIAA0100	-0.2145
PMF1	-0.1405
FNDC1	5.14225
HS2ST1	-0.0605
CRELD2	0.783
C8G	-0.273
CD82	1.97
LIM2	-0.972
UNQ6490	-0.0765
MMP16	-0.51125
DRD3	0.032
C5orf26	-2.4615
C11orf73	-0.194875
PTP4A2	-0.4205
OR4M2	0.4035
HPCA	-0.512833333333333
SEC14L1	0.129666666666667
CHFR	0.44025
EMILIN1	0.803375
NDUFS4	-0.926
COL18A1	-0.18325
PDZD3	-0.022
C9orf16	0.0436666666666667
ERBB2IP	-0.8545
EMX2	1.05075
FUS	-0.94925
TF	-4.0868
CLCN4	1.8075
CXorf56	-0.1345
C11orf72	0.4375
ELAC2	0.40975
NPR1	-1.2485
ASS1	0.838
USP42	0.147875
POLR2J	-0.1195
SEC23IP	0.752666666666667
UQCRC1	1.276
LOC729603	0.2875
C1orf71	-0.09225
POLG	-1.5225
ADAM23	-4.25425
