Hybridization REF	TCGA-BH-A0AY-11A-23R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.204333333333333
CREB3L1	-0.242
RPS11	0.591875
PNMA1	0.5385
MMP2	0.707666666666667
C10orf90	0.2755
ZHX3	-0.117166666666667
ERCC5	0.5185
GPR98	-0.018375
RXFP3	-0.059
APBB2	1.4005
PRO0478	-0.5155
KLHL13	1.8995
PRSSL1	0.0498333333333333
PDCL3	0.330833333333333
DECR1	0.272625
SALL1	-2.08516666666667
CADM4	0.311333333333333
RPS18	-0.184428571428571
HNRPD	-0.14825
CFHR5	-0.350833333333333
SLC10A7	0.332875
OR2K2	-0.125
LMAN1	-0.651875
SUHW1	-3.421
CHD8	-0.1602
SUMO1	0.0833
GP1BA	0.1133
DDB1	-0.3425
MYO9B	-0.5831
MMP7	6.8905
CRNKL1	0.316
C9orf45	-1.32216666666667
XAB2	0.314375
RTN1	1.9745
KLHL14	-0.1435
TBX10	-1.2545
CENPQ	-1.60175
UTY	-1.11414285714286
ZBTB12	-0.528
DTNBP1	0.242
KBTBD8	-1.436
ZEB1	1.568
ZG16	-1.11125
MIER1	0.8151
ADAM5P	-0.163
CHD9	0.7228125
STK16	-0.1845
KIAA1486	-0.609
TOB2	0.397916666666667
BANK1	3.29075
OR2V2	0.49175
GRM2	0.0706666666666667
PROSC	0.69675
SPIN2B	0.28725
PIR	-0.770444444444444
IPO9	-0.9453
EVC	0.999666666666667
CXCL13	0.3095
KIAA1199	-4.1407
SORL1	0.9575
NAT10	-0.964
CHD1	-0.214
SYN3	0.0595
SLC22A2	-0.20025
SERPINF1	2.2405
WDR34	-1.36525
OR7A17	0.264
C9orf11	0.6105
RNF216L	-0.2513
LHB	-0.3815
STK25	-0.476
TAOK3	0.859625
LOC152573	-0.04375
C3orf39	0.739375
C14orf108	0.5813
CDC25B	-1.84954545454545
BMP3	1.1335
TMEM180	-0.224
MAP1LC3C	2.52625
CRYGC	-0.299
POU3F1	-1.7105
C20orf32	-1.139
CCDC95	-0.494
HIGD1B	3.946
USP6NL	0.166875
ABCD4	0.2695
DIMT1L	-0.484
TEK	2.417
SLC25A46	-0.23225
LARP7	-1.5097
CD160	1.6085
MT1JP	0.929333333333333
PHF20	-0.223875
CPNE4	-0.70325
GTPBP1	-0.233642857142857
RAB33B	1.23816666666667
ALDOC	-0.42425
ZNF212	-0.139
NUDT1	-1.3035
RFPL2	-0.81825
ZNF83	0.294666666666667
GDPD5	0.823375
PDCD4	1.82245
CEP350	0.02625
OR10A2	0.17075
CST7	1.25875
CIAO1	-1.1365
SELL	0.484125
OR8J3	0.308
LTBP4	1.12816666666667
SIRT6	-0.85125
CCL19	3.943
PPIL1	-1.51366666666667
GBP7	0.0458333333333333
STK17A	-0.2373
ABR	0.64575
OR9G1	0.2945
FOXE1	-0.49
CNGA3	1.0075
GML	0.1625
CD38	-0.8975
ZDHHC6	-0.0248333333333333
NEFH	-2.52425
CTDSP2	1.23266666666667
PGBD5	-1.32733333333333
CCNY	0.318857142857143
RMND5B	0.0508333333333333
ZNF257	-0.941
FLJ22167	0.516625
EXOSC7	-0.350833333333333
ROR2	1.170625
MAOA	3.1305
TNNT3	3.404
GYPC	0.744
C7orf33	0.465
PLIN	4.4155
LOC90826	0.5725
