Hybridization REF	TCGA-AO-A03V-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.904416666666667
CREB3L1	1.5605
RPS11	2.522
PNMA1	0.098
MMP2	0.851
C10orf90	-2.294
ZHX3	-0.793333333333333
ERCC5	1.2405
GPR98	1.301
RXFP3	0.363
APBB2	1.56875
PRO0478	-0.5315
KLHL13	-3.19975
PRSSL1	-0.179166666666667
PDCL3	0.420333333333333
DECR1	-0.745
SALL1	-3.53933333333333
CADM4	0.417666666666667
RPS18	0.186857142857143
HNRPD	-0.360416666666667
CFHR5	0.260166666666667
SLC10A7	-0.37325
OR2K2	-0.5635
LMAN1	0.71525
SUHW1	-3.18425
CHD8	0.1487
SUMO1	0.7073
GP1BA	0.2328
DDB1	0.410166666666667
MYO9B	0.2386
MMP7	5.81525
CRNKL1	1.36675
C9orf45	-0.544833333333333
XAB2	1.72225
RTN1	1.10075
KLHL14	-0.986875
TBX10	-1.523
CENPQ	-1.885
UTY	-1.22292857142857
ZBTB12	-0.01
DTNBP1	-0.091875
KBTBD8	-1.80716666666667
ZEB1	1.76866666666667
ZG16	-2.10125
MIER1	0.8787
ADAM5P	0.418
CHD9	0.8588125
STK16	-1.02575
KIAA1486	-0.725
TOB2	0.740833333333333
BANK1	2.33625
OR2V2	0.34625
GRM2	0.130333333333333
PROSC	-0.13275
SPIN2B	-0.12325
PIR	-2.36711111111111
IPO9	-0.0779
EVC	1.24316666666667
CXCL13	2.65066666666667
KIAA1199	-2.9104
SORL1	1.5385
NAT10	-0.353
CHD1	0.011
SYN3	-0.74925
SLC22A2	-0.7375
SERPINF1	0.412
WDR34	-0.82925
OR7A17	0.2185
C9orf11	-0.4975
RNF216L	-0.9731
LHB	-0.3435
STK25	-0.690125
TAOK3	1.007375
LOC152573	-3.24225
C3orf39	0.4775
C14orf108	0.4474
CDC25B	-0.437636363636364
BMP3	0.352
TMEM180	0.2365
MAP1LC3C	0.95275
CRYGC	-1.1225
POU3F1	-1.3556
C20orf32	-1.9185
CCDC95	0.2795
HIGD1B	4.07275
USP6NL	0.541875
ABCD4	-0.5215
DIMT1L	-0.720583333333333
TEK	1.100375
SLC25A46	-0.618
LARP7	-1.4021
CD160	0.125
MT1JP	-0.02
PHF20	-0.0754375
CPNE4	-1.6945
GTPBP1	-0.0977857142857143
RAB33B	0.761166666666667
ALDOC	-2.176625
ZNF212	-0.12375
NUDT1	-1.29816666666667
RFPL2	-0.193
ZNF83	1.88716666666667
GDPD5	-0.5035
PDCD4	0.6546
CEP350	-0.2555
OR10A2	0.071
CST7	0.76225
CIAO1	-0.62425
SELL	1.339625
OR8J3	0.6915
LTBP4	-0.182666666666667
SIRT6	0.20075
CCL19	4.10075
PPIL1	-1.2405
GBP7	0.115333333333333
STK17A	-1.5338
ABR	-0.4915
OR9G1	-0.2415
FOXE1	-0.87925
CNGA3	0.8145
GML	0.772
CD38	-2.855
ZDHHC6	-0.7055
NEFH	0.418
CTDSP2	0.894166666666667
PGBD5	-0.785833333333333
CCNY	1.02192857142857
RMND5B	0.9975
ZNF257	1.00275
FLJ22167	-0.498125
EXOSC7	-0.324833333333333
ROR2	1.38125
MAOA	0.85225
TNNT3	1.57483333333333
GYPC	-1.2415
C7orf33	0.892
PLIN	3.7405
LOC90826	-0.49975
RNF4	0.4248
F8A1	0.428166666666667
PLEKHG4	-1.31675
GRB2	-0.5203
HIST1H2AD	0.6405
DUS3L	-0.2495
EIF1	-0.868
RP5-1077B9.4	-0.853
FPGT	1.307
GDF10	1.0665
COQ9	0.095
GCC2	0.632571428571429
RARRES3	2.8555
PLXNA1	-0.3337
KIAA0100	0.4378
PMF1	0.4385
FNDC1	4.4895
HS2ST1	0.0131666666666667
CRELD2	0.82825
C8G	-1.3865
CD82	1.06875
LIM2	-1.604
UNQ6490	-0.3385
MMP16	0.05275
DRD3	-0.06725
C5orf26	-0.476
C11orf73	-0.436625
PTP4A2	1.922625
OR4M2	0.234
HPCA	-1.31283333333333
SEC14L1	-1.14216666666667
CHFR	0.024
EMILIN1	0.903
NDUFS4	-0.457
COL18A1	0.62975
PDZD3	-0.0977
C9orf16	0.242666666666667
ERBB2IP	0.520333333333333
EMX2	2.857
FUS	-0.2365
TF	-2.7113
CLCN4	-0.536
CXorf56	0.857
C11orf72	0.2665
ELAC2	-0.706416666666667
NPR1	-0.11325
ASS1	-2.15433333333333
USP42	0.2465
POLR2J	-0.9405
SEC23IP	0.379833333333333
UQCRC1	0.448
LOC729603	0.28075
C1orf71	0.207375
POLG	-1.401
ADAM23	-3.3535
TFR2	-1.3185
RICTOR	-0.5164
MGC39606	1.0825
C19orf55	0.676125
SNAPC1	-1.49583333333333
GNA11	1.310625
CCDC52	0.643666666666667
FSIP1	4.3735
UPF3A	0.00575
IGSF11	-1.95483333333333
LAGE3	0.44575
CHST6	-1.8515
UNC13B	0.00425
TTLL4	-1.030625
ZNF687	0.345
SDC2	-0.9921
COX7A2	-0.78175
LAMB4	0.167
FAM24A	0.3295
LRRTM3	-1.15
GPHB5	-0.00825
OR4C13	0.1665
EIF3EIP	0.207642857142857
HABP4	-1.229
TMEM125	2.98275
CNTN2	-0.414875
ASNSD1	-0.36975
FUT4	-0.71675
ACF	-3.98375
LOC158381	0.986
CDH8	2.45375
AGPS	0.479166666666667
C4orf18	3.78525
PECI	-0.304166666666667
UNG	-0.49875
GSTP1	-1.03025
DCUN1D5	-1.77266666666667
DKFZP564J0863	-0.197
SLC9A3R1	0.71625
BCDO2	-0.2395
CHMP7	-0.07875
REM2	1.2195
DNHD1	-0.58225
FKBP4	0.730375
ZNF350	3.8785
MGC11102	-0.026625
BST1	0.586
KISS1R	-0.211
NCR2	0.1445
DEFB125	0.2225
UBE2W	0.582875
KRT15	0.16475
C10orf99	-0.0895
SCN11A	0.424125
GFI1	-2.69975
RDHE2	4.17666666666667
FHL1	-0.307833333333333
OSGEP	-0.158
GATA1	-3.24433333333333
SMC6	-1.09725
TTTY14	-1.51725
LPIN3	-0.182
RPL4	0.4627
RBPMS	0.5282
PRPF3	-0.0101666666666667
EMR1	-2.2395
SPATA19	-0.2025
XCR1	0.0635
IRX3	1.3794
RBM6	-0.1895
KLF4	0.028
UNC5CL	1.6865
SEBOX	0.3395
BTK	-1.50775
KRCC1	-0.482
C6orf27	0.474
SYTL5	0.6125
PRND	3.70125
LOC653319	-0.948
PIGL	-2.270125
HUS1	-0.610333333333333
SFRS6	0.354
C17orf77	-0.0675
UIMC1	-0.469
FXYD2	-1.514
LOC283152	-0.732
ZNF667	2.05375
ZCCHC12	-0.3045
TFEC	2.0395
ATP7B	1.20166666666667
POLD2	-0.465833333333333
RG9MTD1	-0.4425
ACOT2	0.619666666666667
HIST1H4I	0.01075
PPARGC1A	-2.2157
ETFA	-0.1972
POLRMT	-0.20375
ZNF146	1.77525
MIA2	-1.618
KLHL6	-1.47766666666667
HOXB5	2.018375
NENF	-0.139166666666667
CUGBP1	-0.57075
PRSS22	1.3975
CASC4	1.2727
CUL4B	0.1355
CENPJ	-1.2952
PITX1	1.73733333333333
FLJ31033	0.9695
CELSR3	-1.37283333333333
ZNF568	0.285
ITSN1	0.114833333333333
EHBP1L1	-0.345166666666667
C19orf2	0.0385
DCTN1	1.78225
LIN28B	-4.21083333333333
TNKS2	-0.79075
C1QBP	-1.2505
CADPS2	1.10075
SRMS	1.31875
GJA9	0.3935
MGC24975	-0.680166666666667
TRIM45	-0.919333333333333
TSP50	0.595
TCP1	-0.47075
TMED7	0.5124
CMA1	0.539
CENPL	-1.05366666666667
PTCRA	-0.3585
FST	-3.54525
VWCE	-3.342
PAWR	0.296
ABCC12	0.2428
LDLR	-0.3924
ASTN2	0.7538
LOC441212	-1.1765
GPATCH8	-0.13125
TANC2	0.450583333333333
KIF4A	-2.029
C18orf18	-1.76025
PGM1	-1.34025
KIAA0258	1.67475
CPD	2.56025
SNCAIP	-1.24525
DCT	-4.31683333333333
HLA-DOA	2.30513636363636
OR11L1	0.3195
UPK1B	-0.716666666666667
DNAJB4	0.608125
UGT1A8	-0.34525
HIST1H4L	-0.7035
PECR	-1.7975
HSPA2	2.5585
WFIKKN1	-0.829
SERP1	1.21775
SYDE2	3.01625
TACR2	1.027
NUP85	-1.283
CD177	-0.777166666666667
LGR5	-2.1204
PIGG	0.134833333333333
PTHR1	-0.761166666666667
RAB5A	0.6102
FLJ13224	0.677
USP9Y	-1.86466666666667
C7orf53	-1.5545
LRP1B	4.166
XAF1	1.1629
ABCG8	-0.283
ANKDD1A	0.141666666666667
DAND5	-2.5265
SPAG6	1.05
LINCR	0.76525
ZDHHC22	-1.5945
CCDC60	0.86
THOC7	-1.57733333333333
TCTA	0.9393
OR8K3	0.129
NY-REN-7	-0.49125
B2M	0.8005
C6orf141	-0.416625
LPPR4	1.34775
SQLE	-0.083875
SEPHS1	0.29275
BTBD14B	0.351428571428571
PLRG1	-0.94275
SPG7	-0.8113125
ZNF614	2.32633333333333
PARD6G	0.480833333333333
INPP5B	0.163
GRPEL2	-0.101625
PPID	-0.9964
TRIM56	0.398
UBE2J1	0.239875
IL20RA	1.70975
LOC387856	0.099
C1orf107	0.222083333333333
UTS2R	-0.0045
C19orf22	-0.4015
SAFB2	0.961625
KIAA0652	0.67675
KLRG1	-1.31816666666667
MS4A8B	4.2445
FRAG1	-0.3745
KIAA1546	0.2975
E2F4	-0.4192
CLEC4M	0.1195
BTBD14A	-2.01225
KIAA0999	0.2186
GYPA	-4.23116666666667
TAC1	1.2056
TRAIP	-1.15533333333333
KIAA0232	0.5609
ERCC8	-1.119875
GPX4	0.588625
KIAA0368	0.13375
GPR157	-0.919333333333333
CTAGE4	1.359
C9orf30	-1.47883333333333
OR52A1	-0.121
HSP90B3P	0.1925
ALG9	-1.292
BTBD10	1.19875
SDK2	0.01425
BAIAP3	1.75175
RABGGTB	-1.396625
ANKRD40	-1.031
KRT74	0.7335
CALCOCO2	-0.833428571428572
SNCA	-3.553
TMSL8	-2.915125
C2orf53	0.1975
ESRRB	-0.2825
ARHGAP26	-1.620875
TDRD9	1.61325
HRAS	0.683166666666667
KLRC4	-2.4315
JAGN1	-0.651666666666667
BSDC1	0.605
RNF43	-0.3927
NDUFAF1	-0.10675
PHF12	1.17
OR1L3	0.044
FOLR2	1.32275
LYZL6	-0.102333333333333
tcag7.1260	-1.58
WSB1	0.00150000000000001
PROS1	-0.721
OSTN	0.232
PSMB8	0.5035
SOCS4	0.446
DDIT4L	1.6705
MAS1	-0.6125
MGC34796	1.6705
CSHL1	0.2245
TBCCD1	-0.154333333333333
ZBTB7C	0.564
AP2S1	-0.77875
P15RS	-0.6669
VAT1	-0.9801
SHANK3	0.916166666666667
TUFM	0.256
THEG	-0.0955
KRT34	-2.094
SGSM3	-0.045625
TOMM22	-0.283
SOCS3	0.301333333333333
CPO	0.5125
POP4	0.192
BHLHB3	0.81975
MALL	1.203
OR1B1	0.6045
PARK2	0.985166666666667
GPR124	0.416125
LCE1E	0.0125
RUVBL2	-1.02025
CGRRF1	-0.3285
ACPL2	0.10875
WNT10B	-2.4965
BAIAP2L2	-0.838125
ISCA1	0.6225
C1orf125	0.11975
RPAP1	-1.73775
RAI16	-0.101666666666667
RPL27	-1.2775
NLRP9	0.1395
EPN1	1.8665
LOC388610	0.076875
SLC35A1	0.5005
GAL	-3.46825
SLC14A2	0.093
RDH11	-0.906333333333333
FAM138F	-0.213
AUH	0.7875
FLJ40243	0.39025
C14orf129	-0.0628333333333333
MBD2	-0.219666666666667
ABHD14B	-0.262125
PIGT	1.065125
