Hybridization REF	TCGA-A8-A09T-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.465
CREB3L1	0.99875
RPS11	0.34775
PNMA1	1.0485
MMP2	1.26333333333333
C10orf90	-1.0245
ZHX3	-0.114666666666667
ERCC5	0.19425
GPR98	0.567625
RXFP3	0.748
APBB2	1.9725
PRO0478	-1.2805
KLHL13	-1.8935
PRSSL1	-0.0408333333333333
PDCL3	0.124833333333333
DECR1	0.479375
SALL1	-2.97716666666667
CADM4	1.2935
RPS18	-0.641642857142857
HNRPD	-0.585583333333333
CFHR5	0.5514
SLC10A7	0.170375
OR2K2	0.075
LMAN1	-1.143125
SUHW1	-3.34625
CHD8	0.4421
SUMO1	0.2484
GP1BA	-0.1106
DDB1	0.0646666666666667
MYO9B	0.00160000000000001
MMP7	4.277
CRNKL1	0.698875
C9orf45	-1.3715
XAB2	0.558
RTN1	2.42575
KLHL14	-1.386625
TBX10	-1.1535
CENPQ	-1.75625
UTY	-1.18407142857143
ZBTB12	0.4155
DTNBP1	-0.476375
KBTBD8	-1.65066666666667
ZEB1	0.952166666666666
ZG16	-0.48375
MIER1	0.6691
ADAM5P	0.5615
CHD9	-0.389625
STK16	1.333
KIAA1486	-0.187
TOB2	0.965583333333333
BANK1	1.15675
OR2V2	0.44425
GRM2	0.1135
PROSC	-0.261
SPIN2B	0.68775
PIR	-3.09733333333333
IPO9	-0.518
EVC	0.803
CXCL13	0.341833333333333
KIAA1199	-0.1235
SORL1	1.4205
NAT10	-0.40375
CHD1	-0.6155
SYN3	-0.056
SLC22A2	0.01475
SERPINF1	1.158
WDR34	0.29325
OR7A17	0.30275
C9orf11	-0.402
RNF216L	-0.3632
LHB	-0.1105
STK25	-0.36
TAOK3	1.4595
LOC152573	-2.64325
C3orf39	0.992875
C14orf108	0.3194
CDC25B	-1.60345454545455
BMP3	0.0805
TMEM180	-0.0355
MAP1LC3C	-0.07175
CRYGC	-0.184
POU3F1	-0.8454
C20orf32	-1.42
CCDC95	0.161
HIGD1B	3.92475
USP6NL	-0.197375
ABCD4	-0.262
DIMT1L	-1.0055
TEK	0.026
SLC25A46	-0.64475
LARP7	-1.1248
CD160	-0.276833333333333
MT1JP	-0.9745
PHF20	-0.034625
CPNE4	-1.529
GTPBP1	-0.757428571428571
RAB33B	0.890666666666667
ALDOC	-1.272625
ZNF212	-0.0255
NUDT1	-1.08633333333333
RFPL2	-1.58125
ZNF83	-0.257
GDPD5	-1.44925
PDCD4	2.2583
CEP350	-0.28825
OR10A2	-0.004
CST7	0.507
CIAO1	-1.1865
SELL	-0.078
OR8J3	-0.292
LTBP4	0.0178333333333333
SIRT6	0.38675
CCL19	0.82575
PPIL1	-1.19016666666667
GBP7	0.0786666666666667
STK17A	-0.4061
ABR	0.4185
OR9G1	0.686
FOXE1	-0.58175
CNGA3	0.6335
GML	0.3105
CD38	-4.812
ZDHHC6	-0.1355
NEFH	-2.117
CTDSP2	1.33558333333333
PGBD5	-1.51683333333333
CCNY	0.424928571428571
RMND5B	0.91025
ZNF257	-2.039
FLJ22167	-0.17725
EXOSC7	-0.209166666666667
ROR2	1.16825
MAOA	2.535625
TNNT3	0.215833333333333
GYPC	-1.29275
C7orf33	0.3375
PLIN	0.689833333333333
LOC90826	0.057
RNF4	0.0098
F8A1	0.992833333333333
PLEKHG4	-1.40675
GRB2	0.14645
HIST1H2AD	0.1035
DUS3L	-0.390166666666667
EIF1	0.0935
RP5-1077B9.4	-1.0145
FPGT	1.79175
GDF10	-1.464
COQ9	-0.394
GCC2	-0.167714285714286
RARRES3	3.277
PLXNA1	-0.8416
KIAA0100	0.0598
PMF1	0.20625
FNDC1	5.36875
HS2ST1	0.04225
CRELD2	-0.22325
C8G	-2.05
CD82	0.889
LIM2	-1.078
UNQ6490	0.695
MMP16	-0.37525
DRD3	0.16125
C5orf26	-0.8935
C11orf73	-0.447625
PTP4A2	1.54325
OR4M2	0.821
HPCA	-1.2175
SEC14L1	-0.453
CHFR	-0.1425
EMILIN1	1.013
NDUFS4	-0.22
COL18A1	-0.091
PDZD3	-0.0137
C9orf16	0.0821666666666667
ERBB2IP	-0.0613333333333334
EMX2	2.9965
FUS	-0.42675
TF	-3.699
CLCN4	-1.006
CXorf56	0.4735
C11orf72	-0.0245
ELAC2	-0.25325
NPR1	-0.95425
ASS1	0.150833333333333
USP42	0.02425
POLR2J	-0.0925
SEC23IP	0.6225
UQCRC1	0.4355
LOC729603	-0.4855
C1orf71	-0.336625
POLG	-1.8375
ADAM23	-3.5755
TFR2	-0.81725
RICTOR	-0.8458
MGC39606	0.44475
C19orf55	-0.09675
SNAPC1	-1.67733333333333
GNA11	1.36925
CCDC52	0.519166666666667
FSIP1	2.9565
UPF3A	0.01675
IGSF11	-2.21216666666667
LAGE3	0.137
CHST6	-1.039
UNC13B	0.856375
TTLL4	-1.209
ZNF687	-0.106375
SDC2	0.0951
COX7A2	-0.23625
LAMB4	0.0565
FAM24A	-0.104
LRRTM3	-0.413166666666667
GPHB5	0.13925
OR4C13	0.088
EIF3EIP	-0.519071428571429
HABP4	-0.298
TMEM125	4.20925
CNTN2	-0.112375
ASNSD1	-0.24975
FUT4	-0.74725
ACF	-3.39125
LOC158381	0.5655
CDH8	0.329
AGPS	-0.0113333333333333
C4orf18	2.309625
PECI	-0.122333333333333
UNG	-0.214625
GSTP1	-1.96725
DCUN1D5	-1.00083333333333
DKFZP564J0863	-1.26075
SLC9A3R1	1.694625
BCDO2	-0.27325
CHMP7	-0.465375
REM2	0.5575
DNHD1	-0.61825
FKBP4	0.478625
ZNF350	1.8255
MGC11102	0.0395
BST1	0.88475
KISS1R	1.109
NCR2	-0.397
DEFB125	-0.265
UBE2W	1.48475
KRT15	4.049125
C10orf99	0.2635
SCN11A	-0.02775
GFI1	-3.28025
RDHE2	3.3075
FHL1	-1.30733333333333
OSGEP	0.269833333333333
GATA1	-3.217
SMC6	-1.29775
TTTY14	-1.774
LPIN3	-0.515
RPL4	-0.3962
RBPMS	-0.295
PRPF3	-0.565
EMR1	-1.8325
SPATA19	-0.37375
XCR1	1.6485
IRX3	2.2911
RBM6	-0.5115
KLF4	-1.1135
UNC5CL	-0.547
SEBOX	0.6095
BTK	-0.69275
KRCC1	0.8895
C6orf27	0.929
SYTL5	0.6045
PRND	2.69425
LOC653319	-1.409
PIGL	-0.983125
HUS1	-0.2115
SFRS6	-0.0445
C17orf77	0.565
UIMC1	-0.341666666666667
FXYD2	-1.9879
LOC283152	2.3395
ZNF667	-1.2115
ZCCHC12	-0.46475
TFEC	1.5886
ATP7B	1.501
POLD2	-0.889166666666667
RG9MTD1	-0.08125
ACOT2	0.339
HIST1H4I	-0.184875
PPARGC1A	-2.5575
ETFA	-0.8157
POLRMT	0.09525
ZNF146	-0.075125
MIA2	-1.224
KLHL6	-1.9255
HOXB5	-1.03875
NENF	0.443333333333333
CUGBP1	0.22375
PRSS22	2.07216666666667
CASC4	1.3877
CUL4B	0.1041
CENPJ	-1.6394
PITX1	0.00266666666666667
FLJ31033	0.217833333333333
CELSR3	-2.42816666666667
ZNF568	-0.07225
ITSN1	-0.302833333333333
EHBP1L1	-0.945666666666667
C19orf2	-1.068
DCTN1	0.3985
LIN28B	-2.71466666666667
TNKS2	-0.24325
C1QBP	0.136
CADPS2	2.23875
SRMS	0.63775
GJA9	0.1435
MGC24975	-0.175166666666667
TRIM45	0.0123333333333333
TSP50	-0.0425
TCP1	-1.399
TMED7	0.19
CMA1	0.2205
CENPL	-1.354
PTCRA	-0.1255
FST	-2.062
VWCE	-3.83725
PAWR	0.2945
ABCC12	0.351
LDLR	-0.9919
ASTN2	1.4538
LOC441212	-1.002
GPATCH8	-0.1025
TANC2	0.129166666666667
KIF4A	-1.67275
C18orf18	-1.42025
PGM1	-1.0795
KIAA0258	0.51275
CPD	0.276875
SNCAIP	-1.68975
DCT	-3.9975
HLA-DOA	2.64763636363636
OR11L1	0.4375
UPK1B	-0.0836666666666666
DNAJB4	-1.10575
UGT1A8	-0.2225
HIST1H4L	-0.508
PECR	-0.965
HSPA2	2.835
WFIKKN1	-1.5925
SERP1	0.923
SYDE2	1.50025
TACR2	0.7835
NUP85	-1.167
CD177	-0.582833333333333
LGR5	-1.2435
PIGG	-0.173916666666667
PTHR1	-0.9325
RAB5A	0.00160000000000001
FLJ13224	0.188
USP9Y	-1.21833333333333
C7orf53	-1.1755
LRP1B	1.1935
XAF1	0.8301
ABCG8	0.2755
ANKDD1A	-0.552
DAND5	-1.655
SPAG6	-0.0568333333333333
LINCR	0.7365
ZDHHC22	-0.505375
CCDC60	0.528
THOC7	-1.43816666666667
TCTA	1.0956
OR8K3	-0.01975
NY-REN-7	-1.08225
B2M	0.852
C6orf141	-2.645125
LPPR4	0.83375
SQLE	-1.353375
SEPHS1	-0.537
BTBD14B	0.414
PLRG1	-0.4715
SPG7	-0.6601875
ZNF614	-0.00933333333333334
PARD6G	0.949666666666667
INPP5B	-0.5519
GRPEL2	-0.330125
PPID	-1.0918
TRIM56	-0.29275
UBE2J1	-0.5525
IL20RA	2.4415
LOC387856	0.48925
C1orf107	0.0425833333333333
UTS2R	0.943
C19orf22	0.597
SAFB2	0.25775
KIAA0652	0.28
KLRG1	-1.05
MS4A8B	0.6155
FRAG1	0.37075
KIAA1546	0.3485
E2F4	-1.1329
CLEC4M	0.531666666666667
BTBD14A	-1.07275
KIAA0999	0.5467
GYPA	-3.21083333333333
TAC1	0.1529
TRAIP	-1.08616666666667
KIAA0232	0.7279
ERCC8	-1.314125
GPX4	0.808125
KIAA0368	-0.77125
GPR157	-1.222
CTAGE4	0.836
C9orf30	-2.324
OR52A1	0.1755
HSP90B3P	-0.6865
ALG9	-0.4714
BTBD10	0.32825
SDK2	-0.289
BAIAP3	2.3435
RABGGTB	-0.599375
ANKRD40	0.094
KRT74	0.2185
