Hybridization REF	TCGA-AN-A046-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.442833333333333
CREB3L1	0.9485
RPS11	0.77525
PNMA1	-0.15175
MMP2	1.26133333333333
C10orf90	-2.32025
ZHX3	-0.466166666666667
ERCC5	0.06375
GPR98	-1.622
RXFP3	0.622
APBB2	2.18975
PRO0478	-0.8875
KLHL13	-3.901
PRSSL1	-0.7565
PDCL3	0.239333333333333
DECR1	-1.351625
SALL1	-3.24616666666667
CADM4	1.76166666666667
RPS18	0.9055
HNRPD	-0.604333333333333
CFHR5	-0.433833333333333
SLC10A7	0.058125
OR2K2	0.8315
LMAN1	-1.199625
SUHW1	-3.43075
CHD8	0.2791
SUMO1	0.1164
GP1BA	0.0525
DDB1	-0.187
MYO9B	0.0073
MMP7	6.84775
CRNKL1	0.243625
C9orf45	-1.53916666666667
XAB2	0.906125
RTN1	3.025
KLHL14	-1.532
TBX10	-0.904
CENPQ	-2.098
UTY	-1.23723076923077
ZBTB12	0.6405
DTNBP1	-0.52875
KBTBD8	-0.6145
ZEB1	0.448333333333333
ZG16	-1.966
MIER1	0.0359
ADAM5P	0.959
CHD9	-0.478875
STK16	0.77975
KIAA1486	-0.4245
TOB2	1.88375
BANK1	2.636
OR2V2	-0.33925
GRM2	0.403166666666667
PROSC	0.176875
SPIN2B	0.9345
PIR	-3.393
IPO9	-0.1911
EVC	0.9805
CXCL13	6.32216666666667
KIAA1199	-1.4125
SORL1	-0.1235
NAT10	0.1885
CHD1	-0.671
SYN3	-0.4475
SLC22A2	-0.238
SERPINF1	0.829333333333333
WDR34	-0.1285
OR7A17	0.13175
C9orf11	-0.199
RNF216L	-0.3318
LHB	-0.0465
STK25	0.0545
TAOK3	0.89775
LOC152573	-2.891
C3orf39	0.411875
C14orf108	0.0038
CDC25B	-1.61836363636364
BMP3	-0.389
TMEM180	0.4335
MAP1LC3C	-0.25475
CRYGC	-0.4325
POU3F1	-1.2258
C20orf32	-0.9425
CCDC95	-0.1165
HIGD1B	3.813
USP6NL	-0.454375
ABCD4	-0.651833333333333
DIMT1L	-0.99125
TEK	0.574375
SLC25A46	-0.82925
LARP7	-1.8212
CD160	0.378
MT1JP	-1.90166666666667
PHF20	-0.0170625
CPNE4	-1.7285
GTPBP1	0.352357142857143
RAB33B	1.04583333333333
ALDOC	-2.69175
ZNF212	-0.633
NUDT1	-1.37616666666667
RFPL2	0.826
ZNF83	0.517833333333333
GDPD5	-1.416125
PDCD4	1.39335
CEP350	0.20175
OR10A2	0.5725
CST7	2.04125
CIAO1	-0.8415
SELL	1.915
OR8J3	0.177
LTBP4	-0.022
SIRT6	0.03325
CCL19	4.554
PPIL1	-1.54733333333333
GBP7	1.54216666666667
STK17A	-0.7205
ABR	-0.3685
OR9G1	-0.382
FOXE1	-0.497875
CNGA3	0.1025
GML	0.1145
CD38	-1.2155
ZDHHC6	0.155166666666667
NEFH	-2.70925
CTDSP2	0.5255
PGBD5	-1.1405
CCNY	0.326
RMND5B	0.602416666666667
ZNF257	-0.882
FLJ22167	-0.590125
EXOSC7	-0.8215
ROR2	2.4395
MAOA	-1.110625
TNNT3	0.622166666666667
GYPC	-1.368
C7orf33	1.303
PLIN	3.653
LOC90826	0.05475
RNF4	0.5338
F8A1	-0.0848333333333333
PLEKHG4	-2.732
GRB2	0.53575
HIST1H2AD	0.95525
DUS3L	-0.729333333333333
EIF1	-0.798833333333333
RP5-1077B9.4	-0.876166666666667
FPGT	1.501
GDF10	-0.334666666666667
COQ9	-0.44125
GCC2	-0.424
RARRES3	3.4085
PLXNA1	-0.2432
KIAA0100	-0.3173
PMF1	-0.3485
FNDC1	5.30625
HS2ST1	-0.554583333333333
CRELD2	1.22
C8G	-1.441
CD82	1.9305
LIM2	-1.6515
UNQ6490	-0.135
MMP16	0.038
DRD3	0.28275
C5orf26	0.303
C11orf73	-0.75425
PTP4A2	0.676875
OR4M2	0.87
HPCA	-0.537833333333333
SEC14L1	-1.051
CHFR	-0.23475
EMILIN1	0.818625
NDUFS4	-0.40825
COL18A1	-0.37525
PDZD3	-0.4312
C9orf16	0.0123333333333333
ERBB2IP	-0.0513333333333333
EMX2	3.04
FUS	-0.946
TF	-4.2374
CLCN4	-0.506
CXorf56	-0.029
C11orf72	0.717
ELAC2	-0.975666666666667
NPR1	-0.94375
ASS1	-3.33083333333333
USP42	0.635375
POLR2J	-0.4835
SEC23IP	0.827833333333333
UQCRC1	0.26575
LOC729603	-0.27575
C1orf71	-0.00574999999999998
POLG	-2.0125
ADAM23	-2.9995
TFR2	-1.2545
RICTOR	-1.6845
MGC39606	0.06675
C19orf55	-0.0795
SNAPC1	-1.78583333333333
GNA11	1.26575
CCDC52	-0.195833333333333
FSIP1	5.7195
UPF3A	-0.266375
IGSF11	-2.81383333333333
LAGE3	0.74125
CHST6	-1.8245
UNC13B	0.75575
TTLL4	-1.43175
ZNF687	-0.28925
SDC2	2.6548
COX7A2	0.205
LAMB4	-0.91
FAM24A	-0.3115
LRRTM3	-1.21033333333333
GPHB5	0.57
OR4C13	0.4025
EIF3EIP	0.665714285714286
HABP4	-0.8085
TMEM125	3.38025
CNTN2	0.368
ASNSD1	0.144
FUT4	-0.355625
ACF	-3.48375
LOC158381	-0.481
CDH8	-0.087
AGPS	-1.16333333333333
C4orf18	1.909625
PECI	0.208
UNG	-0.735375
GSTP1	-2.802375
DCUN1D5	-1.34133333333333
DKFZP564J0863	-0.538
SLC9A3R1	1.264125
BCDO2	-0.866375
CHMP7	0.3255
REM2	1.2765
DNHD1	-0.4045
FKBP4	0.458375
ZNF350	2.49625
MGC11102	0.239375
BST1	1.26525
KISS1R	1.179
NCR2	0.412
DEFB125	-0.8545
UBE2W	0.575
KRT15	-1.64375
C10orf99	0.3185
SCN11A	0.350125
GFI1	-1.563
RDHE2	1.265
FHL1	-0.0545
