Hybridization REF	TCGA-A8-A081-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.24266666666667
CREB3L1	1.781
RPS11	0.2695
PNMA1	0.14975
MMP2	-1.07316666666667
C10orf90	-2.74075
ZHX3	0.379666666666667
ERCC5	-0.23675
GPR98	-1.7785
RXFP3	0.761
APBB2	0.025
PRO0478	-1.056375
KLHL13	-4.4365
PRSSL1	-0.468
PDCL3	0.501333333333333
DECR1	0.89325
SALL1	-4.029
CADM4	1.45566666666667
RPS18	-0.803928571428571
HNRPD	-0.355833333333333
CFHR5	1.1415
SLC10A7	-0.168
OR2K2	0.2115
LMAN1	-0.71875
SUHW1	-3.8975
CHD8	-0.323
SUMO1	1.03
GP1BA	1.4168
DDB1	0.329833333333333
MYO9B	0.2339
MMP7	4.1975
CRNKL1	0.897875
C9orf45	-1.06166666666667
XAB2	0.637375
RTN1	1.317125
KLHL14	0.158125
TBX10	0.5075
CENPQ	-1.15025
UTY	-1.27184615384615
ZBTB12	-0.3345
DTNBP1	-0.25875
KBTBD8	-0.886333333333333
ZEB1	-1.26083333333333
ZG16	5.10225
MIER1	-0.1928
ADAM5P	-0.00399999999999998
CHD9	-0.4615625
STK16	1.89825
KIAA1486	-0.6615
TOB2	0.72825
BANK1	3.09475
OR2V2	-0.07375
GRM2	0.244833333333333
PROSC	2.144375
SPIN2B	1.02375
PIR	-2.12277777777778
IPO9	0.0362
EVC	-1.02316666666667
CXCL13	6.59366666666667
KIAA1199	-1.422
SORL1	1.3885
NAT10	0.31975
CHD1	-1.376
SYN3	-0.499
SLC22A2	-0.616
SERPINF1	-0.191
WDR34	0.1495
OR7A17	0.58125
C9orf11	-0.9245
RNF216L	-0.4899
LHB	-0.293
STK25	0.194125
TAOK3	0.484
LOC152573	-3.59375
C3orf39	1.171875
C14orf108	0.1847
CDC25B	0.0106363636363637
BMP3	-0.431
TMEM180	0.7535
MAP1LC3C	-0.671
CRYGC	-0.6595
POU3F1	-1.3704
C20orf32	-0.643
CCDC95	-0.221
HIGD1B	3.802
USP6NL	-0.345375
ABCD4	-0.657833333333333
DIMT1L	-1.09866666666667
TEK	0.508125
SLC25A46	-0.8765
