Hybridization REF	TCGA-AO-A0J8-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0144166666666667
CREB3L1	1.60925
RPS11	0.419875
PNMA1	0.18175
MMP2	0.9515
C10orf90	-2.174
ZHX3	-0.627166666666667
ERCC5	0.46775
GPR98	-2.121
RXFP3	0.417
APBB2	2.52375
PRO0478	-1.37475
KLHL13	-2.6225
PRSSL1	-0.811333333333333
PDCL3	-0.0398333333333333
DECR1	-0.41775
SALL1	-2.8615
CADM4	1.22983333333333
RPS18	-0.226642857142857
HNRPD	-0.897083333333333
CFHR5	-0.1548
SLC10A7	-0.051875
OR2K2	0.64
LMAN1	-0.8555
SUHW1	-3.6975
CHD8	0.0697
SUMO1	1.0044
GP1BA	1.1205
DDB1	-0.261833333333333
MYO9B	-0.1571
MMP7	7.086
CRNKL1	0.523
C9orf45	-2.35966666666667
XAB2	0.406875
RTN1	1.325625
KLHL14	-1.479125
TBX10	-0.781
CENPQ	-2.23375
UTY	-1.53575
ZBTB12	-0.169
DTNBP1	-0.837125
KBTBD8	-0.636333333333333
ZEB1	-0.209333333333333
ZG16	-1.641
MIER1	0.6851
ADAM5P	-0.476
CHD9	-0.3699375
STK16	0.986
KIAA1486	-0.061
TOB2	0.779916666666667
BANK1	2.41475
OR2V2	0.42975
GRM2	0.0661666666666667
PROSC	0.226375
SPIN2B	-0.082
PIR	-2.657
IPO9	-0.2151
EVC	1.32583333333333
CXCL13	4.44166666666667
KIAA1199	-0.4738
SORL1	1.804
NAT10	-0.3965
CHD1	-0.26925
SYN3	-0.3165
SLC22A2	-0.52825
SERPINF1	0.876333333333333
WDR34	-0.44575
OR7A17	0.18975
C9orf11	-1.2625
RNF216L	-0.4412
LHB	-0.036
STK25	-0.425
TAOK3	0.881375
LOC152573	-2.578
C3orf39	0.769625
C14orf108	0.4155
CDC25B	-2.28281818181818
BMP3	-0.4835
TMEM180	0.1235
MAP1LC3C	-0.06225
CRYGC	-0.972
POU3F1	-1.1675
C20orf32	-1.088
CCDC95	-0.1545
HIGD1B	4.4535
USP6NL	0.202625
ABCD4	-0.164333333333333
DIMT1L	-0.6995
TEK	1.004
SLC25A46	-0.55425
LARP7	-1.0892
CD160	0.412166666666667
MT1JP	-1.38883333333333
PHF20	1.73472347597681e-18
CPNE4	0.456
GTPBP1	-0.577714285714286
RAB33B	1.46033333333333
ALDOC	-2.991125
ZNF212	0.029
NUDT1	-1.26233333333333
RFPL2	1.2495
ZNF83	-0.0415
GDPD5	-1.242875
PDCD4	3.6046
CEP350	0.437
OR10A2	0.50375
CST7	1.47125
CIAO1	-0.75675
SELL	1.748625
OR8J3	0.267
LTBP4	-0.0845
SIRT6	0.40125
CCL19	4.74
PPIL1	-1.62
GBP7	-0.0798333333333334
STK17A	-0.7684
ABR	0.4455
OR9G1	-0.1955
FOXE1	-0.759625
CNGA3	0.434
GML	0.448
CD38	-2.237
ZDHHC6	0.0968333333333333
NEFH	-1.8155
CTDSP2	0.104416666666667
PGBD5	-1.203
CCNY	-0.0719285714285714
RMND5B	0.339416666666667
