Hybridization REF	TCGA-A8-A085-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.100916666666667
CREB3L1	0.61275
RPS11	0.688625
PNMA1	-0.00425
MMP2	0.0853333333333333
C10orf90	-1.84775
ZHX3	-0.366666666666667
ERCC5	-0.8755
GPR98	-2.548875
RXFP3	0.466
APBB2	0.32125
PRO0478	-0.48225
KLHL13	-2.217
PRSSL1	0.732333333333333
PDCL3	0.788333333333333
DECR1	-0.59525
SALL1	-3.12916666666667
CADM4	0.9725
RPS18	0.5825
HNRPD	-0.51525
CFHR5	0.4385
SLC10A7	0.68175
OR2K2	-0.0945
LMAN1	-1.077875
SUHW1	-3.51225
CHD8	-0.0911
SUMO1	0.5776
GP1BA	-0.6692
DDB1	0.155666666666667
MYO9B	0.521
MMP7	4.09075
CRNKL1	2.130125
C9orf45	-0.608666666666667
XAB2	0.971375
RTN1	-0.2115
KLHL14	-1.9005
TBX10	-0.759
CENPQ	-0.61925
UTY	1.72042857142857
ZBTB12	0.6215
DTNBP1	0.410375
KBTBD8	-2.337
ZEB1	0.430833333333333
ZG16	2.6345
MIER1	0.2681
ADAM5P	-0.23
CHD9	-0.0394375
STK16	-0.146
KIAA1486	-0.451
TOB2	0.362833333333333
BANK1	0.90475
OR2V2	0.523
GRM2	0.2815
PROSC	0.233
SPIN2B	0.54125
PIR	-2.95511111111111
IPO9	0.0781
EVC	0.353666666666667
CXCL13	0.430166666666667
KIAA1199	0.7556
SORL1	1.15825
NAT10	-0.16325
CHD1	-0.906
SYN3	-0.11
SLC22A2	-0.68325
SERPINF1	0.478
WDR34	0.19425
OR7A17	0.47575
C9orf11	-0.842
RNF216L	-0.3968
LHB	-0.2165
STK25	0.268125
TAOK3	0.769625
LOC152573	-3.319
C3orf39	0.872
C14orf108	0.615
CDC25B	-0.698545454545455
BMP3	0.4365
TMEM180	0.1305
MAP1LC3C	-0.141
CRYGC	-0.2605
POU3F1	-1.2893
C20orf32	-1.2875
CCDC95	-0.164
HIGD1B	4.49875
USP6NL	-1.193625
ABCD4	-1.43216666666667
DIMT1L	-0.492583333333333
TEK	0.782875
SLC25A46	-0.255
LARP7	-1.3574
CD160	0.534
MT1JP	-1.17683333333333
PHF20	-0.1746875
CPNE4	-1.467
GTPBP1	-0.657857142857143
RAB33B	0.934
ALDOC	-2.010625
ZNF212	-0.2585
NUDT1	0.0433333333333333
RFPL2	0.18
ZNF83	0.066
GDPD5	-0.6895
PDCD4	0.02195
CEP350	-0.224
OR10A2	-0.042
CST7	-0.756
CIAO1	-0.5485
SELL	-0.044625
OR8J3	-0.179
LTBP4	-0.372
SIRT6	-0.621
CCL19	0.84725
PPIL1	-0.095
GBP7	0.399333333333333
STK17A	-2.0505
ABR	-0.27725
OR9G1	-0.163
FOXE1	-0.57625
CNGA3	3.6225
GML	0.2765
CD38	-4.9155
ZDHHC6	0.382666666666667
NEFH	-1.57425
CTDSP2	0.31875
PGBD5	-1.57116666666667
CCNY	0.2165
RMND5B	0.453916666666667
ZNF257	-3.62675
FLJ22167	-0.78
EXOSC7	-0.319
ROR2	0.55325
MAOA	1.584
TNNT3	0.1385
GYPC	-1.25725
C7orf33	-0.187
PLIN	1.344
LOC90826	-0.591
RNF4	-0.6102
F8A1	0.595666666666667
PLEKHG4	-0.37875
GRB2	1.3208
HIST1H2AD	1.22
DUS3L	0.114
EIF1	-0.444166666666667
