Hybridization REF	TCGA-A7-A0DC-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.32633333333333
CREB3L1	-0.96325
RPS11	0.70425
PNMA1	1.1205
MMP2	-1.81866666666667
C10orf90	-2.226
ZHX3	0.646166666666667
ERCC5	-0.47125
GPR98	-2.268875
RXFP3	0.1895
APBB2	1.28225
PRO0478	-0.655625
KLHL13	-2.727
PRSSL1	0.335166666666667
PDCL3	0.4025
DECR1	0.599375
SALL1	-4.78416666666667
CADM4	0.451666666666667
RPS18	0.455
HNRPD	-0.255833333333333
CFHR5	1.8328
SLC10A7	0.412
OR2K2	-0.139
LMAN1	-0.68375
SUHW1	-3.8455
CHD8	0.07
SUMO1	0.7
GP1BA	-0.0816
DDB1	-0.8025
MYO9B	-0.3819
MMP7	4.533
CRNKL1	2.022875
C9orf45	-0.6745
XAB2	0.345125
RTN1	-0.064625
KLHL14	-1.72875
TBX10	-1.355
CENPQ	-1.4675
UTY	-1.16171428571429
ZBTB12	0.0645
DTNBP1	0.060875
KBTBD8	-4.52466666666667
ZEB1	-1.07583333333333
ZG16	0.313
MIER1	-0.1536
ADAM5P	1.705
CHD9	-0.9909375
STK16	0.95725
KIAA1486	0.0225
TOB2	0.839833333333333
BANK1	-0.35925
OR2V2	0.04225
GRM2	0.291666666666667
PROSC	1.181375
SPIN2B	0.53225
PIR	-1.688
IPO9	-0.6939
EVC	-0.0581666666666667
CXCL13	-0.819
KIAA1199	-2.8707
SORL1	0.3485
NAT10	0.42375
CHD1	-0.502
SYN3	-0.9985
SLC22A2	-0.58025
SERPINF1	-2.75583333333333
WDR34	-0.659
OR7A17	0.3905
C9orf11	0.63
RNF216L	-0.8906
LHB	0.1185
STK25	-0.162
TAOK3	1.44525
LOC152573	-3.52
C3orf39	1.160375
C14orf108	0.317
CDC25B	-1.80854545454545
BMP3	0.8415
TMEM180	0.9235
MAP1LC3C	-1.1025
CRYGC	0.0585
POU3F1	-1.6312
C20orf32	-1.3915
CCDC95	0.266
HIGD1B	5.1115
USP6NL	-0.892375
ABCD4	0.000333333333333329
DIMT1L	-0.587666666666667
TEK	0.37275
SLC25A46	-0.85225
LARP7	-1.41
CD160	0.194166666666667
MT1JP	0.0608333333333334
PHF20	1.011875
CPNE4	-1.92425
GTPBP1	-0.195857142857143
RAB33B	0.5705
ALDOC	-1.1805
ZNF212	0.286
NUDT1	-1.23216666666667
RFPL2	-0.83975
ZNF83	0.703
GDPD5	-1.9285
PDCD4	2.1338
CEP350	-1.13125
OR10A2	0.0145
CST7	-1.94325
CIAO1	-1.3595
SELL	-0.383571428571429
OR8J3	-0.332
LTBP4	0.233833333333333
SIRT6	0.12675
CCL19	1.3005
PPIL1	-0.601333333333333
GBP7	1.07266666666667
STK17A	-1.4305
ABR	-0.0895
OR9G1	-0.064
FOXE1	-0.6705
CNGA3	1.121
GML	0.529
CD38	-5.063
ZDHHC6	0.214666666666667
NEFH	-2.6205
CTDSP2	0.58275
PGBD5	0.34
CCNY	0.0541428571428572
RMND5B	0.484916666666667
ZNF257	-1.11525
FLJ22167	-0.18475
EXOSC7	-0.571666666666667
ROR2	-1.099375
MAOA	4.429625
TNNT3	-0.252166666666667
GYPC	-2.28025
C7orf33	1.761
PLIN	1.77383333333333
LOC90826	0.15425
RNF4	-0.0221
F8A1	0.3465
PLEKHG4	-1.4945
GRB2	1.7135
HIST1H2AD	1.038
DUS3L	-0.252166666666667
EIF1	-0.2545
RP5-1077B9.4	-0.619
FPGT	1.162
