Hybridization REF	TCGA-A8-A09A-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.97875
CREB3L1	0.23275
RPS11	-0.089375
PNMA1	0.2525
MMP2	0.916
C10orf90	-1.79425
ZHX3	0.435666666666667
ERCC5	0.27025
GPR98	-0.057375
RXFP3	0.221
APBB2	1.84325
PRO0478	-0.686375
KLHL13	-0.33525
PRSSL1	-1.349
PDCL3	0.9345
DECR1	-1.65775
SALL1	-2.4265
CADM4	0.1395
RPS18	-0.856
HNRPD	-1.0025
CFHR5	1.29783333333333
SLC10A7	0.4835
OR2K2	1.209
LMAN1	-0.569875
SUHW1	-4.19766666666667
CHD8	0.0746
SUMO1	0.4176
GP1BA	0.1894
DDB1	0.412666666666667
MYO9B	-0.0384
MMP7	7.25
CRNKL1	1.008375
C9orf45	-0.808833333333333
XAB2	-0.633375
RTN1	1.683375
KLHL14	-1.086625
TBX10	-1.671
CENPQ	-1.46
UTY	-1.0862
ZBTB12	-0.522
DTNBP1	0.1555
KBTBD8	-1.64533333333333
ZEB1	1.1765
ZG16	3.30075
MIER1	-0.0592
ADAM5P	0.1105
CHD9	0.1545625
STK16	0.0225
KIAA1486	-0.73
TOB2	0.94975
BANK1	2.561
OR2V2	-0.782
GRM2	0.413
PROSC	1.646
SPIN2B	-0.28925
PIR	-2.35
IPO9	0.0175
EVC	0.923
CXCL13	3.91133333333333
KIAA1199	-2.3937
SORL1	0.82325
NAT10	0.58
CHD1	-1.71
SYN3	0.4195
SLC22A2	-0.45625
SERPINF1	1.24966666666667
WDR34	-0.5945
OR7A17	-0.0315
C9orf11	-0.5515
RNF216L	-0.5161
LHB	-0.5095
STK25	-0.06425
TAOK3	1.414875
LOC152573	-4.60066666666667
C3orf39	0.198875
C14orf108	0.611
CDC25B	-1.75472727272727
BMP3	0.457
TMEM180	-0.763
MAP1LC3C	0.795
CRYGC	-0.5005
POU3F1	-1.8483
C20orf32	-1.6675
CCDC95	-0.543
HIGD1B	4.46575
USP6NL	-0.173125
ABCD4	-0.724666666666667
DIMT1L	-1.50291666666667
TEK	1.737875
SLC25A46	-1.18475
LARP7	-1.7162
CD160	0.7565
MT1JP	-0.718333333333333
PHF20	0.3755625
CPNE4	-1.374
GTPBP1	-0.407214285714286
RAB33B	1.07
ALDOC	-2.6875
ZNF212	0.01725
NUDT1	-1.3815
RFPL2	-1.721
ZNF83	0.358833333333333
GDPD5	0.109
PDCD4	1.19135
CEP350	0.3315
OR10A2	-0.1695
CST7	0.99775
CIAO1	-0.48625
SELL	1.236125
OR8J3	-0.228
LTBP4	-0.0596666666666667
SIRT6	-0.277
CCL19	5.07075
PPIL1	-0.9232
GBP7	1.68683333333333
STK17A	-1.1367
ABR	0.43025
OR9G1	0.1455
FOXE1	-0.984625
CNGA3	-0.341
GML	0.6555
CD38	-2.045
ZDHHC6	0.150833333333333
NEFH	-1.80675
CTDSP2	1.368
PGBD5	-0.873
CCNY	0.841928571428572
RMND5B	-0.0196666666666667
ZNF257	-1.093
FLJ22167	-0.439375
EXOSC7	-0.8135
ROR2	1.719125
MAOA	1.702
TNNT3	1.692
GYPC	-0.9695
C7orf33	0.322
PLIN	3.95233333333333
LOC90826	-1.48025
RNF4	0.1734
F8A1	1.18816666666667
PLEKHG4	-1.2995
GRB2	1.2796
HIST1H2AD	1.2495
DUS3L	-0.899333333333333
EIF1	0.554333333333333
RP5-1077B9.4	-1.517
FPGT	1.1485
GDF10	1.209
COQ9	0.40725
GCC2	0.182857142857143
RARRES3	1.32875
PLXNA1	0.00780000000000001
KIAA0100	0.6801
PMF1	-0.01375
FNDC1	5.51675
HS2ST1	-0.16725
CRELD2	0.46675
C8G	-2.109
CD82	0.908
LIM2	-1.2065
UNQ6490	-0.1035
MMP16	0.705
DRD3	0.354
C5orf26	-1.8975
C11orf73	-0.04225
PTP4A2	1.292625
OR4M2	0.0365
HPCA	-0.547666666666667
SEC14L1	0.271666666666667
CHFR	0.31175
EMILIN1	1.409
NDUFS4	-1.28125
COL18A1	0.88925
PDZD3	-0.212666666666667
C9orf16	-0.393
ERBB2IP	-0.373
EMX2	2.98175
FUS	-0.69675
TF	-3.6549
CLCN4	-0.0486666666666667
CXorf56	0.6515
C11orf72	0.266
ELAC2	-0.68175
NPR1	-0.24
ASS1	-2.57616666666667
USP42	0.235
POLR2J	-1.1375
SEC23IP	0.694833333333333
UQCRC1	-0.454
LOC729603	-0.05925
C1orf71	-0.196625
POLG	-2.579
ADAM23	-2.83275
TFR2	-1.89925
RICTOR	-0.9794
MGC39606	0.73825
C19orf55	-0.46575
SNAPC1	-1.31966666666667
GNA11	1.629875
CCDC52	-0.0306666666666667
FSIP1	4.696
UPF3A	0.295625
IGSF11	-2.2805
LAGE3	-0.08875
CHST6	-2.399
UNC13B	0.577125
TTLL4	-0.657875
ZNF687	0.378375
SDC2	-0.2613
COX7A2	0.172
LAMB4	-0.0486666666666667
FAM24A	0.1285
LRRTM3	-0.913666666666667
GPHB5	-0.19775
OR4C13	-0.295
EIF3EIP	-0.167714285714286
HABP4	-0.146
TMEM125	2.90025
CNTN2	-0.158875
ASNSD1	-0.08575
FUT4	0.147625
ACF	-3.82875
LOC158381	-0.114
CDH8	-0.12125
AGPS	-0.2925
C4orf18	2.934375
PECI	0.827083333333333
UNG	0.204125
GSTP1	-1.971
DCUN1D5	-1.21733333333333
DKFZP564J0863	-0.9185
SLC9A3R1	3.4935
BCDO2	-1.130875
CHMP7	0.993125
REM2	0.343
DNHD1	-0.63775
FKBP4	0.585625
ZNF350	2.3265
MGC11102	0.273625
BST1	0.99225
KISS1R	0.415
NCR2	0.4285
DEFB125	0.496
UBE2W	1.617875
KRT15	2.357625
C10orf99	0.1245
SCN11A	0.596
GFI1	-0.79925
RDHE2	-0.504166666666667
FHL1	-0.3585
OSGEP	-1.103
GATA1	-3.549
SMC6	-0.63325
TTTY14	-1.9125
LPIN3	0.09075
RPL4	-0.5927
RBPMS	2.184
PRPF3	-0.734666666666667
EMR1	-1.664
SPATA19	-0.391
XCR1	-0.1445
IRX3	1.5023
RBM6	-0.68675
KLF4	-0.8879
UNC5CL	-1.059
SEBOX	-0.1255
BTK	-0.17
KRCC1	1.10575
C6orf27	0.257
SYTL5	-0.029
PRND	1.981625
LOC653319	-1.63
PIGL	-2.39625
HUS1	-0.774166666666667
SFRS6	-0.0870833333333333
C17orf77	1.22
UIMC1	-0.856
FXYD2	-1.877
LOC283152	-0.925
ZNF667	-0.4555
ZCCHC12	-0.522
TFEC	2.789
ATP7B	1.28116666666667
POLD2	-1.18766666666667
RG9MTD1	-0.806
ACOT2	0.0525
HIST1H4I	-0.520125
PPARGC1A	-2.38666666666667
ETFA	-0.673
POLRMT	-0.40625
ZNF146	0.177125
MIA2	-1.314
KLHL6	-0.624166666666667
HOXB5	-0.748
NENF	-0.163
CUGBP1	-0.25125
PRSS22	1.49666666666667
CASC4	0.794
CUL4B	0.2512
CENPJ	-1.5057
PITX1	-0.8765
FLJ31033	0.477833333333333
