Hybridization REF	TCGA-B6-A0IN-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0566666666666667
CREB3L1	1.5025
RPS11	1.201125
PNMA1	-0.15025
MMP2	-0.219333333333333
C10orf90	-1.5835
ZHX3	0.0805
ERCC5	0.23175
GPR98	-0.196875
RXFP3	0.94
APBB2	1.03325
PRO0478	-0.887625
KLHL13	-1.71325
PRSSL1	-0.134
PDCL3	0.285333333333333
DECR1	-0.789625
SALL1	-3.8136
CADM4	0.765333333333333
RPS18	0.0861428571428572
HNRPD	-1.04308333333333
CFHR5	-0.156
SLC10A7	0.06675
OR2K2	-1.893
LMAN1	-0.529625
SUHW1	-3.12625
CHD8	-0.3338
SUMO1	0.6532
GP1BA	2.8315
DDB1	0.0961666666666667
MYO9B	-0.3534
MMP7	4.74525
CRNKL1	0.343375
C9orf45	-0.847166666666667
XAB2	-0.551
RTN1	0.544625
KLHL14	-0.688
TBX10	-1.0405
CENPQ	-1.336
UTY	-1.45438461538462
ZBTB12	-0.203
DTNBP1	0.69625
KBTBD8	-0.356333333333333
ZEB1	0.6915
ZG16	-1.959
MIER1	0.4211
ADAM5P	5.234
CHD9	-0.2650625
STK16	-0.70325
KIAA1486	-0.0495
TOB2	0.247416666666667
BANK1	5.336
OR2V2	0.845333333333333
GRM2	-0.297166666666667
PROSC	0.631875
SPIN2B	-0.49975
PIR	-0.717444444444444
IPO9	-1.2331
EVC	0.027
CXCL13	6.13933333333333
KIAA1199	-2.7871
SORL1	2.046
NAT10	-0.55125
CHD1	-0.73475
SYN3	-0.472
SLC22A2	-1.39675
SERPINF1	1.0975
WDR34	-0.512
OR7A17	0.23325
C9orf11	0.518
RNF216L	0.1415
LHB	0.389
STK25	-0.50925
TAOK3	0.671125
LOC152573	-2.52125
C3orf39	-0.222
C14orf108	0.00429999999999999
CDC25B	-1.51309090909091
BMP3	0.222
TMEM180	0.282
MAP1LC3C	0.6765
CRYGC	0.963
POU3F1	-0.8689
C20orf32	-1.104
CCDC95	-0.253
HIGD1B	5.01675
USP6NL	-0.050125
ABCD4	-0.161833333333333
DIMT1L	-1.18875
TEK	2.630875
SLC25A46	-1.046
LARP7	-1.5381
CD160	-0.408
MT1JP	-0.302
PHF20	-0.0666875
CPNE4	0.349
GTPBP1	-0.5575
RAB33B	0.391166666666667
ALDOC	-1.802375
ZNF212	0.929
NUDT1	-0.4355
RFPL2	-0.125
ZNF83	-1.23583333333333
GDPD5	-0.943125
PDCD4	1.20505
CEP350	-0.4065
OR10A2	0.73575
CST7	0.460666666666667
CIAO1	-0.61525
SELL	2.0265
OR8J3	3.1905
LTBP4	0.456
SIRT6	0.29425
CCL19	5.767
PPIL1	-0.541666666666667
GBP7	0.97
STK17A	-0.91
ABR	0.9825
OR9G1	1.028
FOXE1	-0.62225
CNGA3	1.988
GML	0.477
CD38	-1.076
ZDHHC6	-0.407166666666667
NEFH	-1.8385
CTDSP2	0.376666666666667
PGBD5	-1.834
CCNY	0.718857142857143
RMND5B	0.364333333333333
ZNF257	-1.96075
FLJ22167	-0.33375
EXOSC7	-0.585333333333333
ROR2	-0.128625
MAOA	0.956375
TNNT3	1.65183333333333
GYPC	-0.274
C7orf33	0.9245
PLIN	5.253
LOC90826	-0.682
RNF4	0.2635
F8A1	0.7295
PLEKHG4	-1.074
GRB2	0.70515
HIST1H2AD	0.5145
DUS3L	-1.11766666666667
EIF1	0.0778333333333334
RP5-1077B9.4	-0.927
FPGT	0.92525
GDF10	1.61866666666667
COQ9	-0.1795
GCC2	-0.0191428571428571
RARRES3	1.712625
PLXNA1	-0.3237
KIAA0100	0.0084
PMF1	0.255
FNDC1	5.12175
HS2ST1	0.15425
CRELD2	3.19225
C8G	-1.997
CD82	-0.09825
LIM2	-0.362
UNQ6490	0.332
MMP16	-0.092
DRD3	0.0763333333333333
C5orf26	-0.511
C11orf73	-0.53925
PTP4A2	1.29375
OR4M2	-0.2755
HPCA	-1.19383333333333
SEC14L1	-0.376
CHFR	-0.371875
EMILIN1	1.277625
NDUFS4	-0.533
