Hybridization REF	TCGA-B6-A0IM-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.492166666666667
CREB3L1	1.1185
RPS11	0.4315
PNMA1	0.32925
MMP2	0.6835
C10orf90	-1.84125
ZHX3	-0.217166666666667
ERCC5	-0.4755
GPR98	0.425
RXFP3	0.3395
APBB2	1.40275
PRO0478	-1.250375
KLHL13	-1.85675
PRSSL1	-0.825333333333333
PDCL3	-0.0945
DECR1	-0.023875
SALL1	-2.41033333333333
CADM4	2.25266666666667
RPS18	0.0437142857142857
HNRPD	-0.55175
CFHR5	0.625
SLC10A7	-0.43725
OR2K2	1.724
LMAN1	-0.489
SUHW1	-5.29375
CHD8	-0.3172
SUMO1	0.7853
GP1BA	-0.1811
DDB1	-0.928333333333333
MYO9B	-0.3042
MMP7	6.81825
CRNKL1	0.579625
C9orf45	-1.01366666666667
XAB2	-0.0675
RTN1	1.430875
KLHL14	-1.05325
TBX10	-1.3145
CENPQ	-0.949
UTY	-1.78064285714286
ZBTB12	-2.9795
DTNBP1	0.00712499999999996
KBTBD8	-1.72633333333333
ZEB1	-0.118
ZG16	-0.5195
MIER1	0.0631
ADAM5P	-2.235
CHD9	-0.810333333333333
STK16	1.79325
KIAA1486	-1.023
TOB2	0.371583333333333
BANK1	1.765
OR2V2	0.192333333333333
GRM2	-0.105833333333333
PROSC	0.88875
SPIN2B	0.724
PIR	-1.16844444444444
IPO9	-0.6426
EVC	0.466
CXCL13	2.7355
KIAA1199	-0.6556
SORL1	0.10875
NAT10	-0.904
CHD1	0.04175
SYN3	-0.20675
SLC22A2	-0.0955
SERPINF1	0.8155
WDR34	-0.57875
OR7A17	-0.38725
C9orf11	-1.4435
RNF216L	-0.5003
LHB	1.064
STK25	-0.140125
TAOK3	1.138625
LOC152573	-3.25125
C3orf39	0.3665
C14orf108	0.2429
CDC25B	-0.971727272727273
BMP3	1.164
TMEM180	-0.367
MAP1LC3C	-0.25825
CRYGC	-0.835
POU3F1	-1.4073
C20orf32	-1.8515
CCDC95	-0.3235
HIGD1B	4.62675
USP6NL	-0.728
ABCD4	-0.6955
DIMT1L	-0.566333333333333
TEK	1.476625
SLC25A46	-0.8605
LARP7	-1.7455
CD160	-0.178333333333333
MT1JP	0.241666666666667
PHF20	-0.14
CPNE4	-1.58125
GTPBP1	-0.258428571428571
RAB33B	1.566
ALDOC	-1.60025
ZNF212	0.51525
NUDT1	-1.12583333333333
RFPL2	-0.68925
ZNF83	-0.563166666666667
GDPD5	-0.859625
PDCD4	1.3041
CEP350	-0.56825
OR10A2	0.04925
CST7	0.336
CIAO1	-1.056
SELL	0.467125
OR8J3	1.1235
LTBP4	-0.823833333333333
SIRT6	0.18175
CCL19	4.28075
PPIL1	-0.965
GBP7	-0.383666666666667
STK17A	-1.5147
ABR	0.283
OR9G1	0.04
FOXE1	-0.898375
CNGA3	-0.062
GML	0.2625
CD38	-3.795
ZDHHC6	0.424333333333333
NEFH	-2.80825
CTDSP2	0.940666666666667
PGBD5	0.242166666666667
CCNY	-0.00471428571428571
RMND5B	0.605333333333333
ZNF257	-3.96525
FLJ22167	-0.759875
EXOSC7	-0.5585
ROR2	0.897375
MAOA	-0.141875
TNNT3	1.2325
GYPC	-0.92225
C7orf33	2.099
PLIN	4.4855
LOC90826	-0.33725
RNF4	0.2392
F8A1	0.941166666666667
PLEKHG4	-2.83775
GRB2	0.509
HIST1H2AD	0.588
DUS3L	-1.46933333333333
EIF1	-0.401166666666667
RP5-1077B9.4	-1.08016666666667
FPGT	1.073
GDF10	-0.428
COQ9	-0.88925
GCC2	0.0471428571428572
RARRES3	2.617125
PLXNA1	-0.0297
KIAA0100	0.3826
PMF1	-0.35325
FNDC1	5.7025
HS2ST1	-0.172583333333333
CRELD2	0.65175
C8G	-2.1115
CD82	0.05725
LIM2	-1.117
UNQ6490	0.017
MMP16	-0.21
DRD3	-0.59225
C5orf26	-0.72775
C11orf73	-0.9125
PTP4A2	0.629875
OR4M2	0.6145
HPCA	-1.32833333333333
SEC14L1	-1.01266666666667
CHFR	-0.1655
EMILIN1	1.629
NDUFS4	-0.6455
COL18A1	-0.019625
PDZD3	-0.4806
C9orf16	-0.218333333333333
ERBB2IP	0.205333333333333
EMX2	4.84525
FUS	-1.51125
TF	-3.8958
CLCN4	-0.8005
CXorf56	0.04525
C11orf72	0.405
ELAC2	-1.01466666666667
NPR1	-0.476
ASS1	-2.81766666666667
USP42	0.384375
POLR2J	-0.1545
SEC23IP	0.4735
UQCRC1	-0.418
LOC729603	-0.5315
C1orf71	0.26375
POLG	-0.985
ADAM23	-2.97125
TFR2	-1.69075
RICTOR	-0.8345
MGC39606	0.2475
C19orf55	-0.204125
SNAPC1	-2.6435
GNA11	0.322625
CCDC52	-0.746
FSIP1	6.9355
UPF3A	0.326125
IGSF11	-2.365
LAGE3	0.05825
CHST6	-0.3325
UNC13B	0.330625
TTLL4	-1.3235
ZNF687	-0.39275
SDC2	-0.1178
COX7A2	0.54375
LAMB4	-0.535
FAM24A	0.404
LRRTM3	-1.44983333333333
GPHB5	0.28425
OR4C13	-0.6675
EIF3EIP	0.3495
HABP4	-0.4775
TMEM125	3.76775
CNTN2	0.247875
ASNSD1	-0.32325
FUT4	-0.218875
ACF	-3.89475
LOC158381	0.8225
CDH8	-0.38925
AGPS	-1.08483333333333
C4orf18	2.657125
PECI	-0.683
UNG	-0.72025
GSTP1	-2.26175
DCUN1D5	-2.11633333333333
DKFZP564J0863	-1.621
SLC9A3R1	1.5915
BCDO2	-1.23225
CHMP7	-0.925
REM2	0.449
DNHD1	-0.841375
FKBP4	0.348375
ZNF350	1.1085
MGC11102	0.138875
BST1	1.28775
KISS1R	1.191
NCR2	0.6785
DEFB125	null
UBE2W	1.16575
KRT15	-1.927125
C10orf99	0.629
SCN11A	-0.310375
GFI1	-3.1005
RDHE2	5.30616666666667
FHL1	-0.124666666666667
OSGEP	-0.147333333333333
GATA1	-3.533
SMC6	-1.432
TTTY14	-1.213
LPIN3	-0.20175
RPL4	0.191
RBPMS	-0.3188
PRPF3	-0.954166666666667
EMR1	-1.938
SPATA19	-0.12825
XCR1	1.1925
IRX3	1.927
RBM6	-0.85975
KLF4	-0.8464
UNC5CL	-0.626
SEBOX	1.1225
BTK	-0.6115
KRCC1	1.44725
C6orf27	0.3635
SYTL5	1.0615
PRND	2.52028571428571
LOC653319	-1.3255
PIGL	-1.47225
HUS1	0.000666666666666667
SFRS6	-1.8145
C17orf77	0.489
UIMC1	-0.745833333333333
FXYD2	-1.9454
LOC283152	-0.901
ZNF667	-1.92275
ZCCHC12	-0.68925
TFEC	2.7146
ATP7B	0.268166666666667
POLD2	-0.396666666666667
RG9MTD1	-0.05325
ACOT2	-0.2875
HIST1H4I	-0.5025
PPARGC1A	-2.3361
ETFA	-2.9906
POLRMT	-0.93925
ZNF146	0.2255
MIA2	-2.07
KLHL6	-0.972333333333333
HOXB5	-0.750625
NENF	0.478166666666667
CUGBP1	0.43625
PRSS22	2.0895
CASC4	1.6895
CUL4B	0.2743
CENPJ	-0.861
PITX1	-1.39783333333333
FLJ31033	1.124
CELSR3	-0.169666666666667
ZNF568	0.023
ITSN1	-0.226333333333333
EHBP1L1	-0.814666666666667
C19orf2	-0.86525
DCTN1	-0.185
LIN28B	-4.2066
TNKS2	0.967
C1QBP	-1.03
CADPS2	2.73175
SRMS	0.502
GJA9	0.625
MGC24975	-0.306
TRIM45	0.202666666666667
TSP50	1.75225
TCP1	-0.91825
TMED7	0.0762
CMA1	0.7745
CENPL	-1.557
PTCRA	0.104
FST	-4.13175
VWCE	-3.65625
PAWR	-0.45075
ABCC12	0.403666666666667
LDLR	-2.0952
ASTN2	1.0713
LOC441212	-0.363625
GPATCH8	-0.04125
TANC2	-0.644083333333333
KIF4A	-0.881
C18orf18	-0.28775
PGM1	-1.5655
KIAA0258	1.62425
CPD	0.681
SNCAIP	-1.453
DCT	-4.20016666666667
HLA-DOA	2.8825
OR11L1	0.5705
UPK1B	-0.7955
DNAJB4	-0.953875
UGT1A8	-0.428
HIST1H4L	-1.9435
PECR	-1.50483333333333
HSPA2	2.5505
WFIKKN1	0.9845
SERP1	0.309
SYDE2	1.5105
TACR2	1.101
NUP85	-0.45275
CD177	-0.0958333333333333
LGR5	-2.3195
PIGG	0.286666666666667
PTHR1	-0.622166666666667
RAB5A	0.4114
FLJ13224	0.0985
USP9Y	-2.351
C7orf53	-0.92
LRP1B	-0.4305
XAF1	0.9769
ABCG8	-1.007
ANKDD1A	-0.420166666666667
DAND5	-1.2215
SPAG6	0.396833333333333
LINCR	2.08325
ZDHHC22	-1.355375
CCDC60	-0.863
THOC7	-1.493
TCTA	1.4318
OR8K3	0.45975
NY-REN-7	-0.394
B2M	2.1175
C6orf141	-0.0495
LPPR4	2.701
SQLE	-1.35925
SEPHS1	-0.35875
BTBD14B	0.676928571428571
PLRG1	-0.75725
SPG7	-0.6350625
ZNF614	-0.4155
PARD6G	1.386
INPP5B	-0.2759
GRPEL2	-0.09225
PPID	-0.5533
TRIM56	1.155
UBE2J1	-0.1645
IL20RA	3.57075
LOC387856	0.7
C1orf107	0.6335
UTS2R	0.9035
C19orf22	-0.226
SAFB2	-0.72675
KIAA0652	0.410625
KLRG1	-0.727666666666667
MS4A8B	1.465
FRAG1	0.071
KIAA1546	0.608
E2F4	-1.3483
CLEC4M	0.645333333333333
BTBD14A	-0.83475
KIAA0999	0.2392
GYPA	-4.37216666666667
TAC1	-0.567888888888889
TRAIP	-1.40683333333333
KIAA0232	0.8026
ERCC8	-1.346125
GPX4	-0.007375
KIAA0368	0.228375
GPR157	-0.8315
CTAGE4	0.8445
C9orf30	-0.987666666666667
OR52A1	0.5005
HSP90B3P	-0.4215
ALG9	-0.9892
BTBD10	0.7625
SDK2	0.0415
BAIAP3	0.9425
RABGGTB	-0.35
ANKRD40	0.436666666666667
KRT74	1.0025
CALCOCO2	0.629357142857143
SNCA	-3.0335
TMSL8	-2.512375
C2orf53	0.092
ESRRB	-0.767
ARHGAP26	-2.18475
TDRD9	-3.0315
HRAS	0.326666666666667
KLRC4	-0.5535
JAGN1	-0.282833333333333
BSDC1	0.6455
RNF43	0.7538
NDUFAF1	0.91925
PHF12	0.64425
OR1L3	0.08325
FOLR2	1.89608333333333
LYZL6	1.588
tcag7.1260	-2.1145
WSB1	-1.67683333333333
PROS1	-1.4057
OSTN	0.7515
PSMB8	0.84325
SOCS4	-0.10075
DDIT4L	2.0445
MAS1	0.7745
MGC34796	1.394
CSHL1	0.517666666666667
TBCCD1	-0.212
ZBTB7C	0.3695
AP2S1	-0.52675
P15RS	0.6219
VAT1	-0.1652
SHANK3	1.41116666666667
TUFM	-0.635666666666667
THEG	-0.4835
KRT34	-2.76125
SGSM3	0.28
TOMM22	-0.427125
SOCS3	0.677166666666667
CPO	1.2055
POP4	0.03325
BHLHB3	1.05725
MALL	1.1875
OR1B1	-0.2115
PARK2	1.5905
GPR124	0.994125
LCE1E	-0.3205
RUVBL2	-0.853
CGRRF1	0.3284
ACPL2	-0.4635
WNT10B	-2.216875
