Hybridization REF	TCGA-AN-A0XR-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.107333333333333
CREB3L1	1.32425
RPS11	0.740625
PNMA1	-0.121
MMP2	0.0591666666666666
C10orf90	-2.3075
ZHX3	-0.403833333333333
ERCC5	0.4785
GPR98	0.90325
RXFP3	0.793
APBB2	2.1955
PRO0478	-0.34475
KLHL13	-0.78825
PRSSL1	-0.898666666666667
PDCL3	0.0125
DECR1	-0.69125
SALL1	-2.97716666666667
CADM4	1.51383333333333
RPS18	0.1565
HNRPD	-0.7835
CFHR5	0.150333333333333
SLC10A7	0.109875
OR2K2	-0.023
LMAN1	-0.6595
SUHW1	-3.353
CHD8	0.0256
SUMO1	0.5478
GP1BA	-0.3526
DDB1	-0.292833333333333
MYO9B	-0.1434
MMP7	4.6045
CRNKL1	0.845375
C9orf45	0.114833333333333
XAB2	0.396125
RTN1	2.78725
KLHL14	-0.725875
TBX10	-0.307
CENPQ	-1.09775
UTY	-0.9795
ZBTB12	-0.721
DTNBP1	0.178875
KBTBD8	-2.0865
ZEB1	-0.893
ZG16	-1.36
MIER1	0.6194
ADAM5P	-0.9045
CHD9	-0.77325
STK16	0.04075
KIAA1486	0.224
TOB2	0.761833333333333
BANK1	0.9905
OR2V2	-0.17975
GRM2	0.0955
PROSC	-0.2485
SPIN2B	0.115
PIR	-1.891
IPO9	-0.2356
EVC	0.249333333333333
CXCL13	1.8545
KIAA1199	-0.9962
SORL1	1.83225
NAT10	-0.48025
CHD1	-0.35425
SYN3	-0.39875
SLC22A2	0.10375
SERPINF1	-0.390833333333333
WDR34	1.2285
OR7A17	0.1935
C9orf11	0.173
RNF216L	-0.0712
LHB	-0.098
STK25	-0.2435
TAOK3	0.57175
LOC152573	-2.1495
C3orf39	1.226875
C14orf108	0.2606
CDC25B	-0.935545454545455
BMP3	-0.3105
TMEM180	-0.2025
MAP1LC3C	-0.7955
CRYGC	-0.846
POU3F1	-1.3026
C20orf32	-1.3835
CCDC95	0.237
HIGD1B	2.94725
USP6NL	-0.029875
ABCD4	-0.599
DIMT1L	-1.45266666666667
TEK	-0.119625
SLC25A46	-0.937
LARP7	-1.1498
CD160	0.130666666666667
MT1JP	-0.8905
PHF20	0.173625
CPNE4	0.25325
GTPBP1	-0.149571428571429
RAB33B	1.31766666666667
ALDOC	-1.913375
ZNF212	-0.03625
NUDT1	-0.6315
RFPL2	-0.458
ZNF83	-0.097
GDPD5	-0.878375
PDCD4	1.72385
CEP350	0.064
OR10A2	0.4025
CST7	-0.65225
CIAO1	-0.76375
SELL	0.259375
OR8J3	0.0905
LTBP4	-0.238833333333333
SIRT6	0.2235
CCL19	0.533
PPIL1	-1.14033333333333
GBP7	0.341166666666667
STK17A	-0.9255
ABR	0.056
OR9G1	0.585
FOXE1	-0.72525
CNGA3	0.1385
GML	0.242
CD38	-3.557
ZDHHC6	0.104
NEFH	-2.87225
CTDSP2	0.586916666666667
PGBD5	-2.25316666666667
CCNY	-0.154142857142857
RMND5B	0.57675
ZNF257	0.11675
FLJ22167	-1.27875
EXOSC7	-0.653
ROR2	-0.117625
MAOA	-0.3655
TNNT3	-0.118166666666667
GYPC	-1.809
C7orf33	0.3405
PLIN	0.657666666666667
LOC90826	-0.23425
RNF4	0.1192
F8A1	0.0933333333333333
PLEKHG4	-2.16925
GRB2	-0.9636
HIST1H2AD	2.56975
DUS3L	-0.829
EIF1	-0.511833333333333
RP5-1077B9.4	-0.9235
FPGT	1.70725
GDF10	-1.75983333333333
COQ9	-0.366
GCC2	0.303428571428571
RARRES3	3.78825
PLXNA1	-0.8851
KIAA0100	-0.00940000000000003
PMF1	0.6955
FNDC1	5.027
HS2ST1	0.0473333333333333
CRELD2	0.7435
C8G	-0.595
CD82	1.35475
LIM2	-0.757
UNQ6490	0.2415
MMP16	-0.4045
DRD3	-0.40325
C5orf26	-0.978
C11orf73	-0.679
PTP4A2	1.85075
OR4M2	0.4805
HPCA	-1.82566666666667
SEC14L1	-0.7495
CHFR	-0.267875
EMILIN1	0.689875
NDUFS4	-0.12025
COL18A1	-0.2875
PDZD3	0.1381
C9orf16	0.834666666666667
ERBB2IP	0.261666666666667
EMX2	2.86
FUS	-0.25575
TF	-3.4918
CLCN4	-1.10716666666667
CXorf56	-0.1155
C11orf72	0.12925
ELAC2	-0.970083333333333
NPR1	-1.686
ASS1	-2.184
USP42	0.441
POLR2J	0.08
SEC23IP	0.365166666666667
UQCRC1	-0.0655
LOC729603	-0.39125
C1orf71	0.00787499999999999
POLG	-1.0845
ADAM23	-3.5515
TFR2	-1.2065
RICTOR	-0.558
MGC39606	-0.59425
C19orf55	0.03975
SNAPC1	-1.7355
GNA11	0.756625
CCDC52	0.0623333333333333
FSIP1	6.331
UPF3A	-0.678
IGSF11	-2.34583333333333
LAGE3	0.669
CHST6	-1.7335
UNC13B	0.02625
TTLL4	-0.609125
ZNF687	0.670375
SDC2	-1.2599
COX7A2	0.7445
LAMB4	-0.598
FAM24A	-0.2645
LRRTM3	-0.978166666666667
GPHB5	0.1425
OR4C13	0.127
EIF3EIP	-0.520142857142857
HABP4	-2.044
TMEM125	4.23675
CNTN2	0.630375
ASNSD1	-0.54625
FUT4	-0.566
ACF	-3.337
LOC158381	0.5865
CDH8	0.00824999999999999
AGPS	0.121833333333333
C4orf18	0.9765
PECI	-0.0821666666666667
UNG	-0.439625
GSTP1	-1.94
