Hybridization REF	TCGA-AO-A0J5-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.217166666666667
CREB3L1	1.58275
RPS11	0.46625
PNMA1	1.0505
MMP2	1.72783333333333
C10orf90	-1.31875
ZHX3	-0.0121666666666667
ERCC5	0.44
GPR98	1.2405
RXFP3	0.324
APBB2	2.077
PRO0478	-1.01125
KLHL13	-1.528
PRSSL1	0.751833333333333
PDCL3	0.433333333333333
DECR1	-0.61525
SALL1	-2.16233333333333
CADM4	0.945
RPS18	0.275214285714286
HNRPD	-0.503833333333333
CFHR5	0.4338
SLC10A7	-0.048375
OR2K2	0.5605
LMAN1	-0.298875
SUHW1	-3.5075
CHD8	-0.2079
SUMO1	0.6397
GP1BA	0.0114
DDB1	0.116
MYO9B	-0.00349999999999998
MMP7	3.4075
CRNKL1	0.786125
C9orf45	-2.16216666666667
XAB2	0.40475
RTN1	1.42371428571429
KLHL14	-0.990857142857143
TBX10	-1.474
CENPQ	-1.6175
UTY	-1.19114285714286
ZBTB12	0.7035
DTNBP1	0.228125
KBTBD8	-2.0055
ZEB1	0.899
ZG16	-1.76225
MIER1	0.1772
ADAM5P	0.4345
CHD9	-0.17775
STK16	0.4155
KIAA1486	-0.1355
TOB2	1.04275
BANK1	2.264
OR2V2	0.18325
GRM2	-0.107333333333333
PROSC	0.3645
SPIN2B	0.52075
PIR	-2.05222222222222
IPO9	-0.3512
EVC	1.37283333333333
CXCL13	1.95916666666667
KIAA1199	-0.0551
SORL1	1.3165
NAT10	-0.5555
CHD1	0.669
SYN3	0.09025
SLC22A2	-0.377
SERPINF1	1.98816666666667
WDR34	-0.14675
OR7A17	0.21975
C9orf11	-0.405
RNF216L	-0.7462
LHB	-0.093
STK25	0.053
TAOK3	0.282125
LOC152573	-2.1095
C3orf39	0.19875
C14orf108	0.3177
CDC25B	-1.705
BMP3	0.6
TMEM180	-0.4945
MAP1LC3C	3.01625
CRYGC	-0.153
POU3F1	-1.6132
C20orf32	-1.7585
CCDC95	-0.487
HIGD1B	4.766
USP6NL	-0.49375
ABCD4	-0.213833333333333
DIMT1L	-0.770583333333333
TEK	2.23325
SLC25A46	-0.56875
LARP7	-1.7048
CD160	-0.3435
MT1JP	0.418666666666667
PHF20	0.091625
CPNE4	-2.24666666666667
GTPBP1	-0.0812142857142857
RAB33B	1.0165
ALDOC	-1.05375
ZNF212	-0.0515
NUDT1	-1.416
RFPL2	-0.7495
ZNF83	-0.1455
GDPD5	-0.373625
PDCD4	0.84925
CEP350	0.13625
OR10A2	0.2885
CST7	0.63775
CIAO1	-0.72125
SELL	0.068
OR8J3	0.7005
LTBP4	0.314833333333333
SIRT6	0.15475
CCL19	4.19325
PPIL1	-1.083
GBP7	0.431333333333333
STK17A	-0.7395
ABR	1.0025
OR9G1	0.0385
FOXE1	-0.969875
CNGA3	0.581
GML	0.518
CD38	-3.008
ZDHHC6	0.1585
NEFH	-0.38575
CTDSP2	0.7855
PGBD5	-0.874333333333333
CCNY	0.272214285714286
RMND5B	0.740583333333333
ZNF257	-2.3465
FLJ22167	0.588625
EXOSC7	-0.929166666666667
ROR2	1.959875
MAOA	0.393625
TNNT3	3.125
GYPC	-0.35125
C7orf33	1.289
PLIN	4.82733333333333
LOC90826	-0.267
RNF4	-0.1263
F8A1	0.928666666666667
PLEKHG4	-1.32775
GRB2	0.78215
