Hybridization REF	TCGA-BH-A0DX-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.506
CREB3L1	1.51725
RPS11	0.11725
PNMA1	-0.366
MMP2	1.863
C10orf90	-1.29425
ZHX3	-0.395333333333333
ERCC5	0.195
GPR98	0.208833333333333
RXFP3	0.0185
APBB2	1.38475
PRO0478	-1.0205
KLHL13	-2.295
PRSSL1	-0.628166666666667
PDCL3	0.7815
DECR1	0.139875
SALL1	-2.73883333333333
CADM4	0.859166666666667
RPS18	-0.579
HNRPD	-0.00016666666666666
CFHR5	0.487666666666667
SLC10A7	0.461375
OR2K2	0.064
LMAN1	-1.129375
SUHW1	-3.2135
CHD8	-0.2872
SUMO1	0.3551
GP1BA	1.0039
DDB1	0.175833333333333
MYO9B	0.1717
MMP7	6.86375
CRNKL1	1.075625
C9orf45	-1.9135
XAB2	0.352125
RTN1	3.174625
KLHL14	-1.850375
TBX10	-1.1835
CENPQ	-1.30175
UTY	-0.706923076923077
ZBTB12	-0.3895
DTNBP1	-0.016125
KBTBD8	-0.743333333333333
ZEB1	1.06516666666667
ZG16	-1.2955
MIER1	0.482
ADAM5P	0.3175
CHD9	0.45425
STK16	-1.01975
KIAA1486	-0.8575
TOB2	0.495416666666667
BANK1	3.039
OR2V2	0.2085
GRM2	0.2975
PROSC	0.405375
SPIN2B	0.00750000000000001
PIR	-1.90022222222222
IPO9	-0.5196
EVC	0.979833333333333
CXCL13	1.998
KIAA1199	-0.0049
SORL1	1.1055
NAT10	-1.07475
CHD1	-0.32975
SYN3	0.05875
SLC22A2	-0.05275
SERPINF1	1.85883333333333
WDR34	-0.442
OR7A17	0.19875
C9orf11	0.202
RNF216L	-0.4409
LHB	-0.262
STK25	-0.713375
TAOK3	0.48825
LOC152573	-2.08825
C3orf39	0.372625
C14orf108	0.7892
CDC25B	-1.72245454545455
BMP3	0.6425
TMEM180	0.0665
MAP1LC3C	1.0725
CRYGC	-0.111
POU3F1	-1.3795
C20orf32	-1.156
CCDC95	-0.2905
HIGD1B	4.3155
USP6NL	0.234125
ABCD4	-0.219
DIMT1L	-0.97825
TEK	1.990375
SLC25A46	-0.2295
LARP7	-1.5304
CD160	0.646166666666667
MT1JP	0.156
PHF20	0.252375
CPNE4	-1.86025
GTPBP1	-0.0847142857142857
RAB33B	1.56866666666667
ALDOC	-2.984125
ZNF212	-1.14675
NUDT1	-0.141333333333333
RFPL2	0.32875
ZNF83	0.103
GDPD5	-0.3545
PDCD4	1.1291
CEP350	0.508
OR10A2	0.1725
CST7	0.859
CIAO1	-0.889
SELL	1.32125
OR8J3	0.4595
LTBP4	-0.1215
SIRT6	-0.22425
CCL19	4.60925
PPIL1	-1.15633333333333
GBP7	-0.3725
STK17A	-0.5925
ABR	0.579
OR9G1	0.6395
FOXE1	-0.451125
CNGA3	-0.1685
GML	0.656
CD38	-2.197
ZDHHC6	0.3115
NEFH	-1.06725
CTDSP2	0.754583333333333
PGBD5	0.3505
CCNY	0.444642857142857
RMND5B	0.177833333333333
ZNF257	-2.904
FLJ22167	-0.00637500000000001
EXOSC7	0.00800000000000001
ROR2	1.390625
MAOA	0.688375
TNNT3	1.909
GYPC	-0.59375
C7orf33	0.0125
PLIN	4.17766666666667
LOC90826	0.19025
RNF4	-0.2672
F8A1	-0.1015
PLEKHG4	-1.445
GRB2	0.264
HIST1H2AD	1.8775
DUS3L	-1.17
EIF1	-0.125666666666667
RP5-1077B9.4	-1.13333333333333
FPGT	0.937
GDF10	1.19366666666667
COQ9	-0.10375
GCC2	0.493
RARRES3	2.615625
PLXNA1	-0.3235
KIAA0100	-0.2071
PMF1	0.34075
FNDC1	5.4765
HS2ST1	-0.50525
CRELD2	0.5915
C8G	-1.662
CD82	1.11775
LIM2	-1.4465
UNQ6490	0.0335
MMP16	-0.04525
DRD3	0.179
C5orf26	-1.21525
C11orf73	-0.052125
PTP4A2	1.421125
OR4M2	-0.184
HPCA	-0.611
SEC14L1	-0.137833333333333
CHFR	-0.532375
EMILIN1	1.059
NDUFS4	0.035
COL18A1	0.27475
PDZD3	-0.1833
C9orf16	0.208166666666667
ERBB2IP	0.0611666666666666
EMX2	3.9385
FUS	-0.5755
TF	-3.5905
CLCN4	0.157833333333333
CXorf56	0.66375
C11orf72	0.00474999999999999
ELAC2	-0.687416666666667
NPR1	0.14075
ASS1	-1.99883333333333
USP42	-0.545625
POLR2J	-0.8735
SEC23IP	0.938
UQCRC1	0.158
LOC729603	-0.0445
C1orf71	-0.271875
POLG	-1.7255
ADAM23	-2.97475
TFR2	-1.3395
RICTOR	-1.0088
MGC39606	-0.08075
C19orf55	-0.325125
SNAPC1	-0.9865
GNA11	0.709
CCDC52	0.309666666666667
FSIP1	3.719
UPF3A	-0.997125
IGSF11	-1.98166666666667
LAGE3	-0.35325
CHST6	0.449
UNC13B	0.414875
TTLL4	-1.09025
ZNF687	0.8645
SDC2	0.7611
COX7A2	-0.35875
LAMB4	0.15775
FAM24A	0.782
LRRTM3	-0.950333333333333
GPHB5	-0.03325
OR4C13	0.083
EIF3EIP	0.415428571428571
HABP4	-0.5455
TMEM125	2.59325
CNTN2	-0.00162499999999999
ASNSD1	-0.2505
FUT4	0.4895
ACF	-3.53825
LOC158381	0.6385
CDH8	0.3515
AGPS	-0.0663333333333333
C4orf18	3.3155
PECI	-0.266666666666667
UNG	-1.516375
GSTP1	1.304125
DCUN1D5	0.0621666666666667
DKFZP564J0863	-0.07825
SLC9A3R1	1.275
BCDO2	-0.54875
CHMP7	0.104
REM2	0.2835
DNHD1	-0.542375
FKBP4	0.67975
ZNF350	1.80625
MGC11102	-0.005125
BST1	2.299
KISS1R	-0.162
NCR2	0.9595
DEFB125	-0.217
UBE2W	0.958
KRT15	-0.052375
C10orf99	-0.045
SCN11A	0.51175
GFI1	-1.79525
RDHE2	5.08233333333333
FHL1	1.119
OSGEP	-0.411833333333333
GATA1	-3.56666666666667
SMC6	-0.68325
TTTY14	-1.2455
LPIN3	-0.23
RPL4	-0.8994
RBPMS	0.4759
PRPF3	0.0295
EMR1	-1.94
SPATA19	-0.128
XCR1	0.13
IRX3	1.5505
RBM6	-0.81125
KLF4	0.3913
UNC5CL	-2.171
SEBOX	0.635
BTK	0.41125
KRCC1	1.15925
C6orf27	0.2495
SYTL5	-0.9325
PRND	3.664
LOC653319	-0.998
PIGL	-1.289
HUS1	0.2685
SFRS6	0.9175
C17orf77	0.9175
UIMC1	-0.803333333333333
FXYD2	-1.8383
LOC283152	1.4575
ZNF667	-0.52325
ZCCHC12	-0.28225
TFEC	3.5265
ATP7B	0.927833333333333
POLD2	-1.19533333333333
RG9MTD1	-0.21875
ACOT2	1.37733333333333
HIST1H4I	-0.996125
PPARGC1A	-2.1425
ETFA	-0.1439
POLRMT	-0.74025
ZNF146	0.322625
MIA2	-2.5515
KLHL6	0.700666666666667
HOXB5	-0.318625
NENF	0.5945
CUGBP1	0.262
PRSS22	0.300333333333333
CASC4	1.1215
CUL4B	0.2022
CENPJ	-1.371
PITX1	-0.317
FLJ31033	1.84833333333333
CELSR3	-0.6255
ZNF568	1.23825
ITSN1	-0.0961666666666667
EHBP1L1	-0.846666666666667
C19orf2	-0.31575
DCTN1	0.42225
LIN28B	-3.6652
TNKS2	0.1925
C1QBP	-1.199875
CADPS2	1.55475
SRMS	-0.16625
GJA9	0.131
MGC24975	-0.6915
TRIM45	-1.117
TSP50	-0.2455
TCP1	0.18425
TMED7	0.0294
CMA1	1.2185
CENPL	-0.474
PTCRA	1.494
FST	-3.24925
VWCE	-2.8155
PAWR	0.65975
ABCC12	4.0025
LDLR	-0.8764
ASTN2	0.7206
LOC441212	-1.1735
GPATCH8	0.1595
TANC2	-0.643666666666667
KIF4A	-1.78675
C18orf18	-1.52825
PGM1	-1.191
KIAA0258	0.22025
CPD	1.124375
SNCAIP	-0.14225
DCT	-4.54683333333333
HLA-DOA	2.60754545454545
OR11L1	0.135
UPK1B	0.271333333333333
DNAJB4	0.295125
UGT1A8	-0.48975
HIST1H4L	-3.413
PECR	-1.41866666666667
HSPA2	0.54575
WFIKKN1	-2.127
SERP1	0.676375
SYDE2	0.544
TACR2	0.522
NUP85	-1.04125
CD177	-0.623833333333333
LGR5	-1.97816666666667
PIGG	-0.09275
PTHR1	-0.152333333333333
RAB5A	0.813
FLJ13224	-0.297
USP9Y	-2.0255
C7orf53	-0.3535
LRP1B	-0.15575
XAF1	1.7801
ABCG8	0.3035
ANKDD1A	-0.238666666666667
DAND5	-2.4205
SPAG6	0.388
LINCR	-0.22525
ZDHHC22	-1.548
CCDC60	0.3415
THOC7	-0.362
TCTA	0.7613
OR8K3	0.38425
NY-REN-7	-0.72175
B2M	1.486
C6orf141	-1.655875
LPPR4	3.17925
SQLE	-0.7415
SEPHS1	-0.2635
BTBD14B	0.251
PLRG1	-0.00625
SPG7	-0.6029375
ZNF614	0.1885
PARD6G	0.5325
INPP5B	-0.0538
GRPEL2	-0.324375
PPID	-0.5954
TRIM56	-0.5955
UBE2J1	-0.135875
IL20RA	6.2895
LOC387856	-0.07975
C1orf107	0.6325
UTS2R	-0.33675
C19orf22	0.69725
SAFB2	-0.408625
KIAA0652	-0.014875
KLRG1	0.173166666666667
MS4A8B	2.13783333333333
FRAG1	0.662
KIAA1546	0.33025
E2F4	-1.1703
CLEC4M	-0.0325
BTBD14A	-0.28525
KIAA0999	1.6804
GYPA	-3.73766666666667
TAC1	1.1362
TRAIP	-1.5645
KIAA0232	0.4483
ERCC8	-0.201125
GPX4	1.114625
KIAA0368	-0.239375
GPR157	-0.6865
CTAGE4	0.0235
C9orf30	-1.15416666666667
OR52A1	0.16
HSP90B3P	-0.8545
ALG9	-0.2416
BTBD10	0.60575
SDK2	0.0715
BAIAP3	1.538
RABGGTB	-1.629375
ANKRD40	-0.302833333333333
KRT74	0.426
CALCOCO2	0.798428571428571
SNCA	-2.05975
TMSL8	-2.189625
C2orf53	0.25
ESRRB	-0.61875
ARHGAP26	-0.485
TDRD9	-1.74775
HRAS	0.269
KLRC4	-1.7265
JAGN1	0.473333333333333
BSDC1	0.61925
RNF43	0.5105
NDUFAF1	0.59425
PHF12	0.71225
OR1L3	0.16675
FOLR2	2.5085
LYZL6	0.109166666666667
tcag7.1260	-1.3255
WSB1	-1.254
PROS1	-0.0305
OSTN	0.6585
PSMB8	0.89525
SOCS4	-0.15275
DDIT4L	2.35925
MAS1	-0.111
MGC34796	0.30475
CSHL1	0.408
TBCCD1	0.125
ZBTB7C	-0.252
AP2S1	1.06325
P15RS	0.3529
VAT1	-0.5048
SHANK3	1.2055
TUFM	-0.242333333333333
THEG	-0.78625
KRT34	-1.5245
SGSM3	0.675125
TOMM22	-0.37725
SOCS3	1.60783333333333
CPO	0.758
POP4	0.7845
BHLHB3	1.653
MALL	1.955
OR1B1	-0.1105
PARK2	0.531833333333333
GPR124	1.26025
LCE1E	-0.5495
RUVBL2	-0.705
CGRRF1	0.6461
ACPL2	0.86225
WNT10B	-1.90775
BAIAP2L2	-0.858375
ISCA1	0.196
C1orf125	-0.23775
RPAP1	-1.31425
RAI16	0.353
RPL27	-1.1825
NLRP9	0.072
EPN1	0.6645
LOC388610	-1.887
SLC35A1	0.2017
GAL	-2.7095
SLC14A2	0.26925
RDH11	-0.347333333333333
FAM138F	-0.55
AUH	0.319
FLJ40243	0.39475
C14orf129	0.7175
MBD2	0.136333333333333
ABHD14B	0.518625
PIGT	0.458875
ALS2CR4	-0.278125
ALAS1	0.8023
FOXO1	1.6425
CRLF3	-0.489125
C20orf107	0.173
FARS2	0.48925
CCDC28A	0.147
