Hybridization REF	TCGA-BH-A0E7-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2075
CREB3L1	0.85275
RPS11	-0.220625
PNMA1	0.55625
MMP2	-0.409333333333333
C10orf90	-1.96975
ZHX3	0.1765
ERCC5	-0.000749999999999999
GPR98	-0.585625
RXFP3	0.879
APBB2	2.75625
PRO0478	-0.871375
KLHL13	-2.80275
PRSSL1	-0.9615
PDCL3	0.0183333333333333
DECR1	0.7075
SALL1	-3.289
CADM4	1.2685
RPS18	-0.679214285714286
HNRPD	-0.851416666666667
CFHR5	0.4508
SLC10A7	-0.020875
OR2K2	-0.242
LMAN1	-0.742
SUHW1	-4.17525
CHD8	-0.1209
SUMO1	0.5706
GP1BA	-0.3449
DDB1	0.0975
MYO9B	-0.3395
MMP7	6.26
CRNKL1	0.604
C9orf45	0.0365
XAB2	-0.085125
RTN1	2.726625
KLHL14	-2.354125
TBX10	-1.468
CENPQ	-1.8575
UTY	-1.19815384615385
ZBTB12	0.0685
DTNBP1	0.050875
KBTBD8	-2.60866666666667
ZEB1	0.0025
ZG16	1.99525
MIER1	0.5107
ADAM5P	0.46
CHD9	-0.6256875
STK16	2.02775
KIAA1486	-0.597
TOB2	0.910416666666667
BANK1	3.27425
OR2V2	0.616
GRM2	-0.0673333333333333
PROSC	-0.663875
SPIN2B	0.20275
PIR	-3.45066666666667
IPO9	-1.0036
EVC	-0.184833333333333
CXCL13	0.776666666666667
KIAA1199	-0.6068
SORL1	2.5095
NAT10	-0.87225
CHD1	-1.17
SYN3	-0.18375
SLC22A2	-0.8405
SERPINF1	0.324833333333333
WDR34	0.108
OR7A17	0.36375
C9orf11	0.071
RNF216L	-0.2478
LHB	-0.0785
STK25	-0.364
TAOK3	1.253625
LOC152573	-3.12475
C3orf39	1.12975
C14orf108	0.3348
CDC25B	-2.17663636363636
BMP3	0.82
TMEM180	0.1495
MAP1LC3C	-0.82475
CRYGC	-1.679
POU3F1	-1.0424
C20orf32	-1.7555
CCDC95	0.0855
HIGD1B	5.2275
USP6NL	0.283125
ABCD4	0.1035
DIMT1L	-1.00558333333333
TEK	1.149375
SLC25A46	-0.26975
LARP7	-1.4942
CD160	-0.097
MT1JP	-1.0425
PHF20	0.160625
CPNE4	-2.23825
GTPBP1	-0.394642857142857
RAB33B	1.62333333333333
ALDOC	-2.773375
ZNF212	-0.1605
NUDT1	-1.8245
RFPL2	-0.6765
ZNF83	0.117666666666667
GDPD5	-1.253875
PDCD4	3.4087
CEP350	-0.40075
OR10A2	0.13875
CST7	-0.05775
CIAO1	-1.12625
SELL	-0.11225
OR8J3	0.257
LTBP4	-0.539
SIRT6	-0.02225
CCL19	1.15475
PPIL1	-1.295
GBP7	-0.361333333333333
STK17A	-0.5388
ABR	0.26175
OR9G1	-0.144
FOXE1	-1.064875
CNGA3	2.1485
GML	0.355
CD38	-4.70625
ZDHHC6	-0.083
NEFH	-2.73575
CTDSP2	1.05858333333333
PGBD5	-2.2585
CCNY	0.306357142857143
RMND5B	0.77525
ZNF257	-1.746
FLJ22167	-1.240875
EXOSC7	-0.515833333333333
ROR2	0.571
MAOA	-0.4865
TNNT3	0.107333333333333
GYPC	-1.606
C7orf33	-0.219
PLIN	2.30483333333333
LOC90826	-0.16725
RNF4	-0.0736
F8A1	0.979833333333333
PLEKHG4	-1.39075
GRB2	0.41625
HIST1H2AD	0.7035
DUS3L	-0.750333333333333
EIF1	-0.1965
RP5-1077B9.4	-1.0985
FPGT	2.0965
GDF10	-2.5185
COQ9	-0.65175
GCC2	0.316285714285714
RARRES3	3.285
PLXNA1	-0.7019
KIAA0100	0.0795
PMF1	-0.52575
FNDC1	5.20525
HS2ST1	-0.12875
CRELD2	0.77075
C8G	-1.411
CD82	1.074
LIM2	-1.3665
UNQ6490	0.2445
MMP16	-0.4775
DRD3	0.2255
C5orf26	-1.11025
C11orf73	-0.625875
PTP4A2	1.328
OR4M2	0.9065
HPCA	-0.878833333333333
SEC14L1	-0.948833333333333
CHFR	-0.527
EMILIN1	0.826375
NDUFS4	-0.199
COL18A1	0.0945
PDZD3	0.0495
C9orf16	-0.0445
ERBB2IP	0.221333333333333
EMX2	4.2195
FUS	-1.05025
TF	-4.2629
CLCN4	-1.392
CXorf56	-0.2375
C11orf72	0.28225
ELAC2	-0.317083333333333
NPR1	-1.2435
ASS1	-3.02516666666667
USP42	-0.443625
POLR2J	-1.0355
SEC23IP	0.863333333333333
UQCRC1	-0.0225
LOC729603	-0.48625
C1orf71	-0.4465
POLG	-2.218
ADAM23	-3.6245
TFR2	-1.85725
RICTOR	-0.9994
MGC39606	0.17075
C19orf55	-0.29575
SNAPC1	-1.79033333333333
GNA11	0.854625
CCDC52	0.820666666666667
FSIP1	4.5925
UPF3A	-0.069625
IGSF11	-2.97416666666667
LAGE3	-0.06875
CHST6	-1.873
UNC13B	0.943875
TTLL4	-1.809125
ZNF687	-0.02275
SDC2	0.3225
COX7A2	0.01725
LAMB4	0.2465
FAM24A	-0.376
LRRTM3	-0.5402
GPHB5	0.092
OR4C13	-0.2915
EIF3EIP	-0.0415
HABP4	-0.088
TMEM125	4.12875
CNTN2	0.034625
ASNSD1	-0.30075
FUT4	-0.774
ACF	-3.951
LOC158381	1.1795
CDH8	0.62575
AGPS	-1.20866666666667
C4orf18	3.81775
PECI	0.546916666666667
UNG	-0.48775
GSTP1	-2.928875
DCUN1D5	-0.591166666666667
DKFZP564J0863	-1.50225
SLC9A3R1	1.745
BCDO2	-0.523625
CHMP7	-0.3435
REM2	0.451
DNHD1	-0.2495
FKBP4	0.566875
ZNF350	2.404
MGC11102	0.004375
BST1	0.3365
KISS1R	1.0085
NCR2	0.37
DEFB125	-0.9035
UBE2W	1.9365
KRT15	4.799125
C10orf99	0.3095
SCN11A	0.71
GFI1	-2.145
RDHE2	3.16983333333333
FHL1	-1.705
OSGEP	-0.3985
GATA1	-3.538
SMC6	-1.765
TTTY14	-1.08025
LPIN3	-0.2375
RPL4	-0.6931
RBPMS	0.00449999999999998
PRPF3	-0.8675
EMR1	-2.0925
SPATA19	0.431
XCR1	3.8615
IRX3	2.336
RBM6	-0.87325
KLF4	-1.5301
UNC5CL	0.4865
SEBOX	0.111
BTK	-1.44575
KRCC1	1.298
C6orf27	1.0725
SYTL5	0.7635
PRND	0.613142857142857
LOC653319	-1.4
PIGL	-0.9865
HUS1	-0.435833333333333
SFRS6	-1.73458333333333
C17orf77	0.3165
UIMC1	-1.02333333333333
FXYD2	-1.8799
LOC283152	-0.10625
ZNF667	-2.4205
ZCCHC12	-0.417
TFEC	2.6844
ATP7B	1.133
POLD2	-1.37316666666667
RG9MTD1	-0.109
ACOT2	1.52933333333333
HIST1H4I	0.171375
PPARGC1A	-3.1134
ETFA	-1.2702
POLRMT	-0.1355
ZNF146	-0.482375
MIA2	-1.9905
