Hybridization REF	TCGA-E2-A106-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.384416666666667
CREB3L1	2.12
RPS11	-0.019125
PNMA1	0.14475
MMP2	-1.01233333333333
C10orf90	-2.2335
ZHX3	-1.20266666666667
ERCC5	0.0405
GPR98	1.36525
RXFP3	0.4245
APBB2	2.72175
PRO0478	-0.27675
KLHL13	-2.86075
PRSSL1	-0.847333333333333
PDCL3	-0.426
DECR1	-0.461125
SALL1	-3.62483333333333
CADM4	0.2125
RPS18	-0.491785714285714
HNRPD	-0.28125
CFHR5	0.361166666666667
SLC10A7	-0.22025
OR2K2	0.083
LMAN1	-0.5575
SUHW1	-3.59425
CHD8	-0.4196
SUMO1	0.7572
GP1BA	0.2504
DDB1	0.413
MYO9B	-0.5096
MMP7	3.20325
CRNKL1	0.330875
C9orf45	-1.12916666666667
XAB2	0.287375
RTN1	1.923875
KLHL14	-1.201875
TBX10	-0.956
CENPQ	-1.31425
UTY	-0.630071428571429
ZBTB12	-0.104
DTNBP1	0.119625
KBTBD8	-1.85866666666667
ZEB1	0.15
ZG16	-0.98375
MIER1	-0.2683
ADAM5P	0.1435
CHD9	0.107875
STK16	1.395
KIAA1486	-0.152
TOB2	0.208666666666667
BANK1	0.128
OR2V2	0.4805
GRM2	-0.032
PROSC	0.899875
SPIN2B	0.254
PIR	-2.18244444444444
IPO9	-0.2657
EVC	0.681666666666667
CXCL13	4.72666666666667
KIAA1199	-3.2284
SORL1	0.55075
NAT10	0.0505
CHD1	-0.1175
SYN3	-0.199
SLC22A2	0.109
SERPINF1	-1.1425
WDR34	-0.72675
OR7A17	0.3845
C9orf11	-0.4165
RNF216L	-1.4219
LHB	0.44
STK25	-0.2895
TAOK3	0.062375
LOC152573	-2.50525
C3orf39	0.53525
C14orf108	0.4803
CDC25B	-1.55681818181818
BMP3	0.3755
TMEM180	0.057
MAP1LC3C	-0.018
CRYGC	-0.4675
POU3F1	-1.1386
C20orf32	-1.5535
