Hybridization REF	TCGA-B6-A0X0-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.210083333333333
CREB3L1	1.368
RPS11	1.0245
PNMA1	-0.716
MMP2	-0.346833333333333
C10orf90	-2.116
ZHX3	-0.480333333333333
ERCC5	0.32475
GPR98	1.034875
RXFP3	0.5105
APBB2	1.3545
PRO0478	-1.053625
KLHL13	-1.56625
PRSSL1	-0.5525
PDCL3	-0.059
DECR1	0.305625
SALL1	-4.14883333333333
CADM4	1.368
RPS18	1.26614285714286
HNRPD	-0.893916666666667
CFHR5	1.27266666666667
SLC10A7	-0.46825
OR2K2	-0.7905
LMAN1	-1.372375
SUHW1	-2.95075
CHD8	0.2582
SUMO1	-0.1819
GP1BA	-0.0776
DDB1	0.280833333333333
MYO9B	-0.1837
MMP7	5.7815
CRNKL1	0.518125
C9orf45	-0.287166666666667
XAB2	0.9055
RTN1	3.208
KLHL14	-0.831375
TBX10	-1.0855
CENPQ	-1.67075
UTY	-1.2025
ZBTB12	-0.578
DTNBP1	-0.490625
KBTBD8	-2.02883333333333
ZEB1	-0.395833333333333
ZG16	-1.20075
MIER1	0.4456
ADAM5P	0.854
CHD9	-0.87425
STK16	1.244
KIAA1486	-2.054
TOB2	0.8515
BANK1	1.55725
OR2V2	-0.40225
GRM2	-0.112833333333333
PROSC	-0.449625
SPIN2B	-0.56725
PIR	-3.37211111111111
IPO9	-0.3078
EVC	0.975333333333333
CXCL13	8.30166666666667
KIAA1199	-2.5772
SORL1	0.646
NAT10	0.31025
CHD1	-0.9375
SYN3	-0.95375
SLC22A2	-1.29175
SERPINF1	-1.14133333333333
WDR34	-0.05175
OR7A17	0.14475
C9orf11	-0.0425
RNF216L	-0.9251
LHB	0.068
STK25	0.072
TAOK3	0.023
LOC152573	-2.919
C3orf39	0.394
C14orf108	0.0985
CDC25B	-2.11109090909091
BMP3	-0.095
TMEM180	0.29
MAP1LC3C	-0.66275
CRYGC	-1.271
POU3F1	-0.7455
C20orf32	-1.395
CCDC95	0.431
HIGD1B	4.1565
USP6NL	-0.037875
ABCD4	-0.511833333333333
DIMT1L	-0.675666666666667
TEK	0.51125
SLC25A46	-1.10725
LARP7	-1.3542
CD160	0.173833333333333
MT1JP	-1.0075
PHF20	-0.1774375
CPNE4	-1.72775
GTPBP1	0.244714285714286
RAB33B	1.0505
ALDOC	-2.9205
ZNF212	-0.508
NUDT1	-1.38516666666667
RFPL2	-0.03675
ZNF83	-0.251166666666667
GDPD5	-1.021875
PDCD4	2.71415
CEP350	0.80125
OR10A2	0.231
CST7	-0.156
CIAO1	-0.9995
SELL	0.837125
OR8J3	-0.1615
LTBP4	0.023
SIRT6	0.271
CCL19	4.39825
PPIL1	-1.377
GBP7	0.212666666666667
STK17A	-0.9097
ABR	0.48825
OR9G1	-0.332
FOXE1	-0.396125
CNGA3	2.6145
GML	0.204
CD38	-3.79775
ZDHHC6	-0.233833333333333
NEFH	-2.239
CTDSP2	0.858583333333334
PGBD5	-1.93383333333333
CCNY	0.458214285714286
RMND5B	0.689666666666667
ZNF257	-0.0945
FLJ22167	-0.127875
EXOSC7	-0.6435
ROR2	1.56675
MAOA	2.551125
TNNT3	0.196666666666667
GYPC	-1.879
C7orf33	0.064
PLIN	0.501666666666667
LOC90826	-0.1205
RNF4	0.0555
F8A1	-0.152333333333333
PLEKHG4	-1.082
GRB2	0.00480000000000002
HIST1H2AD	-0.4495
DUS3L	-0.236166666666667
EIF1	-0.799666666666667
RP5-1077B9.4	-0.7685
FPGT	1.362
GDF10	-0.287666666666667
COQ9	-0.47875
GCC2	0.116357142857143
RARRES3	2.852375
PLXNA1	-0.4518
KIAA0100	-0.0761000000000001
PMF1	0.72
FNDC1	4.29125
HS2ST1	0.0428333333333332
CRELD2	0.9385
C8G	-2.1855
CD82	1.6675
LIM2	-1.1375
UNQ6490	-1.214
