Hybridization REF	TCGA-A8-A09X-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.248583333333333
CREB3L1	1.91575
RPS11	0.09575
PNMA1	-0.6265
MMP2	0.511666666666667
C10orf90	-2.0695
ZHX3	-0.447
ERCC5	0.01025
GPR98	-1.10675
RXFP3	0.2325
APBB2	0.30925
PRO0478	-0.808375
KLHL13	-3.934
PRSSL1	-0.806
PDCL3	0.617
DECR1	-1.457
SALL1	-5.021
CADM4	-0.538833333333333
RPS18	0.233571428571429
HNRPD	-1.08075
CFHR5	0.783
SLC10A7	0.150714285714286
OR2K2	0.422
LMAN1	-1.2135
SUHW1	-3.81375
CHD8	-0.0081
SUMO1	-0.3818
GP1BA	-0.0178
DDB1	0.0368333333333333
MYO9B	0.1071
MMP7	3.77425
CRNKL1	-0.012625
C9orf45	-0.966166666666667
XAB2	0.08175
RTN1	1.99766666666667
KLHL14	-1.349
TBX10	-1.13
CENPQ	-2.115
UTY	-0.837083333333333
ZBTB12	0.1045
DTNBP1	-0.23025
KBTBD8	0.2185
ZEB1	0.9735
ZG16	1.37625
MIER1	0.2089
ADAM5P	0.974
CHD9	-0.4138125
STK16	0.6835
KIAA1486	-0.0855
TOB2	1.103
BANK1	5.079
OR2V2	-0.273
GRM2	0.106166666666667
PROSC	1.256625
SPIN2B	-0.74025
PIR	-2.49166666666667
IPO9	-0.0517777777777778
EVC	0.0605
CXCL13	6.16716666666667
KIAA1199	0.3458
SORL1	0.297
NAT10	0.03925
CHD1	-0.48375
SYN3	-1.18825
SLC22A2	-0.82875
SERPINF1	0.954
WDR34	0.5435
OR7A17	0.2625
C9orf11	0.5535
RNF216L	-0.1381
LHB	-0.1135
STK25	-0.097375
TAOK3	0.856625
LOC152573	-2.802
C3orf39	-0.792625
C14orf108	1.1397
CDC25B	-1.35763636363636
BMP3	0.2935
TMEM180	0.033
MAP1LC3C	-0.35025
CRYGC	-0.426
POU3F1	-1.2218
C20orf32	-1.124
CCDC95	-0.3035
HIGD1B	4.483
USP6NL	0.405625
ABCD4	-0.1615
DIMT1L	-0.134666666666667
TEK	1.496125
SLC25A46	-0.2345
LARP7	-1.7995
CD160	0.800666666666667
MT1JP	-1.65416666666667
PHF20	0.74125
CPNE4	-1.445
GTPBP1	-0.309142857142857
RAB33B	1.0624
ALDOC	-2.813
ZNF212	-0.503
NUDT1	-0.776666666666667
RFPL2	-1.38775
ZNF83	-0.6385
GDPD5	-0.480625
PDCD4	0.99905
CEP350	0.21
OR10A2	0.64325
CST7	2.216
CIAO1	-0.59725
SELL	1.78025
OR8J3	0.7315
LTBP4	-0.917666666666667
SIRT6	-0.175
CCL19	4.91
PPIL1	-0.743333333333333
GBP7	-0.0514
STK17A	-0.6047
ABR	-0.10925
OR9G1	-0.5115
FOXE1	-0.82
CNGA3	1.4605
GML	0.619
CD38	0.6765
ZDHHC6	-0.00433333333333333
NEFH	-2.7355
CTDSP2	1.14116666666667
PGBD5	-0.937166666666667
CCNY	1.09492857142857
RMND5B	1.01041666666667
ZNF257	-0.25975
FLJ22167	-1.096
EXOSC7	-0.439166666666667
ROR2	0.841875
MAOA	-0.3745
TNNT3	-0.578666666666667
GYPC	-0.8355
C7orf33	1.322
PLIN	2.97483333333333
LOC90826	-1.323
RNF4	-0.0586
F8A1	0.124833333333333
PLEKHG4	-3.46775
GRB2	0.35485
HIST1H2AD	-0.26975
DUS3L	-0.462333333333333
EIF1	-0.6975
RP5-1077B9.4	-1.11366666666667
FPGT	0.49625
GDF10	-0.620166666666667
COQ9	-0.0295
GCC2	0.457642857142857
RARRES3	2.23475
PLXNA1	0.0023
KIAA0100	-0.1385
PMF1	-0.3165
FNDC1	5.71275
HS2ST1	-0.560916666666667
CRELD2	0.7885
C8G	-1.4625
CD82	2.5395
LIM2	-0.627
UNQ6490	0.2545
MMP16	-0.68
DRD3	0.47075
C5orf26	-0.4695
C11orf73	-0.46525
PTP4A2	0.143125
OR4M2	-0.7545
HPCA	-0.0366666666666667
SEC14L1	-0.4795
CHFR	0.96375
EMILIN1	0.538375
NDUFS4	0.116
COL18A1	-0.027
PDZD3	0.1039
C9orf16	0.0246666666666667
ERBB2IP	-0.170333333333333
EMX2	2.37275
FUS	-0.6385
TF	-3.8953
CLCN4	0.206
CXorf56	-0.2985
C11orf72	0.09325
ELAC2	-0.302916666666667
NPR1	-0.296
ASS1	1.11566666666667
USP42	0.38375
POLR2J	-0.229
SEC23IP	0.984333333333333
UQCRC1	0.3825
LOC729603	0.938
C1orf71	-0.78275
POLG	-1.577
ADAM23	-2.95975
TFR2	-1.83925
RICTOR	-1.0711
MGC39606	1.16375
C19orf55	-0.173
SNAPC1	-1.69783333333333
GNA11	1.509625
CCDC52	-0.472833333333333
FSIP1	-0.384
UPF3A	-0.891
IGSF11	-3.31033333333333
LAGE3	0.62875
CHST6	-2.058
UNC13B	0.138625
TTLL4	-0.40075
ZNF687	-0.1815
SDC2	-0.9643
COX7A2	0.14875
LAMB4	-0.111
FAM24A	-0.0305
LRRTM3	-0.9528
GPHB5	0.78775
OR4C13	0.3395
EIF3EIP	0.343071428571429
HABP4	-0.702
TMEM125	1.88925
CNTN2	-0.233571428571429
ASNSD1	-0.18225
