Hybridization REF	TCGA-A8-A08J-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.03291666666667
CREB3L1	0.84575
RPS11	-0.27725
PNMA1	0.338
MMP2	0.643333333333333
C10orf90	-2.622
ZHX3	-0.0781666666666667
ERCC5	0.45625
GPR98	1.326
RXFP3	0.7475
APBB2	1.405
PRO0478	-0.919
KLHL13	-1.812
PRSSL1	-0.879833333333333
PDCL3	0.313666666666667
DECR1	-0.04725
SALL1	-2.50383333333333
CADM4	-0.0015
RPS18	-1.22707142857143
HNRPD	-0.791333333333333
CFHR5	0.575
SLC10A7	0.448875
OR2K2	-0.529
LMAN1	-0.552375
SUHW1	-3.31325
CHD8	0.3
SUMO1	0.2623
GP1BA	-0.193
DDB1	-0.176166666666667
MYO9B	-0.2367
MMP7	5.8505
CRNKL1	1.38625
C9orf45	-1.85883333333333
XAB2	0.128125
RTN1	0.89825
KLHL14	-2.77975
TBX10	-0.585
CENPQ	-1.795
UTY	-1.1445
ZBTB12	0.542
DTNBP1	0.04125
KBTBD8	-0.493333333333333
ZEB1	0.945166666666667
ZG16	0.476
MIER1	0.3079
ADAM5P	0.4
CHD9	0.98
STK16	0.542
KIAA1486	-0.73
TOB2	0.756166666666667
BANK1	1.71675
OR2V2	0.199
GRM2	0.0541666666666667
PROSC	-0.641875
SPIN2B	-0.03975
PIR	-0.0122222222222222
IPO9	-0.616
EVC	0.853666666666667
CXCL13	2.993
KIAA1199	0.9302
SORL1	0.20475
NAT10	-0.6905
CHD1	-1.18975
SYN3	-0.08275
SLC22A2	-0.61025
SERPINF1	1.32916666666667
WDR34	-0.03025
OR7A17	0.358
C9orf11	-0.234
RNF216L	0.055
LHB	0.0765
STK25	-0.461875
TAOK3	0.525125
LOC152573	-3.49525
C3orf39	-0.89725
C14orf108	0.0026
CDC25B	-0.825272727272727
BMP3	0.141
TMEM180	0.506
MAP1LC3C	-0.613
CRYGC	-0.201
POU3F1	-0.8362
C20orf32	-1.3085
CCDC95	-0.226
HIGD1B	4.24725
USP6NL	-0.232
ABCD4	-0.702833333333333
DIMT1L	-1.093
TEK	0.74875
SLC25A46	-0.685
LARP7	-1.3981
CD160	0.374833333333333
MT1JP	0.393166666666667
PHF20	0.3105
CPNE4	1.901
GTPBP1	-0.510785714285714
RAB33B	0.270666666666667
ALDOC	-1.019
ZNF212	-0.25525
NUDT1	-1.238
RFPL2	1.10375
ZNF83	-0.0715
GDPD5	-1.288
PDCD4	0.66705
CEP350	0.73025
OR10A2	0.538
CST7	1.615
CIAO1	-0.4285
SELL	0.523125
OR8J3	-0.979
LTBP4	-0.719166666666667
SIRT6	0.10575
CCL19	1.2155
PPIL1	-1.35516666666667
GBP7	-0.0285
STK17A	-0.7991
ABR	0.76925
OR9G1	-0.161
FOXE1	-0.737
CNGA3	2.2255
GML	0.5305
CD38	-0.8535
ZDHHC6	0.154333333333333
NEFH	2.953
CTDSP2	0.926416666666667
PGBD5	1.21333333333333
CCNY	0.462214285714286
RMND5B	1.723
ZNF257	-0.27825
FLJ22167	-0.76775
EXOSC7	-0.0605
ROR2	1.41525
MAOA	-0.7225
TNNT3	-0.0345
GYPC	-1.077
C7orf33	0.2665
PLIN	0.409
LOC90826	-0.6695
RNF4	-0.0269
F8A1	0.576166666666667
PLEKHG4	-2.471
GRB2	1.42445
HIST1H2AD	1.3045
DUS3L	-1.091
EIF1	-0.7865
RP5-1077B9.4	-1.0355
FPGT	1.21275
GDF10	-1.67966666666667
COQ9	-0.29225
GCC2	-0.322214285714286
RARRES3	2.793875
PLXNA1	-0.6373
KIAA0100	-0.1373
PMF1	-0.2515
FNDC1	5.67175
HS2ST1	-0.363416666666667
CRELD2	0.12675
C8G	-1.8445
CD82	0.013
LIM2	-1.227
UNQ6490	-0.389
MMP16	2.31525
DRD3	-0.45
C5orf26	-1.2445
C11orf73	-0.35825
PTP4A2	0.15225
OR4M2	-0.43
HPCA	-0.465833333333333
SEC14L1	-0.871
CHFR	0.7245
EMILIN1	1.26775
NDUFS4	0.1665
COL18A1	-0.0415
PDZD3	-0.0151
C9orf16	-0.234666666666667
ERBB2IP	0.0516666666666667
EMX2	3.29025
FUS	-1.5835
TF	-3.92977777777778
CLCN4	-0.510666666666667
CXorf56	0.28075
C11orf72	0.40425
ELAC2	-0.364833333333333
NPR1	-0.86825
ASS1	-3.59066666666667
USP42	0.041125
POLR2J	-0.558
SEC23IP	0.478
UQCRC1	0.56875
LOC729603	-0.59625
C1orf71	-0.352625
POLG	-1.968
ADAM23	-3.221
TFR2	-1.18
RICTOR	-0.626
MGC39606	0.13675
C19orf55	-0.268
SNAPC1	-1.30466666666667
GNA11	0.512375
CCDC52	-0.21
FSIP1	5.013
UPF3A	-0.83225
IGSF11	-2.36
LAGE3	0.01
CHST6	-0.7725
UNC13B	-0.330875
TTLL4	-1.22825
ZNF687	0.47475
SDC2	-0.646
COX7A2	-0.023
LAMB4	0.019
FAM24A	-0.556
LRRTM3	-0.578333333333333
GPHB5	-0.0395
OR4C13	-0.464
EIF3EIP	-0.585928571428571
HABP4	-0.7235
TMEM125	2.82575
CNTN2	0.810625
ASNSD1	-0.42475
FUT4	-0.091875
ACF	-3.41075
LOC158381	0.6485
CDH8	-0.34575
AGPS	-1.31766666666667
C4orf18	3.89075
PECI	0.668583333333333
UNG	-0.121625
GSTP1	-2.164625
DCUN1D5	-1.6455
DKFZP564J0863	-1.16775
SLC9A3R1	2.480125
BCDO2	-0.266875
CHMP7	-1.0525
REM2	1.407
DNHD1	-0.71925
FKBP4	0.718125
ZNF350	2.09925
MGC11102	0.75575
BST1	0.89375
KISS1R	0.744
NCR2	-0.982
DEFB125	0.6105
UBE2W	1.9665
KRT15	0.020875
C10orf99	0.5985
SCN11A	0.159
GFI1	-2.421
RDHE2	4.795
FHL1	-1.39816666666667
OSGEP	-0.306833333333333
GATA1	-3.014
SMC6	-1.2215
TTTY14	-1.01775
LPIN3	0.17675
RPL4	-1.2443
RBPMS	0.5847
PRPF3	-0.670166666666667
EMR1	-1.8255
SPATA19	0.31575
XCR1	0.865
IRX3	1.0127
RBM6	-0.547
KLF4	-2.0091
UNC5CL	-1.60425
SEBOX	0.312
BTK	-0.56975
KRCC1	0.2755
C6orf27	0.4555
SYTL5	-0.3505
PRND	1.951875
LOC653319	-0.4965
PIGL	-0.6315
HUS1	-0.388333333333333
SFRS6	0.324666666666667
C17orf77	0.422
UIMC1	-0.5835
FXYD2	-1.8082
LOC283152	0.9205
ZNF667	-0.1785
ZCCHC12	-0.234
TFEC	3.4666
ATP7B	1.14483333333333
POLD2	-1.29616666666667
RG9MTD1	-0.13475
ACOT2	0.137166666666667
HIST1H4I	0.312375
PPARGC1A	-2.94488888888889
ETFA	0.1672
POLRMT	-0.56375
ZNF146	-0.239375
MIA2	-1.1345
KLHL6	-0.437333333333333
HOXB5	2.768125
NENF	-0.4585
CUGBP1	-0.36125
PRSS22	2.20916666666667
CASC4	1.5608
CUL4B	0.1249
CENPJ	-0.9599
PITX1	-1.147
FLJ31033	1.7415
CELSR3	1.1545
ZNF568	0.3745
ITSN1	-0.558666666666667
EHBP1L1	-0.798833333333334
C19orf2	-1.01675
DCTN1	0.357
LIN28B	-3.5545
TNKS2	-0.19825
C1QBP	-0.869875
CADPS2	-0.0155
SRMS	0.69675
GJA9	0.514833333333333
MGC24975	-0.653
TRIM45	-1.844
TSP50	-0.21025
TCP1	-1.01925
TMED7	0.3929
CMA1	0.6565
CENPL	-1.32583333333333
PTCRA	0.00249999999999999
FST	-3.322
VWCE	-3.79075
PAWR	0.9415
ABCC12	0.5482
LDLR	-0.6877
ASTN2	0.0427
LOC441212	-1.3485
GPATCH8	-0.14425
TANC2	0.049
KIF4A	-1.07425
C18orf18	-1.49725
PGM1	-1.19775
KIAA0258	-0.1215
CPD	0.114125
SNCAIP	-1.18
DCT	-3.91416666666667
HLA-DOA	2.94863636363636
OR11L1	0.609
UPK1B	-0.0855
DNAJB4	-0.904625
UGT1A8	1.49625
HIST1H4L	-0.568
PECR	-0.972
HSPA2	2.0035
WFIKKN1	-1.975
SERP1	0.771375
SYDE2	1.43275
TACR2	0.2725
NUP85	1.52525
CD177	0.0381666666666667
LGR5	-2.1705
PIGG	0.130666666666667
PTHR1	-0.986666666666667
RAB5A	0.4899
FLJ13224	-0.511
USP9Y	-1.8988
C7orf53	0.1545
LRP1B	-1.17375
XAF1	3.6328
ABCG8	-0.3325
ANKDD1A	-0.713166666666667
DAND5	-2.3125
SPAG6	0.121
LINCR	0.8965
ZDHHC22	-1.525625
CCDC60	0.177
THOC7	-0.9065
TCTA	1.6298
OR8K3	0.3425
NY-REN-7	-0.60325
B2M	2.35483333333333
C6orf141	-2.686125
LPPR4	1.27275
SQLE	0.660125
SEPHS1	-0.5335
BTBD14B	0.531428571428571
PLRG1	-0.68425
SPG7	-0.1618125
ZNF614	0.259333333333333
PARD6G	0.5055
INPP5B	-1.1517
GRPEL2	-0.24675
PPID	-0.5368
TRIM56	-0.13225
UBE2J1	-0.548375
IL20RA	3.9775
LOC387856	0.434
C1orf107	-0.0925
UTS2R	0.72325
C19orf22	-0.367
SAFB2	-0.10125
KIAA0652	-0.112125
KLRG1	-1.09633333333333
MS4A8B	0.751833333333333
FRAG1	-0.53075
KIAA1546	0.5585
E2F4	-0.8019
CLEC4M	0.375666666666667
BTBD14A	-0.81025
KIAA0999	0.0626
GYPA	-2.6182
TAC1	-0.0585555555555556
TRAIP	-0.545
KIAA0232	1.2755
ERCC8	-1.269625
GPX4	0.00975
KIAA0368	0.320125
GPR157	-0.424
CTAGE4	1.1235
C9orf30	-0.917
OR52A1	0.1885
HSP90B3P	0.023
ALG9	-0.7245
BTBD10	0.2065
SDK2	-0.23025
BAIAP3	-0.6995
RABGGTB	-1.072
ANKRD40	1.33483333333333
KRT74	0.8285
CALCOCO2	2.44571428571429
SNCA	-2.9885
TMSL8	-2.95725
C2orf53	-0.4305
ESRRB	-0.356
ARHGAP26	-1.635125
TDRD9	-1.57475
HRAS	0.932666666666667
KLRC4	-1.977
JAGN1	0.401666666666667
BSDC1	0.42025
RNF43	0.9087
NDUFAF1	0.4835
PHF12	0.40625
OR1L3	-0.12475
FOLR2	2.36941666666667
LYZL6	0.2934
tcag7.1260	-1.017
WSB1	-1.49533333333333
PROS1	-1.1458
OSTN	0.227
PSMB8	1.5115
SOCS4	-0.31875
DDIT4L	0.7985
MAS1	-0.0635
MGC34796	2.349
CSHL1	0.379333333333333
TBCCD1	-0.429
ZBTB7C	0.1195
AP2S1	0.460125
P15RS	-0.5121
VAT1	-0.0109
SHANK3	0.871
TUFM	0.126666666666667
THEG	0.433
KRT34	-1.97
SGSM3	0.23925
TOMM22	-0.839
SOCS3	0.287333333333333
CPO	0.5385
POP4	0.64125
BHLHB3	1.197
MALL	-0.04675
OR1B1	0.588
PARK2	-0.185
GPR124	0.066
LCE1E	0.481
RUVBL2	-0.60925
CGRRF1	0.4181
ACPL2	0.068
WNT10B	-2.248
BAIAP2L2	-2.02725
ISCA1	-0.411
C1orf125	-0.23875
RPAP1	-0.47275
RAI16	0.0645
RPL27	-1.18275
NLRP9	-0.2185
EPN1	0.5305
LOC388610	-2.574125
SLC35A1	0.9165
GAL	-3.35525
SLC14A2	0.4735
RDH11	-0.109
FAM138F	-1.013
AUH	-0.15875
FLJ40243	-0.23925
C14orf129	0.0831666666666667
MBD2	0.0148333333333334
ABHD14B	0.563375
PIGT	0.498625
ALS2CR4	-1.389625
ALAS1	0.0272
FOXO1	1.48516666666667
CRLF3	-1.211
C20orf107	0.959
FARS2	0.57725
CCDC28A	-0.53525
NPHP3	-1.52175
OR13F1	0.4195
TSEN54	1.5645
DEFB106B	0.0845555555555556
OR8B4	0.3055
STH	0.2155
ZC3H14	-0.76075
CBX2	-0.174
TMEM49	0.9405
C6orf21	0.7785
FLJ20920	1.095625
CRTAP	0.306857142857143
DDX50	-0.44575
STYXL1	0.04775
BLVRB	1.15633333333333
LOC147650	0.165
MMP24	0.28525
GRID1	1.59833333333333
BANF1	-0.335833333333333
CTAGEP	0.43425
HMBS	-2.4195
SLC25A24	-0.211166666666667
C14orf50	2.86425
MRO	1.43916666666667
SLC25A15	-1.3285
FAM84B	3.1164
TDP1	-1.1095
C16orf78	-0.0275
C11orf57	0.355875
RFK	-0.47125
ZFYVE9	-1.1035
STCH	-1.4699
WIBG	0.9685
LOC283871	0.150666666666667
GBA2	-0.5154
NDUFB3	-0.07675
HSD17B13	-0.4515
GRIN3A	1.24966666666667
FMNL1	-1.0415
SEPT7	-0.5541
GNLY	2.9485
GRAMD1C	0.573333333333333
ZNF165	-0.12725
USP38	0.95175
FAM83A	-1.40016666666667
C14orf24	0.482583333333333
ARMCX3	0.948875
ARHGDIB	-0.1295
AK1	0.437125
KIAA1045	-1.70033333333333
DNAJB13	-0.2275
NEU2	-0.139
HIST1H4B	0.683333333333333
FAM20B	-0.0938
HES2	-0.00785714285714286
FAM73B	-0.448
LOC388381	-0.094
INTS7	-1.42836363636364
AMPH	0.70925
ZNF775	0.00412499999999999
UCKL1	0.331333333333333
C10orf97	-0.26925
C1orf161	-0.27425
ALDH1L1	-0.60725
FLJ39378	-0.01
SLC23A1	-2.1185
RBM4B	-0.2565
THAP4	0.0293333333333333
OGFRL1	-0.45125
KIAA0831	-0.29425
PPP1R15A	-0.913
C1orf96	-0.393071428571429
C12orf11	-1.93775
BMF	2.170125
