Hybridization REF	TCGA-A8-A09B-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0476666666666667
CREB3L1	0.7395
RPS11	-0.07675
PNMA1	0.44825
MMP2	0.682333333333333
C10orf90	-2.41975
ZHX3	0.0325
ERCC5	-0.05075
GPR98	0.965625
RXFP3	0.419
APBB2	1.5215
PRO0478	-0.5
KLHL13	-3.40725
PRSSL1	-0.701833333333333
PDCL3	0.395666666666667
DECR1	0.26925
SALL1	-3.088
CADM4	1.0675
RPS18	-0.321928571428571
HNRPD	-0.746833333333333
CFHR5	0.0515
SLC10A7	0.00125000000000003
OR2K2	-0.811
LMAN1	-1.045625
SUHW1	-3.19675
CHD8	0.5424
SUMO1	0.0718
GP1BA	-0.2185
DDB1	-0.471166666666667
MYO9B	-0.0479
MMP7	5.66075
CRNKL1	0.55475
C9orf45	-0.9195
XAB2	0.20075
RTN1	1.476
KLHL14	-0.8825
TBX10	-0.961
CENPQ	-1.536
UTY	-1.47215384615385
ZBTB12	0.2415
DTNBP1	0.612875
KBTBD8	-1.84683333333333
ZEB1	1.64966666666667
ZG16	-0.802
MIER1	0.4656
ADAM5P	-0.548
CHD9	-0.0211875
STK16	-0.9275
KIAA1486	-0.319
TOB2	0.834666666666667
BANK1	1.49075
OR2V2	0.28125
GRM2	0.289333333333333
PROSC	0.665
SPIN2B	0.468
PIR	-1.72611111111111
IPO9	-0.0297
EVC	0.914166666666667
CXCL13	0.903
KIAA1199	-2.0844
SORL1	1.45275
NAT10	-0.48225
CHD1	-0.19575
SYN3	-0.60525
SLC22A2	-0.304
SERPINF1	0.8745
WDR34	-0.36425
OR7A17	0.52925
C9orf11	-0.0855
RNF216L	0.0181
LHB	-0.024
STK25	-0.242875
TAOK3	1.125875
LOC152573	-2.882
C3orf39	1.09275
C14orf108	0.152
CDC25B	-1.807
BMP3	-0.0515
TMEM180	0.337
MAP1LC3C	0.605
CRYGC	-0.599
POU3F1	-1.1213
C20orf32	-1.128
CCDC95	0.3315
HIGD1B	3.7
USP6NL	-0.703625
ABCD4	-0.383333333333333
DIMT1L	-0.861083333333333
TEK	0.800625
SLC25A46	-0.6595
LARP7	-1.0363
CD160	0.0565
