Hybridization REF	TCGA-AQ-A04L-01B-21R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0828333333333333
CREB3L1	1.43325
RPS11	-0.074125
PNMA1	-1.026
MMP2	0.686166666666667
C10orf90	-2.14275
ZHX3	0.55
ERCC5	0.000750000000000004
GPR98	-1.610625
RXFP3	0.5315
APBB2	0.08875
PRO0478	-0.45725
KLHL13	-4.07475
PRSSL1	-0.845833333333334
PDCL3	0.446666666666667
DECR1	1.0625
SALL1	-3.14233333333333
CADM4	-0.106833333333333
RPS18	-0.233714285714286
HNRPD	-0.9235
CFHR5	0.360166666666667
SLC10A7	0.74375
OR2K2	0.2545
LMAN1	-0.870375
SUHW1	-3.70475
CHD8	-0.5425
SUMO1	0.2177
GP1BA	-0.0761
DDB1	0.559
MYO9B	0.3682
MMP7	3.9215
CRNKL1	0.00625000000000002
C9orf45	-1.53233333333333
XAB2	-0.117625
RTN1	0.223625
KLHL14	-1.536
TBX10	-0.7905
CENPQ	-1.7705
UTY	-1.21714285714286
ZBTB12	-0.619
DTNBP1	-0.831875
KBTBD8	-1.80133333333333
ZEB1	0.483666666666667
ZG16	-1.35525
MIER1	0.3217
ADAM5P	-0.067
CHD9	0.2596875
STK16	1.76075
KIAA1486	-0.2745
TOB2	0.540333333333333
BANK1	1.43975
OR2V2	0.0445
GRM2	0.200833333333333
PROSC	0.733375
SPIN2B	-1.079
PIR	-1.42311111111111
IPO9	-0.2264
EVC	0.765
CXCL13	8.99783333333333
KIAA1199	1.4024
SORL1	1.3525
NAT10	-0.359
CHD1	-1.503
SYN3	-0.18525
SLC22A2	0.14575
SERPINF1	0.616
WDR34	0.499
OR7A17	0.111
C9orf11	0.0665
RNF216L	-0.231
LHB	0.1125
STK25	-0.224375
TAOK3	0.434
LOC152573	-2.63
C3orf39	0.2825
C14orf108	-0.1992
CDC25B	-1.77027272727273
BMP3	0.1855
TMEM180	-0.1545
MAP1LC3C	0.45025
CRYGC	-0.607
POU3F1	-1.3102
C20orf32	-1.0755
CCDC95	-0.2605
HIGD1B	4.03725
USP6NL	0.19825
ABCD4	-0.798833333333333
DIMT1L	-1.07441666666667
TEK	0.038125
SLC25A46	-0.99775
LARP7	-2.0123
CD160	0.246333333333333
MT1JP	1.47716666666667
PHF20	0.497
CPNE4	-1.46075
GTPBP1	0.405857142857143
RAB33B	1.22383333333333
ALDOC	-2.56375
ZNF212	-0.51425
NUDT1	-1.57033333333333
RFPL2	-0.3655
ZNF83	-0.696333333333333
GDPD5	0.26525
PDCD4	2.3447
CEP350	-0.1655
OR10A2	0.35
CST7	-0.285
CIAO1	-1.1195
SELL	-0.00425
OR8J3	-0.1685
LTBP4	-0.209166666666667
SIRT6	0.431
CCL19	0.7285
PPIL1	-1.61833333333333
GBP7	-0.00433333333333336
STK17A	-1.0324
ABR	-0.23825
OR9G1	0.357
FOXE1	-0.631
CNGA3	2.355
GML	0.342
CD38	-4.32925
ZDHHC6	-0.6815
NEFH	-2.74025
CTDSP2	3.20025
PGBD5	-1.77716666666667
CCNY	0.726714285714286
RMND5B	-0.433666666666667
ZNF257	-2.91475
FLJ22167	-0.69025
EXOSC7	-0.558166666666667
ROR2	1.65075
MAOA	2.1645
TNNT3	-0.0781666666666667
GYPC	-1.38475
C7orf33	0.566
PLIN	1.0445
LOC90826	0.34525
RNF4	-0.6815
