Hybridization REF	TCGA-D8-A142-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.8915
CREB3L1	0.2665
RPS11	-0.118375
PNMA1	0.45425
MMP2	1.4225
C10orf90	-2.36525
ZHX3	0.1775
ERCC5	-0.51825
GPR98	-1.909375
RXFP3	0.3435
APBB2	0.6865
PRO0478	-0.743625
KLHL13	-2.56575
PRSSL1	-0.687333333333333
PDCL3	2.12866666666667
DECR1	1.280375
SALL1	-2.454
CADM4	1.25233333333333
RPS18	-0.167285714285714
HNRPD	-0.342583333333333
CFHR5	-0.073
SLC10A7	-0.230125
OR2K2	-0.025
LMAN1	-0.304625
SUHW1	-3.6205
CHD8	-0.43
SUMO1	0.2547
GP1BA	0.3033
DDB1	0.2905
MYO9B	0.5624
MMP7	6.1395
CRNKL1	1.067375
C9orf45	-0.965833333333333
XAB2	-0.160375
RTN1	1.71125
KLHL14	0.75275
TBX10	-0.794
CENPQ	-0.16475
UTY	-1.4795
ZBTB12	0.0055
DTNBP1	0.235375
KBTBD8	-0.2705
ZEB1	1.04533333333333
ZG16	-1.324
MIER1	0.1063
ADAM5P	-0.7895
CHD9	-0.060125
STK16	-0.19275
KIAA1486	-0.608
TOB2	0.9575
BANK1	3.576
OR2V2	0.014
GRM2	0.163166666666667
PROSC	0.0835
SPIN2B	0.07875
PIR	-0.471222222222222
IPO9	-0.1931
EVC	1.43383333333333
CXCL13	4.893
KIAA1199	1.1914
SORL1	-0.3235
NAT10	0.42075
CHD1	-1.32725
SYN3	0.71275
SLC22A2	-0.11275
SERPINF1	1.17383333333333
WDR34	-0.3865
OR7A17	0.3605
C9orf11	0.237
RNF216L	-0.1078
LHB	0.1255
STK25	0.148875
TAOK3	0.859625
LOC152573	-2.96075
C3orf39	0.4965
C14orf108	-0.2385
CDC25B	-1.25563636363636
BMP3	0.4165
TMEM180	0.002
MAP1LC3C	0.32325
CRYGC	-0.5415
POU3F1	-1.4042
C20orf32	-1.672
CCDC95	-0.235
HIGD1B	3.61
USP6NL	2.55225
ABCD4	-0.757
DIMT1L	-1.40583333333333
TEK	1.074125
SLC25A46	-0.93875
LARP7	-1.5899
CD160	0.336666666666667
MT1JP	-1.5625
PHF20	0.33475
CPNE4	-1.452
GTPBP1	-0.0757142857142857
RAB33B	1.154
ALDOC	-1.144
ZNF212	-0.56275
NUDT1	-0.491
RFPL2	0.05275
ZNF83	0.0401666666666667
GDPD5	0.546625
PDCD4	0.19475
CEP350	0.47225
OR10A2	0.21725
CST7	1.253
CIAO1	0.196
SELL	1.14325
OR8J3	0.3835
LTBP4	0.178166666666667
SIRT6	-0.069
CCL19	4.1225
PPIL1	0.377666666666667
GBP7	-0.00283333333333333
STK17A	0.0478
ABR	0.1875
OR9G1	-0.021
FOXE1	-0.48
CNGA3	-0.4745
GML	0.37
CD38	0.5325
ZDHHC6	-0.194166666666667
NEFH	0.3045
CTDSP2	0.647083333333333
PGBD5	-0.137833333333333
CCNY	1.882
RMND5B	-0.204666666666667
ZNF257	-0.63675
FLJ22167	0.93525
EXOSC7	-0.485833333333333
ROR2	1.4975
MAOA	-2.0135
TNNT3	0.000500000000000013
GYPC	-0.61375
C7orf33	0.1685
PLIN	0.252333333333333
LOC90826	-0.5395
RNF4	-0.0387
F8A1	-0.104
PLEKHG4	-1.68925
GRB2	0.5667
HIST1H2AD	-1.564
DUS3L	-1.501
EIF1	0.5325
RP5-1077B9.4	-0.864833333333333
FPGT	0.39575
GDF10	-0.378333333333333
COQ9	-0.458
GCC2	0.603642857142857
RARRES3	0.83225
PLXNA1	0.4004
KIAA0100	0.0882
PMF1	-0.0405
FNDC1	5.47625
HS2ST1	-0.326666666666667
CRELD2	0.749
C8G	-1.5365
CD82	1.80975
LIM2	-0.8935
UNQ6490	0.586
MMP16	0.996
DRD3	-0.13975
C5orf26	-2.12
C11orf73	-0.210875
PTP4A2	-0.307375
OR4M2	-0.244
HPCA	-0.241333333333333
SEC14L1	0.747333333333333
CHFR	0.705
EMILIN1	1.21725
NDUFS4	-0.87725
COL18A1	0.70075
PDZD3	-0.1274
C9orf16	0.212833333333333
ERBB2IP	-0.394833333333333
EMX2	3.17425
FUS	-0.551
TF	-3.7077
CLCN4	1.842
CXorf56	0.77825
C11orf72	0.34725
ELAC2	-0.28375
NPR1	-0.3065
ASS1	-2.2065
USP42	0.411625
POLR2J	-0.3665
SEC23IP	0.117166666666667
UQCRC1	0.033
LOC729603	-0.17475
C1orf71	-0.116625
POLG	-1.972
ADAM23	-3.34575
TFR2	-1.61125
RICTOR	-0.5646
MGC39606	1.5745
C19orf55	-0.353
SNAPC1	-1.26466666666667
GNA11	1.164875
CCDC52	-0.2235
FSIP1	0.157
UPF3A	-0.138625
IGSF11	-2.28833333333333
LAGE3	-0.18525
CHST6	2.3795
UNC13B	1.722625
TTLL4	0.846875
ZNF687	0.3215
SDC2	0.9158
COX7A2	-0.03075
LAMB4	0.18725
FAM24A	0.1145
LRRTM3	-1.03083333333333
GPHB5	-0.14925
OR4C13	0.3815
EIF3EIP	-0.00742857142857143
HABP4	0.702
TMEM125	2.42125
CNTN2	0.26725
ASNSD1	-0.04025
FUT4	1.7805
ACF	-3.601
LOC158381	-0.615
CDH8	0.85325
AGPS	-1.91083333333333
C4orf18	2.53375
PECI	-2.44816666666667
UNG	-0.77375
GSTP1	-0.17325
DCUN1D5	-0.4625
DKFZP564J0863	-0.52775
SLC9A3R1	-0.041625
BCDO2	-0.7315
CHMP7	0.108625
REM2	0.6305
DNHD1	-0.828125
FKBP4	-0.97075
ZNF350	1.4825
MGC11102	-0.1405
BST1	1.64025
KISS1R	0.0985
NCR2	0.335
DEFB125	0.421
UBE2W	1.138625
KRT15	1.966
C10orf99	0.1795
SCN11A	0.51675
GFI1	-0.6985
RDHE2	-0.449833333333333
FHL1	-0.410166666666667
OSGEP	-0.25
GATA1	-3.7275
SMC6	-0.0485
TTTY14	-1.327
LPIN3	0.1305
RPL4	-0.9615
RBPMS	0.0107
PRPF3	0.510166666666667
EMR1	-2.088
SPATA19	0.10675
XCR1	0.1215
IRX3	1.2519
RBM6	0.29675
KLF4	-0.0253
UNC5CL	-1.42025
SEBOX	-0.1625
BTK	-0.36325
KRCC1	0.68825
C6orf27	0.341
SYTL5	-1.011
PRND	1.886375
LOC653319	-1.264
PIGL	-1.74675
HUS1	-0.0393333333333333
SFRS6	-0.85275
C17orf77	0.2955
UIMC1	-0.799
FXYD2	-1.9534
LOC283152	-0.7715
ZNF667	1.63625
ZCCHC12	-0.32775
TFEC	3.3956
ATP7B	-0.411833333333333
POLD2	-1.19983333333333
RG9MTD1	-0.12275
ACOT2	-0.694666666666667
HIST1H4I	-1.413125
PPARGC1A	0.8511
ETFA	-1.4948
POLRMT	-0.72075
ZNF146	0.280125
MIA2	-1.419
KLHL6	0.2145
HOXB5	-1.11375
NENF	0.4525
CUGBP1	-0.6275
PRSS22	1.88716666666667
CASC4	0.5227
CUL4B	0.2281
CENPJ	-0.958
PITX1	-0.292166666666667
FLJ31033	0.151833333333333
CELSR3	-1.73183333333333
ZNF568	1.457
ITSN1	-0.0355833333333333
EHBP1L1	0.511833333333333
C19orf2	-0.055
DCTN1	1.85775
LIN28B	-4.02933333333333
TNKS2	-0.198
C1QBP	-1.086
CADPS2	1.215
SRMS	0.4305
GJA9	0.512
MGC24975	-1.028
TRIM45	-1.73416666666667
TSP50	-0.2205
TCP1	0.02175
TMED7	-0.3706
CMA1	0.197
CENPL	-0.329666666666667
PTCRA	-0.0305
FST	-3.34575
VWCE	-3.18525
PAWR	0.22525
ABCC12	0.00183333333333334
LDLR	0.5836
ASTN2	-0.2877
LOC441212	-0.13775
GPATCH8	0.28625
TANC2	-0.759083333333333
KIF4A	-1.05125
C18orf18	-1.43475
PGM1	-0.27125
KIAA0258	1.62925
CPD	0.917
SNCAIP	-1.159
DCT	-4.279
HLA-DOA	2.90736363636364
OR11L1	0.5765
UPK1B	0.432166666666667
DNAJB4	0.074875
UGT1A8	0.1895
HIST1H4L	-0.7135
PECR	-2.65416666666667
HSPA2	-0.109
WFIKKN1	-2.566
SERP1	0.35825
