Hybridization REF	TCGA-B6-A0I5-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.629583333333333
CREB3L1	1.592
RPS11	0.9285
PNMA1	0.212
MMP2	-0.642166666666667
C10orf90	-1.8515
ZHX3	0.388166666666667
ERCC5	0.67325
GPR98	-0.658875
RXFP3	0.9135
APBB2	0.90525
PRO0478	-0.805875
KLHL13	-2.15325
PRSSL1	0.093
PDCL3	-0.0025
DECR1	-0.408375
SALL1	-2.78833333333333
CADM4	0.226333333333333
RPS18	1.02692857142857
HNRPD	-1.49908333333333
CFHR5	-0.606166666666667
SLC10A7	-0.0685
OR2K2	-0.16
LMAN1	-1.584
SUHW1	-2.81775
CHD8	1.2204
SUMO1	1.1423
GP1BA	1.0779
DDB1	-0.502
MYO9B	-0.2096
MMP7	5.77275
CRNKL1	0.615125
C9orf45	-1.25483333333333
XAB2	-0.249
RTN1	1.11075
KLHL14	-0.68975
TBX10	-0.402
CENPQ	-2.2395
UTY	-1.069
ZBTB12	-1.1415
DTNBP1	0.043
KBTBD8	-1.003
ZEB1	0.441
ZG16	-0.827
MIER1	0.7258
ADAM5P	-0.76
CHD9	0.0709999999999999
STK16	1.14975
KIAA1486	0.079
TOB2	1.53425
BANK1	2.172
OR2V2	-0.10025
GRM2	-0.205666666666667
PROSC	0.763875
SPIN2B	-0.587
PIR	-2.43577777777778
IPO9	-0.0486
EVC	0.959666666666667
CXCL13	9.36683333333333
KIAA1199	-0.3608
SORL1	1.665
NAT10	-0.67
CHD1	-0.61825
SYN3	-0.37725
SLC22A2	-0.88375
SERPINF1	0.568666666666667
WDR34	-0.058
OR7A17	0.34325
C9orf11	0.0995
RNF216L	0.8938
LHB	0.2785
STK25	-1.220375
TAOK3	0.801375
LOC152573	-2.2825
C3orf39	-0.10225
C14orf108	-0.2345
CDC25B	-1.53218181818182
BMP3	0.2535
TMEM180	-0.4635
MAP1LC3C	-0.87625
CRYGC	-0.701
POU3F1	-0.8192
C20orf32	-1.1675
CCDC95	0.2
HIGD1B	4.387
USP6NL	0.39125
ABCD4	0.321333333333333
DIMT1L	-1.24983333333333
TEK	1.23375
SLC25A46	-1.779
LARP7	-0.3687
CD160	0.167166666666667
MT1JP	-0.546166666666667
PHF20	0.3023125
CPNE4	-1.142
GTPBP1	0.0799285714285714
RAB33B	0.5765
ALDOC	-2.486875
ZNF212	-0.289
NUDT1	-1.074
RFPL2	-0.8805
ZNF83	-0.395833333333333
GDPD5	-1.14275
PDCD4	2.07735
CEP350	0.5655
OR10A2	0.144
CST7	0.261
CIAO1	-0.908
SELL	0.929625
OR8J3	-0.2355
LTBP4	-0.265
SIRT6	-0.16575
CCL19	5.7745
PPIL1	-0.886333333333333
GBP7	-0.153666666666667
STK17A	-1.1103
ABR	1.3805
OR9G1	0.0535
FOXE1	-0.129
CNGA3	0.5935
GML	0.708
CD38	-2.2285
ZDHHC6	0.109166666666667
NEFH	-1.32625
CTDSP2	0.00591666666666665
PGBD5	-2.081
CCNY	0.579071428571429
RMND5B	0.316083333333333
ZNF257	-0.7815
FLJ22167	0.075125
EXOSC7	-0.829166666666667
ROR2	0.188625
MAOA	0.809375
TNNT3	-0.0795000000000001
GYPC	-1.46675
C7orf33	0.497
PLIN	1.79783333333333
LOC90826	-0.2415
RNF4	-0.235
F8A1	-0.2995
PLEKHG4	-2.826
GRB2	-0.66825
HIST1H2AD	0.8605
DUS3L	-0.884666666666667
EIF1	-0.439166666666667
RP5-1077B9.4	-1.20733333333333
FPGT	0.4815
GDF10	1.21133333333333
COQ9	-0.80575
GCC2	0.453714285714286
RARRES3	2.685125
PLXNA1	-0.3617
KIAA0100	0.5946
PMF1	-0.20725
FNDC1	5.4045
HS2ST1	-0.885166666666667
CRELD2	0.6795
C8G	-1.956
CD82	1.48025
LIM2	-0.5795
UNQ6490	0.732
MMP16	-0.778
DRD3	-0.46
C5orf26	-0.163
C11orf73	-0.711375
PTP4A2	1.621375
OR4M2	0.7925
HPCA	-1.4785
SEC14L1	-0.531
CHFR	-0.0679999999999999
EMILIN1	1.109625
NDUFS4	-0.955
COL18A1	0.466875
PDZD3	0.0499
C9orf16	0.140666666666667
ERBB2IP	-0.0236666666666667
EMX2	3.03525
FUS	-1.7705
TF	-3.7202
CLCN4	-1.16416666666667
CXorf56	-0.7695
C11orf72	0.6625
ELAC2	-0.29925
NPR1	-0.84975
ASS1	-0.363833333333333
USP42	0.9765
POLR2J	-0.457
SEC23IP	0.510166666666667
UQCRC1	-0.61025
LOC729603	-0.28575
C1orf71	-0.25975
POLG	-1.9995
ADAM23	-2.71175
TFR2	-0.26925
RICTOR	-1.0008
MGC39606	1.5145
C19orf55	0.129125
SNAPC1	0.0595
GNA11	0.621125
CCDC52	-0.314666666666667
FSIP1	5.244
UPF3A	-0.839625
IGSF11	-1.3665
LAGE3	0.407
CHST6	0.5505
UNC13B	0.104875
TTLL4	-0.74675
ZNF687	0.30875
SDC2	-1.3636
COX7A2	0.17125
LAMB4	-0.6665
FAM24A	0.269
LRRTM3	-0.7035
GPHB5	1.553
OR4C13	0.791
EIF3EIP	0.854071428571429
HABP4	-2.0675
TMEM125	4.565
CNTN2	-0.0455
ASNSD1	-0.4855
FUT4	-0.6595
ACF	-2.60075
LOC158381	-0.5735
CDH8	-1.1875
AGPS	-0.465833333333333
C4orf18	2.01925
PECI	0.484083333333333
UNG	-0.511875
GSTP1	-1.444
DCUN1D5	-1.69883333333333
DKFZP564J0863	-0.5245
SLC9A3R1	0.525875
BCDO2	0.541
CHMP7	0.15575
REM2	1.0255
DNHD1	-0.1805
FKBP4	-0.10525
ZNF350	1.2555
MGC11102	0.05325
BST1	-0.0357499999999999
KISS1R	0.111
NCR2	0.1175
DEFB125	-0.0975
UBE2W	0.813
KRT15	1.1875
C10orf99	0.613
SCN11A	0.1245
GFI1	-1.82025
RDHE2	4.05366666666667
FHL1	-1.412
OSGEP	1.069
GATA1	-3.16166666666667
SMC6	-1.28325
TTTY14	-0.3055
LPIN3	0.4085
RPL4	0.1983
RBPMS	0.7014
PRPF3	-0.0795
EMR1	-1.1145
SPATA19	0.55775
XCR1	1.011
IRX3	1.0743
RBM6	-1.065
KLF4	-1.006
UNC5CL	0.3085
SEBOX	0.5
BTK	-0.94575
KRCC1	1.10875
C6orf27	0.8475
SYTL5	0.014
PRND	1.403875
LOC653319	-0.9
PIGL	-0.596625
HUS1	0.304833333333333
SFRS6	-0.277833333333333
C17orf77	0.3505
UIMC1	-0.4625
FXYD2	-1.4696
LOC283152	2.17
ZNF667	-0.96325
ZCCHC12	-0.4895
TFEC	0.3279
ATP7B	0.502833333333333
POLD2	-1.5265
RG9MTD1	-0.5805
ACOT2	0.460166666666667
HIST1H4I	0.59125
PPARGC1A	-1.1336
ETFA	-2.4322
POLRMT	0.31975
ZNF146	-0.4025
MIA2	0.325
KLHL6	-0.689333333333333
HOXB5	-0.2245
NENF	1.53616666666667
CUGBP1	0.97125
PRSS22	1.3195
CASC4	1.6395
CUL4B	0.5754
CENPJ	-1.5539
PITX1	-0.3685
FLJ31033	-0.1065
CELSR3	0.5455
ZNF568	0.461
ITSN1	0.15125
EHBP1L1	-1.61
C19orf2	-0.974
DCTN1	-0.88525
