Hybridization REF	TCGA-A7-A0CE-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.961166666666667
CREB3L1	-0.60925
RPS11	-0.067875
PNMA1	-0.5325
MMP2	0.0548333333333333
C10orf90	-1.0255
ZHX3	-1.482
ERCC5	0.34225
GPR98	-1.1435
RXFP3	0.3955
APBB2	-0.7675
PRO0478	-0.54775
KLHL13	0.45475
PRSSL1	-0.849166666666667
PDCL3	0.0928333333333333
DECR1	0.8735
SALL1	-5.08833333333333
CADM4	1.41166666666667
RPS18	-0.126428571428571
HNRPD	0.2645
CFHR5	0.8448
SLC10A7	0.383875
OR2K2	0.2215
LMAN1	-0.338875
SUHW1	-2.48975
CHD8	-0.3645
SUMO1	-0.1573
GP1BA	-0.1881
DDB1	-0.413166666666667
MYO9B	-0.1344
MMP7	6.98275
CRNKL1	-0.155125
C9orf45	-1.19283333333333
XAB2	0.152375
RTN1	1.132
KLHL14	0.34925
TBX10	-0.531
CENPQ	-0.86025
UTY	-0.622461538461538
ZBTB12	-0.3935
DTNBP1	-0.013625
KBTBD8	-1.322
ZEB1	-0.299833333333333
ZG16	-0.754
MIER1	0.01
ADAM5P	0.504
CHD9	-0.314125
STK16	0.22825
KIAA1486	-0.2385
TOB2	0.725666666666667
BANK1	1.507
OR2V2	0.0565
GRM2	-0.069
PROSC	0.116625
SPIN2B	0.0625
PIR	-1.53022222222222
IPO9	0.3177
EVC	0.424
CXCL13	3.3885
KIAA1199	-0.405
SORL1	0.31875
NAT10	-0.36525
CHD1	0.32025
SYN3	0.82425
SLC22A2	2.90125
SERPINF1	-0.268833333333333
WDR34	-0.3225
OR7A17	-0.27075
C9orf11	0.8125
RNF216L	0.0242
LHB	-0.0625
STK25	-0.6875
TAOK3	0.18625
LOC152573	-3.19275
C3orf39	0.148
C14orf108	0.3846
CDC25B	-1.39609090909091
BMP3	0.6775
TMEM180	-0.511
MAP1LC3C	0.20525
CRYGC	0.25
POU3F1	-1.6092
C20orf32	0.432
CCDC95	-0.134
HIGD1B	2.3285
USP6NL	0.330625
ABCD4	-0.774
DIMT1L	-0.1035
TEK	1.285625
SLC25A46	-0.75575
LARP7	-0.7072
CD160	1.18433333333333
MT1JP	-0.229166666666667
PHF20	-0.764125
CPNE4	-0.57625
GTPBP1	-0.693571428571429
RAB33B	-0.272166666666667
ALDOC	-2.085625
ZNF212	0.09175
NUDT1	-0.135333333333333
RFPL2	-0.40125
ZNF83	-0.254833333333333
GDPD5	-0.52075
PDCD4	0.4804
CEP350	0.653
OR10A2	0.027
CST7	-0.03775
CIAO1	-0.925
SELL	0.48875
OR8J3	0.8215
LTBP4	-0.095
SIRT6	-0.12975
CCL19	5.19825
PPIL1	-0.746333333333333
GBP7	0.051
STK17A	-1.4511
ABR	0.8775
OR9G1	1.501
FOXE1	0.026375
CNGA3	-1.04
GML	0.234
CD38	-1.02525
ZDHHC6	0.698666666666667
NEFH	0.064
CTDSP2	0.569083333333333
PGBD5	-1.19083333333333
CCNY	1.27185714285714
RMND5B	-0.980833333333333
ZNF257	-2.55175
FLJ22167	0.083125
EXOSC7	-0.8695
ROR2	-0.149125
MAOA	-1.56175
TNNT3	1.14833333333333
GYPC	-1.12675
C7orf33	1.5455
PLIN	2.56733333333333
LOC90826	0.26825
RNF4	-0.318
F8A1	1.21666666666667
PLEKHG4	0.24075
GRB2	-0.1884
HIST1H2AD	-1.0625
DUS3L	0.329333333333333
EIF1	-0.000166666666666666
RP5-1077B9.4	-1.33883333333333
FPGT	1.047
GDF10	0.616666666666667
COQ9	1.19025
GCC2	-0.0866428571428572
RARRES3	0.455125
PLXNA1	-0.3768
KIAA0100	0.3911
PMF1	0.4465
FNDC1	5.3505
HS2ST1	0.277
CRELD2	1.12175
C8G	0.215
CD82	1.0015
LIM2	-1.1945
UNQ6490	0.6935
MMP16	-0.39575
DRD3	0.0454999999999999
C5orf26	-1.73075
C11orf73	-0.531125
PTP4A2	-0.075875
OR4M2	1.733
HPCA	-0.697333333333333
SEC14L1	-0.533166666666667
CHFR	-0.710625
EMILIN1	0.19625
NDUFS4	-0.05625
COL18A1	1.5145
PDZD3	0.6359
C9orf16	-0.3115
ERBB2IP	1.28316666666667
EMX2	1.4735
FUS	-0.22325
TF	-1.7915
CLCN4	0.868
CXorf56	-0.1825
C11orf72	0.11225
ELAC2	-0.0841666666666667
NPR1	-0.3215
ASS1	-0.612833333333333
USP42	0.813125
POLR2J	0.102
SEC23IP	0.139166666666667
UQCRC1	0.6285
LOC729603	-1.20125
C1orf71	-0.4955
POLG	-0.6
ADAM23	-3.69525
TFR2	0.24275
RICTOR	-1.3455
MGC39606	2.166
C19orf55	0.063625
SNAPC1	-1.35466666666667
GNA11	0.639875
CCDC52	-0.825833333333333
FSIP1	1.005
UPF3A	-0.263625
IGSF11	-2.456
LAGE3	1.27375
CHST6	-0.358
UNC13B	-0.27125
TTLL4	-1.33775
ZNF687	0.743625
SDC2	1.8021
COX7A2	0.86675
LAMB4	0.11375
FAM24A	1.8565
LRRTM3	-0.412833333333333
GPHB5	-0.0435
OR4C13	-0.925
EIF3EIP	-0.958928571428571
HABP4	-0.989
TMEM125	3.19075
CNTN2	1.07875
ASNSD1	-0.32775
FUT4	-0.83025
ACF	-3.3535
LOC158381	-0.461
CDH8	0.1715
AGPS	-0.6215
C4orf18	0.209875
PECI	-1.10925
UNG	0.4755
GSTP1	-0.033625
DCUN1D5	-1.09983333333333
DKFZP564J0863	-0.73975
SLC9A3R1	-1.036875
BCDO2	0.264375
CHMP7	-0.218375
REM2	1.028
DNHD1	-0.39725
FKBP4	-0.34225
ZNF350	0.62
MGC11102	-0.429875
BST1	0.889
KISS1R	0.47
NCR2	0.392
DEFB125	0.9485
UBE2W	0.241
KRT15	1.633875
C10orf99	0.2495
SCN11A	1.207125
GFI1	-2.49875
RDHE2	-1.253
FHL1	-1.15283333333333
OSGEP	-0.431
GATA1	-3.49833333333333
SMC6	-0.36125
TTTY14	-0.6725
LPIN3	0.42875
RPL4	-0.8346
RBPMS	0.1379
PRPF3	0.0333333333333333
EMR1	-1.955
SPATA19	0.50225
XCR1	0.2425
IRX3	1.809
RBM6	-0.9705
KLF4	-0.7786
UNC5CL	0.029
SEBOX	-0.4435
BTK	-1.299
KRCC1	1.52275
C6orf27	0.121
SYTL5	-1.449
PRND	1.172375
LOC653319	-0.924
PIGL	-1.469375
HUS1	-0.405666666666667
SFRS6	-0.747416666666667
C17orf77	-0.229
UIMC1	-1.32683333333333
FXYD2	-0.934
LOC283152	0.398
ZNF667	0.34425
ZCCHC12	-0.4265
TFEC	0.841
ATP7B	-1.97866666666667
POLD2	-0.749
RG9MTD1	0.096
ACOT2	-0.579166666666667
HIST1H4I	-1.14575
PPARGC1A	3.3881
ETFA	-0.0509
POLRMT	-1.00375
ZNF146	0.446
MIA2	1.9695
KLHL6	-1.70033333333333
HOXB5	-1.746125
NENF	1.33833333333333
CUGBP1	0.295
PRSS22	0.0141666666666666
CASC4	0.649
CUL4B	0.3245
CENPJ	-0.5931
PITX1	1.45
FLJ31033	-0.145833333333333
