Hybridization REF	TCGA-A8-A090-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.754166666666667
CREB3L1	0.23875
RPS11	-0.016375
PNMA1	0.01375
MMP2	0.3535
C10orf90	-2.18775
ZHX3	-0.0496666666666667
ERCC5	-0.5595
GPR98	-1.60725
RXFP3	0.835
APBB2	2.8245
PRO0478	-0.8275
KLHL13	-3.64275
PRSSL1	-0.0315
PDCL3	0.9385
DECR1	0.542125
SALL1	-3.44116666666667
CADM4	1.28083333333333
RPS18	-0.166071428571429
HNRPD	-0.373583333333333
CFHR5	0.618333333333333
SLC10A7	0.70675
OR2K2	0.135
LMAN1	-0.415
SUHW1	-3.3435
CHD8	-0.3858
SUMO1	0.7032
GP1BA	-0.2014
DDB1	-0.152
MYO9B	-0.0209
MMP7	6.0775
CRNKL1	-0.414125
C9orf45	-2.634
XAB2	0.126375
RTN1	1.143125
KLHL14	-1.9225
TBX10	-1.086
CENPQ	-0.76475
UTY	-1.42838461538462
ZBTB12	-0.121
DTNBP1	0.267625
KBTBD8	-0.295333333333333
ZEB1	0.820333333333333
ZG16	-1.6235
MIER1	0.5267
ADAM5P	-0.685
CHD9	0.11
STK16	0.7445
KIAA1486	-0.5235
TOB2	0.411583333333333
BANK1	2.19775
OR2V2	0.34975
GRM2	-0.254
PROSC	0.783125
SPIN2B	0.145
PIR	-1.43722222222222
IPO9	-0.544333333333333
EVC	1.34866666666667
CXCL13	3.27316666666667
KIAA1199	-0.4132
SORL1	0.39
NAT10	-0.2925
CHD1	-0.1645
SYN3	-0.4535
SLC22A2	-0.20875
SERPINF1	0.8945
WDR34	-0.855
OR7A17	0.6295
C9orf11	-0.4755
RNF216L	0.1612
LHB	0.083
STK25	-0.483125
TAOK3	0.507875
LOC152573	-2.905
C3orf39	1.19075
C14orf108	-0.3279
CDC25B	-2.05318181818182
BMP3	0.3415
TMEM180	-0.0535
MAP1LC3C	0.20475
CRYGC	-0.8865
POU3F1	-1.5931
C20orf32	-1.5215
CCDC95	0.3495
HIGD1B	3.46675
USP6NL	-0.86125
ABCD4	-0.9705
DIMT1L	-0.269833333333333
TEK	1.04475
SLC25A46	0.0605
LARP7	-1.2241
CD160	0.3655
MT1JP	-0.688166666666667
PHF20	0.2796875
CPNE4	-1.86875
GTPBP1	-0.378642857142857
RAB33B	0.8665
ALDOC	-2.93375
ZNF212	-0.45975
NUDT1	-0.921
RFPL2	-1.22425
ZNF83	0.266166666666667
GDPD5	-1.60525
PDCD4	1.50775
CEP350	0.0595
OR10A2	0.25075
CST7	1.03675
CIAO1	-0.6075
SELL	1.029125
OR8J3	0.485
LTBP4	-0.62
SIRT6	-0.1425
CCL19	3.8265
PPIL1	-0.438166666666667
GBP7	-0.421
STK17A	-0.8001
ABR	0.25325
OR9G1	0.93
FOXE1	-0.6285
CNGA3	-1.0105
GML	0.715
CD38	-1.55675
ZDHHC6	0.263333333333333
