Hybridization REF	TCGA-BH-A0B2-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.13
CREB3L1	1.20975
RPS11	0.87375
PNMA1	0.08275
MMP2	1.145
C10orf90	-1.88925
ZHX3	-0.117833333333333
ERCC5	0.33775
GPR98	-0.18575
RXFP3	0.468
APBB2	1.2825
PRO0478	-0.80925
KLHL13	-1.2885
PRSSL1	0.475666666666667
PDCL3	0.0578333333333333
DECR1	1.09425
SALL1	-2.73966666666667
CADM4	0.4765
RPS18	0.485571428571428
HNRPD	-0.76125
CFHR5	0.1978
SLC10A7	0.31275
OR2K2	0.3785
LMAN1	-0.28825
SUHW1	-3.761
CHD8	0.0284
SUMO1	0.3552
GP1BA	0.4884
DDB1	-0.248
MYO9B	0.0328
MMP7	6.84575
CRNKL1	1.77925
C9orf45	-1.9545
XAB2	0.227875
RTN1	1.35425
KLHL14	-0.8665
TBX10	-1.087
CENPQ	-2.1535
UTY	-0.955071428571429
ZBTB12	-0.6715
DTNBP1	-0.21125
KBTBD8	-0.54
ZEB1	1.60866666666667
ZG16	-1.675
MIER1	0.9119
ADAM5P	1.0825
CHD9	0.0310625
STK16	1.235
KIAA1486	-0.274
TOB2	0.937416666666667
BANK1	4.3465
OR2V2	-0.1315
GRM2	-0.0755
PROSC	1.65425
SPIN2B	-0.21575
PIR	-1.96633333333333
IPO9	-0.2592
EVC	1.14533333333333
CXCL13	8.65433333333333
KIAA1199	-1.6107
SORL1	1.084
NAT10	-0.05825
CHD1	-0.012
SYN3	-0.71925
SLC22A2	-0.4225
SERPINF1	1.44466666666667
WDR34	-0.762
OR7A17	0.22
C9orf11	-0.129
RNF216L	-0.5527
LHB	-0.286
STK25	-0.421875
TAOK3	0.758125
LOC152573	-2.30075
C3orf39	0.881125
C14orf108	0.1676
CDC25B	-1.36545454545455
BMP3	0.0045
TMEM180	-0.0065
MAP1LC3C	0.751
CRYGC	-0.226
POU3F1	-1.2241
C20orf32	-1.136
CCDC95	-0.662
HIGD1B	4.294
USP6NL	0.124625
ABCD4	-0.2535
DIMT1L	-0.745083333333333
TEK	1.534625
SLC25A46	-0.4805
LARP7	-0.9182
CD160	0.455666666666667
MT1JP	-0.427833333333333
PHF20	-0.0581875
CPNE4	-1.26375
GTPBP1	-0.152142857142857
RAB33B	0.668166666666667
ALDOC	-2.24525
ZNF212	-0.54025
NUDT1	-1.47983333333333
RFPL2	0.36
ZNF83	0.0106666666666667
GDPD5	-0.751
PDCD4	2.2571
CEP350	0.512
OR10A2	0.305
CST7	1.5405
CIAO1	-1.12425
SELL	2.487
OR8J3	0.109
LTBP4	-0.190166666666667
SIRT6	-0.22
CCL19	5.14525
PPIL1	-0.8975
GBP7	0.313833333333333
STK17A	-0.4424
ABR	0.20225
OR9G1	0.1855
FOXE1	-0.48075
CNGA3	1.626
GML	0.11
CD38	-0.1235
ZDHHC6	-0.1145
NEFH	-0.4465
CTDSP2	0.535916666666667
PGBD5	-1.60116666666667
CCNY	0.496642857142857
RMND5B	0.4205
ZNF257	-0.3275
FLJ22167	-0.161625
EXOSC7	-0.274833333333333
ROR2	2.012875
MAOA	1.117875
TNNT3	2.33333333333333
GYPC	-0.59375
C7orf33	0.2195
PLIN	4.34766666666667
LOC90826	-0.188
RNF4	-0.3734
F8A1	0.318833333333333
PLEKHG4	-2.4595
