Hybridization REF	TCGA-A8-A094-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	2.04158333333333
CREB3L1	1.6825
RPS11	0.053
PNMA1	-0.69025
MMP2	1.1475
C10orf90	-2.24375
ZHX3	0.852833333333333
ERCC5	-0.30875
GPR98	0.27025
RXFP3	0.9275
APBB2	0.01525
PRO0478	-1.115625
KLHL13	0.1615
PRSSL1	-0.300333333333333
PDCL3	0.602166666666667
DECR1	1.08375
SALL1	-3.36516666666667
CADM4	0.8625
RPS18	-1.01685714285714
HNRPD	-0.480416666666667
CFHR5	-0.0886666666666667
SLC10A7	0.31925
OR2K2	-0.2175
LMAN1	0.00699999999999999
SUHW1	-3.7625
CHD8	-0.4701
SUMO1	0.4003
GP1BA	0.466
DDB1	0.401166666666667
MYO9B	0.4727
MMP7	6.2165
CRNKL1	0.838
C9orf45	-1.74316666666667
XAB2	0.51575
RTN1	1.476625
KLHL14	-1.683125
TBX10	-0.515
CENPQ	-0.73575
UTY	-1.42553846153846
ZBTB12	-1.402
DTNBP1	-0.515625
KBTBD8	-1.25683333333333
ZEB1	0.554833333333333
ZG16	2.01575
MIER1	-0.1305
ADAM5P	0.0295
CHD9	0.0963125
STK16	1.9695
KIAA1486	-1.166
TOB2	0.703916666666667
BANK1	5.49575
OR2V2	0.5545
GRM2	0.494666666666667
PROSC	0.771875
SPIN2B	0.634
PIR	-0.465111111111111
IPO9	-0.7262
EVC	0.497833333333333
CXCL13	6.88683333333333
KIAA1199	0.6333
SORL1	-0.0575
NAT10	-0.18925
CHD1	-1.572
SYN3	-0.43925
SLC22A2	-0.54625
SERPINF1	0.907
WDR34	1.06025
OR7A17	0.41975
C9orf11	-0.39
RNF216L	-0.4489
LHB	0.238
STK25	-0.18725
TAOK3	1.776625
LOC152573	-4.254
C3orf39	1.173375
C14orf108	0.8536
CDC25B	0.148181818181818
BMP3	0.0485
TMEM180	0.422
MAP1LC3C	-0.21275
CRYGC	-0.298
POU3F1	-1.0417
C20orf32	-1.0205
CCDC95	-0.2565
HIGD1B	3.367
USP6NL	0.74175
ABCD4	-0.1755
DIMT1L	-0.764
TEK	0.635125
SLC25A46	-0.45075
LARP7	-1.6586
CD160	0.472666666666667
MT1JP	-0.624333333333333
PHF20	-0.12625
CPNE4	1.39575
GTPBP1	-0.256
RAB33B	1.62466666666667
ALDOC	-1.97175
ZNF212	-0.9035
NUDT1	-0.532
RFPL2	-1.18525
ZNF83	-0.105833333333333
GDPD5	-0.344875
PDCD4	1.08475
CEP350	-0.10825
