Hybridization REF	TCGA-A8-A079-01A-21R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.70875
CREB3L1	-0.07
RPS11	0.3625
PNMA1	0.9785
MMP2	-0.736166666666667
C10orf90	-2.6125
ZHX3	0.480333333333333
ERCC5	-0.932
GPR98	0.24175
RXFP3	0.671
APBB2	1.815
PRO0478	-0.663375
KLHL13	-3.1295
PRSSL1	-1.07116666666667
PDCL3	0.626166666666667
DECR1	0.878125
SALL1	-5.06783333333333
CADM4	0.6165
RPS18	-0.668571428571428
HNRPD	-0.245833333333333
CFHR5	0.7052
SLC10A7	0.46575
OR2K2	1.76
LMAN1	0.301875
SUHW1	-4.05275
CHD8	-0.1383
SUMO1	0.6779
GP1BA	0.5653
DDB1	-0.923
MYO9B	0.056
MMP7	3.9105
CRNKL1	0.00975000000000002
C9orf45	-0.553333333333333
XAB2	-0.20575
RTN1	1.230375
KLHL14	-1.326625
TBX10	-1.054
CENPQ	-1.156
UTY	-2.17091666666667
ZBTB12	-0.2565
DTNBP1	0.24175
KBTBD8	-1.74716666666667
ZEB1	-0.833833333333333
ZG16	-1.4855
MIER1	-0.1158
ADAM5P	-0.544
CHD9	-0.8590625
STK16	0.59275
KIAA1486	-0.4195
TOB2	0.877
BANK1	2.31925
OR2V2	0.129
GRM2	0.159333333333333
PROSC	-0.657
SPIN2B	0.44375
PIR	-0.558666666666667
IPO9	-0.2338
EVC	-0.839666666666667
CXCL13	2.62666666666667
KIAA1199	-1.0991
SORL1	1.46075
NAT10	0.14575
CHD1	-1.13575
SYN3	-0.5515
SLC22A2	-0.720333333333333
SERPINF1	-0.137
WDR34	0.45675
OR7A17	-0.12975
C9orf11	-0.6625
RNF216L	-0.8213
LHB	-0.1365
STK25	-0.075125
TAOK3	0.351875
LOC152573	-3.56533333333333
C3orf39	1.218
C14orf108	0.0246
CDC25B	-0.561181818181818
BMP3	0.227
TMEM180	0.046
MAP1LC3C	-0.5945
CRYGC	-0.044
POU3F1	-1.49822222222222
C20orf32	-1.9165
CCDC95	-0.111
HIGD1B	3.61175
USP6NL	-0.347
ABCD4	-0.520666666666667
DIMT1L	-0.905
TEK	0.4125
SLC25A46	-0.88
LARP7	-1.6261
CD160	0.04
MT1JP	-1.35033333333333
PHF20	1.709625
CPNE4	-2.1385
GTPBP1	-0.319428571428571
RAB33B	1.57933333333333
ALDOC	-1.21725
ZNF212	-0.06325
NUDT1	-0.293333333333333
RFPL2	2.00125
ZNF83	-0.1705
GDPD5	0.885
PDCD4	2.301
CEP350	-0.737
