Hybridization REF	TCGA-AV-A03E-20A-01R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0330833333333334
CREB3L1	2.5105
RPS11	-0.674875
PNMA1	0.8285
MMP2	2.86466666666667
C10orf90	2.66475
ZHX3	1.42816666666667
ERCC5	1.7585
GPR98	-1.090875
RXFP3	0.782
APBB2	0.29675
PRO0478	-0.572625
KLHL13	0.47625
PRSSL1	-0.400666666666667
PDCL3	-0.719166666666667
DECR1	-0.6855
SALL1	0.888333333333333
CADM4	-0.617166666666667
RPS18	-0.302
HNRPD	-0.4575
CFHR5	1.00866666666667
SLC10A7	-0.548625
OR2K2	0.8495
LMAN1	-1.25025
SUHW1	-2.431
CHD8	-0.7518
SUMO1	0.9172
GP1BA	0.5466
DDB1	-0.444833333333333
MYO9B	0.3714
MMP7	1.94575
CRNKL1	-1.346375
C9orf45	-1.12166666666667
XAB2	0.559
RTN1	1.33775
KLHL14	-0.96175
TBX10	-0.3525
CENPQ	-1.25725
UTY	-1.31964285714286
ZBTB12	0.1015
DTNBP1	-0.41025
KBTBD8	-1.25666666666667
ZEB1	-0.405
ZG16	-1.15075
MIER1	0.083
ADAM5P	2.707
CHD9	0.3026875
STK16	1.88875
KIAA1486	-0.3025
TOB2	0.299833333333333
BANK1	0.33
OR2V2	-0.44925
GRM2	0.105833333333333
PROSC	-0.706
SPIN2B	0.57175
PIR	-0.775555555555556
IPO9	-0.3802
EVC	3.19366666666667
CXCL13	1.09916666666667
KIAA1199	-2.8457
SORL1	-4.67425
NAT10	-0.2115
CHD1	-0.7915
SYN3	-0.7325
SLC22A2	-0.196
SERPINF1	-3.63583333333333
WDR34	-0.03125
OR7A17	0.2455
C9orf11	0.1535
RNF216L	0.7789
LHB	0.749
STK25	-0.32375
TAOK3	1.683875
LOC152573	-3.35525
C3orf39	0.671875
C14orf108	-0.34
CDC25B	-0.801818181818182
BMP3	0.048
TMEM180	0.736
MAP1LC3C	-0.75075
CRYGC	0.037
POU3F1	-0.8696
C20orf32	-1.298
CCDC95	0.7305
HIGD1B	-0.154
USP6NL	-0.422
ABCD4	0.520166666666667
DIMT1L	-0.519416666666667
TEK	-0.744375
SLC25A46	-0.424
LARP7	-0.9415
CD160	0.036
MT1JP	2.35533333333333
PHF20	-0.0575
CPNE4	0.784
GTPBP1	-0.189142857142857
RAB33B	-0.388833333333333
ALDOC	-0.383
ZNF212	0.68775
NUDT1	-0.344333333333333
RFPL2	-1.10825
ZNF83	-4.41466666666667
GDPD5	-1.81525
PDCD4	0.5949
CEP350	-1.578
OR10A2	0.5275
CST7	-0.7135
CIAO1	0.215
SELL	0.0482857142857143
OR8J3	1.061
LTBP4	0.391166666666667
SIRT6	1.77725
CCL19	0.738
PPIL1	-2.55333333333333
GBP7	0.363333333333333
STK17A	-0.00440000000000009
ABR	2.8515
OR9G1	0.792
FOXE1	-0.2625
CNGA3	3.8605
GML	0.367
CD38	-3.632
ZDHHC6	0.775333333333333
NEFH	-3.6795
CTDSP2	-0.0583333333333333
PGBD5	-2.76166666666667
CCNY	0.911785714285714
RMND5B	-0.45175
ZNF257	-3.357
FLJ22167	0.2105
EXOSC7	0.386833333333333
ROR2	-2.5275
MAOA	0.679375
TNNT3	-0.0793333333333334
GYPC	0.8145
C7orf33	-0.8325
PLIN	0.245
LOC90826	-0.00575
RNF4	-0.8368
F8A1	-0.591333333333333
PLEKHG4	-0.18225
GRB2	-0.4835
HIST1H2AD	-1.1675
DUS3L	-0.563666666666667
EIF1	-0.569833333333333
