Hybridization REF	TCGA-A8-A075-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.782583333333333
CREB3L1	2.1165
RPS11	0.245
PNMA1	0.42075
MMP2	0.9315
C10orf90	-2.35825
ZHX3	-0.0508333333333333
ERCC5	-0.09525
GPR98	0.7115
RXFP3	0.6235
APBB2	1.251
PRO0478	-0.69525
KLHL13	-2.7555
PRSSL1	-0.353
PDCL3	0.442833333333333
DECR1	0.097
SALL1	-3.10933333333333
CADM4	0.786166666666667
RPS18	-0.2235
HNRPD	-0.9095
CFHR5	0.381
SLC10A7	-0.1305
OR2K2	-0.46
LMAN1	0.283
SUHW1	-3.89425
CHD8	-0.2413
SUMO1	0.3799
GP1BA	-0.1267
DDB1	0.2135
MYO9B	0.0461
MMP7	4.291
CRNKL1	0.542875
C9orf45	-1.05483333333333
XAB2	-0.13375
RTN1	2.0105
KLHL14	-1.663875
TBX10	2.9185
CENPQ	-1.51625
UTY	-0.947428571428571
ZBTB12	0.366
DTNBP1	0.08
KBTBD8	-1.11583333333333
ZEB1	0.550666666666667
ZG16	-0.9795
MIER1	0.1669
ADAM5P	-0.9
CHD9	-0.1989375
STK16	1.9285
KIAA1486	-0.302
TOB2	0.643583333333333
BANK1	3.43675
OR2V2	0.33575
GRM2	-0.0135
PROSC	0.079875
SPIN2B	-0.61375
PIR	-3.05922222222222
IPO9	0.4197
EVC	0.289
CXCL13	5.56516666666667
KIAA1199	0.711
SORL1	0.3045
NAT10	-0.008
CHD1	-0.79875
SYN3	0.04575
SLC22A2	-0.09375
SERPINF1	0.836166666666667
WDR34	0.1825
OR7A17	0.59925
C9orf11	-0.005
RNF216L	-0.1017
LHB	0.0685
STK25	-0.274625
TAOK3	0.418625
LOC152573	-3.65075
C3orf39	-0.145
C14orf108	0.6506
CDC25B	-0.710272727272727
BMP3	0.2255
TMEM180	0.2225
MAP1LC3C	0.0595
CRYGC	-0.2695
POU3F1	-1.3111
C20orf32	-1.7235
CCDC95	-0.203
HIGD1B	2.989
USP6NL	-0.459125
ABCD4	0.019
DIMT1L	-1.096
TEK	0.393125
SLC25A46	-0.3235
LARP7	-2.0281
CD160	0.507333333333333
MT1JP	-1.317
PHF20	0.223125
CPNE4	-1.88966666666667
GTPBP1	-0.613357142857143
RAB33B	0.5575
ALDOC	-1.70075
ZNF212	-0.973
NUDT1	-0.591
RFPL2	-0.62775
ZNF83	-0.119666666666667
GDPD5	-0.29025
PDCD4	1.88535
CEP350	0.5315
OR10A2	0.29725
CST7	1.35825
CIAO1	-0.0965
SELL	1.03225
OR8J3	1.1565
LTBP4	-0.4375
SIRT6	-0.36075
CCL19	4.528
PPIL1	-0.605833333333333
GBP7	0.0893333333333334
STK17A	-0.8588
ABR	-0.13
OR9G1	0.544
FOXE1	-0.920375
CNGA3	2.1625
GML	0.8015
CD38	0.63575
ZDHHC6	0.2265
NEFH	-2.68775
CTDSP2	0.946
PGBD5	-1.6285
CCNY	0.863
RMND5B	0.94375
ZNF257	-0.938
FLJ22167	-0.665625
EXOSC7	-0.370666666666667
ROR2	1.947125
MAOA	-1.396375
TNNT3	0.374666666666667
GYPC	-0.90875
C7orf33	0.8205
PLIN	2.59283333333333
LOC90826	-0.5895
RNF4	0.3949
F8A1	-0.2975
PLEKHG4	-0.9395
GRB2	0.31635
HIST1H2AD	0.16275
DUS3L	-0.641833333333333
EIF1	-0.0476666666666667
RP5-1077B9.4	-1.13966666666667
FPGT	1.02275
GDF10	-0.386166666666667
COQ9	-0.3125
GCC2	-0.0778571428571428
RARRES3	2.924375
PLXNA1	-0.3274
