Hybridization REF	TCGA-BH-A0BC-01A-22R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.323666666666667
CREB3L1	0.887
RPS11	0.95175
PNMA1	0.39425
MMP2	0.469666666666667
C10orf90	-1.5885
ZHX3	-0.205166666666667
ERCC5	-0.4765
GPR98	1.224375
RXFP3	2.553
APBB2	2.07425
PRO0478	-1.06275
KLHL13	-1.484
PRSSL1	-0.487
PDCL3	0.672
DECR1	-0.48025
SALL1	-3.49166666666667
CADM4	1.59166666666667
RPS18	0.548071428571429
HNRPD	-0.33
CFHR5	0.0523333333333333
SLC10A7	0.514375
OR2K2	0.3575
LMAN1	0.186625
SUHW1	-3.59
CHD8	-0.3641
SUMO1	0.4893
GP1BA	1.0181
DDB1	-0.0613333333333333
MYO9B	-0.0771
MMP7	7.62575
CRNKL1	0.375625
C9orf45	-2.06316666666667
XAB2	0.0775
RTN1	3.418
KLHL14	-0.919625
TBX10	-1.218
CENPQ	-1.71075
UTY	-0.803285714285714
ZBTB12	0.4685
DTNBP1	0.03925
KBTBD8	0.019
ZEB1	1.2225
ZG16	-1.6635
MIER1	1.1537
ADAM5P	-0.6585
CHD9	1.068125
STK16	0.40225
KIAA1486	-0.4895
TOB2	0.752333333333333
BANK1	2.99675
OR2V2	0.3605
GRM2	0.269666666666667
PROSC	0.182625
SPIN2B	0.205
PIR	-1.21788888888889
IPO9	-0.1481
EVC	0.656166666666667
CXCL13	4.34983333333333
KIAA1199	-3.4829
SORL1	1.23
NAT10	-0.61525
CHD1	1.1105
SYN3	-0.283
SLC22A2	-0.61825
SERPINF1	0.7825
WDR34	0.34275
OR7A17	0.438
C9orf11	-0.817
RNF216L	-0.3721
LHB	-0.096
STK25	-0.1285
TAOK3	0.18475
LOC152573	-2.69975
C3orf39	0.2855
C14orf108	0.3302
CDC25B	-1.76672727272727
BMP3	0.57
TMEM180	0.2985
MAP1LC3C	0.306
CRYGC	-0.1495
POU3F1	-1.3497
C20orf32	-1.0625
CCDC95	-0.3235
HIGD1B	4.8625
USP6NL	-0.954625
ABCD4	-0.164
DIMT1L	-0.73975
TEK	1.839375
SLC25A46	-0.1385
LARP7	-2.107
CD160	0.291
MT1JP	0.345
PHF20	-0.4365
CPNE4	-1.16875
GTPBP1	-0.0331428571428571
RAB33B	0.452666666666667
ALDOC	-2.584
ZNF212	-0.0155
NUDT1	-0.3695
RFPL2	-0.8275
ZNF83	-0.992333333333333
GDPD5	-0.419875
PDCD4	2.9605
CEP350	-0.2115
OR10A2	0.7245
CST7	1.45775
CIAO1	-0.69075
SELL	1.909125
OR8J3	0.381
LTBP4	-0.153166666666667
SIRT6	-0.044
CCL19	5.5835
PPIL1	-0.628333333333333
GBP7	0.0356666666666667
STK17A	-0.4935
ABR	0.0915
OR9G1	0.365
FOXE1	-0.578375
CNGA3	0.3055
GML	0.529
CD38	-1.18225
ZDHHC6	-0.278666666666667
NEFH	-0.67975
CTDSP2	-0.0564166666666667
PGBD5	-0.8305
CCNY	0.204
RMND5B	1.02083333333333
ZNF257	0.21525
FLJ22167	-0.887125
EXOSC7	-0.972
ROR2	2.23575
MAOA	0.477375
TNNT3	1.573
GYPC	-0.69575
C7orf33	1.7435
PLIN	3.30716666666667
LOC90826	0.238
RNF4	-0.2221
F8A1	0.6435
PLEKHG4	-1.0475
GRB2	0.02645
HIST1H2AD	0.08125
DUS3L	-0.524
EIF1	-0.8035
RP5-1077B9.4	-1.262
FPGT	1.95975
GDF10	1.03366666666667
COQ9	0.06425
GCC2	0.0654285714285714
RARRES3	3.261125
PLXNA1	-1.0919
KIAA0100	-1.5569
PMF1	0.4325
FNDC1	5.49575
HS2ST1	-0.147083333333333
CRELD2	0.88125
C8G	-2.0315
CD82	1.7225
LIM2	-1.2945
UNQ6490	0.6485
MMP16	-0.056
DRD3	-0.08025
C5orf26	-0.45575
C11orf73	-0.633
PTP4A2	1.76225
OR4M2	1.2715
HPCA	-1.12066666666667
SEC14L1	-0.756666666666667
CHFR	-0.415
EMILIN1	0.937625
NDUFS4	-0.38775
COL18A1	0.6025
PDZD3	-0.3268
C9orf16	0.388
ERBB2IP	0.507333333333333
EMX2	3.3915
FUS	-0.591
TF	-3.445
CLCN4	-0.0268333333333333
CXorf56	0.54925
C11orf72	0.11625
ELAC2	-0.991
NPR1	0.13925
ASS1	-1.9275
USP42	0.0475
POLR2J	-0.789
SEC23IP	0.4985
UQCRC1	-0.411
LOC729603	-0.64975
C1orf71	-0.213625
POLG	-1.4035
ADAM23	-2.37375
TFR2	-1.38975
