Hybridization REF	TCGA-AO-A0J9-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.908833333333333
CREB3L1	2.012
RPS11	0.58175
PNMA1	0.04625
MMP2	0.2415
C10orf90	-0.41375
ZHX3	0.0116666666666667
ERCC5	-0.017
GPR98	-1.592
RXFP3	0.1055
APBB2	2.777
PRO0478	-1.147875
KLHL13	-2.71025
PRSSL1	-0.7154
PDCL3	-0.441666666666667
DECR1	-0.712
SALL1	-2.8
CADM4	0.271
RPS18	0.579357142857143
HNRPD	-0.696166666666667
CFHR5	-0.191
SLC10A7	0.156125
OR2K2	null
LMAN1	-2.0125
SUHW1	-1.8935
CHD8	-0.846
SUMO1	0.6989
GP1BA	-0.0236
DDB1	-1.5145
MYO9B	0.257111111111111
MMP7	6.44175
CRNKL1	-0.100125
C9orf45	-0.9724
XAB2	-1.143625
RTN1	1.58642857142857
KLHL14	-1.62528571428571
TBX10	-0.6095
CENPQ	-1.2325
UTY	-0.901818181818182
ZBTB12	-0.443
DTNBP1	0.485125
KBTBD8	-0.3218
ZEB1	0.297
ZG16	-1.60375
MIER1	-0.0593
ADAM5P	2.759
CHD9	-0.2705
STK16	-1.1705
KIAA1486	null
TOB2	1.0175
BANK1	1.78725
OR2V2	-0.6735
GRM2	0.089
PROSC	-0.555375
SPIN2B	0.24375
PIR	-0.798444444444444
IPO9	-0.2336
EVC	0.855166666666667
CXCL13	1.7426
KIAA1199	-0.9475
SORL1	1.5175
NAT10	-1.83425
CHD1	0.46925
SYN3	-0.418666666666667
SLC22A2	0.283666666666667
SERPINF1	1.11866666666667
WDR34	-0.7365
OR7A17	-0.615
C9orf11	-1.402
RNF216L	-0.1734
LHB	0.6405
STK25	-0.988125
TAOK3	1.077375
LOC152573	-1.54725
C3orf39	0.372875
C14orf108	-0.2206
CDC25B	-1.71436363636364
BMP3	1.8755
TMEM180	-3.8145
MAP1LC3C	-1.0055
CRYGC	0.866
POU3F1	-0.5898
C20orf32	0.042
CCDC95	0.1745
HIGD1B	2.49375
USP6NL	0.215875
ABCD4	0.643833333333333
DIMT1L	-0.38925
TEK	2.216
SLC25A46	-0.3875
LARP7	-1.0353
CD160	0.104333333333333
MT1JP	0.458
PHF20	-0.691625
CPNE4	-2.5965
GTPBP1	-0.543
RAB33B	0.6648
ALDOC	-2.077875
ZNF212	-0.33375
NUDT1	-1.19283333333333
RFPL2	0.2045
ZNF83	-0.85
GDPD5	-0.308375
PDCD4	2.66315
CEP350	-0.3435
OR10A2	-0.76
CST7	0.9965
CIAO1	-0.78575
SELL	0.914
OR8J3	0.87
LTBP4	0.8765
SIRT6	0.909
CCL19	6.1295
PPIL1	-1.6155
GBP7	0.778
STK17A	-0.3255
ABR	1.40975
OR9G1	-0.136
FOXE1	0.068875
CNGA3	0.979
GML	-1.998
CD38	-3.2965
ZDHHC6	0.0215
NEFH	-1.48525
CTDSP2	0.104916666666667
PGBD5	-1.807
CCNY	0.0669285714285714
RMND5B	0.23275
ZNF257	-0.38025
FLJ22167	-0.468
EXOSC7	-1.45316666666667
ROR2	-0.242375
MAOA	2.3695
TNNT3	0.8398
GYPC	-0.21575
C7orf33	0.534
PLIN	6.12816666666667
LOC90826	-0.71975
RNF4	-0.7309
F8A1	1.21683333333333
PLEKHG4	-0.62525
GRB2	-0.2738
HIST1H2AD	-1.25225
DUS3L	-1.198
EIF1	-0.154833333333333
RP5-1077B9.4	-1.1915
FPGT	0.8615
GDF10	0.241833333333333
COQ9	-1.33725
GCC2	-0.152214285714286
RARRES3	2.33475
PLXNA1	-0.0738
KIAA0100	-0.7931
PMF1	-0.32825
FNDC1	5.121
HS2ST1	0.479818181818182
CRELD2	0.05875
C8G	-0.465
CD82	-0.33225
LIM2	1.393
UNQ6490	1.345
MMP16	0.209666666666667
DRD3	0.50325
C5orf26	0.41625
C11orf73	-1.02075
PTP4A2	0.3975
OR4M2	1.687
HPCA	-1.53833333333333
SEC14L1	-0.959833333333333
CHFR	0.0622499999999999
EMILIN1	1.903875
NDUFS4	0.03525
COL18A1	0.784625
PDZD3	-0.151888888888889
C9orf16	0.639166666666667
ERBB2IP	0.958666666666667
EMX2	4.219
FUS	-1.8395
TF	-3.64
CLCN4	-0.5244
CXorf56	-2.1575
C11orf72	-0.59025
ELAC2	-0.30925
NPR1	0.88325
ASS1	-1.05266666666667
USP42	0.28375
POLR2J	-0.593
SEC23IP	0.283166666666667
UQCRC1	-0.59975
LOC729603	-0.508666666666667
C1orf71	-1.63025
POLG	-2.598
ADAM23	-2.49275
TFR2	-0.28025
RICTOR	-0.8975
MGC39606	0.30825
C19orf55	-0.0215
SNAPC1	-1.05333333333333
GNA11	0.4685
CCDC52	0.625833333333333
FSIP1	0.895
UPF3A	-1.013625
IGSF11	-1.2535
LAGE3	-0.03275
CHST6	0.1355
UNC13B	-0.203875
TTLL4	-1.417
ZNF687	0.52625
SDC2	-0.2558
COX7A2	-0.07975
LAMB4	1.6285
FAM24A	1.828
LRRTM3	-0.654333333333333
GPHB5	0.8515
OR4C13	-0.2695
EIF3EIP	0.818142857142857
HABP4	-1.258
TMEM125	3.4135
CNTN2	0.179
ASNSD1	-0.72325
FUT4	-1.020875
ACF	-3.1865
LOC158381	-2.7065
CDH8	-1.46
AGPS	-0.2215
C4orf18	4.323875
PECI	-0.815416666666667
UNG	-0.348125
GSTP1	-0.36975
DCUN1D5	-1.85416666666667
DKFZP564J0863	-0.72575
SLC9A3R1	0.353125
