Hybridization REF	TCGA-A8-A099-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.11266666666667
CREB3L1	1.60875
RPS11	-0.03925
PNMA1	-0.64825
MMP2	0.440833333333333
C10orf90	-2.0045
ZHX3	-0.243333333333333
ERCC5	-0.29525
GPR98	-2.6235
RXFP3	0.166
APBB2	2.24025
PRO0478	-1.111875
KLHL13	-3.81625
PRSSL1	-1.014
PDCL3	0.74
DECR1	0.8355
SALL1	-3.645
CADM4	1.43133333333333
RPS18	-0.942714285714286
HNRPD	-0.1385
CFHR5	0.841666666666667
SLC10A7	0.830375
OR2K2	-0.43
LMAN1	0.52525
SUHW1	-3.18375
CHD8	0.1784
SUMO1	0.2389
GP1BA	-0.2786
DDB1	0.289333333333333
MYO9B	-0.2101
MMP7	6.067
CRNKL1	1.06875
C9orf45	-1.655
XAB2	0.451
RTN1	1.098625
KLHL14	-1.989375
TBX10	-1.1725
CENPQ	-1.03875
UTY	-1.14007692307692
ZBTB12	0.2705
DTNBP1	-0.334
KBTBD8	-1.97383333333333
ZEB1	-0.4485
ZG16	-2.15725
MIER1	-0.3222
ADAM5P	-0.687
CHD9	-0.1285
STK16	1.06825
KIAA1486	-0.401
TOB2	0.571666666666667
BANK1	0.7335
OR2V2	0.329
GRM2	0.3225
PROSC	0.767625
SPIN2B	0.377
PIR	-3.34344444444444
IPO9	0.3922
EVC	1.34766666666667
CXCL13	2.19666666666667
KIAA1199	-1.214
SORL1	1.071
NAT10	0.18375
CHD1	-1.071
SYN3	-0.56925
SLC22A2	-0.4005
SERPINF1	0.3465
WDR34	-0.55
OR7A17	0.65925
C9orf11	-0.398
RNF216L	-0.9641
LHB	-0.1
STK25	0.129
TAOK3	0.98225
LOC152573	-2.9265
C3orf39	1.024125
C14orf108	1.0251
CDC25B	-2.33436363636364
BMP3	0.6525
TMEM180	0.237
MAP1LC3C	0.019
CRYGC	-0.6735
POU3F1	-1.6061
C20orf32	-1.499
CCDC95	-0.528
HIGD1B	4.0585
USP6NL	0.0595
ABCD4	-1.54166666666667
DIMT1L	-0.880833333333333
TEK	1.24175
SLC25A46	0.111
LARP7	-1.7955
CD160	-0.3675
MT1JP	-1.912
PHF20	-0.26175
CPNE4	2.407
GTPBP1	-0.282071428571429
RAB33B	1.30033333333333
ALDOC	-3.506625
ZNF212	-1.012
NUDT1	-1.39783333333333
RFPL2	-1.13125
ZNF83	0.440166666666667
GDPD5	-0.740375
PDCD4	2.0906
CEP350	0.84775
OR10A2	0.28825
CST7	0.18675
CIAO1	-0.98875
SELL	1.243
OR8J3	-0.177
LTBP4	-0.671
SIRT6	-0.10675
CCL19	3.58575
PPIL1	-1.0655
GBP7	0.201333333333333
STK17A	-1.6683
ABR	0.315
OR9G1	-0.0375
FOXE1	-0.692875
CNGA3	1.8255
GML	0.718
CD38	-3.474
ZDHHC6	0.866333333333333
NEFH	-3.5595
CTDSP2	0.757833333333333
PGBD5	-1.31366666666667
CCNY	0.410928571428571
RMND5B	0.810916666666667
ZNF257	-0.70925
FLJ22167	0.66675
EXOSC7	-0.1245
ROR2	3.582375
MAOA	3.37425
TNNT3	0.0468333333333333
GYPC	-1.7115
C7orf33	0.5945
PLIN	0.550333333333333
LOC90826	0.15275
RNF4	-0.2465
F8A1	0.765833333333333
PLEKHG4	-0.36625
GRB2	0.74425
HIST1H2AD	0.3265
DUS3L	-0.857833333333333
EIF1	0.245666666666667
RP5-1077B9.4	-1.51433333333333
FPGT	1.3525
GDF10	-0.557166666666667
COQ9	0.02875
GCC2	0.375357142857143
RARRES3	2.788
PLXNA1	-0.9775
KIAA0100	-0.6281
PMF1	0.851
FNDC1	5.0905
HS2ST1	-1.00108333333333
CRELD2	1.20825
C8G	-2.09
CD82	1.0205
LIM2	-1.283
UNQ6490	0.327
MMP16	0.2465
DRD3	0.14125
C5orf26	-1.18375
C11orf73	-0.653125
PTP4A2	1.991
OR4M2	0.145
HPCA	-0.115333333333333
SEC14L1	-0.5345
CHFR	-0.425875
EMILIN1	0.28525
NDUFS4	-0.3095
COL18A1	-0.6055
PDZD3	0.0334
C9orf16	-0.609666666666667
ERBB2IP	0.418166666666667
EMX2	3.2525
FUS	-0.388
TF	-3.6892
CLCN4	-0.558333333333333
CXorf56	0.83175
C11orf72	0.20925
ELAC2	-0.222
NPR1	-0.742
ASS1	-2.44266666666667
USP42	-0.510125
POLR2J	-2.042
SEC23IP	0.926833333333334
UQCRC1	0.6235
LOC729603	-0.2915
C1orf71	0.759
POLG	-2.5745
ADAM23	-3.49375
TFR2	-1.9945
RICTOR	-1.5628
MGC39606	-0.9255
C19orf55	-0.36175
SNAPC1	-1.9515
GNA11	1.080875
CCDC52	1.061
FSIP1	4.2795
UPF3A	-0.758125
IGSF11	-2.8595
LAGE3	-0.2975
CHST6	-2.891
UNC13B	2.032875
TTLL4	-0.831
ZNF687	0.7075
SDC2	1.5919
COX7A2	0.48975
LAMB4	0.03175
FAM24A	0.23
LRRTM3	-0.474333333333333
GPHB5	-0.0625
OR4C13	0.261
EIF3EIP	0.109571428571429
HABP4	-1.149
TMEM125	3.14075
CNTN2	1.75175
ASNSD1	-0.446
FUT4	0.025125
ACF	-3.44325
LOC158381	1.0025
CDH8	-0.25275
AGPS	-3.167
C4orf18	4.047375
PECI	0.917583333333333
UNG	0.089375
GSTP1	-1.1535
DCUN1D5	-0.904833333333333
DKFZP564J0863	-0.7105
SLC9A3R1	1.2855
BCDO2	-1.085
CHMP7	0.40175
REM2	1.464
DNHD1	-0.808625
FKBP4	0.244875
ZNF350	1.44125
MGC11102	0.097375
BST1	0.4355
KISS1R	0.361
NCR2	-0.016
DEFB125	-0.4215
UBE2W	1.328875
KRT15	-2.79575
C10orf99	0.0455
SCN11A	-0.085125
GFI1	-2.78125
RDHE2	-1.31316666666667
FHL1	-1.51183333333333
OSGEP	-0.2935
GATA1	-3.36933333333333
SMC6	-0.98575
TTTY14	-1.849
LPIN3	0.03725
RPL4	-0.0791
RBPMS	0.8283
PRPF3	0.543333333333333
EMR1	-2.6125
SPATA19	-0.4235
XCR1	0.0305
IRX3	2.0909
RBM6	-0.4165
KLF4	1.3583
UNC5CL	-0.4515
SEBOX	0.114
BTK	-0.578
KRCC1	0.955
C6orf27	0.315
SYTL5	-0.6575
PRND	2.876625
LOC653319	-1.705
PIGL	-1.21625
HUS1	0.0175
SFRS6	1.15175
C17orf77	0.355
UIMC1	-1.0435
FXYD2	-2.2827
LOC283152	2.9345
ZNF667	-1.6615
ZCCHC12	-0.5855
TFEC	2.4911
ATP7B	0.744333333333333
POLD2	-0.481833333333333
RG9MTD1	0.16725
ACOT2	0.945333333333333
HIST1H4I	-1.17175
PPARGC1A	-3.6445
ETFA	-1.235
POLRMT	-0.32675
ZNF146	-0.071625
MIA2	-1.6505
KLHL6	-1.901
HOXB5	2.6655
NENF	0.979
CUGBP1	0.79925
PRSS22	1.19833333333333
CASC4	1.2202
CUL4B	-0.2215
CENPJ	-2.7662
PITX1	-0.255166666666667
FLJ31033	0.7555
CELSR3	-0.544
ZNF568	0.54475
ITSN1	-0.747583333333333
EHBP1L1	-0.920666666666667
C19orf2	0.3675
DCTN1	0.896
LIN28B	-2.9245
TNKS2	-0.41175
C1QBP	-0.363125
CADPS2	1.811
SRMS	1.12475
GJA9	0.372666666666667
MGC24975	-0.841666666666667
TRIM45	0.142833333333333
TSP50	-0.0265
TCP1	-0.48325
TMED7	0.6791
CMA1	0.5605
CENPL	-0.131833333333333
PTCRA	-0.475
FST	-3.038
VWCE	-4.58325
PAWR	0.331
ABCC12	0.314
LDLR	-0.537
ASTN2	2.5743
LOC441212	-1.11525
GPATCH8	0.1205
TANC2	-0.445083333333333
