Hybridization REF	TCGA-A2-A0EQ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0820833333333333
CREB3L1	0.9935
RPS11	1.034625
PNMA1	-0.96925
MMP2	-0.316666666666667
C10orf90	-2.49275
ZHX3	-0.464
ERCC5	-0.02
GPR98	-1.19414285714286
RXFP3	0.7685
APBB2	0.82125
PRO0478	-0.708625
KLHL13	-1.47875
PRSSL1	-0.389666666666667
PDCL3	0.496666666666667
DECR1	-0.228875
SALL1	-3.58466666666667
CADM4	1.45666666666667
RPS18	0.626142857142857
HNRPD	-0.777083333333333
CFHR5	1.00266666666667
SLC10A7	0.43275
OR2K2	0.259
LMAN1	0.59475
SUHW1	-3.71825
CHD8	0.731
SUMO1	0.5189
GP1BA	3.1143
DDB1	-0.0195
MYO9B	0.1326
MMP7	7.23
CRNKL1	0.864875
C9orf45	-1.45833333333333
XAB2	0.012875
RTN1	1.358125
KLHL14	-0.397375
TBX10	-1.172
CENPQ	-1.01
UTY	-1.06657142857143
ZBTB12	-0.158
DTNBP1	0.467125
KBTBD8	-0.167166666666667
ZEB1	0.353166666666667
ZG16	-2.41875
MIER1	0.7558
ADAM5P	0.011
CHD9	-0.1835
STK16	0.46925
KIAA1486	-0.1655
TOB2	1.19725
BANK1	5.939
OR2V2	-0.1505
GRM2	-0.0243333333333333
PROSC	-0.06375
SPIN2B	0.49
PIR	-1.00188888888889
IPO9	0.3336
EVC	0.108666666666667
CXCL13	8.79883333333333
KIAA1199	-2.1528
SORL1	0.016
NAT10	0.02575
CHD1	-0.6175
SYN3	-0.21675
SLC22A2	0.20275
SERPINF1	0.528666666666667
WDR34	0.6075
OR7A17	0.30775
C9orf11	-0.7655
RNF216L	0.1371
LHB	0.285
STK25	-0.29025
TAOK3	0.64525
LOC152573	-3.0705
C3orf39	-0.637125
C14orf108	0.0833
CDC25B	-0.447818181818182
BMP3	-0.31
TMEM180	-0.3325
MAP1LC3C	0.2475
CRYGC	-0.878
POU3F1	-0.6022
C20orf32	-1.2495
CCDC95	-0.787
HIGD1B	3.94925
USP6NL	0.129
ABCD4	-0.3945
DIMT1L	-1.0465
TEK	1.00975
SLC25A46	-0.71975
LARP7	-1.3421
CD160	1.1545
MT1JP	-0.432666666666667
