Hybridization REF	TCGA-A2-A0D3-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.186916666666667
CREB3L1	0.617
RPS11	0.25075
PNMA1	-0.98725
MMP2	0.340166666666667
C10orf90	-2.19875
ZHX3	-0.7885
ERCC5	0.6425
GPR98	1.65642857142857
RXFP3	0.2155
APBB2	0.81075
PRO0478	-0.72325
KLHL13	-1.98325
PRSSL1	1.36933333333333
PDCL3	0.0638333333333333
DECR1	0.598625
SALL1	-4.10333333333333
CADM4	0.832833333333333
RPS18	0.5565
HNRPD	-1.04491666666667
CFHR5	0.64875
SLC10A7	-0.113
OR2K2	-0.367
LMAN1	-1.414375
SUHW1	-2.801
CHD8	0.7243
SUMO1	-0.2534
GP1BA	0.7975
DDB1	0.360666666666667
MYO9B	-0.2921
MMP7	3.0475
CRNKL1	1.051
C9orf45	-1.16733333333333
XAB2	0.828125
RTN1	1.111125
KLHL14	-0.99325
TBX10	-0.8465
CENPQ	-2.2815
UTY	-1.43284615384615
ZBTB12	0.122
DTNBP1	-0.531125
KBTBD8	-1.01766666666667
ZEB1	-0.314
ZG16	-1.01575
MIER1	0.3154
ADAM5P	-0.271
CHD9	-0.26425
STK16	0.946
KIAA1486	-0.2075
TOB2	0.8625
BANK1	4.12925
OR2V2	0.371
GRM2	0.167333333333333
PROSC	0.41175
SPIN2B	-0.487
PIR	-4.19911111111111
IPO9	-0.00620000000000001
EVC	0.785
CXCL13	6.985
KIAA1199	-1.9151
SORL1	0.7845
NAT10	-0.24325
CHD1	-0.634
SYN3	-0.5765
SLC22A2	-0.2355
SERPINF1	0.366666666666667
WDR34	-0.1925
OR7A17	0.4075
C9orf11	0.052
RNF216L	-0.4534
LHB	-0.0645
STK25	-0.723375
TAOK3	0.951125
LOC152573	-2.97275
C3orf39	0.033875
C14orf108	0.3491
CDC25B	-2.58290909090909
BMP3	0.4315
TMEM180	0.168
MAP1LC3C	0.02075
CRYGC	-0.438
POU3F1	0.5184
C20orf32	-0.9685
CCDC95	0.534
HIGD1B	2.8535
USP6NL	0.025
ABCD4	-0.581666666666667
DIMT1L	-0.698
TEK	0.370375
SLC25A46	-0.73125
LARP7	-1.4413
CD160	0.3875
MT1JP	-0.997
PHF20	0.229375
CPNE4	2.48625
GTPBP1	0.00571428571428571
RAB33B	1.05316666666667
ALDOC	-3.605625
ZNF212	-0.35075
NUDT1	-1.7015
RFPL2	-0.63775
ZNF83	0.734833333333333
GDPD5	-1.34875
PDCD4	2.29215
CEP350	1.34125
OR10A2	0.35625
CST7	1.4045
CIAO1	-1.0785
SELL	1.692375
OR8J3	0.314
LTBP4	-0.402833333333333
SIRT6	0.000499999999999997
CCL19	4.49825
PPIL1	-1.0995
GBP7	0.772833333333333
STK17A	-1.008
ABR	0.19475
OR9G1	-1.254
FOXE1	-0.344125
CNGA3	0.899
GML	0.276
CD38	-1.8495
