Hybridization REF	TCGA-A2-A0EN-01A-13R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.504083333333333
CREB3L1	1.5575
RPS11	0.2965
PNMA1	0.32225
MMP2	1.38916666666667
C10orf90	-2.29375
ZHX3	-0.437833333333333
ERCC5	0.43375
GPR98	-1.66725
RXFP3	0.2365
APBB2	1.70875
PRO0478	-0.375
KLHL13	-2.53725
PRSSL1	-0.978
PDCL3	0.443833333333333
DECR1	0.009
SALL1	-2.53083333333333
CADM4	0.0778333333333334
RPS18	-0.250428571428571
HNRPD	-0.4025
CFHR5	0.320666666666667
SLC10A7	0.1565
OR2K2	-0.0025
LMAN1	-0.910875
SUHW1	-3.7505
CHD8	-0.0353
SUMO1	0.281
GP1BA	1.9267
DDB1	-0.0138333333333333
MYO9B	0.1096
MMP7	5.19975
CRNKL1	0.49625
C9orf45	-0.995666666666667
XAB2	-0.231875
RTN1	2.006875
KLHL14	-1.10375
TBX10	-1.2665
CENPQ	-1.85375
UTY	-1.25984615384615
ZBTB12	-0.6165
DTNBP1	0.393
KBTBD8	0.0853333333333333
ZEB1	0.913666666666667
ZG16	-2.16775
MIER1	0.3709
ADAM5P	0.116
CHD9	-0.115875
STK16	-0.17675
KIAA1486	-0.258
TOB2	0.334833333333333
BANK1	4.531
OR2V2	0.0895
GRM2	0.166666666666667
PROSC	0.723
SPIN2B	-0.362
PIR	-2.97555555555556
IPO9	-0.4358
EVC	1.226
CXCL13	6.143
KIAA1199	-1.0709
SORL1	1.57075
NAT10	-0.36675
CHD1	0.16725
SYN3	-0.342
SLC22A2	-0.239
SERPINF1	1.79683333333333
WDR34	-0.67325
OR7A17	0.019
C9orf11	0.0995
RNF216L	-0.2173
LHB	-0.352
STK25	-0.39025
TAOK3	1.191625
LOC152573	-1.5915
C3orf39	0.538125
C14orf108	0.6363
CDC25B	-1.35963636363636
BMP3	0.7875
TMEM180	0.1805
MAP1LC3C	1.43325
CRYGC	-0.6245
POU3F1	-1.5271
C20orf32	-1.243
CCDC95	-0.757
HIGD1B	4.67075
USP6NL	0.23025
ABCD4	-0.108833333333333
DIMT1L	-0.323333333333333
TEK	2.31525
SLC25A46	0.3145
LARP7	-1.6716
CD160	0.3895
MT1JP	-1.02266666666667
PHF20	0.0709375
CPNE4	-1.50025
GTPBP1	-0.301285714285714
RAB33B	1.19083333333333
ALDOC	-2.568125
ZNF212	-0.1705
NUDT1	-0.7635
RFPL2	0.11625
ZNF83	-0.164666666666667
GDPD5	-0.648125
PDCD4	2.0616
CEP350	0.33625
OR10A2	-0.09475
CST7	2.517
CIAO1	-0.8555
SELL	2.498
OR8J3	-0.211
LTBP4	0.0935
SIRT6	-0.31725
CCL19	5.304
PPIL1	-1.3845
GBP7	0.538666666666667
STK17A	-0.1439
ABR	0.5375
OR9G1	0.424
FOXE1	-0.8725
CNGA3	0.416
GML	0.1385
CD38	-1.0275
ZDHHC6	0.140666666666667
NEFH	0.02475
CTDSP2	1.06516666666667
PGBD5	-1.21733333333333
CCNY	0.382928571428571
RMND5B	0.440166666666667
ZNF257	-0.835
FLJ22167	0.06825
EXOSC7	-0.451333333333333
ROR2	1.81225
MAOA	1.460375
TNNT3	2.2895
GYPC	-0.0575
C7orf33	0.5525
PLIN	4.54083333333333
LOC90826	0.01825
RNF4	0.1831
F8A1	0.4055
PLEKHG4	-0.8895
GRB2	0.13305
HIST1H2AD	-1.3065
DUS3L	-0.8765
EIF1	0.261666666666667
RP5-1077B9.4	-1.60933333333333
FPGT	1.009
GDF10	1.53266666666667
COQ9	-0.727
GCC2	0.313071428571429
RARRES3	3.45775
