Hybridization REF	TCGA-C8-A12V-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.143166666666667
CREB3L1	1.018
RPS11	0.70075
PNMA1	-0.088
MMP2	-0.62
C10orf90	2.5725
ZHX3	-0.9315
ERCC5	0.43075
GPR98	-1.105375
RXFP3	0.0135
APBB2	-0.04575
PRO0478	-0.801125
KLHL13	1.1085
PRSSL1	-0.5115
PDCL3	0.5875
DECR1	0.83425
SALL1	-4.30616666666667
CADM4	0.717333333333333
RPS18	0.196357142857143
HNRPD	-0.624416666666667
CFHR5	1.5285
SLC10A7	0.561875
OR2K2	-0.405
LMAN1	0.0845
SUHW1	-0.00949999999999999
CHD8	0.1878
SUMO1	1.0731
GP1BA	2.5318
DDB1	-0.347666666666667
MYO9B	0.2162
MMP7	7.5625
CRNKL1	0.688875
C9orf45	-2.00833333333333
XAB2	0.38625
RTN1	2.282125
KLHL14	-0.629875
TBX10	-0.609
CENPQ	-1.08625
UTY	-1.38033333333333
ZBTB12	-0.598
DTNBP1	0.330625
KBTBD8	0.708
ZEB1	-0.240666666666667
ZG16	-2.10875
MIER1	0.8027
ADAM5P	0.2105
CHD9	0.065625
STK16	0.24125
KIAA1486	-0.4575
TOB2	0.597416666666667
BANK1	5.65325
OR2V2	-0.038
GRM2	0.00199999999999999
PROSC	0.662125
SPIN2B	0.1215
PIR	0.174
IPO9	-0.1802
EVC	0.811
CXCL13	8.05066666666667
KIAA1199	-1.2588
SORL1	1.3405
NAT10	-0.006
CHD1	-0.29825
SYN3	-0.698
SLC22A2	-0.321
SERPINF1	1.3585
WDR34	-1.90625
OR7A17	0.48075
C9orf11	0.2005
RNF216L	-0.1813
LHB	0.135
STK25	-0.537625
TAOK3	1.241875
LOC152573	-2.9095
C3orf39	-0.09475
C14orf108	1.3058
CDC25B	-0.545363636363636
BMP3	0.358
TMEM180	-0.2335
MAP1LC3C	1.67175
CRYGC	-0.9275
POU3F1	-1.2228
C20orf32	-1.0775
CCDC95	-0.9245
HIGD1B	3.63675
USP6NL	0.8035
ABCD4	-0.290333333333333
DIMT1L	-0.325083333333333
TEK	1.6195
SLC25A46	-0.353
LARP7	-1.1503
CD160	3.03283333333333
MT1JP	0.6475
PHF20	0.432
CPNE4	-1.39625
GTPBP1	0.150785714285714
RAB33B	1.2145
ALDOC	-2.716875
ZNF212	-0.529
NUDT1	-0.529833333333333
RFPL2	0.75725
ZNF83	0.413
GDPD5	-1.064375
PDCD4	0.74665
CEP350	0.45875
OR10A2	0.454
CST7	2.9825
CIAO1	-0.3425
SELL	3.349125
OR8J3	-0.0605
LTBP4	-0.0781666666666667
SIRT6	-0.26675
CCL19	4.7125
PPIL1	-0.4705
GBP7	0.363333333333333
STK17A	0.3031
ABR	-0.06275
OR9G1	-0.1315
FOXE1	-0.382375
CNGA3	-0.698
GML	0.562
CD38	2.5945
ZDHHC6	0.7425
NEFH	-1.80475
CTDSP2	0.3525
PGBD5	-0.565833333333333
CCNY	0.357
RMND5B	-0.564166666666667
ZNF257	-1.79875
FLJ22167	0.0475
EXOSC7	-0.8455
ROR2	0.7355
MAOA	1.753875
TNNT3	0.5355
GYPC	-1.30425
C7orf33	0.796
PLIN	1.08116666666667
LOC90826	0.27
RNF4	0.2354
F8A1	1.22366666666667
PLEKHG4	-1.81525
GRB2	0.13725
HIST1H2AD	1.8435
DUS3L	-1.14116666666667
EIF1	-0.579333333333333
RP5-1077B9.4	-0.822166666666666
FPGT	1.30975
GDF10	0.329166666666667
COQ9	-0.47875
GCC2	0.574285714285714
RARRES3	2.887
PLXNA1	0.2429
KIAA0100	-0.0843
PMF1	-0.6625
FNDC1	5.68775
HS2ST1	-0.597416666666667
CRELD2	1.406
C8G	-1.4075
CD82	1.48925
LIM2	-1.036
UNQ6490	-0.4965
MMP16	-0.83975
DRD3	0.2685
C5orf26	-0.98225
C11orf73	-0.049125
PTP4A2	0.32025
OR4M2	0.4855
HPCA	-0.931666666666667
SEC14L1	0.345166666666667
CHFR	0.4165
EMILIN1	0.308375
NDUFS4	-0.887
COL18A1	-0.656125
PDZD3	0.0727
C9orf16	-0.840166666666667
ERBB2IP	-0.399666666666667
EMX2	1.80225
FUS	-1.1945
TF	-3.336
CLCN4	1.404
CXorf56	0.66375
C11orf72	0.59425
ELAC2	-0.715833333333333
NPR1	-0.70675
ASS1	-2.44716666666667
USP42	0.44225
POLR2J	-1.0595
SEC23IP	1.09183333333333
UQCRC1	-0.88975
LOC729603	-0.627
C1orf71	-0.201
POLG	-1.5605
ADAM23	-4.08925
TFR2	-1.49875
RICTOR	-0.6357
MGC39606	0.35575
C19orf55	-0.484875
SNAPC1	-0.8815
GNA11	-0.09875
CCDC52	-0.285666666666667
FSIP1	-0.0205
UPF3A	-0.03325
IGSF11	-2.22883333333333
LAGE3	0.4415
CHST6	1.079
UNC13B	-0.307625
TTLL4	0.328125
ZNF687	0.453
SDC2	0.0599
COX7A2	-0.455
LAMB4	-0.1305
FAM24A	0.6735
LRRTM3	-1.12183333333333
GPHB5	0.158
OR4C13	0.863
EIF3EIP	0.103857142857143
HABP4	-0.581
TMEM125	4.12225
CNTN2	1.802625
ASNSD1	0.30075
FUT4	0.8875
ACF	-3.76575
LOC158381	0.4165
CDH8	0.38425
AGPS	-0.305333333333333
C4orf18	1.362375
PECI	-0.936166666666667
UNG	-0.718875
GSTP1	0.521125
DCUN1D5	-1.27666666666667
DKFZP564J0863	-0.62925
SLC9A3R1	-0.486125
BCDO2	0.826125
CHMP7	0.467375
REM2	1.381
DNHD1	-0.13575
FKBP4	-1.133625
ZNF350	2.14625
MGC11102	-0.107625
BST1	2.007
KISS1R	-0.864
NCR2	0.3385
DEFB125	0.3165
UBE2W	1.894
KRT15	2.920875
C10orf99	0.092
SCN11A	0.32925
GFI1	0.82725
RDHE2	-0.499833333333333
FHL1	-1.68433333333333
OSGEP	0.5105
GATA1	-3.697
SMC6	0.39775
TTTY14	-1.198
LPIN3	-0.135
RPL4	-0.8772
RBPMS	-0.3463
PRPF3	0.0938333333333333
EMR1	-1.1105
SPATA19	0.023
XCR1	-0.1085
IRX3	0.5181
RBM6	-0.28825
KLF4	-0.6361
UNC5CL	-0.562
SEBOX	0.1025
BTK	1.42175
KRCC1	1.863
C6orf27	-0.0105
SYTL5	-0.758
PRND	2.535125
LOC653319	-1.598
PIGL	-1.5115
HUS1	0.727
SFRS6	-1.95325
C17orf77	0.64
UIMC1	-0.268333333333333
FXYD2	-1.3651
LOC283152	-0.70525
ZNF667	1.0765
ZCCHC12	-0.36875
TFEC	5.8487
ATP7B	-0.957666666666667
POLD2	-1.14916666666667
RG9MTD1	-0.4805
ACOT2	-0.970333333333333
HIST1H4I	-0.301
PPARGC1A	-1.5197
ETFA	-1.3635
POLRMT	-0.504
ZNF146	1.463375
MIA2	-1.37
KLHL6	1.723
HOXB5	-1.386
NENF	0.53
CUGBP1	-0.962
PRSS22	0.358333333333333
CASC4	0.8398
CUL4B	0.1799
CENPJ	-1.0849
PITX1	-1.50483333333333
FLJ31033	2.116
CELSR3	-2.35966666666667
ZNF568	1.578
ITSN1	-0.976181818181818
EHBP1L1	-0.335333333333333
C19orf2	0.332
DCTN1	-0.7115
LIN28B	-4.42566666666667
TNKS2	0.05
C1QBP	-1.061125
CADPS2	0.5305
SRMS	0.085
GJA9	0.246666666666667
MGC24975	-1.154
TRIM45	-0.546333333333333
TSP50	0.3995
TCP1	-1.15975
TMED7	0.6513
CMA1	0.6185
CENPL	-0.5705
PTCRA	1.0555
FST	-3.91925
VWCE	-3.9015
PAWR	-0.816
ABCC12	-0.0158
LDLR	-2.3273
ASTN2	-0.7309
LOC441212	0.067625
GPATCH8	-0.33575
TANC2	-1.88133333333333
KIF4A	-1.59225
C18orf18	-0.674
PGM1	-0.0695
KIAA0258	0.3525
CPD	0.44025
SNCAIP	-0.4035
DCT	-4.41466666666667
HLA-DOA	3.82054545454546
OR11L1	0.5815
UPK1B	-0.498666666666667
DNAJB4	1.11025
UGT1A8	0.558
HIST1H4L	-1.4075
PECR	-0.717333333333333
HSPA2	1.50325
WFIKKN1	-2.2825
SERP1	1.084125
SYDE2	0.054
TACR2	0.077
NUP85	-0.16575
CD177	-0.438166666666667
LGR5	0.667333333333333
PIGG	0.20425
PTHR1	-2.1855
RAB5A	0.136
FLJ13224	-0.009
USP9Y	-2.2928
C7orf53	0.1885
LRP1B	-0.84175
XAF1	4.487
ABCG8	-0.262
ANKDD1A	0.724666666666667
DAND5	-0.8955
SPAG6	2.08783333333333
LINCR	3.35525
ZDHHC22	-1.717875
CCDC60	4.9195
THOC7	-1.1595
TCTA	0.4148
OR8K3	0.539
NY-REN-7	-0.229666666666667
B2M	2.765
C6orf141	-1.227625
LPPR4	2.75625
SQLE	-1.1965
SEPHS1	-0.71575
BTBD14B	-0.00685714285714288
PLRG1	-0.21575
SPG7	-0.6950625
ZNF614	0.2535
PARD6G	0.0623333333333333
INPP5B	0.3075
GRPEL2	-0.232375
PPID	-0.2207
TRIM56	-0.0495
UBE2J1	0.679375
IL20RA	2.32725
LOC387856	0.361
C1orf107	1.18458333333333
UTS2R	-1.7095
C19orf22	-0.8915
SAFB2	-0.308625
KIAA0652	-0.153
KLRG1	1.38566666666667
MS4A8B	-0.216
FRAG1	-0.1405
KIAA1546	0.94225
E2F4	-1.2895
CLEC4M	0.136166666666667
BTBD14A	-0.7715
KIAA0999	1.1445
GYPA	-4.3504
TAC1	-0.1152
TRAIP	-1.39
KIAA0232	0.3266
ERCC8	-1.148625
GPX4	0.5055
KIAA0368	-0.260875
GPR157	-1.66233333333333
CTAGE4	0.9495
C9orf30	-0.6205
OR52A1	1.0155
HSP90B3P	0.302
ALG9	-1.0784
BTBD10	0.81025
SDK2	0.6695
BAIAP3	-2.0535
RABGGTB	-0.627625
ANKRD40	-0.640666666666667
KRT74	0.251
CALCOCO2	0.362
SNCA	-2.78925
TMSL8	-1.66775
C2orf53	0.0265
ESRRB	0.016
ARHGAP26	0.7415
TDRD9	-2.6925
HRAS	-1.61433333333333
KLRC4	0.6025
JAGN1	0.0265
BSDC1	0.235
RNF43	0.00489999999999987
NDUFAF1	-0.30525
PHF12	0.318
OR1L3	0.24225
FOLR2	2.41458333333333
LYZL6	0.611
tcag7.1260	-0.9165
WSB1	-0.938666666666667
PROS1	-0.8131
OSTN	0.492
PSMB8	2.1555
SOCS4	0.22925
DDIT4L	3.35225
MAS1	-0.2515
MGC34796	0.2155
CSHL1	0.527166666666667
TBCCD1	0.240833333333333
ZBTB7C	-0.4615
AP2S1	-0.206875
P15RS	0.818
VAT1	-1.249
SHANK3	1.17766666666667
TUFM	-1.177
THEG	-1.063
KRT34	-1.95925
SGSM3	0.07
TOMM22	-0.299875
SOCS3	1.31183333333333
CPO	0.286
POP4	0.505
