Hybridization REF	TCGA-AN-A0FF-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0463333333333333
CREB3L1	1.2855
RPS11	0.02
PNMA1	0.36125
MMP2	-0.36
C10orf90	-2.61
ZHX3	-0.678666666666667
ERCC5	0.286
GPR98	-0.803875
RXFP3	0.4815
APBB2	2.54575
PRO0478	-0.69875
KLHL13	-2.078
PRSSL1	-0.564
PDCL3	0.336333333333333
DECR1	-0.395375
SALL1	-3.63033333333333
CADM4	0.737
RPS18	-0.249357142857143
HNRPD	-0.561666666666667
CFHR5	3.0165
SLC10A7	0.61975
OR2K2	-0.507
LMAN1	-0.722125
SUHW1	-3.95475
CHD8	0.1632
SUMO1	0.4804
GP1BA	0.2672
DDB1	0.137833333333333
MYO9B	-0.2261
MMP7	4.987
CRNKL1	0.549
C9orf45	-2.033
XAB2	0.121875
RTN1	2.7705
KLHL14	-1.524875
TBX10	-1.1165
CENPQ	-1.69475
UTY	-0.918285714285714
ZBTB12	0.179
DTNBP1	0.0187500000000001
KBTBD8	-0.889166666666667
ZEB1	0.0618333333333333
ZG16	-1.1125
MIER1	1.0144
ADAM5P	1.093
CHD9	0.4025
STK16	1.82375
KIAA1486	-1.284
TOB2	0.870333333333333
BANK1	3.708
OR2V2	0.03675
GRM2	-0.214166666666667
PROSC	0.062625
SPIN2B	0.3355
PIR	-2.57877777777778
IPO9	-0.166
EVC	0.947833333333333
CXCL13	5.32183333333333
KIAA1199	-2.2045
SORL1	1.30475
NAT10	-0.687
CHD1	0.56325
SYN3	-0.00825000000000001
SLC22A2	-0.567
SERPINF1	0.9735
WDR34	-0.054
OR7A17	0.54825
C9orf11	-2.925
RNF216L	-0.2229
LHB	-0.2845
STK25	-0.83625
TAOK3	0.517875
LOC152573	-1.7285
C3orf39	0.31125
C14orf108	0.5334
CDC25B	-1.25018181818182
BMP3	-0.5535
TMEM180	-0.2375
MAP1LC3C	0.45825
CRYGC	0.4335
POU3F1	-1.1658
C20orf32	-2.0205
CCDC95	-0.284
HIGD1B	3.8335
USP6NL	0.09
ABCD4	-0.354833333333333
DIMT1L	-0.8315
TEK	1.65642857142857
SLC25A46	-0.5545
LARP7	-1.1049
CD160	-0.0746666666666667
MT1JP	-0.760833333333333
PHF20	-0.43575
CPNE4	-2.03025
GTPBP1	-0.630357142857143
RAB33B	0.497166666666667
ALDOC	-2.934375
ZNF212	-0.16975
NUDT1	-1.00016666666667
RFPL2	-1.2615
ZNF83	-0.0595
GDPD5	0.083625
PDCD4	2.1464
CEP350	0.624
OR10A2	-0.18275
CST7	0.41125
CIAO1	-0.4065
SELL	1.702625
OR8J3	1.1925
LTBP4	-0.467833333333333
SIRT6	-0.01775
CCL19	4.55175
PPIL1	-0.546333333333333
