Hybridization REF	TCGA-A2-A0D0-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.82225
CREB3L1	-0.25
RPS11	-0.381125
PNMA1	-0.91275
MMP2	-0.329
C10orf90	-2.46475
ZHX3	-0.142166666666667
ERCC5	0.0205
GPR98	-1.70983333333333
RXFP3	0.457
APBB2	-0.641
PRO0478	-1.21475
KLHL13	-3.488
PRSSL1	-0.7245
PDCL3	1.92816666666667
DECR1	-1.619
SALL1	-4.69766666666667
CADM4	-0.206833333333333
RPS18	-0.274928571428571
HNRPD	0.419083333333333
CFHR5	0.125833333333333
SLC10A7	-0.615285714285714
OR2K2	0.37
LMAN1	-1.3875
SUHW1	-2.55775
CHD8	-0.4487
SUMO1	0.8538
GP1BA	-0.0904
DDB1	-0.0656666666666667
MYO9B	0.3126
MMP7	7.495
CRNKL1	1.3245
C9orf45	-1.475
XAB2	0.162625
RTN1	0.9425
KLHL14	-2.126
TBX10	-0.517
CENPQ	-1.264
UTY	-1.66142857142857
ZBTB12	-0.333
DTNBP1	0.182
KBTBD8	-1.56016666666667
ZEB1	-2.12233333333333
ZG16	-1.13825
MIER1	-0.8011
ADAM5P	null
CHD9	-1.151
STK16	-0.769
KIAA1486	-0.4605
TOB2	0.588416666666667
BANK1	1.41675
OR2V2	-0.74225
GRM2	0.731
PROSC	0.428375
SPIN2B	-0.193
PIR	-2.78255555555556
IPO9	-0.5319
EVC	-1.90066666666667
CXCL13	6.43066666666667
KIAA1199	-2.9918
SORL1	-0.2805
NAT10	0.31775
CHD1	-1.1335
SYN3	-1.04725
SLC22A2	-0.52025
SERPINF1	-1.625
WDR34	-0.29675
OR7A17	0.342
C9orf11	1.071
RNF216L	-0.6958
LHB	0.599
STK25	0.48825
TAOK3	1.441625
LOC152573	-1.30025
C3orf39	0.864875
C14orf108	-0.4557
CDC25B	0.654454545454545
BMP3	1.7475
TMEM180	0.7025
MAP1LC3C	-0.1975
CRYGC	0.1125
POU3F1	-0.7931
C20orf32	-1.0425
CCDC95	-0.106
HIGD1B	1.13275
USP6NL	0.68025
ABCD4	-0.781666666666667
DIMT1L	-1.19891666666667
TEK	-0.289125
SLC25A46	-1.966
LARP7	-2.05
CD160	0.232666666666667
MT1JP	-1.30833333333333
PHF20	0.025375
CPNE4	-0.986666666666667
GTPBP1	0.170714285714286
RAB33B	0.636333333333333
ALDOC	-1.37825
ZNF212	0.70675
NUDT1	-0.668666666666667
RFPL2	-1.066
ZNF83	-2.18816666666667
GDPD5	0.422375
PDCD4	1.23926315789474
CEP350	-0.01375
OR10A2	-0.141
CST7	2.64825
CIAO1	0.6465
SELL	0.858375
OR8J3	1.055
LTBP4	-0.7005
SIRT6	0.5445
CCL19	3.5245
PPIL1	-1.209
GBP7	-0.04825
STK17A	-0.5529
ABR	0.36125
OR9G1	0.031
FOXE1	-0.420375
CNGA3	-0.046
GML	0.9095
CD38	-1.60175
ZDHHC6	0.0726666666666667
NEFH	-3.1195
CTDSP2	1.69583333333333
PGBD5	0.959833333333333
CCNY	1.03064285714286
RMND5B	-1.31683333333333
ZNF257	-1.61225
FLJ22167	1.0175
EXOSC7	-0.243
ROR2	-0.2435
MAOA	-2.40575
TNNT3	-0.0721666666666667
GYPC	1.5295
C7orf33	0.193
PLIN	0.018
LOC90826	-0.12275
RNF4	-0.0908
F8A1	1.73883333333333
PLEKHG4	-1.296
GRB2	-0.2183
HIST1H2AD	-1.99975
DUS3L	-0.564166666666667
EIF1	-1.80616666666667
RP5-1077B9.4	0.067
FPGT	1.04575
GDF10	-2.038
COQ9	0.64175
GCC2	1.20328571428571
RARRES3	2.28275
PLXNA1	1.5236
KIAA0100	-0.4101
PMF1	0.0925
FNDC1	4.332
HS2ST1	-0.185083333333333
CRELD2	0.2
C8G	-1.0125
CD82	1.112
LIM2	-0.2305
UNQ6490	-0.4915
MMP16	-0.46125
DRD3	0.04325
C5orf26	-2.71075
C11orf73	-0.79075
PTP4A2	-0.0625
OR4M2	0.8195
HPCA	0.3075
SEC14L1	-1.5395
CHFR	0.26075
EMILIN1	-0.125875
NDUFS4	-2.336
COL18A1	-0.746875
PDZD3	-0.294777777777778
C9orf16	0.710166666666667
ERBB2IP	-0.974833333333333
EMX2	5.682
FUS	-0.2295
TF	-0.0708
CLCN4	0.972
CXorf56	-0.472
C11orf72	0.646
ELAC2	-0.797333333333333
NPR1	-1.3155
ASS1	0.955333333333333
USP42	0.754125
POLR2J	-0.6985
SEC23IP	0.541166666666667
UQCRC1	0.17
LOC729603	-0.62025
C1orf71	0.31275
POLG	-0.118
ADAM23	-4.25275
TFR2	-0.49375
RICTOR	-0.4931
MGC39606	0.2585
C19orf55	-0.312875
SNAPC1	-0.567333333333333
GNA11	1.4875
CCDC52	1.55016666666667
FSIP1	-0.9295
UPF3A	0.588875
IGSF11	-2.1765
LAGE3	1.0035
CHST6	-0.874
UNC13B	-0.6485
TTLL4	0.201875
ZNF687	0.848875
SDC2	0.27
COX7A2	-0.86375
LAMB4	0.22625
FAM24A	-0.8975
LRRTM3	-1.7254
GPHB5	0.249
OR4C13	0.036
EIF3EIP	0.0635714285714286
HABP4	-0.453
TMEM125	2.862
CNTN2	0.0468571428571429
ASNSD1	-0.45225
FUT4	-0.421375
ACF	-3.86075
LOC158381	-0.504
CDH8	0.339
AGPS	0.00366666666666667
C4orf18	-1.36325
PECI	0.15675
UNG	1.8565
GSTP1	-0.121
DCUN1D5	0.488166666666667
DKFZP564J0863	-0.299
SLC9A3R1	-1.456125
BCDO2	-0.35325
CHMP7	0.161875
REM2	-0.074
DNHD1	-0.553375
FKBP4	-0.162875
ZNF350	0.21175
MGC11102	0.471
BST1	-0.122
KISS1R	0.881
NCR2	0.0145
DEFB125	1.41
UBE2W	0.61875
KRT15	0.115
C10orf99	0.435
SCN11A	0.172285714285714
GFI1	-1.5805
RDHE2	-0.2565
FHL1	-2.0725
OSGEP	-0.4355
GATA1	-3.43966666666667
SMC6	0.138
TTTY14	-1.35225
LPIN3	0.38925
RPL4	0.261
RBPMS	-1.1664
PRPF3	-0.410666666666667
EMR1	-0.599
SPATA19	-0.5405
XCR1	0.344
IRX3	2.2979
RBM6	-0.086
KLF4	-1.2808
UNC5CL	-2.421
SEBOX	0.35
BTK	-0.46975
KRCC1	-1.01075
C6orf27	0.381
SYTL5	-1.0155
PRND	0.263375
LOC653319	-1.445
PIGL	-0.873375
HUS1	0.333833333333333
SFRS6	0.201416666666667
C17orf77	0.8675
UIMC1	-0.03
FXYD2	-1.9173
LOC283152	-0.42
ZNF667	0.14425
ZCCHC12	-1.16775
TFEC	1.5147
ATP7B	-1.09866666666667
POLD2	-0.0655
RG9MTD1	1.236
ACOT2	-0.464166666666667
HIST1H4I	-1.27325
PPARGC1A	-0.4825
ETFA	-0.9759
POLRMT	-0.17175
ZNF146	1.045125
MIA2	-2.518
KLHL6	-1.79116666666667
HOXB5	-1.01925
NENF	1.016
CUGBP1	0.04775
PRSS22	2.11116666666667
CASC4	-0.517
CUL4B	-1.0528
CENPJ	-0.2422
PITX1	0.293166666666667
FLJ31033	0.645333333333333
CELSR3	-1.55933333333333
ZNF568	-0.9045
ITSN1	-1.2125
EHBP1L1	-0.6775
C19orf2	0.58425
DCTN1	0.509
LIN28B	-2.9605
TNKS2	0.28125
C1QBP	0.572625
CADPS2	3.409
SRMS	0.64875
GJA9	0.710333333333333
MGC24975	0.3135
TRIM45	-1.5535
TSP50	-0.135
TCP1	-0.075
TMED7	-1.7041
CMA1	0.497
CENPL	0.188666666666667
