Hybridization REF	TCGA-BH-A0HO-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.20525
CREB3L1	2.35425
RPS11	0.857875
PNMA1	-0.55875
MMP2	-0.695666666666667
C10orf90	-2.04175
ZHX3	-0.4605
ERCC5	-0.32225
GPR98	-1.0145
RXFP3	0.5505
APBB2	1.4745
PRO0478	-1.822375
KLHL13	-2.06825
PRSSL1	-0.604666666666667
PDCL3	0.286833333333333
DECR1	0.18675
SALL1	-3.8932
CADM4	1.0985
RPS18	0.708428571428571
HNRPD	-0.612666666666667
CFHR5	0.832166666666667
SLC10A7	0.108125
OR2K2	-1.254
LMAN1	0.992
SUHW1	-3.97275
CHD8	-0.8026
SUMO1	0.5416
GP1BA	0.0307
DDB1	-0.463166666666667
MYO9B	-0.5217
MMP7	5.785
CRNKL1	0.813375
C9orf45	-1.53083333333333
XAB2	0.04275
RTN1	3.051625
KLHL14	-2.102375
TBX10	-0.8365
CENPQ	-1.5565
UTY	-1.5165
ZBTB12	-0.0015
DTNBP1	-0.274375
KBTBD8	-1.08166666666667
ZEB1	-0.658
ZG16	-2.47575
MIER1	0.4654
ADAM5P	-0.073
CHD9	-0.71275
STK16	2.198
KIAA1486	-1.009
TOB2	0.958166666666667
BANK1	2.36775
OR2V2	0.37175
GRM2	0.0426666666666667
PROSC	0.3135
SPIN2B	0.23325
PIR	-1.29955555555556
IPO9	-1.00544444444444
EVC	0.946833333333333
CXCL13	8.382
KIAA1199	-2.1642
SORL1	1.25625
NAT10	-1.08225
CHD1	-0.6605
SYN3	-0.844
SLC22A2	-1.61325
SERPINF1	0.022
WDR34	-0.713
OR7A17	0.51125
C9orf11	-1.957
RNF216L	-0.3634
LHB	0.423
STK25	-0.51575
TAOK3	0.095625
LOC152573	-3.07975
C3orf39	0.720625
C14orf108	0.7457
CDC25B	-2.13054545454545
BMP3	0.432
TMEM180	-0.0325
MAP1LC3C	-0.02025
CRYGC	-0.356
POU3F1	-1.0263
C20orf32	-1.3945
CCDC95	-0.8755
HIGD1B	5.12525
USP6NL	0.38025
ABCD4	-0.440333333333333
DIMT1L	-0.3465
TEK	1.59775
SLC25A46	-0.422
LARP7	-1.6239
CD160	-0.0956
MT1JP	-1.83883333333333
PHF20	-0.5461875
CPNE4	-1.44066666666667
GTPBP1	-0.036
RAB33B	1.378
ALDOC	-3.037
ZNF212	-0.6295
NUDT1	-1.669
RFPL2	-0.60275
ZNF83	-0.349666666666667
GDPD5	0.21775
PDCD4	1.31365
CEP350	-0.22425
OR10A2	0.517
CST7	-0.131
CIAO1	-0.80725
SELL	0.397625
OR8J3	0.3
LTBP4	-0.135666666666667
SIRT6	0.034
CCL19	4.616
PPIL1	-0.955
GBP7	0.784333333333333
STK17A	-1.3481
ABR	1.13825
OR9G1	-0.847
FOXE1	-0.408125
CNGA3	2.479
GML	0.4635
CD38	-3.00575
ZDHHC6	-0.000999999999999999
NEFH	-2.0095
CTDSP2	0.47325
PGBD5	-2.081
CCNY	0.0781428571428572
RMND5B	0.45525
ZNF257	-2.01875
FLJ22167	-0.20925
EXOSC7	-0.301333333333333
ROR2	0.916375
MAOA	1.84725
TNNT3	0.261333333333333
GYPC	-1.065
C7orf33	1.824
PLIN	3.8105
LOC90826	0.09675
RNF4	-0.2609
F8A1	0.4555
PLEKHG4	-1.53825
GRB2	-0.4928
HIST1H2AD	0.67775
DUS3L	-0.400333333333333
EIF1	-0.036
RP5-1077B9.4	-1.16966666666667
FPGT	1.67575
GDF10	0.9875
COQ9	-0.66
GCC2	0.233
RARRES3	3.247625
PLXNA1	-0.6706
KIAA0100	-0.3616
PMF1	-0.21575
FNDC1	5.04475
HS2ST1	-0.168416666666667
CRELD2	1.6175
C8G	-1.7285
CD82	-0.3675
LIM2	-1.1645
UNQ6490	0.3815
MMP16	2.06425
DRD3	0.2155
C5orf26	0.05875
C11orf73	0.101375
PTP4A2	1.91925
OR4M2	-0.035
HPCA	-1.69283333333333
SEC14L1	-1.08516666666667
CHFR	-0.443375
EMILIN1	0.602375
NDUFS4	-0.28925
COL18A1	-0.526375
PDZD3	0.0335
C9orf16	-0.00833333333333333
ERBB2IP	-0.155
EMX2	4.01825
FUS	-2.22375
TF	-3.9841
CLCN4	-0.679166666666667
CXorf56	0.17225
C11orf72	0.41525
ELAC2	-0.204333333333333
NPR1	-0.92575
ASS1	-3.3405
USP42	-0.835875
POLR2J	-1.013
SEC23IP	1.42733333333333
UQCRC1	-0.2515
LOC729603	-0.6445
C1orf71	-0.11225
POLG	-2.5585
ADAM23	-3.622
TFR2	-1.17825
RICTOR	-0.6841
MGC39606	-0.13
C19orf55	-0.206
SNAPC1	-1.49433333333333
GNA11	0.430375
CCDC52	-0.185166666666667
FSIP1	5.662
UPF3A	-0.675875
IGSF11	-2.458
LAGE3	-0.02625
CHST6	-3.105
UNC13B	1.038625
TTLL4	-1.29525
ZNF687	-0.155875
SDC2	0.1202
COX7A2	0.0555
LAMB4	-0.45575
FAM24A	-0.158
LRRTM3	-1.79216666666667
GPHB5	0.7325
OR4C13	-0.326
EIF3EIP	0.613214285714286
HABP4	-1.737
TMEM125	4.46
CNTN2	0.058
ASNSD1	-0.1765
FUT4	-0.400375
ACF	-3.75075
LOC158381	0.872
CDH8	-0.3625
AGPS	0.745333333333333
C4orf18	3.76475
PECI	0.231916666666667
UNG	-0.902875
GSTP1	-2.916375
DCUN1D5	-0.286833333333333
DKFZP564J0863	-0.50325
SLC9A3R1	0.524375
BCDO2	-1.97975
CHMP7	-0.011625
REM2	0.2035
DNHD1	-0.933
FKBP4	-0.4835
ZNF350	1.46875
MGC11102	0.112625
BST1	1.06575
KISS1R	0.439
NCR2	-0.084
DEFB125	-0.252
UBE2W	0.88975
KRT15	-1.57975
C10orf99	0.314
SCN11A	0.375375
GFI1	-2.8275
RDHE2	5.2285
FHL1	-1.5455
OSGEP	0.00016666666666666
GATA1	-3.63133333333333
SMC6	-1.64575
TTTY14	-1.34225
LPIN3	-0.32275
RPL4	0.0237999999999999
RBPMS	-0.5987
PRPF3	-1.169
EMR1	-1.714
SPATA19	-0.13675
XCR1	0.554
IRX3	2.0557
RBM6	-1.3125
KLF4	-0.2151
UNC5CL	-2.486
SEBOX	1.056
BTK	0.19425
KRCC1	1.45625
C6orf27	0.6055
SYTL5	0.1415
PRND	2.529
LOC653319	-1.246
PIGL	-0.82325
HUS1	0.3975
SFRS6	0.0511666666666667
C17orf77	0.6645
UIMC1	-0.661666666666667
FXYD2	-1.8273
LOC283152	2.343
ZNF667	-2.60425
ZCCHC12	-0.03475
TFEC	4.101
ATP7B	1.63866666666667
POLD2	-0.727333333333333
RG9MTD1	0.05375
ACOT2	0.389333333333333
HIST1H4I	-0.5725
PPARGC1A	-1.1454
ETFA	-1.318
POLRMT	-0.192
ZNF146	-0.255875
MIA2	-1.696
KLHL6	-0.663666666666667
HOXB5	0.123875
NENF	1.61566666666667
CUGBP1	0.9815
PRSS22	0.932
CASC4	1.9817
CUL4B	0.4726
CENPJ	-2.4418
PITX1	-1.563
FLJ31033	1.87316666666667
CELSR3	-2.21083333333333
ZNF568	1.21975
ITSN1	-0.6995
EHBP1L1	-0.7105
C19orf2	-0.3075
DCTN1	0.09825
LIN28B	-3.68183333333333
TNKS2	-1.6815
C1QBP	0.112625
CADPS2	3.34275
SRMS	0.39775
GJA9	0.1095
MGC24975	-0.703166666666667
TRIM45	-0.119833333333333
TSP50	0.02325
TCP1	-1.28
TMED7	1.4165
CMA1	1.186
CENPL	-1.54616666666667
PTCRA	1.406
FST	-4.823
VWCE	-4.00325
PAWR	0.41175
ABCC12	1.24866666666667
LDLR	-1.5206
ASTN2	1.9399
LOC441212	-1.00325
GPATCH8	-0.0445
TANC2	-0.252666666666667
KIF4A	-2.52925
C18orf18	-0.8295
PGM1	-0.84075
KIAA0258	1.3965
CPD	1.596
SNCAIP	-1.877
DCT	-4.363
HLA-DOA	3.08490909090909
