Hybridization REF	TCGA-BH-A0DL-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.451833333333333
CREB3L1	0.36825
RPS11	-0.060625
PNMA1	-0.51875
MMP2	-0.184666666666667
C10orf90	-2.00175
ZHX3	0.0401666666666667
ERCC5	0.02675
GPR98	0.321625
RXFP3	1.0755
APBB2	-0.3385
PRO0478	-0.099875
KLHL13	-2.193
PRSSL1	-0.635833333333333
PDCL3	0.150166666666667
DECR1	0.01375
SALL1	-4.465
CADM4	0.362333333333333
RPS18	-0.150357142857143
HNRPD	-1.532
CFHR5	0.3285
SLC10A7	0.320375
OR2K2	-0.1835
LMAN1	-0.623625
SUHW1	-3.54425
CHD8	0.2471
SUMO1	0.701
GP1BA	1.307
DDB1	-0.627166666666667
MYO9B	0.3538
MMP7	6.893
CRNKL1	-0.05025
C9orf45	-1.68916666666667
XAB2	0.421375
RTN1	1.873125
KLHL14	-1.661625
TBX10	-1.4145
CENPQ	-1.49275
UTY	-1.6395
ZBTB12	0.0615
DTNBP1	-0.49175
KBTBD8	-0.478333333333333
ZEB1	0.18
ZG16	-1.69175
MIER1	1.1123
ADAM5P	-0.0505
CHD9	0.6466875
STK16	1.0735
KIAA1486	-0.4675
TOB2	1.6235
BANK1	3.618
OR2V2	0.19875
GRM2	0.0875
PROSC	0.3045
SPIN2B	-1.63975
PIR	-0.858888888888889
IPO9	0.3345
EVC	0.708166666666667
CXCL13	6.91133333333333
KIAA1199	-2.0351
SORL1	0.443
NAT10	-0.76475
CHD1	-0.3985
SYN3	0.2865
SLC22A2	-0.35625
SERPINF1	-0.251833333333333
WDR34	-0.41875
OR7A17	0.11725
C9orf11	-0.2345
RNF216L	-0.4404
LHB	0.3135
STK25	-0.0615
TAOK3	0.26375
LOC152573	-3.95225
C3orf39	0.05475
C14orf108	0.4151
CDC25B	0.247272727272727
BMP3	0.0945
TMEM180	-0.0885
MAP1LC3C	-0.2575
CRYGC	-0.6615
POU3F1	-0.7928
C20orf32	-1.372
CCDC95	-0.015
HIGD1B	2.236
USP6NL	0.36725
ABCD4	-0.0148333333333333
DIMT1L	-1.16133333333333
TEK	-0.007375
SLC25A46	-0.759
LARP7	-0.649
CD160	0.467
MT1JP	0.259666666666667
PHF20	-0.0499375
CPNE4	-1.869
GTPBP1	-0.00992857142857143
RAB33B	0.844
ALDOC	-1.723
ZNF212	0.0215
NUDT1	0.1225
RFPL2	-1.3525
ZNF83	-0.759666666666667
GDPD5	-1.401625
PDCD4	1.1799
CEP350	0.7585
OR10A2	0.03825
CST7	1.23225
CIAO1	-0.0305
SELL	1.656125
OR8J3	0.499
LTBP4	-0.170666666666667
SIRT6	-0.3405
CCL19	4.4535
PPIL1	-0.983
GBP7	1.04033333333333
STK17A	-0.7653
ABR	0.2275
OR9G1	0.568
FOXE1	-0.922
CNGA3	-0.1815
GML	0.525
CD38	0.5455
ZDHHC6	-0.180333333333333
NEFH	-2.31925
