Hybridization REF	TCGA-BH-A0BV-11A-31R-A089-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.238166666666667
CREB3L1	-0.02875
RPS11	0.682375
PNMA1	0.24325
MMP2	0.806166666666667
C10orf90	1.7175
ZHX3	0.136833333333333
ERCC5	0.44
GPR98	0.865125
RXFP3	-0.1155
APBB2	1.0255
PRO0478	-0.64075
KLHL13	1.579
PRSSL1	-0.551666666666667
PDCL3	0.3205
DECR1	0.0255
SALL1	-2.78716666666667
CADM4	0.101833333333333
RPS18	0.686142857142857
HNRPD	-0.220666666666667
CFHR5	-0.534
SLC10A7	0.403375
OR2K2	-0.455
LMAN1	-0.812875
SUHW1	-3.9075
CHD8	-0.1627
SUMO1	0.0126
GP1BA	-0.00759999999999999
DDB1	-0.311833333333333
MYO9B	-0.2728
MMP7	6.855
CRNKL1	0.454875
C9orf45	-0.7075
XAB2	0.32925
RTN1	1.683625
KLHL14	-0.684
TBX10	-1.7105
CENPQ	-1.7505
UTY	-1.23814285714286
ZBTB12	0.1005
DTNBP1	-0.069875
KBTBD8	-1.51
ZEB1	0.446833333333333
ZG16	-1.70675
MIER1	0.2695
ADAM5P	0.2775
CHD9	0.629875
STK16	-0.07925
KIAA1486	-0.3565
TOB2	0.59
BANK1	3.414
OR2V2	0.126
GRM2	-0.180333333333333
PROSC	0.24625
SPIN2B	0.03725
PIR	-2.39155555555556
IPO9	-1.0124
EVC	0.968
CXCL13	4.30233333333333
KIAA1199	-4.2778
SORL1	1.448
NAT10	-0.94975
CHD1	-0.15725
SYN3	-0.4375
SLC22A2	-0.55125
SERPINF1	1.3215
WDR34	-1.002
OR7A17	-0.46975
C9orf11	0.803
RNF216L	-0.2953
LHB	-0.527
STK25	-0.316625
TAOK3	1.011
LOC152573	-1.50925
C3orf39	0.437625
C14orf108	0.8994
CDC25B	-2.314
BMP3	-0.26
TMEM180	-0.0725
MAP1LC3C	2.748
CRYGC	-0.82
POU3F1	-2.0202
C20orf32	-1.8145
CCDC95	-0.739
HIGD1B	4.10925
USP6NL	0.265875
ABCD4	0.192666666666667
DIMT1L	-0.155
TEK	1.578375
SLC25A46	-0.78575
LARP7	-1.6875
CD160	0.742833333333333
MT1JP	0.504833333333333
PHF20	-0.257125
CPNE4	-1.3495
GTPBP1	-0.256857142857143
RAB33B	1.166
ALDOC	-0.974375
ZNF212	-0.058
NUDT1	-1.19416666666667
RFPL2	-0.542
ZNF83	0.384333333333333
GDPD5	0.2125
PDCD4	2.33005
CEP350	0.076
OR10A2	-0.0955
CST7	-0.39275
CIAO1	-1.16025
SELL	0.517625
OR8J3	-0.2035
LTBP4	0.575833333333333
SIRT6	-0.74375
CCL19	3.44925
PPIL1	-1.79283333333333
GBP7	0.0261666666666667
STK17A	-0.9089
ABR	0.18275
OR9G1	0.0625
FOXE1	-0.718375
CNGA3	0.91
GML	-0.1815
CD38	-2.104
ZDHHC6	-0.0176666666666667
NEFH	-0.776
CTDSP2	1.30325
PGBD5	-1.18116666666667
CCNY	0.0919285714285714
RMND5B	-0.102333333333333
ZNF257	-1.05775
FLJ22167	0.336125
EXOSC7	-0.474
ROR2	1.42325
MAOA	3.089375
TNNT3	3.08883333333333
GYPC	-0.16325
C7orf33	0.016
PLIN	4.416
LOC90826	0.4175
RNF4	0.0726
F8A1	0.317333333333333
PLEKHG4	0.40075
GRB2	-0.23285
HIST1H2AD	-1.02475
DUS3L	-0.602833333333333
EIF1	0.123833333333333
RP5-1077B9.4	-1.61316666666667
FPGT	0.947
GDF10	3.41133333333333
COQ9	-0.2055
GCC2	0.528928571428572
RARRES3	2.25425
PLXNA1	0.00849999999999999
KIAA0100	-0.1862
PMF1	-0.655
FNDC1	4.37975
HS2ST1	-0.29475
CRELD2	-0.16875
C8G	-2.307
CD82	1.298
LIM2	-0.867
UNQ6490	0.559
MMP16	0.7715
DRD3	-0.19725
C5orf26	0.52125
C11orf73	-0.5155
PTP4A2	-0.131875
OR4M2	-0.162
HPCA	-0.876333333333333
SEC14L1	-0.101833333333333
CHFR	-0.62975
EMILIN1	1.013
NDUFS4	-0.067
COL18A1	0.249
PDZD3	-0.0298
C9orf16	-0.142833333333333
ERBB2IP	0.161333333333333
EMX2	3.6615
FUS	-0.99675
TF	-2.4617
CLCN4	0.573166666666667
CXorf56	0.58675
C11orf72	-0.073
ELAC2	-0.569583333333333
NPR1	1.63525
ASS1	-1.24483333333333
USP42	0.257375
POLR2J	-0.901
SEC23IP	0.4595
UQCRC1	-0.39775
LOC729603	-0.19475
C1orf71	-0.44725
POLG	-2.7445
ADAM23	-3.1695
TFR2	-2.0875
RICTOR	-0.3522
MGC39606	2.29675
C19orf55	-0.81575
SNAPC1	-1.02583333333333
GNA11	1.173125
CCDC52	-0.077
FSIP1	2.939
UPF3A	0.03875
IGSF11	-2.54466666666667
LAGE3	-1.203
CHST6	-2.6395
UNC13B	0.833375
TTLL4	-0.666625
ZNF687	-0.057125
SDC2	0.166
COX7A2	-0.85775
LAMB4	-0.282
FAM24A	0.041
LRRTM3	-1.12666666666667
GPHB5	-0.004
OR4C13	0.074
EIF3EIP	0.523714285714286
HABP4	0.0235
TMEM125	3.28125
CNTN2	0.59475
ASNSD1	0.125
FUT4	0.203625
ACF	-4.745
LOC158381	0.495
CDH8	0.066
AGPS	-1.344
C4orf18	3.35775
PECI	-0.403916666666667
UNG	-0.636875
GSTP1	-0.576125
DCUN1D5	-1.35433333333333
DKFZP564J0863	-1.84325
SLC9A3R1	0.814625
BCDO2	0.188
CHMP7	0.109
REM2	0.743
DNHD1	-0.642625
FKBP4	-0.59775
ZNF350	1.30875
MGC11102	-0.873625
BST1	1.34375
KISS1R	-0.561
NCR2	-0.1375
DEFB125	1.174
UBE2W	0.556125
KRT15	5.054625
C10orf99	0.0055
SCN11A	0.7
GFI1	-3.27075
RDHE2	1.983
