Hybridization REF	TCGA-A8-A09E-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.25083333333333
CREB3L1	0.494
RPS11	0.1355
PNMA1	-1.17075
MMP2	0.23
C10orf90	-2.33975
ZHX3	0.0371666666666667
ERCC5	-0.0285
GPR98	-2.483375
RXFP3	0.6125
APBB2	1.62175
PRO0478	-0.93625
KLHL13	-3.47825
PRSSL1	-0.574166666666667
PDCL3	0.945333333333333
DECR1	1.0605
SALL1	-4.0725
CADM4	1.70483333333333
RPS18	-0.164214285714286
HNRPD	-0.600416666666667
CFHR5	0.273166666666667
SLC10A7	0.069625
OR2K2	-0.403
LMAN1	-0.541625
SUHW1	-3.47925
CHD8	-0.2896
SUMO1	0.4808
GP1BA	0.203
DDB1	-1.31816666666667
MYO9B	-0.0692
MMP7	6.5735
CRNKL1	1.11325
C9orf45	-2.00933333333333
XAB2	0.61875
RTN1	0.34025
KLHL14	-1.24075
TBX10	-1.1525
CENPQ	-0.91825
UTY	-1.06876923076923
ZBTB12	0.3395
DTNBP1	0.213
KBTBD8	-2.2965
ZEB1	-0.227833333333333
ZG16	-1.78625
MIER1	0.3779
ADAM5P	-0.321
CHD9	0.24725
STK16	1.2555
KIAA1486	-1.079
TOB2	0.642583333333333
BANK1	1.41025
OR2V2	-0.4555
GRM2	0.152833333333333
PROSC	0.948625
SPIN2B	0.7205
PIR	-1.62166666666667
IPO9	0.2545
EVC	0.553666666666667
CXCL13	2.57333333333333
KIAA1199	-1.5611
SORL1	-0.20325
NAT10	0.31
CHD1	-0.3685
SYN3	0.20525
SLC22A2	-0.52275
SERPINF1	-0.2415
WDR34	-0.225
OR7A17	0.7855
C9orf11	0.105
RNF216L	-1.1714
LHB	0.251
STK25	-0.3115
TAOK3	-0.025
LOC152573	-3.6165
C3orf39	1.198625
C14orf108	0.1055
CDC25B	-1.173
BMP3	0.01
TMEM180	0.4045
MAP1LC3C	0.391
CRYGC	-0.6025
POU3F1	-1.4005
C20orf32	-1.612
CCDC95	-0.1955
HIGD1B	3.33425
USP6NL	0.169125
ABCD4	-1.35633333333333
DIMT1L	-0.29775
TEK	0.954875
SLC25A46	-0.11025
LARP7	-1.723
