Hybridization REF	TCGA-A8-A07W-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.869083333333333
CREB3L1	0.51025
RPS11	-0.059125
PNMA1	0.0245
MMP2	-0.285666666666667
C10orf90	-1.9085
ZHX3	0.0218333333333333
ERCC5	-0.7365
GPR98	1.341375
RXFP3	0.886
APBB2	1.45175
PRO0478	-0.707
KLHL13	-4.53875
PRSSL1	0.433
PDCL3	0.6065
DECR1	0.283
SALL1	-3.41866666666667
CADM4	1.0295
RPS18	-0.930857142857143
HNRPD	-0.38925
CFHR5	0.30775
SLC10A7	0.1015
OR2K2	0.365
LMAN1	-0.55875
SUHW1	-3.885
CHD8	-0.9675
SUMO1	0.6094
GP1BA	0.3734
DDB1	0.206666666666667
MYO9B	-0.1155
MMP7	6.356
CRNKL1	0.350875
C9orf45	-1.7355
XAB2	-0.007
RTN1	1.73825
KLHL14	0.091
TBX10	-1.4065
CENPQ	0.16425
UTY	-1.62166666666667
ZBTB12	-0.97
DTNBP1	0.415375
KBTBD8	-1.93383333333333
ZEB1	0.275833333333333
ZG16	1.48625
MIER1	0.2494
ADAM5P	4.446
CHD9	-0.2650625
STK16	1.034
KIAA1486	2.451
TOB2	-0.203666666666667
BANK1	2.1385
OR2V2	0.29075
GRM2	0.107166666666667
PROSC	1.93225
SPIN2B	0.3715
PIR	-0.787888888888889
IPO9	-0.3116
EVC	0.323333333333333
CXCL13	4.07283333333333
KIAA1199	0.8097
SORL1	1.66425
NAT10	-0.463
CHD1	-1.215
SYN3	0.313
SLC22A2	-0.217
SERPINF1	1.62433333333333
WDR34	-0.0465
OR7A17	0.37825
C9orf11	-0.34
RNF216L	-1.2614
LHB	0.0165
STK25	-0.249625
TAOK3	0.5215
LOC152573	-3.149
C3orf39	0.804375
C14orf108	0.1472
CDC25B	-0.454272727272727
BMP3	1.197
TMEM180	0.2285
MAP1LC3C	-0.05775
CRYGC	-0.1975
POU3F1	-1.6313
C20orf32	-1.833
CCDC95	-0.1735
HIGD1B	4.2075
USP6NL	-0.255
ABCD4	-0.749166666666667
DIMT1L	-0.875333333333333
TEK	0.73025
